geo,sulfur_emissions_per_person_kg,time
alb,15.0,1990
alb,10.39,1991
alb,3.766,1992
alb,2.958,1993
alb,2.464,1994
alb,2.203,1995
alb,2.186,1996
alb,1.563,1997
alb,1.583,1998
alb,1.19,1999
alb,1.154,2000
dza,0.0,1850
dza,0.002002,1851
dza,0.003979,1852
dza,0.00593,1853
dza,0.007857,1854
dza,0.009759,1855
dza,0.01165,1856
dza,0.01351,1857
dza,0.01535,1858
dza,0.01717,1859
dza,0.01897,1860
dza,0.02074,1861
dza,0.0225,1862
dza,0.02424,1863
dza,0.02596,1864
dza,0.02766,1865
dza,0.02934,1866
dza,0.031,1867
dza,0.03264,1868
dza,0.03427,1869
dza,0.03588,1870
dza,0.03729,1871
dza,0.03868,1872
dza,0.04003,1873
dza,0.04137,1874
dza,0.04267,1875
dza,0.04395,1876
dza,0.04521,1877
dza,0.04644,1878
dza,0.04765,1879
dza,0.04884,1880
dza,0.05001,1881
dza,0.05115,1882
dza,0.05228,1883
dza,0.05339,1884
dza,0.05448,1885
dza,0.05554,1886
dza,0.05659,1887
dza,0.05763,1888
dza,0.05864,1889
dza,0.05964,1890
dza,0.06063,1891
dza,0.06159,1892
dza,0.06255,1893
dza,0.06348,1894
dza,0.06441,1895
dza,0.06531,1896
dza,0.06621,1897
dza,0.06709,1898
dza,0.06795,1899
dza,0.06881,1900
dza,0.06965,1901
dza,0.07048,1902
dza,0.0713,1903
dza,0.0721,1904
dza,0.0729,1905
dza,0.07368,1906
dza,0.07445,1907
dza,0.07521,1908
dza,0.07596,1909
dza,0.0767,1910
dza,0.07743,1911
dza,0.07815,1912
dza,0.07886,1913
dza,0.07883,1914
dza,0.07758,1915
dza,0.08729,1916
dza,0.1074,1917
dza,0.09524,1918
dza,0.0417,1919
dza,0.09246,1920
dza,0.1013,1921
dza,0.1405,1922
dza,0.2075,1923
dza,0.1666,1924
dza,0.1547,1925
dza,3.001,1926
dza,2.647,1927
dza,2.105,1928
dza,2.276,1929
dza,1.704,1930
dza,1.295,1931
dza,0.4764,1932
dza,0.3038,1933
dza,0.4044,1934
dza,0.4809,1935
dza,0.9682,1936
dza,1.638,1937
dza,2.105,1938
dza,1.536,1939
dza,1.46,1940
dza,1.588,1941
dza,1.966,1942
dza,1.857,1943
dza,1.923,1944
dza,2.183,1945
dza,2.278,1946
dza,2.346,1947
dza,2.45,1948
dza,2.647,1949
dza,5.797,1950
dza,6.164,1951
dza,6.951,1952
dza,5.228,1953
dza,5.412,1954
dza,6.021,1955
dza,6.149,1956
dza,7.185,1957
dza,6.615,1958
dza,5.805,1959
dza,5.426,1960
dza,4.374,1961
dza,3.531,1962
dza,2.693,1963
dza,3.159,1964
dza,3.054,1965
dza,1.84,1966
dza,1.483,1967
dza,1.674,1968
dza,1.908,1969
dza,1.566,1970
dza,1.806,1971
dza,1.521,1972
dza,1.507,1973
dza,1.372,1974
dza,1.117,1975
dza,1.004,1976
dza,1.145,1977
dza,1.769,1978
dza,1.633,1979
dza,4.083,1980
dza,4.525,1981
dza,4.961,1982
dza,5.823,1983
dza,7.238,1984
dza,5.993,1985
dza,4.643,1986
dza,4.709,1987
dza,4.55,1988
dza,4.406,1989
dza,4.46,1990
dza,4.756,1991
dza,4.93,1992
dza,5.007,1993
dza,4.919,1994
dza,5.167,1995
dza,4.984,1996
dza,5.511,1997
dza,5.785,1998
dza,6.451,1999
dza,6.919,2000
ago,2.758e-05,1850
ago,2.734e-05,1851
ago,5.425e-05,1852
ago,8.072e-05,1853
ago,0.0001068,1854
ago,0.0001324,1855
ago,0.0001577,1856
ago,0.0001825,1857
ago,0.000207,1858
ago,0.0002311,1859
ago,0.0002549,1860
ago,0.0005027,1861
ago,0.0007466,1862
ago,0.0009868,1863
ago,0.001223,1864
ago,0.001456,1865
ago,0.001686,1866
ago,0.001912,1867
ago,0.002135,1868
ago,0.002354,1869
ago,0.00257,1870
ago,0.002783,1871
ago,0.003003,1872
ago,0.003219,1873
ago,0.003433,1874
ago,0.003643,1875
ago,0.00385,1876
ago,0.004055,1877
ago,0.004257,1878
ago,0.004456,1879
ago,0.004652,1880
ago,0.005232,1881
ago,0.004845,1882
ago,0.004844,1883
ago,0.004843,1884
ago,0.005294,1885
ago,0.005739,1886
ago,0.006178,1887
ago,0.006633,1888
ago,0.007325,1889
ago,0.007695,1890
ago,0.006441,1891
ago,0.008258,1892
ago,0.007168,1893
ago,0.008855,1894
ago,0.007769,1895
ago,0.008684,1896
ago,0.009726,1897
ago,0.009996,1898
ago,0.01002,1899
ago,0.0119,1900
ago,0.01289,1901
ago,0.02562,1902
ago,0.0382,1903
ago,0.05064,1904
ago,0.06293,1905
ago,0.07508,1906
ago,0.08709,1907
ago,0.09896,1908
ago,0.1107,1909
ago,0.1223,1910
ago,0.1338,1911
ago,0.1451,1912
ago,0.1563,1913
ago,0.1674,1914
ago,0.1784,1915
ago,0.1892,1916
ago,0.2,1917
ago,0.2106,1918
ago,0.2211,1919
ago,0.2315,1920
ago,0.2418,1921
ago,0.2519,1922
ago,0.262,1923
ago,0.272,1924
ago,0.2818,1925
ago,0.2916,1926
ago,0.3012,1927
ago,0.3108,1928
ago,0.3202,1929
ago,0.3296,1930
ago,0.3388,1931
ago,2.523,1932
ago,1.791,1933
ago,1.075,1934
ago,1.076,1935
ago,1.077,1936
ago,1.079,1937
ago,1.08,1938
ago,1.081,1939
ago,1.082,1940
ago,1.074,1941
ago,1.704,1942
ago,1.683,1943
ago,1.05,1944
ago,1.041,1945
ago,1.026,1946
ago,1.015,1947
ago,3.822,1948
ago,5.96,1949
ago,9.547,1950
ago,10.54,1951
ago,11.01,1952
ago,9.219,1953
ago,8.732,1954
ago,8.56,1955
ago,7.135,1956
ago,7.708,1957
ago,7.699,1958
ago,7.298,1959
ago,8.964,1960
ago,7.953,1961
ago,15.07,1962
ago,17.39,1963
ago,18.35,1964
ago,17.47,1965
ago,19.36,1966
ago,16.31,1967
ago,17.95,1968
ago,18.22,1969
ago,23.99,1970
ago,23.21,1971
ago,21.79,1972
ago,23.42,1973
ago,22.53,1974
ago,13.16,1975
ago,10.81,1976
ago,11.19,1977
ago,10.9,1978
ago,10.98,1979
ago,11.45,1980
ago,9.855,1981
ago,8.906,1982
ago,8.649,1983
ago,8.883,1984
ago,9.201,1985
ago,8.713,1986
ago,8.408,1987
ago,7.928,1988
ago,7.674,1989
ago,7.723,1990
ago,7.611,1991
ago,7.621,1992
ago,6.983,1993
ago,7.584,1994
ago,6.886,1995
ago,6.452,1996
ago,6.218,1997
ago,6.017,1998
ago,5.753,1999
ago,4.746,2000
atg,0.002401,1850
atg,0.001602,1851
atg,0.003013,1852
atg,0.002712,1853
atg,0.003363,1854
atg,0.003252,1855
atg,0.004474,1856
atg,0.005124,1857
atg,0.005394,1858
atg,0.005094,1859
atg,0.007266,1860
atg,0.007154,1861
atg,0.008037,1862
atg,0.007198,1863
atg,0.00925,1864
atg,0.009186,1865
atg,0.007752,1866
atg,0.009841,1867
atg,0.00958,1868
atg,0.0117,1869
atg,0.01045,1870
atg,0.009584,1871
atg,0.01167,1872
atg,0.01036,1873
atg,0.01166,1874
atg,0.01176,1875
atg,0.01265,1876
atg,0.01113,1877
atg,0.01202,1878
atg,0.0117,1879
atg,0.01058,1880
atg,0.0107,1881
atg,0.01171,1882
atg,0.00867,1883
atg,0.01144,1884
atg,0.01051,1885
atg,0.009753,1886
atg,0.008238,1887
atg,0.009998,1888
atg,0.007958,1889
atg,0.008655,1890
atg,0.008023,1891
atg,0.009193,1892
atg,0.01028,1893
atg,0.01076,1894
atg,0.01094,1895
atg,0.01115,1896
atg,0.01129,1897
atg,0.01371,1898
atg,0.01507,1899
atg,0.01652,1900
atg,0.02174,1901
atg,0.02257,1902
atg,0.02595,1903
atg,0.0275,1904
atg,0.03097,1905
atg,0.03109,1906
atg,0.03403,1907
atg,0.03781,1908
atg,0.04151,1909
atg,0.04282,1910
atg,0.05124,1911
atg,0.05131,1912
atg,0.04641,1913
atg,0.04626,1914
atg,0.05749,1915
atg,0.07003,1916
atg,0.085,1917
atg,0.09523,1918
atg,0.08048,1919
atg,0.08724,1920
atg,0.07277,1921
atg,0.08484,1922
atg,0.1071,1923
atg,0.105,1924
atg,0.1122,1925
atg,0.12,1926
