children_out_of_school_primary,geo,time
1560000,afg,1974
2095000,afg,1993
2211,alb,1999
2119,alb,2000
1545,alb,2001
8445,alb,2003
15750,alb,2004
37760,alb,2008
51570,alb,2009
52010,alb,2010
53600,alb,2011
806900,dza,1973
731600,dza,1974
696200,dza,1975
671500,dza,1976
646400,dza,1977
627300,dza,1978
629200,dza,1979
590500,dza,1980
572200,dza,1981
591100,dza,1982
621500,dza,1983
591600,dza,1984
587900,dza,1985
556900,dza,1986
520600,dza,1987
502500,dza,1988
495700,dza,1989
519500,dza,1990
491400,dza,1991
482600,dza,1992
524700,dza,1993
527000,dza,1994
497600,dza,1995
489400,dza,1996
486800,dza,1997
340300,dza,1999
313200,dza,2000
232300,dza,2001
190600,dza,2002
171800,dza,2003
135700,dza,2004
116200,dza,2005
104200,dza,2006
93560,dza,2007
74720,dza,2008
71180,dza,2009
81640,dza,2010
71430,dza,2011
447,and,2002
403,and,2003
795,and,2004
873,and,2005
866,and,2006
875,and,2007
846,and,2008
939,and,2009
1092,and,2010
1197,and,2011
451900,ago,1982
507600,ago,1983
738200,ago,1998
455400,ago,2008
457800,ago,2009
492600,ago,2010
1112,atg,2007
1011,atg,2008
1060,atg,2009
1349,atg,2010
1536,atg,2011
163300,arg,1970
112000,arg,1974
121200,arg,1975
265100,arg,1987
0,arg,1997
10390,arg,1998
23720,arg,1999
23420,arg,2000
6217,arg,2001
26290,arg,2002
23240,arg,2003
34210,arg,2004
36420,arg,2005
39900,arg,2006
37030,arg,2007
25120,arg,2008
11790,arm,2001
21340,arm,2002
22730,arm,2003
20090,arm,2004
15530,arm,2005
10120,arm,2006
4343,arm,2007
29840,arm,2011
129,abw,1999
107,abw,2000
293,abw,2001
375,abw,2002
528,abw,2003
485,abw,2004
235,abw,2005
158,abw,2006
121,abw,2007
225,abw,2008
473,abw,2009
26,abw,2010
51040,aus,1971
80660,aus,1973
90560,aus,1974
49860,aus,1975
36750,aus,1976
357,aus,1977
336,aus,1978
237,aus,1979
722,aus,1980
8399,aus,1981
25210,aus,1982
40180,aus,1983
67460,aus,1984
66510,aus,1985
56680,aus,1986
48110,aus,1987
37200,aus,1988
33860,aus,1989
38040,aus,1990
45410,aus,1991
47970,aus,1992
53780,aus,1993
58260,aus,1994
93960,aus,1995
87350,aus,1996
95100,aus,1997
96200,aus,1998
102800,aus,1999
102100,aus,2000
106500,aus,2001
95680,aus,2002
96860,aus,2003
93440,aus,2004
90710,aus,2005
89080,aus,2006
60250,aus,2007
56760,aus,2008
53690,aus,2009
53760,aus,2010
42060,aut,1971
47900,aut,1972
55300,aut,1973
58640,aut,1974
57620,aut,1975
57670,aut,1976
56210,aut,1977
63780,aut,1978
63640,aut,1979
63440,aut,1980
53780,aut,1981
49860,aut,1985
27550,aut,1989
45770,aut,1993
44680,aut,1994
41300,aut,1995
38500,aut,1996
36450,aut,1997
53110,aze,1991
81990,aze,1999
84700,aze,2000
102000,aze,2001
102600,aze,2002
110000,aze,2003
98090,aze,2004
95430,aze,2005
92750,aze,2006
89420,aze,2007
84540,aze,2008
74680,aze,2009
78440,aze,2010
64310,aze,2011
0,bhs,1971
18,bhs,1972
1160,bhs,1973
186,bhs,1974
0,bhs,1975
347,bhs,1976
876,bhs,1980
0,bhs,1981
1298,bhs,1984
4042,bhs,1992
3942,bhs,1993
2589,bhs,1994
3043,bhs,1999
4472,bhs,2000
2884,bhs,2004
1474,bhs,2005
1664,bhs,2006
399,bhs,2007
304,bhs,2008
856,bhs,2009
658,bhs,2010
8168,bhr,1971
7104,bhr,1972
6769,bhr,1973
6321,bhr,1974
5251,bhr,1975
6779,bhr,1976
7055,bhr,1977
8165,bhr,1978
8088,bhr,1979
7466,bhr,1980
7739,bhr,1981
8574,bhr,1982
7520,bhr,1983
6057,bhr,1984
3965,bhr,1985
1439,bhr,1986
1799,bhr,1987
371,bhr,1988
151,bhr,1989
335,bhr,1991
1342,bhr,1992
741,bhr,1993
803,bhr,1994
521,bhr,1995
42,bhr,1996
57,bhr,1997
467,bhr,1998
661,bhr,1999
1125,bhr,2000
399,bhr,2001
831,bhr,2002
729,bhr,2003
1259,bhr,2004
1652,bhr,2005
548,bhr,2006
4783000,bgd,1970
3151000,bgd,1973
2570000,bgd,1976
3146000,bgd,1977
3249000,bgd,1978
3722000,bgd,1981
4204000,bgd,1983
4529000,bgd,1984
4931000,bgd,1985
5235000,bgd,1986
5544000,bgd,1987
4240000,bgd,1988
4358000,bgd,1989
4018000,bgd,1990
5126,brb,1971
4424,brb,1972
4044,brb,1973
225,brb,1976
498,brb,1977
872,brb,1981
957,brb,1982
790,brb,1983
128,brb,1989
371,brb,1990
2442,brb,1992
1127,brb,1999
1272,brb,2000
1458,brb,2001
1744,brb,2002
1853,brb,2003
2130,brb,2004
2057,brb,2005
1430,brb,2006
1426,brb,2007
1034,brb,2008
89860,blr,1995
28360,blr,2001
35780,blr,2002
34280,blr,2003
35180,blr,2004
38880,blr,2005
37380,blr,2006
36500,blr,2007
31580,blr,2008
26350,blr,2009
28500,blr,2010
29990,blr,2011
42870,bel,1977
36560,bel,1979
33060,bel,1980
42220,bel,1981
43160,bel,1982
68730,bel,1983
74010,bel,1984
76900,bel,1985
66200,bel,1986
52640,bel,1987
40870,bel,1988
33590,bel,1991
41240,bel,1992
19000,bel,1993
18860,bel,1994
13160,bel,1995
3801,bel,1996
6150,bel,1999
5726,bel,2000
6021,bel,2001
6027,bel,2002
6945,bel,2003
6680,bel,2004
6566,bel,2005
7303,bel,2006
6832,bel,2007
6980,bel,2008
6720,bel,2009
6533,bel,2010
3404,blz,1999
4156,blz,2000
4777,blz,2001
4503,blz,2002
4016,blz,2003
2733,blz,2004
2711,blz,2005
2317,blz,2006
2046,blz,2007
2174,blz,2008
1710,blz,2009
1191,blz,2010
1113,blz,2011
321600,ben,1984
326200,ben,1985
348400,ben,1986
372800,ben,1988
379300,ben,1989
466200,ben,1990
408100,ben,1992
384800,ben,1993
385100,ben,1994
373200,ben,1995
360600,ben,1996
338700,ben,1997
170100,ben,2003
156100,ben,2004
150400,ben,2005
128800,ben,2006
110100,ben,2008
1084,bmu,1978
1181,bmu,1979
480,bmu,1984
332,bmu,1985
116,bmu,2005
441,bmu,2010
583,bmu,2011
47670,btn,1978
47640,btn,1979
48100,btn,1998
48040,btn,1999
45620,btn,2000
42150,btn,2001
27230,btn,2005
21660,btn,2006
15070,btn,2008
11040,btn,2009
10030,btn,2010
10640,btn,2011
52700,bol,1998
51920,bol,1999
49330,bol,2000
64860,bol,2001
57390,bol,2002
57120,bol,2003
55920,bol,2004
47100,bol,2006
62700,bol,2007
80970,bol,2009
123500,bol,2010
26580,bih,2009
25130,bih,2010
19120,bih,2011
78140,bwa,1970
84010,bwa,1971
83920,bwa,1972
83740,bwa,1973
79490,bwa,1974
71390,bwa,1975
66030,bwa,1976
60760,bwa,1977
61020,bwa,1978
59870,bwa,1979
53510,bwa,1980
44920,bwa,1981
40030,bwa,1983
40830,bwa,1984
38010,bwa,1985
37090,bwa,1986
36410,bwa,1987
36560,bwa,1988
36440,bwa,1989
39190,bwa,1990
34550,bwa,1991
37620,bwa,1992
40400,bwa,1993
42070,bwa,1994
70960,bwa,1995
70560,bwa,1996
62320,bwa,1998
63640,bwa,1999
59140,bwa,2000
53350,bwa,2001
51480,bwa,2002
50030,bwa,2003
