cholesterol_fat_in_blood_men_mmolperl,geo,time
4.392,cub,2006
4.384,cub,2007
4.378,cub,2008
5.444,cyp,1980
5.435,cyp,1981
5.426,cyp,1982
5.42,cyp,1983
5.42,cyp,1984
5.423,cyp,1985
5.419,cyp,1986
5.421,cyp,1987
5.428,cyp,1988
5.432,cyp,1989
5.435,cyp,1990
5.431,cyp,1991
5.425,cyp,1992
5.419,cyp,1993
5.419,cyp,1994
5.409,cyp,1995
5.402,cyp,1996
5.387,cyp,1997
5.372,cyp,1998
5.353,cyp,1999
5.34,cyp,2000
5.33,cyp,2001
5.319,cyp,2002
5.31,cyp,2003
5.298,cyp,2004
5.282,cyp,2005
5.261,cyp,2006
5.245,cyp,2007
5.23,cyp,2008
5.975,cze,1980
5.964,cze,1981
5.952,cze,1982
5.939,cze,1983
5.926,cze,1984
5.91,cze,1985
5.892,cze,1986
5.874,cze,1987
5.858,cze,1988
5.841,cze,1989
5.823,cze,1990
5.8,cze,1991
5.776,cze,1992
5.751,cze,1993
5.716,cze,1994
5.681,cze,1995
5.643,cze,1996
5.601,cze,1997
5.559,cze,1998
5.518,cze,1999
5.474,cze,2000
5.429,cze,2001
5.38,cze,2002
5.329,cze,2003
5.282,cze,2004
5.236,cze,2005
5.195,cze,2006
5.151,cze,2007
5.111,cze,2008
5.915,dnk,1980
5.898,dnk,1981
5.878,dnk,1982
5.86,dnk,1983
5.842,dnk,1984
5.832,dnk,1985
5.821,dnk,1986
5.811,dnk,1987
5.805,dnk,1988
5.798,dnk,1989
5.789,dnk,1990
5.775,dnk,1991
5.764,dnk,1992
5.749,dnk,1993
5.737,dnk,1994
5.728,dnk,1995
5.716,dnk,1996
5.7,dnk,1997
5.685,dnk,1998
5.668,dnk,1999
5.652,dnk,2000
5.638,dnk,2001
5.621,dnk,2002
5.6,dnk,2003
5.583,dnk,2004
5.567,dnk,2005
5.551,dnk,2006
5.539,dnk,2007
5.522,dnk,2008
4.956,dji,1980
4.946,dji,1981
4.933,dji,1982
4.921,dji,1983
4.91,dji,1984
4.899,dji,1985
4.889,dji,1986
4.879,dji,1987
4.864,dji,1988
4.848,dji,1989
4.831,dji,1990
4.812,dji,1991
4.796,dji,1992
4.779,dji,1993
4.762,dji,1994
4.747,dji,1995
4.731,dji,1996
4.716,dji,1997
4.701,dji,1998
4.688,dji,1999
4.682,dji,2000
4.673,dji,2001
4.666,dji,2002
4.659,dji,2003
4.651,dji,2004
4.644,dji,2005
4.64,dji,2006
4.638,dji,2007
4.638,dji,2008
4.745,dma,1980
4.734,dma,1981
4.73,dma,1982
4.726,dma,1983
4.721,dma,1984
4.713,dma,1985
4.706,dma,1986
4.698,dma,1987
4.685,dma,1988
4.674,dma,1989
4.672,dma,1990
4.672,dma,1991
4.67,dma,1992
4.667,dma,1993
4.666,dma,1994
4.663,dma,1995
4.654,dma,1996
4.646,dma,1997
4.637,dma,1998
4.626,dma,1999
4.611,dma,2000
4.599,dma,2001
4.583,dma,2002
4.565,dma,2003
4.554,dma,2004
4.54,dma,2005
4.53,dma,2006
4.52,dma,2007
4.51,dma,2008
4.544,dom,1980
4.532,dom,1981
4.521,dom,1982
4.508,dom,1983
4.492,dom,1984
4.473,dom,1985
4.45,dom,1986
4.431,dom,1987
4.412,dom,1988
4.395,dom,1989
4.374,dom,1990
4.357,dom,1991
4.347,dom,1992
4.338,dom,1993
4.33,dom,1994
4.329,dom,1995
4.33,dom,1996
4.334,dom,1997
4.34,dom,1998
4.346,dom,1999
4.356,dom,2000
4.362,dom,2001
4.366,dom,2002
4.363,dom,2003
4.36,dom,2004
4.364,dom,2005
4.369,dom,2006
4.376,dom,2007
4.384,dom,2008
4.889,ecu,1980
4.887,ecu,1981
4.882,ecu,1982
4.875,ecu,1983
4.868,ecu,1984
4.86,ecu,1985
4.851,ecu,1986
4.837,ecu,1987
4.818,ecu,1988
4.797,ecu,1989
4.785,ecu,1990
4.778,ecu,1991
4.768,ecu,1992
4.76,ecu,1993
4.748,ecu,1994
4.744,ecu,1995
4.743,ecu,1996
4.74,ecu,1997
4.737,ecu,1998
4.725,ecu,1999
4.715,ecu,2000
4.705,ecu,2001
4.694,ecu,2002
4.688,ecu,2003
4.681,ecu,2004
4.673,ecu,2005
4.669,ecu,2006
4.668,ecu,2007
4.667,ecu,2008
4.687,egy,1980
4.684,egy,1981
4.681,egy,1982
4.68,egy,1983
4.679,egy,1984
4.678,egy,1985
4.676,egy,1986
4.67,egy,1987
4.666,egy,1988
4.662,egy,1989
4.657,egy,1990
4.651,egy,1991
4.644,egy,1992
4.637,egy,1993
4.63,egy,1994
4.623,egy,1995
4.616,egy,1996
4.611,egy,1997
4.606,egy,1998
4.603,egy,1999
4.598,egy,2000
4.591,egy,2001
4.584,egy,2002
4.58,egy,2003
4.575,egy,2004
4.569,egy,2005
4.565,egy,2006
4.564,egy,2007
4.563,egy,2008
4.74,slv,1980
4.721,slv,1981
4.699,slv,1982
4.676,slv,1983
4.656,slv,1984
4.638,slv,1985
4.62,slv,1986
4.606,slv,1987
4.591,slv,1988
4.575,slv,1989
4.561,slv,1990
4.548,slv,1991
4.539,slv,1992
4.533,slv,1993
4.529,slv,1994
4.527,slv,1995
4.527,slv,1996
4.528,slv,1997
4.528,slv,1998
4.528,slv,1999
4.525,slv,2000
4.519,slv,2001
4.511,slv,2002
4.504,slv,2003
4.497,slv,2004
4.491,slv,2005
4.485,slv,2006
4.479,slv,2007
4.474,slv,2008
4.409,gnq,1980
4.4,gnq,1981
4.391,gnq,1982
4.379,gnq,1983
4.369,gnq,1984
4.355,gnq,1985
4.341,gnq,1986
4.326,gnq,1987
4.314,gnq,1988
4.301,gnq,1989
4.291,gnq,1990
4.281,gnq,1991
4.277,gnq,1992
4.271,gnq,1993
4.264,gnq,1994
4.26,gnq,1995
4.267,gnq,1996
4.295,gnq,1997
4.326,gnq,1998
4.365,gnq,1999
4.402,gnq,2000
4.449,gnq,2001
4.495,gnq,2002
4.536,gnq,2003
4.579,gnq,2004
4.615,gnq,2005
4.641,gnq,2006
4.664,gnq,2007
4.684,gnq,2008
4.138,eri,1980
4.126,eri,1981
4.115,eri,1982
4.101,eri,1983
4.095,eri,1984
4.091,eri,1985
4.088,eri,1986
4.084,eri,1987
4.08,eri,1988
4.078,eri,1989
4.075,eri,1990
4.073,eri,1991
4.075,eri,1992
4.087,eri,1993
4.101,eri,1994
4.114,eri,1995
4.129,eri,1996
4.145,eri,1997
4.159,eri,1998
4.169,eri,1999
4.17,eri,2000
4.169,eri,2001
4.166,eri,2002
4.159,eri,2003
4.15,eri,2004
4.141,eri,2005
4.131,eri,2006
4.123,eri,2007
4.114,eri,2008
5.652,est,1980
5.628,est,1981
5.603,est,1982
5.579,est,1983
5.554,est,1984
5.528,est,1985
5.504,est,1986
5.485,est,1987
5.469,est,1988
5.459,est,1989
5.45,est,1990
5.442,est,1991
5.429,est,1992
5.401,est,1993
5.371,est,1994
5.334,est,1995
5.298,est,1996
5.263,est,1997
5.239,est,1998
5.225,est,1999
5.203,est,2000
5.186,est,2001
5.181,est,2002
5.178,est,2003
5.181,est,2004
5.179,est,2005
5.177,est,2006
5.169,est,2007
5.159,est,2008
4.22,eth,1980
4.208,eth,1981
4.196,eth,1982
4.184,eth,1983
4.175,eth,1984
4.166,eth,1985
4.16,eth,1986
4.151,eth,1987
4.146,eth,1988
4.14,eth,1989
4.135,eth,1990
4.125,eth,1991
4.118,eth,1992
4.116,eth,1993
4.113,eth,1994
4.11,eth,1995
4.109,eth,1996
4.108,eth,1997
4.105,eth,1998
4.105,eth,1999
4.103,eth,2000
4.102,eth,2001
4.101,eth,2002
4.096,eth,2003
4.094,eth,2004
4.093,eth,2005
4.097,eth,2006
4.103,eth,2007
4.11,eth,2008
5.06,fji,1980
5.064,fji,1981
5.063,fji,1982
5.055,fji,1983
5.049,fji,1984
5.042,fji,1985
5.041,fji,1986
5.039,fji,1987
5.036,fji,1988
5.037,fji,1989
5.047,fji,1990
5.058,fji,1991
5.073,fji,1992
5.084,fji,1993
5.094,fji,1994
5.106,fji,1995
5.117,fji,1996
5.126,fji,1997
5.133,fji,1998
5.143,fji,1999
5.148,fji,2000
5.154,fji,2001
5.156,fji,2002
5.158,fji,2003
5.16,fji,2004
5.161,fji,2005
5.163,fji,2006
5.16,fji,2007
5.157,fji,2008
6.143,fin,1980
6.105,fin,1981
6.07,fin,1982
6.034,fin,1983
5.999,fin,1984
5.963,fin,1985
5.929,fin,1986
5.895,fin,1987
5.861,fin,1988
5.826,fin,1989
5.788,fin,1990
5.745,fin,1991
5.699,fin,1992
5.653,fin,1993
5.608,fin,1994
5.568,fin,1995
5.528,fin,1996
5.489,fin,1997
5.456,fin,1998
5.42,fin,1999
5.387,fin,2000
5.356,fin,2001
5.327,fin,2002
5.298,fin,2003
5.269,fin,2004
5.243,fin,2005
5.219,fin,2006
5.198,fin,2007
5.176,fin,2008
6.036,fra,1980
6.012,fra,1981
5.983,fra,1982
5.954,fra,1983
5.927,fra,1984
5.901,fra,1985
5.875,fra,1986
5.85,fra,1987
5.827,fra,1988
5.804,fra,1989
5.778,fra,1990
5.755,fra,1991
5.733,fra,1992
5.708,fra,1993
5.685,fra,1994
5.661,fra,1995
5.638,fra,1996
5.616,fra,1997
5.595,fra,1998
5.575,fra,1999
5.553,fra,2000
5.532,fra,2001
5.509,fra,2002
5.487,fra,2003
5.462,fra,2004
5.435,fra,2005
5.407,fra,2006
5.384,fra,2007
5.36,fra,2008
5.55,pyf,1980
5.544,pyf,1981
5.541,pyf,1982
5.539,pyf,1983
5.536,pyf,1984
5.531,pyf,1985
5.529,pyf,1986
5.525,pyf,1987
5.531,pyf,1988
5.529,pyf,1989
5.526,pyf,1990
5.53,pyf,1991
5.534,pyf,1992
5.534,pyf,1993
5.526,pyf,1994
5.525,pyf,1995
5.515,pyf,1996
5.505,pyf,1997
5.497,pyf,1998
5.495,pyf,1999
5.49,pyf,2000
5.49,pyf,2001
5.49,pyf,2002
5.492,pyf,2003
5.495,pyf,2004
5.494,pyf,2005
5.492,pyf,2006
5.49,pyf,2007
5.488,pyf,2008
4.927,gab,1980
4.93,gab,1981
4.929,gab,1982
4.921,gab,1983
4.915,gab,1984
4.914,gab,1985
4.905,gab,1986
4.892,gab,1987
4.88,gab,1988
4.865,gab,1989
4.847,gab,1990
4.83,gab,1991
4.818,gab,1992
4.811,gab,1993
4.801,gab,1994
4.794,gab,1995
4.785,gab,1996
4.778,gab,1997
4.774,gab,1998
4.766,gab,1999
4.754,gab,2000
4.746,gab,2001
4.731,gab,2002
4.723,gab,2003
4.719,gab,2004
4.718,gab,2005
4.718,gab,2006
4.72,gab,2007
4.723,gab,2008
4.255,gmb,1980
4.24,gmb,1981
4.225,gmb,1982
4.207,gmb,1983
4.189,gmb,1984
4.165,gmb,1985
4.142,gmb,1986
4.121,gmb,1987
4.103,gmb,1988
4.086,gmb,1989
4.069,gmb,1990
4.055,gmb,1991
4.039,gmb,1992
4.026,gmb,1993
4.016,gmb,1994
4.004,gmb,1995
3.996,gmb,1996
3.989,gmb,1997
3.982,gmb,1998
3.98,gmb,1999
3.978,gmb,2000
3.977,gmb,2001
3.975,gmb,2002
3.976,gmb,2003
3.98,gmb,2004
3.984,gmb,2005
3.992,gmb,2006
3.998,gmb,2007
4.004,gmb,2008
5.226,geo,1980
5.213,geo,1981
5.197,geo,1982
5.184,geo,1983
5.171,geo,1984
5.156,geo,1985
5.14,geo,1986
5.121,geo,1987
5.101,geo,1988
5.079,geo,1989
5.051,geo,1990
5.01,geo,1991
4.95,geo,1992
4.882,geo,1993
4.814,geo,1994
4.756,geo,1995
4.704,geo,1996
4.665,geo,1997
4.631,geo,1998
4.608,geo,1999
4.59,geo,2000
4.579,geo,2001
4.576,geo,2002
4.576,geo,2003
4.584,geo,2004
4.592,geo,2005
4.597,geo,2006
4.599,geo,2007
4.6,geo,2008
5.818,deu,1980
5.823,deu,1981
5.826,deu,1982
5.83,deu,1983
5.836,deu,1984
5.845,deu,1985
5.852,deu,1986
5.86,deu,1987
5.866,deu,1988
5.87,deu,1989
5.872,deu,1990
5.874,deu,1991
5.873,deu,1992
5.867,deu,1993
5.86,deu,1994
5.85,deu,1995
5.836,deu,1996
5.821,deu,1997
5.806,deu,1998
5.788,deu,1999
5.765,deu,2000
5.741,deu,2001
5.716,deu,2002
5.693,deu,2003
5.665,deu,2004
5.638,deu,2005
5.613,deu,2006
5.588,deu,2007
5.565,deu,2008
4.193,gha,1980
4.181,gha,1981
4.169,gha,1982
4.153,gha,1983
4.129,gha,1984
4.104,gha,1985
4.083,gha,1986
4.062,gha,1987
4.044,gha,1988
4.028,gha,1989
4.021,gha,1990
4.005,gha,1991
3.994,gha,1992
3.979,gha,1993
3.963,gha,1994
3.949,gha,1995
3.933,gha,1996
3.918,gha,1997
3.906,gha,1998
3.896,gha,1999
3.89,gha,2000
3.885,gha,2001
3.881,gha,2002
3.879,gha,2003
3.878,gha,2004
3.877,gha,2005
3.876,gha,2006
3.875,gha,2007
3.875,gha,2008
5.525,grc,1980
5.498,grc,1981
5.475,grc,1982
5.453,grc,1983
5.431,grc,1984
5.413,grc,1985
5.395,grc,1986
5.375,grc,1987
5.349,grc,1988
5.327,grc,1989
5.304,grc,1990
5.279,grc,1991
5.255,grc,1992
5.23,grc,1993
5.205,grc,1994
5.183,grc,1995
5.159,grc,1996
5.139,grc,1997
5.123,grc,1998
5.103,grc,1999
5.087,grc,2000
5.067,grc,2001
5.048,grc,2002
5.035,grc,2003
5.019,grc,2004
5.008,grc,2005
5.002,grc,2006
4.995,grc,2007
4.988,grc,2008
6.064,grl,1980
6.049,grl,1981
6.031,grl,1982
6.013,grl,1983
5.993,grl,1984
5.973,grl,1985
5.958,grl,1986
5.938,grl,1987
5.925,grl,1988
5.913,grl,1989
5.894,grl,1990
5.877,grl,1991
5.855,grl,1992
5.836,grl,1993
5.816,grl,1994
5.799,grl,1995
5.782,grl,1996
5.768,grl,1997
5.758,grl,1998
5.745,grl,1999
5.736,grl,2000
5.73,grl,2001
5.72,grl,2002
5.71,grl,2003
5.701,grl,2004
5.696,grl,2005
5.688,grl,2006
5.681,grl,2007
5.674,grl,2008
4.638,grd,1980
4.629,grd,1981
4.622,grd,1982
4.615,grd,1983
4.609,grd,1984
4.609,grd,1985
4.61,grd,1986
4.605,grd,1987
4.599,grd,1988
4.588,grd,1989
4.58,grd,1990
4.573,grd,1991
4.563,grd,1992
4.552,grd,1993
4.543,grd,1994
4.533,grd,1995
4.526,grd,1996
4.521,grd,1997
4.52,grd,1998
4.518,grd,1999
4.518,grd,2000
4.515,grd,2001
4.508,grd,2002
4.503,grd,2003
4.492,grd,2004
4.489,grd,2005
4.479,grd,2006
4.465,grd,2007
4.453,grd,2008
4.686,gtm,1980
4.666,gtm,1981
4.647,gtm,1982
4.627,gtm,1983
4.608,gtm,1984
4.583,gtm,1985
4.557,gtm,1986
4.53,gtm,1987
4.506,gtm,1988
4.485,gtm,1989
4.462,gtm,1990
4.441,gtm,1991
4.422,gtm,1992
4.404,gtm,1993
4.389,gtm,1994
4.377,gtm,1995
4.367,gtm,1996
4.357,gtm,1997
4.347,gtm,1998
4.336,gtm,1999
4.326,gtm,2000
4.315,gtm,2001
4.301,gtm,2002
4.287,gtm,2003
4.274,gtm,2004
4.261,gtm,2005
4.247,gtm,2006
4.236,gtm,2007
4.224,gtm,2008
4.105,gin,1980
4.094,gin,1981
4.084,gin,1982
4.072,gin,1983
4.056,gin,1984
4.041,gin,1985
4.026,gin,1986
4.011,gin,1987
3.999,gin,1988
3.986,gin,1989
3.973,gin,1990
3.961,gin,1991
3.948,gin,1992
3.936,gin,1993
3.925,gin,1994
3.917,gin,1995
3.911,gin,1996
3.908,gin,1997
3.909,gin,1998
3.909,gin,1999
3.91,gin,2000
3.913,gin,2001
3.917,gin,2002
3.919,gin,2003
3.921,gin,2004
3.923,gin,2005
3.924,gin,2006
3.923,gin,2007
3.925,gin,2008
4.151,gnb,1980
4.134,gnb,1981
4.117,gnb,1982
4.099,gnb,1983
4.083,gnb,1984
4.057,gnb,1985
4.036,gnb,1986
4.016,gnb,1987
3.999,gnb,1988
3.983,gnb,1989
3.971,gnb,1990
3.959,gnb,1991
3.944,gnb,1992
3.939,gnb,1993
3.932,gnb,1994
3.926,gnb,1995
3.925,gnb,1996
3.925,gnb,1997
3.914,gnb,1998
3.907,gnb,1999
3.907,gnb,2000
3.905,gnb,2001
3.899,gnb,2002
3.892,gnb,2003
3.887,gnb,2004
3.883,gnb,2005
3.88,gnb,2006
3.875,gnb,2007
3.872,gnb,2008
4.519,guy,1980
4.504,guy,1981
4.478,guy,1982
4.448,guy,1983
4.413,guy,1984
4.381,guy,1985
4.351,guy,1986
4.329,guy,1987
4.308,guy,1988
4.284,guy,1989
4.263,guy,1990
4.245,guy,1991
4.234,guy,1992
4.228,guy,1993
4.223,guy,1994
4.219,guy,1995
4.218,guy,1996
4.215,guy,1997
4.212,guy,1998
4.213,guy,1999
4.2,guy,2000
4.184,guy,2001
4.173,guy,2002
4.162,guy,2003
4.156,guy,2004
4.138,guy,2005
4.123,guy,2006
4.112,guy,2007
4.101,guy,2008
4.405,hti,1980
4.392,hti,1981
4.377,hti,1982
4.361,hti,1983
4.345,hti,1984
4.329,hti,1985
4.314,hti,1986
4.298,hti,1987
4.284,hti,1988
4.269,hti,1989
4.254,hti,1990
4.239,hti,1991
4.222,hti,1992
4.209,hti,1993
4.191,hti,1994
4.178,hti,1995
4.167,hti,1996
4.154,hti,1997
4.143,hti,1998
4.133,hti,1999
4.124,hti,2000
4.117,hti,2001
4.111,hti,2002
4.105,hti,2003
4.098,hti,2004
4.091,hti,2005
4.085,hti,2006
4.076,hti,2007
4.068,hti,2008
4.592,hnd,1980
4.585,hnd,1981
4.575,hnd,1982
4.56,hnd,1983
4.546,hnd,1984
4.532,hnd,1985
4.516,hnd,1986
4.503,hnd,1987
4.489,hnd,1988
4.476,hnd,1989
4.464,hnd,1990
4.453,hnd,1991
4.444,hnd,1992
4.435,hnd,1993
4.425,hnd,1994
4.416,hnd,1995
4.409,hnd,1996
4.402,hnd,1997
4.397,hnd,1998
4.388,hnd,1999
4.38,hnd,2000
4.372,hnd,2001
4.361,hnd,2002
4.351,hnd,2003
4.34,hnd,2004
4.331,hnd,2005
4.322,hnd,2006
4.315,hnd,2007
4.308,hnd,2008
5.067,hkg,1980
5.067,hkg,1981
5.065,hkg,1982
5.064,hkg,1983
5.064,hkg,1984
5.06,hkg,1985
5.059,hkg,1986
5.062,hkg,1987
5.066,hkg,1988
5.069,hkg,1989
5.072,hkg,1990
5.077,hkg,1991
5.082,hkg,1992
5.088,hkg,1993
5.093,hkg,1994
5.098,hkg,1995
5.101,hkg,1996
5.102,hkg,1997
5.098,hkg,1998
5.095,hkg,1999
5.093,hkg,2000
5.091,hkg,2001
5.09,hkg,2002
5.089,hkg,2003
5.092,hkg,2004
5.095,hkg,2005
5.1,hkg,2006
5.106,hkg,2007
5.111,hkg,2008
5.284,hun,1980
5.287,hun,1981
5.289,hun,1982
5.292,hun,1983
5.295,hun,1984
5.297,hun,1985
5.298,hun,1986
5.302,hun,1987
5.305,hun,1988
5.308,hun,1989
5.306,hun,1990
5.294,hun,1991
5.28,hun,1992
5.264,hun,1993
5.249,hun,1994
5.23,hun,1995
5.21,hun,1996
5.194,hun,1997
5.18,hun,1998
5.172,hun,1999
5.162,hun,2000
5.154,hun,2001
5.152,hun,2002
5.146,hun,2003
5.14,hun,2004
5.139,hun,2005
5.133,hun,2006
5.13,hun,2007
5.126,hun,2008
6.123,isl,1980
6.113,isl,1981
6.1,isl,1982
6.086,isl,1983
6.073,isl,1984
6.064,isl,1985
6.055,isl,1986
6.043,isl,1987
6.025,isl,1988
6.006,isl,1989
5.987,isl,1990
5.964,isl,1991
5.938,isl,1992
5.912,isl,1993
5.887,isl,1994
5.864,isl,1995
5.84,isl,1996
5.821,isl,1997
5.805,isl,1998
5.791,isl,1999
5.779,isl,2000
5.766,isl,2001
5.759,isl,2002
5.749,isl,2003
5.738,isl,2004
5.724,isl,2005
5.71,isl,2006
5.694,isl,2007
5.677,isl,2008
4.575,ind,1980
4.577,ind,1981
4.58,ind,1982
4.581,ind,1983
4.582,ind,1984
4.585,ind,1985
4.586,ind,1986
4.588,ind,1987
4.589,ind,1988
4.588,ind,1989
4.589,ind,1990
4.586,ind,1991
4.582,ind,1992
4.579,ind,1993
4.573,ind,1994
4.567,ind,1995
4.559,ind,1996
4.55,ind,1997
4.541,ind,1998
4.531,ind,1999
4.519,ind,2000
4.505,ind,2001
4.487,ind,2002
4.466,ind,2003
4.443,ind,2004
4.419,ind,2005
4.393,ind,2006
4.367,ind,2007
4.34,ind,2008
4.591,idn,1980
4.579,idn,1981
4.566,idn,1982
4.552,idn,1983
4.54,idn,1984
4.527,idn,1985
4.515,idn,1986
4.505,idn,1987
4.494,idn,1988
4.486,idn,1989
4.485,idn,1990
4.485,idn,1991
4.486,idn,1992
4.489,idn,1993
4.492,idn,1994
4.493,idn,1995
4.498,idn,1996
4.505,idn,1997
4.503,idn,1998
4.5,idn,1999
4.499,idn,2000
4.498,idn,2001
4.5,idn,2002
4.502,idn,2003
4.503,idn,2004
4.505,idn,2005
4.508,idn,2006
4.512,idn,2007
4.517,idn,2008
5.002,irn,1980
4.986,irn,1981
4.972,irn,1982
4.961,irn,1983
4.954,irn,1984
4.947,irn,1985
4.935,irn,1986
4.926,irn,1987
4.919,irn,1988
4.913,irn,1989
4.912,irn,1990
4.916,irn,1991
4.922,irn,1992
4.927,irn,1993
4.933,irn,1994
4.94,irn,1995
4.949,irn,1996
4.956,irn,1997
4.963,irn,1998
4.968,irn,1999
4.973,irn,2000
4.975,irn,2001
4.977,irn,2002
4.977,irn,2003
4.981,irn,2004
4.983,irn,2005
4.988,irn,2006
4.992,irn,2007
4.995,irn,2008
4.96,irq,1980
4.961,irq,1981
4.959,irq,1982
4.956,irq,1983
4.951,irq,1984
4.944,irq,1985
4.937,irq,1986
4.936,irq,1987
4.928,irq,1988
4.917,irq,1989
4.911,irq,1990
4.867,irq,1991
4.839,irq,1992
4.822,irq,1993
4.808,irq,1994
4.791,irq,1995
4.788,irq,1996
4.779,irq,1997
4.785,irq,1998
4.8,irq,1999
4.815,irq,2000
4.832,irq,2001
4.846,irq,2002
4.84,irq,2003
4.837,irq,2004
4.834,irq,2005
4.832,irq,2006
4.83,irq,2007
4.83,irq,2008
5.951,irl,1980
5.926,irl,1981
5.894,irl,1982
5.862,irl,1983
5.831,irl,1984
5.801,irl,1985
5.769,irl,1986
5.744,irl,1987
5.721,irl,1988
5.694,irl,1989
5.666,irl,1990
5.651,irl,1991
5.638,irl,1992
5.62,irl,1993
5.6,irl,1994
5.589,irl,1995
5.578,irl,1996
5.574,irl,1997
5.573,irl,1998
5.571,irl,1999
5.565,irl,2000
5.562,irl,2001
5.55,irl,2002
5.533,irl,2003
5.519,irl,2004
5.501,irl,2005
5.475,irl,2006
5.45,irl,2007
5.426,irl,2008
5.832,isr,1980
5.803,isr,1981
5.771,isr,1982
5.74,isr,1983
5.715,isr,1984
5.687,isr,1985
5.654,isr,1986
5.622,isr,1987
5.593,isr,1988
5.56,isr,1989
5.526,isr,1990
5.498,isr,1991
5.467,isr,1992
5.438,isr,1993
5.416,isr,1994
5.389,isr,1995
5.358,isr,1996
5.329,isr,1997
5.302,isr,1998
5.273,isr,1999
5.251,isr,2000
5.223,isr,2001
5.194,isr,2002
5.166,isr,2003
5.137,isr,2004
5.107,isr,2005
5.082,isr,2006
5.059,isr,2007
5.036,isr,2008
5.68,ita,1980
5.644,ita,1981
5.607,ita,1982
5.573,ita,1983
5.542,ita,1984
5.513,ita,1985
5.483,ita,1986
5.456,ita,1987
5.432,ita,1988
5.412,ita,1989
5.394,ita,1990
5.376,ita,1991
5.361,ita,1992
5.348,ita,1993
5.335,ita,1994
5.322,ita,1995
5.31,ita,1996
5.299,ita,1997
5.29,ita,1998
5.282,ita,1999
5.276,ita,2000
5.275,ita,2001
5.276,ita,2002
5.28,ita,2003
5.282,ita,2004
5.288,ita,2005
5.296,ita,2006
5.31,ita,2007
5.323,ita,2008
4.781,jam,1980
4.755,jam,1981
4.732,jam,1982
4.71,jam,1983
4.685,jam,1984
4.66,jam,1985
4.64,jam,1986
4.629,jam,1987
4.619,jam,1988
4.611,jam,1989
4.606,jam,1990
4.604,jam,1991
4.6,jam,1992
4.594,jam,1993
4.586,jam,1994
4.576,jam,1995
4.567,jam,1996
4.559,jam,1997
4.551,jam,1998
4.539,jam,1999
4.529,jam,2000
4.516,jam,2001
4.505,jam,2002
4.492,jam,2003
4.478,jam,2004
4.464,jam,2005
4.446,jam,2006
4.433,jam,2007
4.418,jam,2008
4.793,jpn,1980
4.819,jpn,1981
4.843,jpn,1982
4.867,jpn,1983
4.892,jpn,1984
4.918,jpn,1985
4.944,jpn,1986
4.972,jpn,1987
5.002,jpn,1988
5.03,jpn,1989
5.057,jpn,1990
5.082,jpn,1991
5.105,jpn,1992
5.125,jpn,1993
5.143,jpn,1994
5.157,jpn,1995
5.169,jpn,1996
5.177,jpn,1997
5.18,jpn,1998
5.183,jpn,1999
5.185,jpn,2000
5.184,jpn,2001
5.185,jpn,2002
5.186,jpn,2003
5.185,jpn,2004
5.185,jpn,2005
5.186,jpn,2006
5.189,jpn,2007
5.19,jpn,2008
4.988,jor,1980
5.007,jor,1981
5.025,jor,1982
5.04,jor,1983
5.058,jor,1984
5.075,jor,1985
5.091,jor,1986
5.101,jor,1987
5.107,jor,1988
5.104,jor,1989
5.098,jor,1990
5.093,jor,1991
5.089,jor,1992
5.092,jor,1993
5.091,jor,1994
5.087,jor,1995
5.084,jor,1996
5.081,jor,1997
5.077,jor,1998
5.073,jor,1999
5.066,jor,2000
5.056,jor,2001
5.037,jor,2002
5.021,jor,2003
5.005,jor,2004
4.987,jor,2005
4.971,jor,2006
4.958,jor,2007
4.945,jor,2008
5.256,kaz,1980
5.24,kaz,1981
5.225,kaz,1982
5.209,kaz,1983
5.193,kaz,1984
5.177,kaz,1985
5.162,kaz,1986
5.144,kaz,1987
5.129,kaz,1988
5.115,kaz,1989
5.1,kaz,1990
5.081,kaz,1991
5.06,kaz,1992
5.028,kaz,1993
4.991,kaz,1994
4.951,kaz,1995
4.915,kaz,1996
4.888,kaz,1997
4.87,kaz,1998
4.858,kaz,1999
4.848,kaz,2000
4.842,kaz,2001
4.838,kaz,2002
4.838,kaz,2003
4.843,kaz,2004
4.849,kaz,2005
4.856,kaz,2006
4.864,kaz,2007
4.868,kaz,2008
4.401,ken,1980
4.397,ken,1981
4.395,ken,1982
4.39,ken,1983
4.389,ken,1984
4.385,ken,1985
4.382,ken,1986
4.383,ken,1987
4.386,ken,1988
4.387,ken,1989
4.39,ken,1990
4.389,ken,1991
4.385,ken,1992
4.379,ken,1993
4.37,ken,1994
4.361,ken,1995
4.352,ken,1996
4.343,ken,1997
4.332,ken,1998
4.325,ken,1999
4.316,ken,2000
4.312,ken,2001
4.307,ken,2002
4.306,ken,2003
4.305,ken,2004
4.305,ken,2005
4.306,ken,2006
4.31,ken,2007
4.313,ken,2008
4.751,kir,1980
4.714,kir,1981
4.681,kir,1982
4.648,kir,1983
4.618,kir,1984
4.593,kir,1985
4.572,kir,1986
4.553,kir,1987
4.544,kir,1988
4.536,kir,1989
4.527,kir,1990
4.519,kir,1991
4.51,kir,1992
4.502,kir,1993
4.497,kir,1994
4.492,kir,1995
4.49,kir,1996
4.49,kir,1997
4.495,kir,1998
4.505,kir,1999
4.512,kir,2000
4.52,kir,2001
4.527,kir,2002
4.531,kir,2003
4.533,kir,2004
4.533,kir,2005
4.532,kir,2006
4.529,kir,2007
