geo,biomass_stock_in_forest_tons,time
ago,10730000000,2005
com,2000000,2005
ken,743000000,2005
mdg,6641000000,2005
mus,9000000,2005
moz,1382000000,2005
nam,527000000,2005
zaf,1878000000,2005
uga,315000000,2005
tza,5140000000,2005
zmb,2636000000,2005
zwe,1219000000,2005
bfa,704000000,2005
egy,16000000,2005
eth,573000000,2005
lby,15000000,2005
som,881000000,2005
sdn,3398000000,2005
cmr,4191000000,2005
caf,6018000000,2005
civ,4456000000,2005
cod,48780000000,2005
gnq,261000000,2005
gab,7677000000,2005
gmb,76000000,2005
gha,1132000000,2005
gin,1394000000,2005
gnb,160000000,2005
lbr,1033000000,2005
nga,3195000000,2005
rwa,88000000,2005
stp,10000000,2005
sen,769000000,2005
chn,14030000000,2005
prk,532000000,2005
mng,1378000000,2005
kor,572000000,2005
bgd,70000000,2005
btn,766000000,2005
brn,87000000,2005
khm,2811000000,2005
ind,5748000000,2005
idn,13090000000,2005
lao,3301000000,2005
mys,8073000000,2005
mmr,7032000000,2005
npl,1114000000,2005
pak,573000000,2005
phl,2156000000,2005
lka,88000000,2005
tha,1592000000,2005
vnm,2606000000,2005
afg,14000000,2005
arm,41000000,2005
geo,479000000,2005
irn,763000000,2005
jor,5000000,2005
kaz,312000000,2005
sau,40000000,2005
tjk,6000000,2005
tkm,40000000,2005
are,38000000,2005
uzb,28000000,2005
yem,12000000,2005
alb,132000000,2005
blr,1295000000,2005
bel,133000000,2005
hrv,439000000,2005
cze,761000000,2005
est,351000000,2005
fin,1666000000,2005
deu,2659000000,2005
hun,340000000,2005
isl,3000000,2005
irl,40000000,2005
ita,1431000000,2005
lva,471000000,2005
ltu,279000000,2005
nld,54000000,2005
nor,727000000,2005
pol,1804000000,2005
rou,1314000000,2005
rus,88820000000,2005
scg,356000000,2005
svk,438000000,2005
svn,342000000,2005
swe,3010000000,2005
che,316000000,2005
ukr,1698000000,2005
gbr,227000000,2005
cub,789000000,2005
dom,188000000,2005
hti,19000000,2005
jam,76000000,2005
tto,51000000,2005
blz,137000000,2005
cri,427000000,2005
gtm,1145000000,2005
nic,1590000000,2005
pan,1374000000,2005
usa,43280000000,2005
aus,23420000000,2005
ncl,160000000,2005
arg,5333000000,2005
bol,11730000000,2005
bra,107600000000,2005
chl,4631000000,2005
col,18540000000,2005
guy,3821000000,2005
sur,12640000000,2005
