geo,malaria_deaths_in_children_1_59_months_total_deaths,time
afg,46,2008
alb,0,2008
dza,0,2008
ago,13910,2008
arg,0,2008
arm,0,2008
aus,0,2008
aut,0,2008
aze,0,2008
bhs,0,2008
bhr,0,2008
bgd,3244,2008
brb,0,2008
blr,0,2008
bel,0,2008
blz,0,2008
ben,9165,2008
btn,0,2008
bol,3,2008
bih,0,2008
bwa,15,2008
bra,38,2008
brn,0,2008
bgr,0,2008
bfa,23880,2008
bdi,4142,2008
khm,251,2008
cmr,17040,2008
can,0,2008
cpv,1,2008
caf,3715,2008
tcd,18340,2008
chl,0,2008
chn,2,2008
col,12,2008
com,0,2008
cog,3705,2008
cri,0,2008
civ,16700,2008
hrv,0,2008
cub,0,2008
cyp,0,2008
cze,0,2008
prk,0,2008
cod,94200,2008
dnk,0,2008
dji,4,2008
dom,4,2008
ecu,0,2008
egy,0,2008
slv,0,2008
gnq,969,2008
eri,29,2008
est,0,2008
eth,21790,2008
fji,0,2008
fin,0,2008
fra,0,2008
gab,888,2008
gmb,1447,2008
geo,0,2008
deu,0,2008
gha,14360,2008
grc,0,2008
grd,0,2008
gtm,0,2008
gin,12830,2008
gnb,2147,2008
guy,7,2008
hti,166,2008
hnd,2,2008
hun,0,2008
isl,0,2008
ind,6292,2008
idn,1389,2008
irn,1,2008
irq,0,2008
irl,0,2008
isr,0,2008
ita,0,2008
jam,0,2008
jpn,0,2008
jor,0,2008
kaz,0,2008
ken,20670,2008
kwt,0,2008
kgz,0,2008
lao,19,2008
lva,0,2008
lbn,0,2008
lso,0,2008
lbr,3163,2008
lby,0,2008
ltu,0,2008
lux,0,2008
mdg,2494,2008
mwi,9376,2008
mys,6,2008
mdv,0,2008
mli,20920,2008
mlt,0,2008
mrt,1645,2008
mus,0,2008
mex,0,2008
fsm,0,2008
mng,0,2008
mne,0,2008
mar,0,2008
moz,13790,2008
mmr,2168,2008
nam,124,2008
npl,8,2008
nld,0,2008
nzl,0,2008
nic,0,2008
ner,21710,2008
nga,217400,2008
nor,0,2008
omn,0,2008
pak,539,2008
pan,0,2008
png,1018,2008
pry,0,2008
per,17,2008
phl,40,2008
pol,0,2008
prt,0,2008
qat,0,2008
kor,0,2008
mda,0,2008
rou,0,2008
rus,0,2008
rwa,2436,2008
lca,0,2008
vct,0,2008
wsm,0,2008
stp,4,2008
sau,0,2008
sen,9167,2008
srb,0,2008
sle,5520,2008
sgp,0,2008
svk,0,2008
svn,0,2008
slb,34,2008
som,4440,2008
zaf,51,2008
esp,0,2008
lka,0,2008
sdn,34430,2008
sur,2,2008
swz,1,2008
swe,0,2008
che,0,2008
syr,0,2008
tjk,0,2008
tha,70,2008
mkd,0,2008
tgo,5130,2008
ton,0,2008
tto,0,2008
tun,0,2008
tur,0,2008
tkm,0,2008
uga,42550,2008
ukr,0,2008
are,0,2008
gbr,0,2008
tza,28740,2008
usa,0,2008
ury,0,2008
uzb,0,2008
vut,5,2008
ven,1,2008
vnm,28,2008
yem,263,2008
zmb,11710,2008
zwe,1222,2008
