geo,salaried_workers_percent_of_labour_force,time
dza,60.9,2001
dza,64.8,2003
dza,59.8,2004
asm,97.6,1990
aia,77.0,1999
aia,64.6,2001
atg,80.0,1991
arg,69.0,1990
arg,70.3,1991
arg,70.2,1992
arg,68.8,1993
arg,70.2,1994
arg,70.6,1995
arg,70.7,1996
arg,71.7,1997
arg,72.1,1998
arg,72.4,1999
arg,72.3,2000
arg,71.8,2001
arg,71.6,2002
arg,73.6,2003
arg,74.1,2004
arg,74.5,2005
arg,75.8,2006
arm,57.4,1997
arm,55.1,1998
arm,53.8,1999
arm,52.8,2000
arm,51.9,2001
arm,50.0,2002
arm,48.9,2003
arm,47.6,2004
arm,48.2,2005
arm,48.8,2006
arm,49.7,2007
abw,92.0,1991
abw,90.2,1994
abw,96.8,1997
aus,83.5,1980
aus,84.1,1981
aus,83.9,1982
aus,84.0,1983
aus,83.9,1984
aus,84.2,1985
aus,84.0,1986
aus,84.2,1987
aus,84.2,1988
aus,84.8,1989
aus,84.9,1990
aus,84.3,1991
aus,83.9,1992
aus,83.5,1993
aus,84.1,1994
aus,84.6,1995
aus,84.9,1996
aus,84.9,1997
aus,85.4,1998
aus,85.5,1999
aus,85.9,2000
aus,86.2,2001
aus,86.1,2002
aus,86.6,2003
aus,86.8,2004
aus,87.1,2005
aus,87.5,2006
aus,88.0,2007
aut,82.9,1980
aut,83.3,1981
aut,84.0,1982
aut,84.0,1983
aut,84.7,1984
aut,85.1,1985
aut,85.2,1986
aut,85.1,1987
aut,85.2,1988
aut,85.8,1989
aut,85.8,1990
aut,86.1,1991
aut,86.6,1992
aut,86.9,1993
aut,86.2,1994
aut,85.7,1995
aut,86.1,1996
aut,86.5,1997
aut,86.4,1998
aut,86.7,1999
aut,87.0,2000
aut,86.9,2001
aut,87.0,2002
aut,87.4,2003
aut,87.2,2004
aut,86.7,2005
aut,86.5,2006
aut,85.7,2007
aze,54.7,2003
aze,33.2,2004
aze,33.8,2005
aze,41.0,2006
aze,41.8,2007
bhs,85.3,1993
bhs,84.9,1994
bhs,85.2,1995
bhs,81.8,1996
bhs,84.7,1997
bhs,84.9,1998
bhs,83.2,1999
bhs,85.1,2001
bhs,84.0,2002
bhs,85.2,2003
bhs,84.4,2004
bgd,12.4,1996
bgd,12.6,2000
bgd,13.7,2003
bgd,13.9,2005
brb,87.5,1990
brb,87.4,1991
brb,87.0,1992
brb,85.8,1993
brb,86.6,1994
brb,86.8,1995
brb,86.2,1996
brb,87.1,1997
brb,86.6,1998
brb,85.5,1999
brb,87.0,2000
brb,85.6,2001
brb,85.6,2002
brb,85.3,2003
brb,84.4,2004
bel,83.4,1980
bel,83.0,1981
bel,82.7,1982
bel,82.2,1983
bel,82.0,1984
bel,82.0,1985
bel,81.9,1986
bel,81.8,1987
bel,81.9,1988
bel,81.9,1989
bel,81.9,1990
bel,81.7,1991
bel,81.6,1992
bel,81.1,1993
bel,81.2,1994
bel,81.2,1995
bel,81.1,1996
bel,81.4,1997
bel,81.8,1998
bel,82.1,1999
bel,84.8,2005
bel,84.9,2006
blz,70.4,1993
blz,69.4,1994
blz,68.3,1995
blz,65.6,1996
blz,64.5,1997
blz,66.6,1998
blz,65.0,1999
blz,69.3,2005
btn,39.5,2005
bol,54.0,1989
bol,56.9,1990
bol,56.5,1991
bol,55.4,1992
bol,56.2,1993
bol,54.2,1994
bol,51.6,1995
bol,49.4,1996
bol,47.1,1997
bol,47.6,1999
bol,49.8,2000
bol,34.9,2001
bol,33.3,2002
bih,72.5,2006
bwa,45.9,1984
bwa,66.2,1994
bwa,73.3,1998
bwa,69.8,2000
bwa,82.7,2001
bwa,73.2,2003
bra,65.8,1990
bra,60.6,1992
bra,60.8,1993
bra,60.1,1995
bra,61.6,1996
bra,53.3,1997
bra,53.7,1998
bra,52.6,1999
bra,62.1,2001
bra,62.0,2002
bra,62.1,2003
bra,62.9,2004
bra,62.7,2005
bra,63.6,2006
vgb,87.3,1991
brn,94.9,1991
bgr,83.2,2001
bgr,84.7,2003
bgr,84.8,2004
bgr,85.8,2005
bgr,86.9,2006
bgr,87.6,2007
bfa,3.2,1985
bfa,3.6,1994
khm,15.2,2000
khm,16.2,2001
khm,12.9,2004
cmr,14.2,1996
cmr,19.2,2001
can,90.9,1980
can,91.0,1981
can,90.4,1982
can,90.1,1983
can,90.0,1984
can,89.3,1985
can,90.2,1986
can,85.9,1987
can,85.8,1988
can,86.2,1989
can,85.6,1990
can,85.1,1991
can,84.9,1992
can,84.2,1993
can,84.1,1994
can,84.2,1995
can,83.4,1996
can,82.9,1997
can,82.9,1998
can,83.1,1999
can,83.9,2000
can,84.8,2001
can,84.9,2002
can,84.7,2003
can,84.6,2004
can,84.5,2005
can,84.8,2006
can,84.5,2007
cpv,38.9,2000
cym,89.8,2006
cym,91.9,2007
tcd,4.9,1993
chl,72.9,1990
chl,69.1,1991
chl,73.4,1992
chl,69.6,1993
chl,73.9,1994
chl,69.4,1995
chl,70.1,1996
chl,70.4,1997
chl,69.2,1998
chl,69.2,1999
chl,69.4,2000
chl,68.6,2001
chl,68.5,2002
chl,68.2,2003
chl,68.2,2004
chl,70.2,2005
chl,71.1,2006
chl,72.1,2007
col,66.1,1991
col,67.7,1992
col,68.4,1993
col,69.6,1994
col,66.2,1995
col,66.5,1996
col,64.9,1997
col,64.1,1998
col,61.4,1999
col,60.9,2000
col,49.3,2001
col,49.6,2002
col,49.8,2003
col,48.8,2004
col,46.0,2005
col,53.0,2006
col,54.3,2007
cri,75.3,1980
cri,75.4,1981
cri,74.3,1982
cri,74.3,1983
cri,76.0,1984
cri,74.2,1985
cri,75.2,1986
cri,70.4,1987
cri,70.7,1988
cri,70.7,1989
cri,70.0,1990
cri,69.7,1991
cri,71.9,1992
cri,71.9,1993
cri,71.9,1994
cri,71.4,1995
cri,71.2,1996
cri,69.9,1997
cri,70.9,1998
cri,71.0,1999
cri,70.8,2000
cri,68.8,2001
cri,68.3,2002
cri,69.5,2003
cri,68.8,2004
cri,71.4,2005
cri,70.7,2006
cri,73.0,2007
hrv,71.4,1996
hrv,74.1,1997
hrv,75.3,1998
hrv,75.2,1999
hrv,76.1,2000
hrv,75.7,2001
hrv,76.4,2002
hrv,75.8,2003
hrv,76.5,2004
hrv,75.1,2005
hrv,77.0,2006
hrv,78.4,2007
cub,91.8,1981
cub,84.0,1995
cub,84.3,1996
cub,83.6,1997
cub,82.7,1998
cub,81.5,1999
cub,81.0,2000
cub,80.1,2001
cub,80.2,2002
cub,79.7,2003
cub,79.8,2004
cub,80.4,2005
cub,82.0,2006
cub,83.1,2007
cyp,73.7,1999
cyp,73.0,2000
cyp,76.3,2001
cyp,77.0,2002
cyp,76.3,2003
cyp,76.5,2004
cyp,76.8,2005
cyp,78.5,2006
cyp,79.7,2007
cze,87.0,1993
cze,86.8,1994
cze,86.1,1995
cze,86.0,1996
cze,86.1,1997
cze,85.0,1998
cze,84.5,1999
cze,83.9,2000
cze,84.0,2001
cze,83.2,2002
cze,82.3,2003
cze,82.6,2004
cze,83.5,2005
cze,83.5,2006
cze,83.5,2007
dnk,85.4,1981
dnk,85.3,1983
dnk,87.0,1984
dnk,87.6,1985
dnk,88.4,1986
dnk,88.3,1987
dnk,88.9,1988
dnk,88.8,1989
dnk,88.3,1990
dnk,89.1,1991
dnk,89.0,1992
dnk,89.1,1993
dnk,90.0,1994
dnk,90.5,1995
dnk,90.6,1996
dnk,91.1,1997
dnk,90.8,1998
dnk,90.9,1999
dnk,91.4,2000
dnk,91.2,2001
dnk,91.0,2002
dnk,91.2,2003
dnk,91.4,2004
dnk,91.4,2005
dnk,91.2,2006
dnk,91.2,2007
dji,75.8,1991
dma,61.5,1991
dma,65.7,1997
dma,58.9,1999
dma,68.3,2001
dom,57.4,1991
dom,55.7,1992
dom,57.7,1993
dom,60.2,1994
dom,58.3,1995
dom,59.4,1996
dom,53.9,1997
dom,53.2,1998
dom,52.0,1999
dom,56.3,2000
dom,54.9,2001
dom,53.9,2002
dom,54.1,2003
dom,55.1,2004
dom,52.7,2005
ecu,56.6,1988
ecu,55.6,1989
ecu,54.4,1990
ecu,54.5,1991
ecu,51.7,1992
ecu,52.2,1993
ecu,53.3,1994
ecu,53.4,1995
ecu,52.5,1996
ecu,54.2,1997
ecu,53.1,1998
ecu,59.3,1999
ecu,59.5,2000
ecu,59.4,2001
ecu,58.4,2002
ecu,61.3,2003
ecu,58.2,2004
ecu,60.1,2005
ecu,59.7,2006
egy,55.8,1993
egy,56.4,1994
egy,57.1,1995
egy,69.7,1996
egy,60.0,1997
egy,59.8,1998
egy,61.1,1999
egy,59.9,2000
egy,61.5,2001
egy,60.2,2002
egy,57.9,2003
egy,56.5,2004
egy,60.0,2005
egy,61.8,2006
slv,57.0,1993
slv,54.8,1994
slv,52.2,1995
slv,51.9,1996
slv,52.7,1997
slv,58.7,1998
slv,60.2,1999
slv,52.1,2000
slv,51.7,2001
slv,51.0,2002
slv,53.5,2003
slv,54.9,2004
slv,52.1,2005
slv,54.7,2006
gnq,21.1,1983
eri,78.3,1996
est,97.6,1989
est,96.7,1990
est,95.7,1991
est,93.8,1992
est,91.7,1993
est,90.9,1994
est,93.1,1995
est,92.5,1996
est,92.0,1997
est,91.4,1998
est,91.4,1999
est,91.0,2000
est,91.7,2001
est,91.9,2002
est,91.1,2003
est,90.3,2004
est,91.9,2005
est,92.0,2006
est,91.1,2007
eth,8.2,1999
eth,49.5,2004
eth,7.9,2005
eth,46.3,2006
fji,58.6,2005
fin,82.8,1980
fin,83.4,1981
fin,83.7,1982
fin,83.8,1983
fin,84.2,1984
