geo,government_health_spending_of_total_gov_spending_percent,time
afg,1.475,2002
afg,1.475,2003
afg,1.475,2004
afg,1.475,2005
afg,1.475,2006
afg,1.475,2007
afg,1.475,2008
afg,1.578,2009
afg,1.587,2010
alb,5.262,1995
alb,6.336,1996
alb,6.475,1997
alb,6.1,1998
alb,7.185,1999
alb,7.027,2000
alb,7.241,2001
alb,7.322,2002
alb,7.643,2003
alb,9.231,2004
alb,9.785,2005
alb,9.055,2006
alb,8.462,2007
alb,8.206,2008
alb,8.423,2009
alb,8.423,2010
dza,10.03,1995
dza,10.08,1996
dza,9.754,1997
dza,9.611,1998
dza,9.438,1999
dza,8.955,2000
dza,9.509,2001
dza,8.738,2002
dza,9.147,2003
dza,7.803,2004
dza,8.138,2005
dza,8.073,2006
dza,8.216,2007
dza,7.842,2008
dza,8.604,2009
dza,8.117,2010
and,23.56,1995
and,23.84,1996
and,23.24,1997
and,28.7,1998
and,20.78,1999
and,19.08,2000
and,19.24,2001
and,19.99,2002
and,21.98,2003
and,22.7,2004
and,22.01,2005
and,22.75,2006
and,21.25,2007
and,21.25,2008
and,21.25,2009
and,21.25,2010
ago,5.0,1995
ago,2.682,1996
ago,3.574,1997
ago,3.152,1998
ago,1.764,1999
ago,3.258,2000
ago,6.057,2001
ago,3.736,2002
ago,4.827,2003
ago,4.122,2004
ago,4.384,2005
ago,6.061,2006
ago,5.747,2007
ago,6.403,2008
ago,10.05,2009
ago,7.185,2010
atg,12.9,1995
atg,12.0,1996
atg,12.0,1997
atg,12.0,1998
atg,11.85,1999
atg,12.06,2000
atg,9.369,2001
atg,8.82,2002
atg,9.836,2003
atg,10.62,2004
atg,10.2,2005
atg,8.751,2006
atg,9.675,2007
atg,10.07,2008
atg,7.959,2009
atg,16.74,2010
arg,15.3,1995
arg,15.17,1996
arg,15.01,1997
arg,14.95,1998
arg,15.06,1999
arg,14.71,2000
arg,14.3,2001
arg,15.26,2002
arg,14.78,2003
arg,15.17,2004
arg,14.34,2005
arg,14.45,2006
arg,13.91,2007
arg,13.79,2008
arg,14.65,2009
arg,14.65,2010
arm,8.304,1995
arm,8.435,1996
arm,7.707,1997
arm,7.681,1998
arm,6.873,1999
arm,4.611,2000
arm,6.73,2001
arm,6.187,2002
arm,6.757,2003
arm,6.758,2004
arm,6.789,2005
arm,7.422,2006
arm,6.806,2007
arm,7.243,2008
arm,6.618,2009
arm,6.422,2010
aus,13.08,1995
aus,13.6,1996
aus,14.51,1997
aus,14.54,1998
aus,15.41,1999
aus,15.11,2000
aus,15.37,2001
aus,16.27,2002
aus,15.92,2003
aus,16.52,2004
aus,16.71,2005
aus,16.82,2006
aus,17.2,2007
aus,16.84,2008
aus,16.84,2009
aus,16.84,2010
aut,12.5,1995
aut,12.45,1996
aut,13.83,1997
aut,14.05,1998
aut,14.44,1999
aut,14.65,2000
aut,14.85,2001
aut,15.01,2002
aut,15.03,2003
aut,14.54,2004
aut,15.74,2005
aut,15.74,2006
aut,16.02,2007
aut,16.22,2008
aut,16.19,2009
aut,16.19,2010
aze,6.933,1995
aze,8.426,1996
aze,6.591,1997
aze,5.886,1998
aze,5.71,1999
aze,5.354,2000
aze,5.573,2001
aze,5.151,2002
aze,4.803,2003
aze,5.921,2004
aze,5.153,2005
aze,4.274,2006
aze,4.568,2007
aze,3.099,2008
aze,4.538,2009
aze,4.216,2010
bhs,14.24,1995
bhs,13.91,1996
bhs,13.72,1997
bhs,13.84,1998
bhs,14.41,1999
bhs,14.53,2000
bhs,13.55,2001
bhs,14.64,2002
bhs,14.95,2003
bhs,15.18,2004
bhs,14.67,2005
bhs,16.48,2006
bhs,15.67,2007
bhs,15.21,2008
bhs,15.25,2009
bhs,14.21,2010
bhr,11.27,1995
bhr,11.59,1996
bhr,11.19,1997
bhr,10.51,1998
bhr,11.18,1999
bhr,10.23,2000
bhr,10.26,2001
bhr,9.468,2002
bhr,9.64,2003
bhr,9.433,2004
bhr,10.04,2005
bhr,9.488,2006
bhr,9.818,2007
bhr,10.85,2008
bhr,11.41,2009
bhr,11.41,2010
bgd,8.835,1995
bgd,8.996,1996
bgd,8.744,1997
bgd,8.639,1998
bgd,8.115,1999
bgd,7.557,2000
bgd,8.074,2001
bgd,8.226,2002
bgd,7.861,2003
bgd,8.169,2004
bgd,7.461,2005
bgd,8.442,2006
bgd,8.406,2007
bgd,6.152,2008
bgd,8.007,2009
bgd,7.919,2010
brb,13.48,1995
brb,12.36,1996
brb,11.35,1997
brb,11.73,1998
brb,11.87,1999
brb,11.66,2000
brb,11.93,2001
brb,12.37,2002
brb,12.34,2003
brb,12.36,2004
brb,11.83,2005
brb,12.45,2006
brb,9.522,2007
brb,9.687,2008
brb,7.783,2009
brb,9.281,2010
blr,11.51,1995
blr,11.46,1996
blr,12.12,1997
blr,10.11,1998
blr,9.968,1999
blr,10.09,2000
blr,10.13,2001
blr,9.83,2002
blr,10.31,2003
blr,10.78,2004
blr,10.48,2005
blr,9.458,2006
blr,9.082,2007
blr,6.966,2008
blr,8.396,2009
blr,9.945,2010
bel,11.22,1995
bel,11.8,1996
bel,11.44,1997
bel,11.71,1998
bel,12.02,1999
bel,12.34,2000
bel,12.73,2001
bel,12.55,2002
