geo,government_health_spending_of_total_gov_spending_percent,time
bel,14.68,2003
bel,15.63,2004
bel,14.64,2005
bel,14.57,2006
bel,14.67,2007
bel,15.08,2008
bel,15.12,2009
bel,15.12,2010
blz,10.5,1995
blz,8.17,1996
blz,8.948,1997
blz,7.706,1998
blz,6.114,1999
blz,6.506,2000
blz,7.356,2001
blz,7.391,2002
blz,8.501,2003
blz,8.046,2004
blz,9.295,2005
blz,9.246,2006
blz,10.61,2007
blz,10.5,2008
blz,11.77,2009
blz,11.35,2010
ben,10.44,1995
ben,11.17,1996
ben,10.25,1997
ben,12.48,1998
ben,12.53,1999
ben,9.987,2000
ben,11.97,2001
ben,9.673,2002
ben,10.72,2003
ben,10.84,2004
ben,11.05,2005
ben,12.13,2006
ben,9.9,2007
ben,9.4,2008
ben,9.2,2009
ben,9.6,2010
btn,5.941,1995
btn,8.329,1996
btn,9.451,1997
btn,11.61,1998
btn,12.64,1999
btn,12.19,2000
btn,9.802,2001
btn,17.12,2002
btn,10.92,2003
btn,10.31,2004
btn,9.91,2005
btn,12.47,2006
btn,13.31,2007
btn,13.78,2008
btn,12.13,2009
btn,10.46,2010
bol,10.62,1995
bol,9.398,1996
bol,9.049,1997
bol,10.17,1998
bol,10.48,1999
bol,9.756,2000
bol,10.03,2001
bol,11.22,2002
bol,9.089,2003
bol,10.11,2004
bol,10.91,2005
bol,9.695,2006
bol,7.639,2007
bol,7.106,2008
bol,7.32,2009
bol,7.256,2010
bih,9.496,1995
bih,9.496,1996
bih,9.496,1997
bih,7.842,1998
bih,10.43,1999
bih,11.37,2000
bih,9.442,2001
bih,10.55,2002
bih,13.95,2003
bih,13.45,2004
bih,12.69,2005
bih,12.34,2006
bih,13.34,2007
bih,14.05,2008
bih,15.12,2009
bih,16.64,2010
bwa,5.529,1995
bwa,5.811,1996
bwa,6.361,1997
bwa,5.635,1998
bwa,5.785,1999
bwa,7.563,2000
bwa,9.736,2001
bwa,10.58,2002
bwa,10.05,2003
bwa,17.3,2004
bwa,16.9,2005
bwa,16.35,2006
bwa,18.4,2007
bwa,16.56,2008
bwa,16.99,2009
bwa,16.99,2010
bra,8.36,1995
bra,8.13,1996
bra,7.032,1997
bra,5.625,1998
bra,5.48,1999
bra,4.084,2000
bra,4.746,2001
bra,5.003,2002
bra,4.411,2003
bra,5.147,2004
bra,4.702,2005
bra,5.147,2006
bra,5.42,2007
bra,5.729,2008
bra,5.861,2009
bra,7.08,2010
brn,4.21,1995
brn,6.076,1996
brn,5.894,1997
brn,6.464,1998
brn,6.024,1999
brn,6.255,2000
brn,6.607,2001
brn,5.603,2002
brn,7.348,2003
brn,6.858,2004
brn,6.898,2005
brn,6.668,2006
brn,6.719,2007
brn,7.259,2008
brn,7.457,2009
brn,8.467,2010
bgr,8.521,1995
bgr,7.387,1996
bgr,11.16,1997
bgr,9.517,1998
bgr,9.915,1999
bgr,9.131,2000
bgr,10.61,2001
bgr,11.74,2002
bgr,12.03,2003
bgr,11.52,2004
bgr,11.94,2005
bgr,11.42,2006
bgr,9.976,2007
bgr,10.66,2008
bgr,9.834,2009
bgr,9.834,2010
bfa,9.052,1995
bfa,11.13,1996
bfa,9.142,1997
bfa,9.806,1998
bfa,9.313,1999
bfa,8.763,2000
bfa,9.812,2001
bfa,11.94,2002
bfa,12.52,2003
bfa,15.34,2004
bfa,18.66,2005
bfa,16.21,2006
bfa,14.85,2007
bfa,16.26,2008
bfa,13.56,2009
bfa,13.49,2010
bdi,7.007,1995
bdi,7.007,1996
bdi,7.007,1997
bdi,7.007,1998
bdi,6.375,1999
bdi,7.455,2000
bdi,8.292,2001
bdi,8.234,2002
bdi,5.432,2003
bdi,9.154,2004
bdi,11.56,2005
bdi,13.15,2006
bdi,11.78,2007
bdi,8.159,2008
bdi,8.142,2009
bdi,8.142,2010
khm,7.052,1995
khm,16.93,1996
khm,15.27,1997
khm,9.397,1998
khm,8.24,1999
khm,8.731,2000
khm,10.37,2001
khm,11.16,2002
khm,14.78,2003
khm,16.52,2004
khm,11.64,2005
khm,10.54,2006
khm,11.07,2007
khm,10.62,2008
khm,9.814,2009
khm,10.48,2010
cmr,6.104,1995
cmr,5.928,1996
cmr,6.573,1997
cmr,4.855,1998
cmr,5.029,1999
cmr,6.088,2000
cmr,6.786,2001
cmr,7.942,2002
cmr,8.205,2003
cmr,7.073,2004
cmr,7.668,2005
cmr,7.406,2006
cmr,6.768,2007
cmr,5.574,2008
cmr,7.336,2009
cmr,8.533,2010
can,13.28,1995
can,13.4,1996
can,13.91,1997
can,14.24,1998
can,14.59,1999
can,15.14,2000
can,15.53,2001
can,16.19,2002
can,16.66,2003
can,17.2,2004
can,17.58,2005
can,17.63,2006
can,17.91,2007
can,18.05,2008
can,18.14,2009
can,18.06,2010
cpv,7.894,1995
cpv,7.954,1996
cpv,8.788,1997
cpv,10.24,1998
cpv,9.008,1999
cpv,9.567,2000
cpv,11.56,2001
cpv,10.98,2002
cpv,10.66,2003
cpv,12.73,2004
cpv,10.03,2005
cpv,10.96,2006
cpv,10.78,2007
cpv,10.12,2008
cpv,9.727,2009
cpv,10.11,2010
caf,7.0,1995
caf,10.0,1996
caf,9.0,1997
caf,5.826,1998
caf,6.689,1999
caf,10.05,2000
caf,11.46,2001
caf,10.24,2002
caf,12.5,2003
caf,10.96,2004
caf,7.79,2005
caf,9.41,2006
caf,10.4,2007
caf,8.452,2008
caf,8.452,2009
caf,8.452,2010
tcd,11.08,1995
tcd,11.08,1996
tcd,11.08,1997
tcd,11.08,1998
tcd,11.87,1999
tcd,13.13,2000
tcd,13.77,2001
tcd,11.96,2002
tcd,13.08,2003
tcd,10.26,2004
tcd,13.42,2005
tcd,7.289,2006
tcd,4.627,2007
tcd,3.268,2008
tcd,3.268,2009
tcd,3.268,2010
chl,12.69,1995
chl,12.75,1996
chl,13.0,1997
chl,13.56,1998
chl,13.36,1999
chl,14.12,2000
chl,14.85,2001
chl,15.01,2002
chl,12.45,2003
chl,12.91,2004
chl,13.04,2005
chl,14.03,2006
chl,15.93,2007
chl,15.61,2008
chl,16.19,2009
chl,16.34,2010
chn,15.22,1995
chn,14.56,1996
chn,13.93,1997
chn,12.95,1998
chn,11.74,1999
chn,10.86,2000
chn,9.339,2001
chn,9.408,2002
chn,9.676,2003
chn,10.12,2004
chn,9.894,2005
chn,9.9,2006
chn,10.91,2007
chn,11.6,2008
chn,12.07,2009
chn,12.07,2010
col,19.92,1995
col,22.88,1996
col,24.57,1997
col,24.89,1998
col,23.15,1999
col,21.41,2000
col,18.55,2001
col,18.98,2002
col,20.51,2003
col,19.8,2004
col,18.98,2005
col,18.81,2006
col,18.81,2007
col,18.81,2008
col,19.31,2009
col,20.15,2010
com,8.179,1995
com,8.138,1996
com,8.849,1997
com,8.595,1998
com,10.53,1999
com,9.32,2000
com,4.981,2001
com,6.794,2002
com,8.281,2003
com,10.17,2004
com,11.25,2005
com,11.88,2006
com,12.49,2007
com,11.73,2008
com,7.323,2009
com,13.09,2010
cod,2.164,1995
cod,1.621,1996
cod,2.446,1997
cod,2.024,1998
cod,2.602,1999
cod,1.785,2000
cod,2.794,2001
cod,2.441,2002
cod,10.74,2003
cod,5.969,2004
cod,7.41,2005
cod,7.067,2006
cod,8.474,2007
cod,12.66,2008
cod,12.48,2009
cod,9.111,2010
cog,5.701,1995
cog,5.773,1996
cog,4.618,1997
cog,4.996,1998
cog,5.344,1999
cog,4.778,2000
cog,4.216,2001
cog,3.625,2002
cog,4.349,2003
cog,5.11,2004
cog,6.168,2005
cog,5.445,2006
cog,5.294,2007
cog,5.294,2008
cog,5.294,2009
cog,5.294,2010
cok,9.924,1995
cok,8.873,1996
cok,8.378,1997
cok,9.224,1998
cok,9.051,1999
cok,9.907,2000
cok,13.03,2001
cok,9.86,2002
cok,11.73,2003
cok,11.24,2004
cok,13.21,2005
cok,11.3,2006
cok,12.44,2007
cok,12.5,2008
cok,11.57,2009
cok,11.93,2010
cri,20.86,1995
cri,21.71,1996
cri,20.27,1997
cri,21.37,1998
cri,20.95,1999
cri,21.67,2000
cri,21.36,2001
cri,22.22,2002
cri,22.78,2003
cri,23.13,2004
cri,20.99,2005
cri,22.06,2006
cri,24.63,2007
cri,26.09,2008
cri,30.61,2009
cri,28.99,2010
civ,4.74,1995
civ,5.894,1996
civ,6.633,1997
civ,6.51,1998
civ,6.508,1999
civ,7.246,2000
civ,5.624,2001
civ,5.214,2002
civ,4.837,2003
civ,5.263,2004
civ,4.498,2005
civ,4.939,2006
civ,6.598,2007
civ,6.541,2008
civ,5.075,2009
civ,5.064,2010
hrv,14.26,1995
hrv,14.54,1996
hrv,11.76,1997
hrv,12.88,1998
hrv,13.47,1999
hrv,14.46,2000
hrv,13.78,2001
hrv,11.97,2002
hrv,13.96,2003
hrv,14.14,2004
hrv,15.94,2005
hrv,16.36,2006
hrv,17.58,2007
hrv,17.66,2008
hrv,17.66,2009
hrv,17.66,2010
cub,8.024,1995
cub,9.287,1996
cub,9.99,1997
cub,10.3,1998
cub,11.07,1999
cub,10.8,2000
cub,11.39,2001
cub,11.18,2002
cub,10.89,2003
cub,10.32,2004
cub,11.67,2005
cub,11.21,2006
cub,14.48,2007
cub,13.18,2008
cub,14.93,2009
cub,13.87,2010
cyp,5.081,1995
cyp,5.016,1996
cyp,5.345,1997
cyp,6.376,1998
cyp,6.512,1999
cyp,6.483,2000
cyp,6.452,2001
cyp,6.886,2002
cyp,6.918,2003
cyp,6.633,2004
cyp,6.175,2005
cyp,6.257,2006
cyp,6.238,2007
cyp,5.94,2008
cyp,5.507,2009
cyp,5.343,2010
cze,11.48,1995
cze,13.95,1996
cze,13.57,1997
cze,13.51,1998
cze,13.61,1999
cze,13.69,2000
cze,13.13,2001
cze,13.49,2002
cze,12.81,2003
cze,14.22,2004
cze,14.08,2005
cze,13.83,2006
cze,13.54,2007
cze,13.68,2008
cze,14.94,2009
cze,14.94,2010
dnk,11.31,1995
dnk,11.49,1996
dnk,11.83,1997
dnk,11.88,1998
dnk,13.55,1999
dnk,13.59,2000
dnk,14.14,2001
dnk,14.45,2002
dnk,14.6,2003
dnk,14.94,2004
dnk,15.63,2005
dnk,16.28,2006
dnk,16.56,2007
dnk,16.71,2008
dnk,16.8,2009
dnk,16.8,2010
dji,6.244,1995
dji,6.728,1996
dji,7.819,1997
dji,10.49,1998
dji,13.33,1999
dji,11.97,2000
dji,11.85,2001
dji,10.75,2002
dji,11.49,2003
dji,9.299,2004
dji,13.68,2005
dji,12.57,2006
dji,14.15,2007
dji,14.15,2008
dji,14.15,2009
dji,14.15,2010
dma,11.95,1995
dma,10.69,1996
dma,10.76,1997
dma,8.953,1998
dma,8.448,1999
dma,6.64,2000
dma,8.501,2001
dma,9.094,2002
dma,7.895,2003
dma,8.216,2004
dma,7.94,2005
dma,10.67,2006
dma,8.242,2007
dma,8.681,2008
dma,8.303,2009
dma,10.5,2010
dom,10.68,1995
dom,10.97,1996
dom,11.82,1997
dom,13.82,1998
dom,14.09,1999
dom,15.86,2000
dom,11.88,2001
dom,12.19,2002
dom,12.98,2003
dom,8.302,2004
dom,9.162,2005
dom,10.41,2006
dom,9.637,2007
dom,9.422,2008
dom,12.45,2009
dom,13.96,2010
ecu,9.62,1995
ecu,11.07,1996
ecu,10.42,1997
ecu,9.287,1998
ecu,9.819,1999
ecu,6.399,2000
ecu,8.483,2001
ecu,9.728,2002
ecu,6.739,2003
ecu,5.576,2004
ecu,5.626,2005
ecu,5.07,2006
ecu,5.447,2007
ecu,4.627,2008
ecu,7.746,2009
ecu,7.324,2010
egy,5.337,1995
egy,5.455,1996
egy,6.28,1997
egy,8.072,1998
egy,7.202,1999
egy,7.338,2000
egy,7.695,2001
egy,7.605,2002
egy,7.298,2003
egy,7.007,2004
egy,6.726,2005
egy,6.441,2006
egy,6.198,2007
egy,5.944,2008
egy,5.557,2009
egy,5.742,2010
slv,13.47,1995
slv,13.91,1996
slv,13.86,1997
slv,14.13,1998
slv,13.71,1999
slv,14.34,2000
slv,13.45,2001
slv,11.24,2002
slv,14.64,2003
slv,14.84,2004
slv,15.3,2005
slv,15.78,2006
slv,15.48,2007
slv,11.81,2008
slv,12.25,2009
slv,13.3,2010
gnq,13.68,1995
gnq,9.909,1996
gnq,10.42,1997
gnq,8.281,1998
gnq,7.391,1999
gnq,7.831,2000
gnq,9.754,2001
gnq,26.9,2002
gnq,7.471,2003
gnq,6.957,2004
gnq,6.957,2005
gnq,6.957,2006
gnq,6.957,2007
gnq,6.957,2008
gnq,6.957,2009
gnq,6.957,2010
eri,2.985,1995
eri,2.204,1996
eri,3.422,1997
eri,2.409,1998
eri,2.051,1999
eri,3.694,2000
eri,4.581,2001
eri,3.94,2002
eri,3.983,2003
eri,4.247,2004
eri,2.458,2005
eri,3.556,2006
eri,3.595,2007
eri,3.595,2008
eri,3.595,2009
eri,3.595,2010
est,13.74,1995
est,14.73,1996
est,14.75,1997
est,12.24,1998
est,11.82,1999
est,11.34,2000
est,10.97,2001
est,10.45,2002
est,11.04,2003
est,11.42,2004
est,11.47,2005
est,10.94,2006
est,11.48,2007
est,11.89,2008
est,11.68,2009
est,11.68,2010
eth,6.332,1995
eth,6.358,1996
eth,7.2,1997
eth,7.831,1998
eth,6.992,1999
eth,8.511,2000
eth,9.782,2001
eth,10.16,2002
eth,10.52,2003
eth,9.952,2004
eth,10.29,2005
eth,9.971,2006
eth,12.68,2007
eth,11.47,2008
eth,13.33,2009
eth,13.46,2010
fji,9.482,1995
fji,8.999,1996
fji,8.702,1997
fji,7.322,1998
fji,8.389,1999
fji,11.33,2000
fji,8.352,2001
fji,9.12,2002
fji,8.966,2003
fji,10.32,2004
fji,10.73,2005
fji,10.2,2006
fji,10.12,2007
fji,10.88,2008
fji,10.29,2009
fji,9.399,2010
fin,9.146,1995
fin,9.562,1996
fin,9.821,1997
fin,10.05,1998
fin,10.17,1999
fin,10.63,2000
fin,11.13,2001
fin,11.54,2002
fin,12.07,2003
fin,12.25,2004
fin,12.61,2005
fin,12.68,2006
fin,12.61,2007
fin,12.54,2008
fin,12.1,2009
fin,12.15,2010
fra,15.17,1995
fra,15.15,1996
fra,15.07,1997
fra,15.29,1998
fra,15.34,1999
fra,15.49,2000
fra,15.69,2001
fra,15.91,2002
fra,16.16,2003
fra,16.33,2004
fra,16.41,2005
fra,16.49,2006
fra,16.49,2007
fra,16.32,2008
fra,16.34,2009
fra,16.34,2010
gab,4.689,1995
gab,5.766,1996
gab,3.202,1997
gab,2.928,1998
gab,3.923,1999
gab,4.807,2000
gab,4.053,2001
gab,4.516,2002
gab,6.525,2003
gab,6.596,2004
gab,4.731,2005
gab,5.052,2006
gab,5.612,2007
gab,5.132,2008
gab,6.634,2009
gab,6.634,2010
gmb,5.862,1995
gmb,5.145,1996
gmb,5.719,1997
gmb,8.847,1998
gmb,8.853,1999
gmb,8.828,2000
gmb,7.001,2001
gmb,8.663,2002
gmb,12.87,2003
gmb,11.66,2004
gmb,11.28,2005
gmb,11.28,2006
gmb,11.28,2007
gmb,11.28,2008
gmb,11.28,2009
gmb,11.28,2010
geo,2.477,1995
geo,4.517,1996
geo,6.518,1997
geo,5.892,1998
geo,5.478,1999
geo,6.915,2000
geo,7.777,2001
geo,7.773,2002
geo,7.063,2003
geo,5.598,2004
geo,6.15,2005
geo,5.876,2006
geo,4.256,2007
geo,4.78,2008
geo,6.071,2009
geo,6.87,2010
deu,15.01,1995
deu,17.41,1996
deu,17.17,1997
deu,17.13,1998
deu,17.15,1999
deu,18.33,2000
deu,17.5,2001
deu,17.68,2002
deu,17.68,2003
deu,17.4,2004
deu,17.66,2005
deu,17.92,2006
deu,18.39,2007
deu,18.58,2008
deu,18.73,2009
deu,18.73,2010
gha,9.91,1995
gha,9.915,1996
gha,10.02,1997
gha,10.12,1998
gha,10.1,1999
gha,8.33,2000
gha,9.761,2001
gha,9.045,2002
gha,8.67,2003
gha,11.57,2004
gha,15.25,2005
gha,14.86,2006
gha,15.44,2007
gha,12.22,2008
gha,12.43,2009
gha,12.07,2010
grc,9.771,1995
grc,10.28,1996
grc,9.938,1997
grc,9.83,1998
grc,10.37,1999
grc,10.13,2000
grc,11.81,2001
grc,11.7,2002
grc,11.94,2003
grc,11.28,2004
grc,13.02,2005
grc,13.36,2006
grc,12.46,2007
grc,12.01,2008
grc,12.12,2009
grc,12.12,2010
grd,11.74,1995
grd,9.263,1996
grd,9.243,1997
grd,9.521,1998
grd,11.77,1999
grd,13.23,2000
grd,15.08,2001
grd,9.706,2002
grd,10.35,2003
grd,8.548,2004
grd,8.957,2005
grd,9.898,2006
grd,10.18,2007
grd,8.837,2008
grd,9.451,2009
grd,8.207,2010
gtm,12.59,1995
gtm,12.49,1996
gtm,12.72,1997
gtm,15.25,1998
gtm,16.41,1999
gtm,16.6,2000
gtm,15.83,2001
gtm,15.16,2002
gtm,14.77,2003
gtm,15.32,2004
gtm,14.92,2005
gtm,15.35,2006
gtm,15.93,2007
gtm,16.63,2008
gtm,17.19,2009
gtm,15.78,2010
gin,6.417,1995
gin,6.422,1996
gin,6.422,1997
gin,6.422,1998
gin,6.422,1999
gin,6.422,2000
gin,6.391,2001
gin,6.053,2002
gin,6.811,2003
gin,5.005,2004
gin,3.539,2005
gin,4.041,2006
gin,2.919,2007
gin,4.407,2008
gin,1.837,2009
gin,1.837,2010
gnb,9.178,1995
gnb,6.146,1996
gnb,5.06,1997
gnb,8.901,1998
gnb,4.646,1999
gnb,2.253,2000
gnb,2.203,2001
gnb,7.675,2002
gnb,6.906,2003
gnb,3.437,2004
gnb,4.04,2005
gnb,4.139,2006
gnb,4.139,2007
gnb,4.142,2008
gnb,4.131,2009
gnb,4.139,2010
guy,9.628,1995
guy,9.332,1996
guy,9.559,1997
guy,10.0,1998
guy,10.0,1999
guy,9.985,2000
guy,10.0,2001
guy,10.74,2002
guy,9.92,2003
guy,12.51,2004
guy,11.18,2005
guy,11.34,2006
guy,10.02,2007
guy,18.15,2008
guy,17.29,2009
guy,14.93,2010
hti,23.58,1995
hti,20.31,1996
hti,20.2,1997
hti,16.82,1998
hti,14.86,1999
hti,16.01,2000
hti,14.69,2001
hti,10.81,2002
hti,8.205,2003
hti,8.564,2004
hti,8.193,2005
hti,7.318,2006
hti,9.22,2007
hti,9.458,2008
hti,5.959,2009
hti,4.506,2010
hnd,13.36,1995
hnd,12.19,1996
hnd,11.87,1997
hnd,14.34,1998
hnd,12.29,1999
hnd,18.1,2000
hnd,17.15,2001
hnd,19.19,2002
hnd,23.44,2003
hnd,20.88,2004
hnd,18.76,2005
hnd,17.23,2006
hnd,16.93,2007
hnd,15.45,2008
hnd,17.69,2009
hun,11.02,1995
hun,11.25,1996
hun,11.12,1997
hun,10.48,1998
hun,10.77,1999
hun,10.63,2000
hun,10.44,2001
hun,10.35,2002
hun,12.27,2003
hun,11.89,2004
hun,12.0,2005
hun,11.31,2006
hun,10.5,2007
hun,10.5,2008
hun,10.28,2009
hun,10.28,2010
isl,16.66,1995
isl,16.46,1996
isl,20.11,1997
isl,17.89,1998
isl,20.08,1999
isl,18.95,2000
isl,18.25,2001
isl,19.35,2002
isl,19.0,2003
isl,18.54,2004
isl,18.57,2005
isl,18.33,2006
isl,18.27,2007
isl,13.36,2008
isl,15.71,2009
isl,14.74,2010
ind,3.583,1995
ind,3.497,1996
ind,3.62,1997
ind,3.606,1998
ind,3.698,1999
ind,3.557,2000
ind,3.395,2001
ind,3.086,2002
ind,2.914,2003
ind,2.964,2004
ind,3.403,2005
ind,3.431,2006
ind,3.427,2007
ind,3.616,2008
ind,3.746,2009
ind,3.563,2010
idn,4.754,1995
idn,4.708,1996
idn,3.887,1997
idn,3.927,1998
idn,3.744,1999
idn,4.47,2000
idn,4.646,2001
idn,4.734,2002
idn,5.43,2003
idn,5.024,2004
idn,4.967,2005
idn,5.185,2006
idn,6.492,2007
idn,5.733,2008
idn,6.837,2009
idn,7.752,2010
irn,6.87,1995
irn,6.885,1996
irn,8.463,1997
irn,9.017,1998
irn,8.385,1999
irn,8.407,2000
irn,9.761,2001
irn,9.566,2002
irn,9.288,2003
irn,9.269,2004
irn,8.889,2005
irn,8.583,2006
irn,10.53,2007
irn,10.53,2008
irn,10.53,2009
irn,10.53,2010
irq,0.13,1996
irq,0.13,1997
irq,0.1,1998
irq,0.1,1999
irq,0.1,2000
irq,0.15,2001
irq,0.1,2002
irq,4.41,2003
irq,3.407,2004
irq,3.34,2005
irq,3.094,2006
irq,4.515,2007
irq,4.968,2008
irq,7.026,2009
irq,8.979,2010
irl,11.65,1995
irl,11.83,1996
irl,12.86,1997
irl,13.25,1998
irl,13.34,1999
irl,14.66,2000
irl,15.35,2001
irl,16.05,2002
irl,16.86,2003
irl,17.33,2004
irl,17.23,2005
irl,16.76,2006
irl,16.05,2007
irl,15.84,2008
irl,14.47,2009
irl,9.515,2010
isr,9.695,1995
isr,9.977,1996
isr,10.22,1997
isr,9.686,1998
isr,9.577,1999
isr,9.696,2000
isr,9.738,2001
isr,9.627,2002
isr,9.397,2003
isr,9.725,2004
isr,9.953,2005
isr,9.776,2006
isr,9.821,2007
isr,10.2,2008
isr,10.4,2009
isr,10.4,2010
ita,9.785,1995
ita,9.928,1996
ita,10.8,1997
ita,11.05,1998
ita,11.45,1999
ita,12.67,2000
ita,12.78,2001
ita,13.12,2002
ita,12.87,2003
ita,13.77,2004
ita,14.15,2005
ita,14.18,2006
ita,13.88,2007
ita,14.36,2008
ita,14.23,2009
ita,14.71,2010
jam,5.412,1995
jam,5.946,1996
jam,7.715,1997
jam,7.361,1998
jam,5.618,1999
jam,6.586,2000
jam,4.261,2001
jam,5.868,2002
jam,4.495,2003
jam,5.168,2004
jam,3.524,2005
jam,4.497,2006
jam,5.537,2007
jam,6.447,2008
jam,5.386,2009
jam,6.276,2010
jpn,15.61,1995
jpn,15.8,1996
jpn,15.9,1997
jpn,15.76,1998
jpn,15.79,1999
jpn,15.95,2000
jpn,16.74,2001
jpn,16.71,2002
jpn,17.01,2003
jpn,17.63,2004
jpn,17.58,2005
jpn,17.78,2006
jpn,18.09,2007
jpn,18.4,2008
jpn,18.4,2009
jpn,18.4,2010
jor,14.3,1995
jor,14.31,1996
jor,14.23,1997
jor,14.24,1998
jor,11.87,1999
jor,10.91,2000
jor,10.93,2001
jor,11.17,2002
jor,9.586,2003
jor,10.16,2004
jor,11.6,2005
jor,12.07,2006
jor,13.35,2007
jor,15.59,2008
jor,18.62,2009
jor,18.61,2010
kaz,11.51,1995
kaz,13.95,1996
kaz,14.69,1997
