coal_consumption_total,geo,time
70000,dza,1965
68000,dza,1966
52000,dza,1967
55000,dza,1968
70000,dza,1969
83000,dza,1970
30000,dza,1971
30000,dza,1972
30000,dza,1973
30000,dza,1974
30000,dza,1975
30000,dza,1976
61000,dza,1977
30000,dza,1978
72000,dza,1979
57000,dza,1980
168000,dza,1981
857000,dza,1982
731000,dza,1983
754000,dza,1984
754000,dza,1985
918000,dza,1986
993000,dza,1987
1002000,dza,1988
904000,dza,1989
626000,dza,1990
711000,dza,1991
603000,dza,1992
601000,dza,1993
594000,dza,1994
573000,dza,1995
483000,dza,1996
333000,dza,1997
505000,dza,1998
530000,dza,1999
464000,dza,2000
500000,dza,2001
598000,dza,2002
599000,dza,2003
607000,dza,2004
552000,dza,2005
583000,dza,2006
578000,dza,2007
578000,dza,2008
192000,dza,2009
875000,arg,1965
893000,arg,1966
911000,arg,1967
930000,arg,1968
949000,arg,1969
968000,arg,1970
938000,arg,1971
890000,arg,1972
904000,arg,1973
1062000,arg,1974
1124000,arg,1975
1064000,arg,1976
996000,arg,1977
1099000,arg,1978
1115000,arg,1979
945000,arg,1980
921000,arg,1981
1023000,arg,1982
719000,arg,1983
707000,arg,1984
885000,arg,1985
982000,arg,1986
1037000,arg,1987
1105000,arg,1988
1108000,arg,1989
956000,arg,1990
820000,arg,1991
814000,arg,1992
738000,arg,1993
1040000,arg,1994
927000,arg,1995
883000,arg,1996
820000,arg,1997
835000,arg,1998
877000,arg,1999
779000,arg,2000
637000,arg,2001
538000,arg,2002
652000,arg,2003
753000,arg,2004
949000,arg,2005
255000,arg,2006
381000,arg,2007
1137000,arg,2008
1158000,arg,2009
976000,arg,2010
1080000,arg,2011
16010000,aus,1965
16600000,aus,1966
17090000,aus,1967
17530000,aus,1968
17990000,aus,1969
18040000,aus,1970
17950000,aus,1971
18690000,aus,1972
19600000,aus,1973
20700000,aus,1974
21600000,aus,1975
22460000,aus,1976
23440000,aus,1977
23970000,aus,1978
25010000,aus,1979
26090000,aus,1980
26830000,aus,1981
26770000,aus,1982
26500000,aus,1983
28140000,aus,1984
29570000,aus,1985
30840000,aus,1986
32360000,aus,1987
34340000,aus,1988
35910000,aus,1989
36480000,aus,1990
37420000,aus,1991
37870000,aus,1992
38170000,aus,1993
38980000,aus,1994
40350000,aus,1995
42030000,aus,1996
44110000,aus,1997
45770000,aus,1998
45990000,aus,1999
46700000,aus,2000
48220000,aus,2001
51050000,aus,2002
49370000,aus,2003
50780000,aus,2004
53540000,aus,2005
56030000,aus,2006
54140000,aus,2007
54610000,aus,2008
54470000,aus,2009
43850000,aus,2010
49810000,aus,2011
4691000,aut,1965
4394000,aut,1966
4027000,aut,1967
4013000,aut,1968
3807000,aut,1969
3974000,aut,1970
3472000,aut,1971
3555000,aut,1972
3550000,aut,1973
3425000,aut,1974
3247000,aut,1975
3147000,aut,1976
2887000,aut,1977
2814000,aut,1978
3075000,aut,1979
3265000,aut,1980
3080000,aut,1981
3035000,aut,1982
3127000,aut,1983
3603000,aut,1984
3473000,aut,1985
3228000,aut,1986
3295000,aut,1987
3039000,aut,1988
3116000,aut,1989
3593000,aut,1990
3600000,aut,1991
2802000,aut,1992
2433000,aut,1993
2452000,aut,1994
2771000,aut,1995
2967000,aut,1996
3085000,aut,1997
2752000,aut,1998
2781000,aut,1999
2831000,aut,2000
3080000,aut,2001
2984000,aut,2002
3308000,aut,2003
3261000,aut,2004
3059000,aut,2005
3082000,aut,2006
2968000,aut,2007
2803000,aut,2008
2270000,aut,2009
2579000,aut,2010
2475000,aut,2011
92000,aze,1985
92000,aze,1986
92000,aze,1987
92000,aze,1988
92000,aze,1989
89000,aze,1990
67000,aze,1991
30000,aze,1992
30000,aze,1993
30000,aze,1994
30000,aze,1995
30000,aze,1996
30000,aze,1997
30000,aze,2001
30000,aze,2002
30000,aze,2003
30000,aze,2004
30000,aze,2005
30000,aze,2006
30000,aze,2007
30000,aze,2008
30000,aze,2009
30000,aze,2010
30000,aze,2011
110000,bgd,1972
140000,bgd,1973
150000,bgd,1974
144000,bgd,1975
115000,bgd,1976
88000,bgd,1977
82000,bgd,1978
89000,bgd,1979
99000,bgd,1980
127000,bgd,1981
114000,bgd,1982
56000,bgd,1983
30000,bgd,1984
62000,bgd,1985
95000,bgd,1986
109000,bgd,1987
64000,bgd,1988
154000,bgd,1989
281000,bgd,1990
90000,bgd,1991
84000,bgd,1992
30000,bgd,1993
30000,bgd,1994
321000,bgd,1995
