geo,liver_cancer_new_cases_per_100000_women,time
afg,2.5,2002
alb,3.0,2002
dza,1.0,2002
ago,3.7,2002
arg,1.9,2002
arm,2.6,2002
aus,1.3,2002
aut,2.9,2002
aze,1.9,2002
bhs,2.0,2002
bhr,4.2,2002
bgd,1.4,2002
brb,1.9,2002
blr,1.8,2002
bel,2.1,2002
blz,9.0,2002
ben,5.6,2002
btn,1.4,2002
bol,2.7,2002
bih,3.0,2002
bwa,2.3,2002
bra,2.4,2002
brn,3.1,2002
bgr,2.5,2002
bfa,8.4,2002
bdi,8.6,2002
khm,2.5,2002
cmr,13.2,2002
can,1.11,1983
can,1.11,1984
can,1.16,1985
can,1.05,1986
can,1.14,1987
can,1.17,1988
can,1.31,1989
can,1.26,1990
can,1.07,1991
can,1.19,1992
can,1.15,1993
can,1.34,1994
can,1.26,1995
can,1.33,1996
can,1.32,1997
can,1.4,2002
cpv,5.6,2002
caf,13.4,2002
tcd,13.4,2002
chl,2.4,2002
chn,14.2,2002
col,3.1,2002
com,8.6,2002
cod,16.6,2002
cog,8.0,2002
cri,2.66,1980
cri,2.66,1981
cri,1.49,1982
cri,2.9,1983
cri,2.46,1984
cri,2.29,1985
cri,2.4,1986
cri,2.76,1987
cri,1.72,1988
cri,2.44,1989
cri,1.8,1990
cri,2.24,1991
cri,1.9,1992
cri,1.58,1993
cri,2.13,1994
cri,3.58,1995
cri,3.34,1996
cri,3.85,1997
cri,3.6,2002
civ,5.0,2002
hrv,3.6,2002
cub,3.9,2002
cyp,1.3,2002
cze,2.01,1983
cze,2.57,1984
cze,2.27,1985
cze,2.28,1986
cze,2.45,1987
cze,2.59,1988
cze,2.77,1989
cze,3.06,1990
cze,2.67,1991
cze,2.65,1992
cze,2.94,1993
cze,3.08,1994
cze,2.7,1995
cze,2.9,1996
cze,2.98,1997
cze,2.7,2002
dnk,0.44,1953
dnk,0.42,1954
dnk,0.4,1955
dnk,0.58,1956
dnk,0.56,1957
dnk,0.41,1958
dnk,0.33,1959
dnk,0.35,1960
dnk,0.47,1961
dnk,0.59,1962
dnk,0.92,1963
dnk,1.06,1964
dnk,1.05,1965
dnk,1.69,1966
dnk,1.2,1967
dnk,1.63,1968
dnk,1.49,1969
dnk,1.44,1970
dnk,1.29,1971
dnk,1.38,1972
dnk,1.51,1973
dnk,1.56,1974
dnk,1.67,1975
dnk,1.75,1976
dnk,1.89,1977
dnk,2.7,1978
dnk,2.14,1979
dnk,2.11,1980
dnk,2.31,1981
dnk,2.33,1982
dnk,2.0,1983
dnk,1.95,1984
dnk,2.38,1985
dnk,1.99,1986
dnk,2.09,1987
dnk,1.97,1988
dnk,2.32,1989
dnk,2.01,1990
dnk,1.75,1991
dnk,2.1,1992
dnk,1.99,1993
dnk,1.69,1994
dnk,1.9,1995
dnk,1.95,1996
dnk,1.49,1997
dnk,2.3,2002
dji,8.6,2002
dom,5.5,2002
ecu,6.2,2002
egy,3.3,2002
slv,4.4,2002
gnq,13.4,2002
eri,8.6,2002
est,1.89,1968
est,1.88,1969
est,1.52,1970
est,1.58,1971
est,1.4,1972
est,1.96,1973
est,1.47,1974
est,1.84,1975
est,1.27,1976
est,1.49,1977
est,1.77,1978
est,1.35,1979
est,1.58,1980
est,1.65,1981
est,2.21,1982
est,1.34,1983
est,1.64,1984
est,1.72,1985
est,1.89,1986
est,1.25,1987
est,1.96,1988
est,1.68,1989
est,1.68,1990
est,1.96,1991
est,2.02,1992
est,1.53,1993
est,1.9,1994
est,2.04,1995
est,1.6,1996
est,2.4,1997
est,2.0,2002
eth,3.9,2002
fji,1.9,2002
fin,1.02,1953
fin,1.13,1954
fin,0.79,1955
fin,0.63,1956
fin,1.56,1957
fin,1.14,1958
fin,0.91,1959
fin,0.88,1960
fin,1.05,1961
fin,1.07,1962
fin,0.79,1963
fin,0.9,1964
fin,0.65,1965
fin,1.3,1966
fin,0.79,1967
fin,1.1,1968
fin,1.38,1969
fin,1.05,1970
fin,1.65,1971
fin,1.54,1972
fin,2.07,1973
fin,1.48,1974
fin,1.77,1975
fin,1.74,1976
fin,1.66,1977
fin,2.11,1978
fin,2.42,1979
fin,1.68,1980
fin,2.11,1981
fin,1.87,1982
fin,1.74,1983
fin,1.9,1984
fin,2.27,1985
fin,1.96,1986
fin,2.52,1987
fin,1.75,1988
fin,2.38,1989
fin,1.97,1990
fin,2.06,1991
fin,2.04,1992
fin,2.1,1993
fin,1.76,1994
fin,1.37,1995
fin,1.37,1996
fin,1.37,1997
fin,1.4,2002
fra,2.2,2002
pyf,4.0,2002
gab,6.0,2002
gmb,16.9,2002
geo,4.6,2002
deu,1.5,2002
gha,5.6,2002
grc,4.9,2002
gum,3.2,2002
gtm,4.9,2002
gin,11.8,2002
gnb,5.6,2002
guy,0.2,2002
hti,9.4,2002
hnd,4.9,2002
hkg,10.79,1983
hkg,8.98,1984
hkg,10.57,1985
hkg,9.91,1986
hkg,8.34,1987
hkg,10.01,1988
hkg,9.05,1989
hkg,10.12,1990
hkg,8.89,1991
hkg,9.8,1992
hkg,9.81,1993
hkg,9.84,1994
hkg,10.41,1995
hkg,9.37,1996
hkg,9.62,1997
hun,4.2,2002
isl,2.02,1958
isl,1.24,1959
isl,1.63,1961
isl,0.9,1962
isl,1.06,1964
isl,0.62,1965
isl,1.59,1966
isl,3.72,1968
isl,1.8,1969
isl,4.47,1970
isl,0.5,1971
isl,1.4,1972
isl,0.73,1973
isl,0.7,1975
isl,1.11,1976
isl,1.92,1977
