geo,aged_15_64_labour_force_participation_rate_percent,time
afg,60.8,1980
afg,60.7,1981
afg,60.7,1982
afg,60.6,1983
afg,60.5,1984
afg,60.5,1985
afg,60.4,1986
afg,60.4,1987
afg,60.3,1988
afg,60.2,1989
afg,60.2,1990
afg,60.1,1991
afg,60.0,1992
afg,59.9,1993
afg,59.8,1994
afg,59.7,1995
afg,59.7,1996
afg,59.6,1997
afg,59.6,1998
afg,59.6,1999
afg,59.6,2000
afg,59.7,2001
afg,59.8,2002
afg,59.9,2003
afg,60.0,2004
afg,60.2,2005
afg,60.3,2006
afg,60.4,2007
alb,81.4,1980
alb,81.0,1981
alb,80.8,1982
alb,80.4,1983
alb,79.9,1984
alb,80.1,1985
alb,79.7,1986
alb,80.4,1987
alb,81.0,1988
alb,80.0,1989
alb,81.5,1990
alb,65.3,1991
alb,65.0,1992
alb,65.5,1993
alb,66.0,1994
alb,66.3,1995
alb,66.5,1996
alb,66.0,1997
alb,66.3,1998
alb,66.4,1999
alb,66.3,2000
alb,66.3,2001
alb,66.3,2002
alb,66.3,2003
alb,66.2,2004
alb,66.2,2005
alb,66.1,2006
alb,66.5,2007
dza,46.9,1980
dza,47.0,1981
dza,47.0,1982
dza,46.9,1983
dza,46.9,1984
dza,46.9,1985
dza,47.7,1986
dza,48.5,1987
dza,49.3,1988
dza,50.1,1989
dza,50.9,1990
dza,51.7,1991
dza,52.5,1992
dza,53.4,1993
dza,54.2,1994
dza,54.9,1995
dza,55.6,1996
dza,56.1,1997
dza,56.4,1998
dza,56.8,1999
dza,57.2,2000
dza,57.8,2001
dza,58.2,2002
dza,58.4,2003
dza,58.8,2004
dza,59.0,2005
dza,59.4,2006
dza,59.7,2007
ago,82.8,1980
ago,82.8,1981
ago,82.9,1982
ago,82.9,1983
ago,82.9,1984
ago,83.0,1985
ago,83.0,1986
ago,83.1,1987
ago,83.2,1988
ago,83.3,1989
ago,83.3,1990
ago,83.3,1991
ago,83.4,1992
ago,83.3,1993
ago,83.4,1994
ago,83.1,1995
ago,83.1,1996
ago,83.1,1997
ago,83.1,1998
ago,83.1,1999
ago,83.0,2000
ago,82.9,2001
ago,83.0,2002
ago,82.9,2003
ago,82.9,2004
ago,82.9,2005
ago,82.8,2006
ago,83.0,2007
arg,57.7,1980
arg,57.9,1981
arg,58.2,1982
arg,58.6,1983
arg,58.6,1984
arg,58.8,1985
arg,58.9,1986
arg,58.9,1987
arg,59.0,1988
arg,59.1,1989
arg,59.2,1990
arg,63.3,1991
arg,63.5,1992
arg,63.8,1993
arg,64.1,1994
arg,64.5,1995
arg,64.9,1996
arg,65.4,1997
arg,65.9,1998
arg,66.4,1999
arg,66.9,2000
arg,67.3,2001
arg,67.8,2002
arg,68.2,2003
arg,68.6,2004
arg,69.0,2005
arg,69.5,2006
arg,69.4,2007
arm,81.4,1980
arm,80.6,1981
arm,80.2,1982
arm,79.6,1983
arm,78.8,1984
arm,78.2,1985
arm,78.6,1986
arm,78.7,1987
arm,77.8,1988
arm,78.0,1989
arm,78.3,1990
arm,68.9,1991
arm,67.4,1992
arm,66.3,1993
arm,66.1,1994
arm,66.7,1995
arm,66.8,1996
arm,66.7,1997
arm,67.1,1998
arm,67.2,1999
arm,67.5,2000
arm,67.9,2001
arm,68.5,2002
arm,69.0,2003
arm,69.2,2004
arm,69.3,2005
arm,69.1,2006
arm,70.0,2007
aus,69.6,1980
aus,69.5,1981
aus,69.2,1982
aus,68.9,1983
aus,69.2,1984
aus,69.6,1985
aus,71.1,1986
aus,71.3,1987
aus,71.9,1988
aus,72.9,1989
aus,73.6,1990
aus,73.1,1991
aus,72.9,1992
aus,72.8,1993
aus,73.3,1994
aus,74.2,1995
aus,74.1,1996
aus,73.7,1997
aus,73.7,1998
aus,73.6,1999
aus,74.0,2000
aus,74.2,2001
aus,74.3,2002
aus,74.6,2003
aus,74.6,2004
aus,75.5,2005
aus,75.9,2006
aus,75.7,2007
aut,66.5,1980
aut,66.4,1981
aut,65.9,1982
aut,65.3,1983
aut,66.1,1984
aut,65.6,1985
aut,65.9,1986
aut,66.6,1987
aut,66.6,1988
aut,67.0,1989
aut,67.7,1990
aut,68.3,1991
aut,69.4,1992
aut,69.7,1993
aut,70.8,1994
aut,71.3,1995
aut,70.7,1996
aut,70.7,1997
aut,70.6,1998
aut,70.8,1999
aut,70.7,2000
aut,70.8,2001
aut,71.9,2002
aut,72.4,2003
aut,71.9,2004
aut,72.6,2005
aut,73.5,2006
aut,73.6,2007
aze,76.3,1980
aze,75.7,1981
aze,75.7,1982
aze,75.5,1983
aze,75.1,1984
aze,74.8,1985
aze,75.4,1986
aze,75.7,1987
aze,74.9,1988
aze,75.4,1989
aze,76.0,1990
aze,68.3,1991
aze,68.3,1992
aze,68.2,1993
aze,67.4,1994
aze,66.7,1995
aze,67.0,1996
aze,67.4,1997
aze,68.1,1998
aze,68.6,1999
aze,69.4,2000
aze,69.8,2001
aze,70.1,2002
aze,70.4,2003
aze,70.5,2004
aze,70.3,2005
aze,69.5,2006
aze,71.2,2007
bhs,70.8,1980
bhs,71.2,1981
bhs,71.6,1982
bhs,72.1,1983
bhs,72.7,1984
bhs,73.1,1985
bhs,73.5,1986
bhs,73.8,1987
bhs,74.1,1988
bhs,74.5,1989
bhs,74.8,1990
bhs,75.2,1991
bhs,75.4,1992
bhs,76.0,1993
bhs,76.1,1994
bhs,76.2,1995
bhs,76.4,1996
bhs,76.2,1997
bhs,76.0,1998
bhs,76.1,1999
bhs,76.4,2000
bhs,76.4,2001
bhs,76.5,2002
bhs,76.9,2003
bhs,77.0,2004
bhs,77.3,2005
bhs,77.4,2006
bhs,77.4,2007
bhr,61.0,1980
bhr,62.6,1981
bhr,63.4,1982
bhr,64.1,1983
bhr,64.6,1984
bhr,65.1,1985
bhr,65.5,1986
bhr,65.7,1987
bhr,66.0,1988
bhr,66.2,1989
bhr,66.5,1990
bhr,66.8,1991
bhr,66.9,1992
bhr,67.0,1993
bhr,67.1,1994
bhr,67.2,1995
bhr,67.2,1996
bhr,67.1,1997
bhr,67.1,1998
bhr,67.1,1999
bhr,67.1,2000
bhr,67.2,2001
bhr,67.0,2002
bhr,66.8,2003
bhr,66.6,2004
bhr,66.4,2005
bhr,65.9,2006
bhr,65.7,2007
bgd,75.0,1980
bgd,75.2,1981
bgd,75.5,1982
bgd,75.7,1983
bgd,75.9,1984
bgd,76.1,1985
bgd,76.3,1986
bgd,76.5,1987
bgd,76.7,1988
bgd,76.9,1989
bgd,77.0,1990
bgd,77.1,1991
bgd,76.4,1992
bgd,75.8,1993
bgd,75.0,1994
bgd,74.3,1995
bgd,73.5,1996
bgd,73.5,1997
bgd,73.4,1998
bgd,73.3,1999
bgd,73.1,2000
bgd,73.3,2001
bgd,73.5,2002
bgd,73.6,2003
bgd,73.7,2004
bgd,73.8,2005
bgd,73.8,2006
bgd,73.7,2007
brb,72.2,1980
brb,72.8,1981
brb,73.4,1982
brb,74.1,1983
brb,74.6,1984
brb,74.9,1985
brb,75.1,1986
brb,76.7,1987
brb,78.5,1988
brb,79.7,1989
brb,78.7,1990
brb,77.1,1991
brb,78.2,1992
brb,79.3,1993
brb,80.2,1994
brb,81.2,1995
brb,80.8,1996
brb,80.9,1997
brb,80.9,1998
brb,80.7,1999
brb,80.6,2000
brb,80.5,2001
brb,80.4,2002
brb,80.3,2003
brb,81.0,2004
brb,81.0,2005
brb,81.1,2006
brb,80.9,2007
blr,78.6,1980
blr,78.5,1981
blr,78.4,1982
blr,78.2,1983
blr,78.0,1984
blr,77.8,1985
blr,77.8,1986
blr,77.7,1987
blr,77.6,1988
blr,77.5,1989
blr,76.9,1990
blr,76.2,1991
blr,75.5,1992
blr,74.9,1993
blr,74.2,1994
blr,73.4,1995
blr,72.6,1996
blr,71.7,1997
blr,70.7,1998
blr,69.8,1999
blr,69.9,2000
blr,70.1,2001
blr,70.3,2002
blr,70.5,2003
blr,70.6,2004
blr,70.7,2005
blr,70.6,2006
blr,70.3,2007
bel,60.1,1980
bel,60.3,1981
bel,59.9,1982
bel,59.9,1983
bel,59.8,1984
bel,59.8,1985
bel,59.7,1986
bel,59.0,1987
bel,58.4,1988
bel,58.8,1989
bel,58.8,1990
bel,60.1,1991
bel,60.5,1992
bel,60.8,1993
bel,61.7,1994
bel,62.1,1995
bel,62.2,1996
bel,62.6,1997
bel,63.1,1998
bel,64.5,1999
bel,65.2,2000
bel,63.6,2001
bel,64.0,2002
bel,64.2,2003
bel,65.2,2004
bel,66.3,2005
bel,65.9,2006
bel,66.1,2007
blz,53.0,1980
blz,53.1,1981
blz,53.2,1982
blz,53.2,1983
blz,53.2,1984
blz,53.3,1985
blz,53.4,1986
blz,53.7,1987
blz,54.0,1988
blz,54.5,1989
blz,54.8,1990
blz,55.2,1991
blz,57.1,1992
blz,59.1,1993
blz,61.2,1994
blz,61.3,1995
blz,61.4,1996
blz,61.9,1997
blz,62.3,1998
blz,62.8,1999
blz,63.3,2000
blz,63.8,2001
blz,64.3,2002
blz,64.8,2003
blz,65.3,2004
blz,65.8,2005
blz,66.2,2006
blz,66.3,2007
ben,60.6,1980
ben,60.9,1981
ben,61.0,1982
ben,61.2,1983
ben,61.4,1984
ben,61.5,1985
ben,61.7,1986
ben,63.7,1987
ben,65.7,1988
ben,67.8,1989
ben,69.9,1990
ben,72.0,1991
ben,74.0,1992
ben,74.0,1993
ben,74.0,1994
ben,74.0,1995
ben,73.9,1996
ben,73.8,1997
ben,73.7,1998
ben,73.6,1999
ben,73.5,2000
ben,73.3,2001
ben,73.2,2002
ben,73.1,2003
ben,73.0,2004
ben,73.0,2005
ben,72.9,2006
ben,72.9,2007
btn,61.1,1980
btn,60.7,1981
btn,60.2,1982
btn,59.6,1983
btn,59.1,1984
btn,58.7,1985
btn,58.4,1986
btn,58.1,1987
btn,57.9,1988
btn,57.7,1989
btn,57.2,1990
btn,56.6,1991
btn,55.8,1992
btn,54.9,1993
btn,54.1,1994
btn,53.5,1995
btn,53.1,1996
btn,52.8,1997
btn,52.9,1998
btn,53.3,1999
btn,54.2,2000
btn,55.6,2001
btn,57.4,2002
btn,59.3,2003
btn,61.1,2004
btn,62.5,2005
btn,63.6,2006
btn,64.7,2007
bol,62.8,1980
bol,62.7,1981
bol,62.9,1982
bol,63.0,1983
bol,63.0,1984
bol,63.0,1985
bol,63.9,1986
bol,64.7,1987
bol,65.0,1988
bol,65.2,1989
bol,65.5,1990
bol,65.7,1991
bol,65.9,1992
bol,66.1,1993
bol,66.2,1994
bol,66.2,1995
bol,66.9,1996
bol,71.9,1997
bol,72.0,1998
bol,72.1,1999
bol,72.1,2000
bol,72.6,2001
bol,73.0,2002
bol,73.5,2003
bol,74.1,2004
bol,74.6,2005
bol,75.3,2006
bol,75.7,2007
bih,87.4,1980
bih,86.9,1981
bih,86.5,1982
bih,85.9,1983
bih,85.3,1984
bih,84.7,1985
bih,84.1,1986
bih,83.5,1987
bih,82.9,1988
bih,82.4,1989
bih,82.2,1990
bih,67.0,1991
bih,66.6,1992
bih,66.6,1993
bih,66.9,1994
bih,68.5,1995
bih,70.3,1996
bih,70.3,1997
bih,70.4,1998
bih,70.3,1999
bih,70.3,2000
bih,70.3,2001
bih,70.2,2002
bih,70.2,2003
bih,70.1,2004
bih,70.1,2005
bih,70.1,2006
bih,70.4,2007
bwa,64.3,1980
bwa,64.4,1981
bwa,64.6,1982
bwa,64.9,1983
bwa,65.1,1984
bwa,65.3,1985
bwa,64.5,1986
bwa,63.8,1987
bwa,63.0,1988
bwa,62.3,1989
bwa,61.5,1990
bwa,60.8,1991
bwa,60.1,1992
bwa,59.3,1993
bwa,58.4,1994
bwa,57.4,1995
bwa,56.4,1996
bwa,59.8,1997
bwa,62.5,1998
bwa,61.4,1999
bwa,60.1,2000
bwa,57.8,2001
bwa,57.4,2002
bwa,57.4,2003
bwa,57.2,2004
