geo,ratio_of_girls_to_boys_in_primary_and_secondary_education_perc,time
bhr,90.81,1983
bhr,93.73,1984
bhr,96.67,1985
bhr,98.84,1986
bhr,99.45,1987
bhr,99.86,1988
bhr,101.0,1989
bhr,102.7,1990
bhr,102.4,1991
bhr,103.6,1992
bhr,103.8,1993
bhr,103.5,1994
bhr,102.2,1995
bhr,102.0,1996
bhr,103.4,1997
bhr,104.3,1998
bhr,104.3,1999
bhr,104.0,2000
bhr,103.8,2001
bhr,101.8,2002
bhr,99.64,2003
bhr,97.92,2004
bhr,98.44,2005
bhr,101.5,2006
bgd,50.42,1973
bgd,50.12,1976
bgd,52.94,1977
bgd,52.09,1979
bgd,53.48,1980
bgd,57.38,1981
bgd,62.0,1984
bgd,61.05,1985
bgd,63.1,1986
bgd,62.62,1987
bgd,71.89,1988
bgd,72.79,1989
bgd,75.49,1990
brb,99.22,1971
brb,100.3,1972
brb,100.5,1973
brb,90.48,1974
brb,96.61,1975
brb,105.2,1976
brb,104.8,1977
brb,103.7,1978
brb,104.0,1979
brb,107.7,1980
brb,101.0,1981
brb,102.6,1982
brb,99.08,1983
brb,102.1,1984
brb,99.11,1985
brb,102.5,1989
brb,94.24,1990
brb,107.8,1999
brb,107.6,2000
brb,107.0,2001
brb,107.3,2002
brb,107.4,2003
brb,107.2,2004
brb,107.3,2005
brb,107.8,2006
brb,108.5,2007
brb,108.1,2008
brb,107.0,2009
brb,105.7,2010
brb,105.0,2011
blr,101.3,1998
blr,102.3,1999
blr,101.8,2000
blr,102.2,2001
blr,101.9,2002
blr,101.9,2003
blr,100.2,2004
blr,100.3,2005
blr,100.7,2006
blr,101.1,2007
blr,97.77,2008
blr,97.72,2009
blr,97.82,2010
blr,97.84,2011
bel,98.36,1971
bel,98.13,1972
bel,99.53,1973
bel,98.87,1974
bel,99.21,1975
bel,99.22,1976
bel,99.95,1977
bel,100.3,1978
bel,100.7,1979
bel,101.0,1980
bel,101.3,1981
bel,101.1,1982
bel,102.0,1983
bel,101.4,1984
bel,101.5,1985
bel,100.9,1986
bel,100.9,1987
bel,100.8,1988
bel,100.8,1989
bel,101.0,1990
bel,101.2,1991
