geo,ratio_of_girls_to_boys_in_primary_and_secondary_education_perc,time
eri,77.86,2001
eri,74.38,2002
eri,74.82,2003
eri,70.73,2004
eri,71.78,2005
eri,72.11,2006
eri,77.85,2007
eri,77.31,2008
eri,77.42,2009
eri,80.05,2010
eri,80.43,2011
est,102.8,1992
est,102.4,1993
est,105.2,1994
est,104.4,1995
est,103.5,1996
est,100.7,1998
est,100.3,1999
est,100.3,2000
est,99.49,2001
est,99.54,2002
est,100.3,2003
est,100.1,2004
est,99.82,2005
est,100.6,2006
est,100.9,2007
est,101.0,2008
est,100.5,2009
est,99.5,2010
eth,43.03,1971
eth,43.77,1972
eth,44.74,1974
eth,59.24,1984
eth,64.23,1986
eth,68.43,1991
eth,74.77,1992
eth,73.43,1993
eth,66.63,1994
eth,62.78,1995
eth,59.72,1996
eth,61.53,1999
eth,64.97,2000
eth,68.02,2001
eth,69.07,2002
eth,69.31,2003
eth,72.78,2004
eth,77.46,2005
eth,80.53,2006
eth,82.59,2007
eth,85.09,2008
eth,87.92,2009
eth,88.75,2010
eth,89.8,2011
fji,92.95,1970
fji,96.28,1972
fji,95.37,1973
fji,98.11,1974
fji,99.25,1975
fji,100.1,1976
fji,100.1,1977
fji,100.7,1978
fji,101.4,1980
fji,101.3,1981
fji,101.3,1983
fji,100.2,1984
fji,100.1,1985
fji,100.4,1986
fji,100.7,1987
fji,98.38,1991
fji,99.82,1992
fji,102.6,1998
fji,104.3,1999
fji,103.1,2000
fji,102.8,2001
fji,103.8,2002
fji,103.1,2003
fji,102.3,2004
fji,103.9,2006
fji,104.4,2007
fji,103.1,2008
fji,103.7,2009
fin,101.5,1972
fin,102.4,1973
fin,102.8,1974
fin,105.0,1976
fin,104.9,1977
fin,105.2,1978
fin,105.4,1979
fin,105.8,1980
fin,105.7,1981
fin,106.7,1982
fin,106.4,1983
fin,108.5,1984
fin,108.9,1985
fin,108.5,1986
fin,108.6,1987
fin,108.3,1988
fin,107.7,1989
fin,108.7,1990
fin,109.4,1991
fin,110.6,1992
fin,109.1,1993
fin,108.6,1994
fin,107.8,1995
fin,109.2,1996
fin,107.4,1997
fin,105.2,1998
fin,104.8,1999
fin,104.8,2000
fin,105.4,2001
fin,105.6,2002
fin,105.2,2003
fin,102.0,2004
fin,102.0,2005
fin,102.1,2006
fin,102.2,2007
fin,102.3,2008
fin,102.4,2009
fin,102.3,2010
fra,103.3,1971
fra,103.3,1972
fra,107.3,1973
fra,100.2,1974
fra,103.5,1975
fra,103.8,1977
fra,104.6,1978
fra,104.4,1979
fra,105.0,1980
fra,109.4,1981
fra,105.0,1982
fra,105.1,1983
fra,104.3,1985
fra,103.9,1986
fra,103.6,1987
fra,103.4,1988
fra,103.3,1989
fra,103.0,1990
fra,102.5,1991
fra,102.1,1992
fra,101.7,1993
fra,98.96,1994
fra,98.67,1995
fra,98.92,1996
fra,99.12,1997
fra,99.25,1998
fra,99.46,1999
fra,99.7,2000
fra,99.95,2001
fra,99.9,2002
fra,100.1,2003
fra,99.92,2004
fra,99.71,2005
fra,99.61,2006
fra,99.63,2007
fra,99.58,2008
fra,99.69,2009
fra,99.97,2010
pyf,105.0,1989
pyf,111.0,1990
pyf,105.1,1991
pyf,106.1,1992
pyf,109.4,1993
gab,83.98,1971
gab,84.14,1972
gab,84.63,1973
gab,84.26,1974
gab,85.77,1976
gab,86.67,1977
gab,86.89,1978
gab,87.61,1979
gab,89.34,1980
gab,89.45,1981
gab,89.55,1982
gab,89.85,1983
gab,90.38,1984
gab,91.2,1985
gab,91.11,1986
gab,92.44,1987
gab,92.62,1988
gab,95.95,1989
gab,96.64,1994
gab,94.94,1995
gab,96.5,1996
gab,95.96,1999
gab,95.88,2000
gmb,40.84,1971
gmb,42.22,1973
gmb,43.91,1974
gmb,46.73,1975
gmb,47.03,1976
gmb,45.81,1977
gmb,46.75,1978
gmb,45.88,1979
gmb,47.31,1980
gmb,50.23,1981
gmb,52.78,1983
gmb,55.12,1984
gmb,55.82,1985
gmb,57.0,1986
gmb,58.31,1987
gmb,58.03,1989
gmb,65.08,1992
gmb,66.4,1993
gmb,68.05,1994
gmb,69.0,1995
gmb,73.36,1996
gmb,100.8,2008
gmb,100.7,2009
gmb,99.35,2010
geo,82.31,1981
geo,87.28,1986
geo,98.24,1991
geo,96.67,1992
geo,95.87,1993
geo,93.57,1994
geo,94.01,1995
geo,98.27,1996
geo,97.42,1997
geo,98.53,1999
geo,98.49,2000
geo,100.0,2001
geo,99.17,2002
geo,97.75,2003
geo,97.09,2004
geo,96.78,2005
geo,100.3,2006
geo,96.66,2008
deu,98.79,1992
deu,97.47,1993
deu,97.91,1994
deu,98.06,1995
deu,98.22,1996
deu,98.46,1997
deu,98.34,1998
deu,98.56,1999
deu,98.89,2000
deu,98.96,2001
deu,98.73,2002
deu,98.46,2003
deu,98.49,2004
deu,98.51,2005
deu,98.3,2006
deu,98.3,2007
deu,97.94,2008
deu,96.05,2009
deu,96.05,2010
gha,76.21,1971
gha,76.75,1973
gha,77.11,1974
gha,75.89,1975
gha,75.13,1976
gha,74.95,1977
gha,75.05,1978
gha,75.51,1979
gha,76.44,1980
gha,76.33,1981
gha,76.47,1982
gha,75.41,1983
gha,74.97,1984
gha,74.2,1985
gha,75.66,1987
gha,76.72,1988
gha,77.81,1989
gha,78.15,1990
gha,84.63,1995
gha,89.11,1999
gha,90.2,2000
gha,91.67,2001
gha,91.89,2002
gha,94.35,2003
gha,91.2,2004
gha,92.52,2005
gha,94.46,2006
gha,95.46,2007
gha,95.82,2008
gha,95.86,2009
gha,96.38,2011
grc,90.37,1971
grc,90.38,1972
grc,90.12,1973
grc,89.73,1974
grc,89.58,1975
grc,90.06,1976
grc,90.73,1977
grc,92.11,1978
grc,92.97,1979
grc,93.32,1980
grc,95.13,1981
grc,96.2,1982
grc,98.61,1983
grc,99.12,1984
grc,99.2,1985
grc,98.76,1986
grc,97.99,1987
grc,97.76,1988
grc,97.93,1989
grc,98.6,1990
grc,98.71,1991
grc,99.3,1992
grc,100.9,1993
grc,98.2,1994
grc,101.8,1995
grc,101.8,1996
grc,102.5,1997
grc,102.6,1998
grc,102.5,1999
grc,103.4,2000
grc,102.8,2001
grc,101.1,2002
grc,100.6,2003
grc,99.54,2004
grc,98.57,2005
grc,98.62,2006
grc,97.36,2007
grc,97.67,2010
grd,95.14,1971
grd,99.48,1972
grd,100.9,1977
grd,100.8,1978
grd,100.7,1979
grd,100.8,1980
grd,107.2,1981
grd,108.6,1982
grd,106.4,1983
grd,102.5,1984
grd,102.2,1985
grd,93.92,1986
grd,96.05,1988
grd,104.4,1993
grd,103.3,2002
grd,98.72,2003
grd,101.3,2004
grd,97.93,2007
grd,93.06,2008
grd,96.82,2009
grd,101.4,2010
gtm,80.2,1970
gtm,81.73,1971
gtm,82.16,1972
gtm,82.09,1973
gtm,83.59,1974
gtm,83.95,1975
gtm,84.54,1976
gtm,84.95,1977
gtm,83.84,1978
gtm,83.76,1979
gtm,84.11,1980
gtm,84.93,1981
gtm,86.67,1982
gtm,85.77,1983
gtm,86.82,1993
gtm,85.97,1996
gtm,86.83,1998
gtm,85.89,1999
gtm,88.83,2000
gtm,89.39,2001
gtm,89.92,2002
gtm,90.44,2003
gtm,90.99,2004
gtm,91.61,2005
gtm,92.24,2006
gtm,92.96,2007
gtm,93.69,2008
gtm,94.72,2009
gtm,94.91,2010
gin,42.56,1971
gin,48.99,1981
gin,48.45,1982
gin,47.31,1983
gin,47.26,1984
gin,45.37,1985
gin,45.47,1986
gin,43.53,1987
gin,43.58,1989
gin,43.89,1990
gin,44.87,1991
gin,45.27,1993
gin,46.97,1994
gin,50.6,1996
gin,57.97,1999
gin,64.22,2001
gin,66.85,2002
gin,69.27,2003
gin,70.29,2004
gin,72.57,2005
gin,74.4,2006
gin,76.11,2007
gin,76.89,2008
gin,76.99,2009
gin,79.38,2011
gnb,44.26,1971
gnb,63.23,1972
gnb,53.61,1976
gnb,46.55,1978
gnb,44.02,1979
gnb,43.84,1980
gnb,44.43,1981
gnb,43.92,1982
gnb,45.68,1983
gnb,46.6,1984
gnb,48.26,1985
gnb,52.5,1987
gnb,52.65,1988
gnb,54.9,1989
gnb,65.39,2000
guy,98.19,1971
guy,97.2,1972
guy,97.17,1973
guy,97.72,1974
guy,98.97,1976
guy,98.45,1984
guy,99.47,1985
guy,100.0,1986
guy,99.1,1987
guy,99.63,1999
guy,97.77,2001
guy,101.1,2004
guy,102.2,2005
guy,101.9,2007
guy,105.2,2008
guy,104.8,2009
guy,106.8,2010
guy,106.7,2011
hti,94.64,1997
hnd,99.05,1970
hnd,100.6,1980
hnd,101.7,1982
hnd,101.7,1983
hnd,103.3,1984
hnd,104.4,1991
hnd,105.6,2006
hnd,106.5,2007
hnd,107.3,2008
hnd,107.2,2010
hnd,106.7,2011
hkg,92.66,1971
hkg,93.32,1972
hkg,93.91,1973
hkg,94.34,1974
hkg,94.32,1975
hkg,95.16,1976
hkg,96.23,1977
hkg,98.01,1978
hkg,100.0,1979
hkg,100.6,1980
hkg,101.2,1981
hkg,101.8,1982
hkg,102.3,1983
hkg,102.2,1984
hkg,101.8,1985
hkg,101.9,1986
hkg,102.0,1987
hkg,102.1,1988
hkg,100.9,1996
hkg,98.39,2001
hkg,97.77,2002
hkg,98.21,2003
hkg,98.47,2004
hkg,98.77,2005
hkg,98.72,2006
hkg,99.36,2007
hkg,99.96,2008
hkg,101.0,2009
hkg,101.7,2010
hkg,102.8,2011
hun,91.94,1971
hun,93.33,1972
hun,95.57,1973
hun,94.9,1974
hun,95.83,1975
hun,96.36,1976
hun,97.02,1977
hun,97.26,1978
hun,97.82,1979
hun,97.97,1980
hun,98.5,1981
hun,99.67,1982
hun,99.71,1983
hun,99.73,1984
hun,99.98,1985
hun,100.3,1986
hun,100.6,1987
hun,100.8,1988
hun,101.0,1989
hun,100.4,1990
hun,100.3,1991
hun,100.3,1992
hun,101.9,1994
hun,102.0,1995
hun,101.9,1996
hun,101.5,1997
hun,100.9,1998
hun,100.3,1999
hun,99.89,2000
hun,99.9,2001
hun,99.91,2002
hun,99.62,2003
hun,98.89,2004
hun,98.72,2005
hun,98.82,2006
hun,98.92,2007
hun,98.32,2008
hun,98.63,2009
hun,98.47,2010
isl,91.91,1971
isl,92.79,1975
isl,92.29,1976
isl,94.55,1977
isl,96.14,1983
isl,95.69,1984
isl,96.06,1986
isl,97.52,1988
isl,97.53,1989
isl,98.99,1993
isl,98.97,1994
isl,98.43,1995
isl,98.92,1996
isl,100.5,1998
isl,101.6,1999
isl,102.4,2000
isl,102.3,2001
isl,102.3,2002
isl,102.5,2003
isl,100.5,2004
isl,99.93,2005
isl,100.9,2006
isl,103.1,2007
isl,101.9,2008
isl,101.6,2009
isl,101.0,2010
ind,58.14,1971
ind,58.52,1972
ind,59.51,1973
ind,60.35,1975
ind,60.73,1976
ind,61.16,1977
ind,60.41,1978
ind,61.52,1980
ind,62.32,1981
ind,61.99,1982
ind,64.41,1983
ind,63.11,1984
ind,66.01,1986
ind,66.94,1987
ind,67.81,1988
ind,67.45,1989
ind,73.35,1993
ind,74.52,1994
ind,74.52,1995
ind,75.23,1996
ind,76.44,1997
ind,78.36,1999
ind,78.81,2000
ind,79.48,2001
ind,81.44,2002
ind,89.73,2003
ind,89.96,2004
ind,90.29,2005
ind,90.34,2006
ind,92.18,2007
ind,94.85,2008
idn,80.63,1970
idn,80.03,1971
idn,79.91,1972
idn,78.65,1973
idn,77.2,1974
idn,81.59,1975
idn,83.57,1976
idn,83.54,1977
idn,83.78,1978
idn,83.81,1981
idn,85.71,1982
idn,89.66,1983
idn,89.97,1984
idn,90.33,1988
idn,91.58,1989
idn,92.21,1990
idn,92.95,1991
idn,93.73,1992
idn,92.12,1993
idn,92.96,1994
idn,92.88,1995
idn,92.98,1996
idn,96.01,2000
idn,97.77,2001
idn,98.07,2002
idn,98.26,2003
idn,98.58,2004
idn,97.32,2005
idn,97.89,2006
idn,97.55,2007
idn,97.98,2008
idn,97.61,2009
idn,101.1,2010
irn,57.15,1971
irn,57.55,1972
irn,58.2,1973
irn,58.25,1974
irn,60.4,1975
irn,62.6,1976
irn,64.17,1977
irn,76.5,1985
irn,78.67,1988
irn,82.08,1990
irn,84.53,1991
irn,85.52,1992
irn,86.87,1993
irn,87.94,1994
irn,89.18,1995
irn,91.89,1997
irn,93.32,1999
irn,94.13,2000
irn,94.57,2001
irn,94.85,2002
irn,94.83,2003
irn,96.33,2004
irn,96.97,2005
irn,97.54,2006
irn,100.1,2007
irn,97.69,2009
irn,97.51,2010
irn,97.18,2011
irq,42.56,1971
irq,42.33,1972
irq,43.32,1973
irq,44.79,1974
irq,48.18,1975
irq,50.12,1976
irq,54.76,1977
irq,57.99,1978
irq,69.66,1979
irq,73.67,1980
irq,77.33,1981
irq,78.61,1982
irq,78.91,1983
irq,77.4,1984
irq,75.96,1985
irq,75.46,1986
irq,76.3,1987
irq,78.55,1988
irq,76.95,1989
irq,78.66,1993
irq,79.05,1996
irq,78.02,1999
irq,77.25,2000
irq,77.47,2001
irq,78.47,2002
irq,81.23,2003
irq,79.09,2004
irq,81.39,2007
irl,102.7,1971
irl,102.1,1972
irl,103.1,1973
irl,103.1,1974
irl,103.9,1975
irl,103.7,1976
irl,103.9,1977
irl,104.5,1978
irl,104.8,1979
irl,105.5,1980
irl,105.4,1981
irl,105.3,1982
irl,104.9,1983
irl,104.6,1984
irl,104.6,1985
irl,104.8,1986
irl,104.5,1987
irl,104.3,1988
irl,104.4,1989
irl,104.8,1990
irl,104.6,1991
irl,104.1,1992
irl,101.9,1993
irl,102.2,1994
irl,102.9,1995
irl,103.8,1996
irl,104.1,1997
irl,102.2,1998
irl,102.2,1999
irl,102.9,2000
irl,103.2,2001
irl,103.3,2002
irl,102.9,2003
irl,102.7,2004
irl,103.5,2005
irl,102.9,2006
irl,102.9,2007
irl,103.0,2008
irl,102.7,2009
irl,102.1,2010
isr,103.9,1973
isr,103.7,1974
isr,104.2,1975
isr,104.7,1976
isr,104.4,1977
isr,103.9,1978
isr,104.6,1979
isr,105.0,1980
isr,103.8,1983
isr,104.7,1984
isr,104.9,1985
isr,104.9,1986
isr,104.4,1987
isr,105.1,1988
isr,104.0,1989
isr,104.5,1990
isr,104.0,1991
isr,102.5,1992
isr,102.7,1993
isr,101.9,1994
isr,99.05,1999
isr,99.51,2000
isr,99.57,2001
isr,99.17,2002
isr,98.79,2003
isr,99.93,2004
isr,100.0,2005
isr,100.3,2006
isr,100.7,2007
isr,101.2,2008
isr,101.3,2009
isr,101.4,2010
ita,91.67,1971
ita,92.05,1972
ita,92.55,1973
ita,93.07,1974
ita,93.7,1975
ita,94.06,1976
ita,94.46,1977
ita,95.3,1978
ita,96.0,1979
ita,96.93,1980
ita,97.67,1981
ita,98.39,1982
ita,98.59,1983
ita,98.79,1984
ita,98.94,1985
ita,99.0,1986
ita,98.9,1987
ita,99.05,1988
ita,99.11,1989
ita,100.1,1990
ita,99.5,1991
ita,99.55,1992
ita,100.6,1993
ita,100.9,1994
ita,98.9,1995
ita,99.27,1996
ita,99.51,1997
ita,99.04,1998
ita,99.23,1999
ita,97.57,2000
ita,98.31,2001
ita,97.06,2002
ita,99.06,2003
ita,99.29,2004
ita,99.11,2005
ita,99.15,2006
ita,98.81,2007
ita,98.69,2008
ita,98.78,2009
ita,98.64,2010
jam,102.4,1973
jam,102.1,1974
jam,106.1,1975
jam,106.3,1976
jam,104.3,1977
jam,102.7,1978
jam,104.3,1979
jam,106.0,1980
jam,105.6,1981
jam,104.4,1983
jam,104.1,1984
jam,103.8,1985
jam,105.2,1986
jam,102.7,1987
jam,102.3,1988
jam,103.7,1989
jam,102.4,1991
jam,99.95,1993
jam,99.83,1999
jam,100.3,2000
jam,99.94,2001
jam,100.2,2002
jam,100.2,2003
jam,100.2,2004
jam,100.2,2005
jam,100.7,2007
jam,100.3,2008
jam,98.22,2009
jam,98.91,2010
jpn,99.51,1971
jpn,100.1,1972
jpn,100.3,1973
jpn,100.4,1974
jpn,100.6,1975
jpn,100.7,1976
jpn,100.7,1977
jpn,100.8,1978
jpn,100.8,1979
jpn,100.9,1980
jpn,101.1,1981
jpn,101.2,1982
jpn,101.3,1983
jpn,101.3,1984
jpn,101.1,1985
jpn,101.1,1986
jpn,101.1,1987
jpn,101.1,1988
jpn,101.2,1989
jpn,101.3,1990
jpn,100.9,1991
jpn,100.9,1992
jpn,101.1,1993
jpn,100.8,1994
jpn,100.8,1995
jpn,100.7,1998
jpn,100.7,1999
jpn,100.6,2000
jpn,100.5,2001
jpn,100.4,2002
jpn,100.3,2003
jpn,100.1,2004
jpn,100.1,2005
jpn,100.1,2006
jpn,100.0,2007
jpn,100.0,2008
jpn,100.1,2009
jpn,100.1,2010
jor,77.99,1971
jor,80.64,1972
jor,82.43,1973
jor,84.09,1974
jor,85.75,1975
jor,87.18,1976
jor,89.11,1977
jor,90.75,1978
jor,93.72,1979
jor,96.73,1980
jor,98.14,1981
jor,100.0,1982
jor,101.7,1983
jor,102.7,1984
jor,105.1,1985
jor,103.7,1986
jor,103.7,1987
jor,105.3,1988
jor,102.5,1989
jor,101.4,1990
jor,101.4,1991
jor,103.6,1992
jor,103.8,1993
jor,103.5,1994
jor,102.3,1996
jor,102.5,1999
jor,102.4,2000
jor,101.9,2002
jor,101.9,2003
jor,101.5,2004
jor,101.6,2005
jor,102.7,2006
jor,102.9,2007
jor,102.5,2008
jor,102.5,2010
kaz,106.9,1997
kaz,103.8,1998
kaz,100.3,1999
kaz,101.7,2000
kaz,99.0,2001
kaz,99.09,2002
kaz,100.6,2003
kaz,99.06,2004
kaz,99.07,2005
kaz,99.2,2006
kaz,99.41,2007
kaz,98.99,2008
kaz,98.36,2009
kaz,98.31,2010
kaz,98.29,2011
ken,67.05,1970
ken,69.25,1971
ken,71.12,1972
ken,73.31,1973
ken,78.18,1974
ken,81.1,1975
ken,87.5,1980
ken,88.75,1981
ken,89.22,1982
ken,89.17,1983
ken,90.3,1984
ken,89.82,1985
ken,90.53,1986
ken,90.74,1987
ken,91.69,1988
ken,96.71,1999
ken,97.6,2000
ken,95.12,2002
ken,97.16,2003
ken,94.06,2004
ken,95.83,2005
ken,96.03,2006
ken,95.14,2007
ken,95.84,2008
ken,95.36,2009
kir,86.14,1971
kir,89.52,1972
kir,86.15,1973
kir,87.82,1977
kir,89.12,1978
kir,91.13,1979
kir,89.19,1980
kir,92.44,1981
kir,93.48,1982
kir,93.91,1983
kir,93.79,1984
kir,95.57,1985
kir,96.49,1986
kir,96.06,1987
kir,97.34,1988
kir,98.27,1989
kir,99.2,1990
kir,101.0,1991
kir,101.8,1992
kir,103.9,1993
kir,103.4,1994
kir,105.7,1995
kir,106.0,1996
kir,107.3,1999
kir,106.2,2000
kir,108.2,2001
kir,106.7,2002
kir,106.6,2003
kir,109.6,2004
kir,106.9,2005
kir,107.2,2006
kir,109.0,2007
kir,106.9,2008
kor,88.73,1971
kor,89.34,1972
kor,89.53,1973
kor,89.64,1974
kor,89.74,1975
kor,89.98,1976
kor,90.31,1977
kor,90.95,1978
kor,92.06,1979
kor,94.14,1980
kor,95.47,1981
kor,95.79,1982
kor,95.96,1983
kor,96.83,1984
kor,97.65,1985
kor,98.13,1986
kor,99.32,1987
kor,97.7,1988
kor,97.92,1989
kor,98.28,1990
kor,99.02,1991
kor,99.53,1992
kor,100.1,1993
kor,99.87,1994
kor,101.2,1995
kor,101.6,1996
kor,101.5,1997
kor,100.8,1998
kor,100.4,1999
kor,100.1,2000
kor,100.2,2001
kor,99.92,2002
kor,99.61,2003
kor,99.24,2004
kor,98.99,2005
kor,98.79,2006
kor,98.74,2007
kor,98.9,2008
kor,98.88,2009
kor,98.8,2010
kwt,78.63,1971
kwt,83.38,1972
kwt,83.41,1973
kwt,84.22,1974
kwt,85.0,1975
kwt,87.03,1976
kwt,88.0,1977
kwt,88.35,1978
kwt,90.0,1979
kwt,91.66,1980
kwt,91.87,1981
kwt,93.47,1982
kwt,95.16,1983
kwt,96.36,1984
kwt,96.43,1985
kwt,95.38,1986
kwt,93.06,1987
kwt,91.81,1988
kwt,91.29,1989
kwt,92.84,1990
kwt,96.84,1992
kwt,97.69,1993
kwt,99.73,1994
kwt,103.0,1995
kwt,100.1,1996
kwt,103.4,1997
kwt,104.4,1998
kwt,102.7,1999
kwt,103.0,2000
kwt,103.9,2001
kwt,103.1,2002
kwt,103.9,2003
kwt,105.0,2004
kwt,103.6,2005
kwt,104.0,2006
kwt,103.1,2007
kwt,105.2,2008
kgz,97.03,1981
kgz,97.75,1986
kgz,98.62,1989
kgz,100.3,1990
kgz,102.1,1992
kgz,100.7,1999
kgz,101.0,2000
kgz,99.19,2001
kgz,99.4,2002
kgz,100.0,2003
kgz,100.1,2004
kgz,99.47,2005
kgz,99.59,2006
kgz,99.72,2007
kgz,99.69,2008
kgz,99.91,2009
kgz,98.86,2010
kgz,99.22,2011
lao,57.98,1971
lao,64.88,1972
lao,68.33,1973
lao,70.05,1977
lao,80.75,1978
lao,77.09,1979
lao,80.82,1980
lao,81.37,1981
lao,81.39,1986
lao,78.87,1988
lao,77.12,1990
lao,77.13,1992
lao,76.28,1993
lao,76.33,1994
lao,77.81,1995
lao,78.2,1996
lao,78.8,1997
lao,79.87,1998
lao,81.18,1999
lao,81.34,2000
lao,81.91,2001
lao,82.33,2002
lao,82.92,2003
lao,83.72,2004
lao,84.04,2005
lao,85.01,2006
lao,85.9,2007
lao,87.12,2008
lao,88.39,2009
lao,89.56,2010
lao,90.63,2011
lva,101.0,1991
lva,102.8,1992
lva,102.2,1993
lva,104.7,1994
lva,103.7,1995
lva,103.6,1996
lva,103.3,1997
lva,101.6,1998
lva,101.3,1999
lva,101.0,2000
lva,100.5,2001
lva,99.54,2002
lva,98.54,2003
lva,98.37,2004
lva,98.81,2005
lva,99.23,2006
lva,99.62,2007
lva,99.6,2008
lva,99.34,2009
lva,98.33,2010
lbn,80.14,1971
lbn,96.57,1982
lbn,92.99,1985
lbn,101.0,1992
lbn,101.3,1994
lbn,103.3,1995
lbn,102.6,1996
lbn,101.8,1997
lbn,101.9,1998
lbn,101.9,1999
lbn,103.0,2006
lbn,103.7,2007
lbn,103.4,2008
lbn,103.7,2009
lbn,103.8,2010
lbn,103.5,2011
lso,146.8,1970
lso,146.2,1972
lso,143.6,1973
lso,142.1,1975
lso,141.8,1976
lso,143.8,1977
lso,145.3,1978
lso,144.8,1979
lso,142.5,1980
lso,138.4,1981
lso,133.7,1982
lso,131.7,1983
lso,128.7,1984
lso,127.5,1985
lso,126.9,1986
lso,127.5,1987
lso,126.9,1988
lso,125.1,1989
lso,124.2,1990
lso,123.8,1991
lso,121.3,1992
lso,119.1,1993
lso,117.3,1994
lso,115.1,1996
lso,113.6,1997
lso,114.1,1998
lso,111.9,1999
lso,107.5,2000
lso,105.6,2001
lso,105.5,2002
lso,105.1,2003
lso,104.1,2004
lso,104.2,2005
lso,104.2,2006
lso,105.0,2007
lso,105.4,2008
lso,107.5,2009
lso,106.1,2010
lbr,45.3,1970
lbr,46.34,1971
lbr,47.96,1972
lbr,45.34,1975
lbr,44.03,1976
lbr,50.86,1978
lbr,51.85,1979
lbr,50.08,1980
lbr,72.5,1999
lbr,73.27,2000
lbr,88.44,2011
lby,55.24,1971
lby,61.38,1972
lby,68.19,1973
lby,74.17,1974
lby,77.6,1975
lby,80.06,1976
lby,83.09,1977
lby,85.42,1978
lby,86.66,1979
lby,87.12,1980
lby,86.99,1981
lby,87.45,1983
lby,90.71,1986
lby,103.2,2002
lby,101.6,2003
lby,108.3,2005
lby,106.0,2006
lie,104.3,2003
lie,104.2,2004
lie,107.8,2006
lie,104.3,2007
lie,102.3,2008
lie,101.3,2009
lie,98.6,2010
ltu,96.38,1993
ltu,101.8,1995
ltu,101.2,1996
ltu,100.5,1997
ltu,99.72,1998
ltu,99.51,1999
ltu,99.18,2000
ltu,98.94,2001
ltu,98.45,2002
ltu,98.27,2003
ltu,99.21,2004
ltu,99.41,2005
ltu,99.62,2006
ltu,99.59,2007
ltu,99.5,2008
ltu,99.47,2009
ltu,98.36,2010
lux,99.27,1971
lux,98.91,1972
lux,99.77,1973
lux,100.1,1974
lux,101.0,1975
lux,100.4,1976
lux,101.3,1977
lux,99.77,1978
lux,99.82,1979
lux,100.9,1980
lux,87.41,1981
lux,97.35,1982
lux,95.49,1983
lux,95.44,1984
lux,99.22,1986
lux,99.86,1987
lux,101.9,1988
lux,102.9,1999
lux,103.6,2000
lux,103.2,2001
lux,102.8,2002
lux,102.6,2003
lux,102.4,2004
lux,102.8,2005
lux,102.3,2006
lux,101.8,2007
lux,102.0,2008
lux,102.2,2010
mac,95.91,1971
mac,108.6,1972
mac,112.1,1973
mac,106.8,1974
mac,98.67,1990
mac,100.3,1992
mac,100.5,1993
mac,100.6,1999
mac,100.4,2000
mac,101.4,2001
mac,100.9,2002
mac,100.8,2003
mac,99.59,2004
mac,99.52,2005
mac,100.3,2006
mac,98.23,2007
mac,97.2,2008
mac,96.75,2009
mac,95.44,2010
mac,95.01,2011
mkd,98.8,1993
mkd,98.81,1994
mkd,98.61,1995
mkd,97.83,1996
mkd,97.93,1997
mkd,97.46,1998
mkd,97.82,1999
mkd,97.86,2000
mkd,98.31,2001
mkd,99.06,2002
mkd,98.95,2003
mkd,98.86,2004
mkd,98.88,2005
mkd,98.66,2007
mkd,98.56,2008
mkd,99.07,2009
mkd,100.1,2010
mdg,84.47,1971
mdg,85.08,1972
mdg,85.37,1974
mdg,92.49,1988
mdg,94.68,1989
mdg,95.57,1990
mdg,95.83,2005
mdg,96.08,2006
mdg,96.58,2007
mdg,96.62,2008
mdg,97.04,2009
mwi,56.7,1972
mwi,56.26,1973
mwi,59.67,1975
mwi,61.16,1976
mwi,62.69,1977
mwi,63.59,1978
mwi,64.76,1979
mwi,65.98,1980
mwi,67.1,1981
mwi,69.11,1982
mwi,70.89,1983
mwi,71.6,1984
mwi,72.98,1985
mwi,75.58,1986
mwi,77.75,1987
mwi,79.76,1988
mwi,80.58,1989
mwi,81.32,1990
mwi,82.5,1991
mwi,89.15,1993
mwi,92.33,1994
mwi,88.52,1995
mwi,88.55,1996
mwi,90.72,1999
mwi,92.79,2000
mwi,93.44,2001
mwi,93.56,2002
mwi,96.18,2003
mwi,98.88,2004
mwi,98.87,2005
mwi,100.0,2006
mwi,99.81,2007
mwi,99.37,2008
mwi,99.98,2009
mwi,101.3,2010
mwi,101.6,2011
mys,83.2,1970
mys,96.41,1980
mys,97.47,1981
mys,98.21,1982
mys,98.34,1983
mys,99.3,1984
mys,99.68,1985
mys,100.1,1987
mys,100.5,1988
mys,100.8,1989
mys,102.0,1990
mys,101.5,1991
mys,102.2,1992
mys,102.4,1993
mys,103.0,1994
mys,103.2,1995
mys,103.4,1998
mys,102.4,1999
mys,103.5,2000
mys,103.4,2001
mys,103.8,2002
mys,105.2,2003
mys,105.1,2004
mys,104.0,2005
mdv,99.56,1994
mdv,100.0,1995
mdv,99.54,1996
mdv,100.5,1997
mdv,101.2,1998
mdv,101.4,1999
mdv,101.5,2000
mdv,101.3,2001
mdv,102.6,2002
mdv,101.4,2003
mdv,101.8,2004
mli,52.04,1971
mli,52.94,1972
mli,57.18,1973
mli,54.34,1974
mli,52.63,1976
mli,53.29,1978
mli,53.98,1979
mli,53.7,1980
mli,54.85,1981
mli,54.98,1982
mli,55.19,1983
mli,55.39,1984
mli,57.7,1987
mli,57.28,1988
mli,59.26,1989
mli,58.72,1990
mli,58.92,1991
mli,57.68,1992
mli,60.23,1993
mli,61.56,1994
mli,65.19,1995
mli,64.38,1996
mli,63.84,1997
mli,67.14,1998
mli,68.43,1999
mli,71.07,2000
mli,72.1,2003
mli,74.35,2004
