geo,time,sg_gini
afg,1800,30.50
ago,1800,48.90
alb,1800,41.20
are,1800,45.00
arg,1800,47.10
arm,1800,29.10
atg,1800,45.00
aus,1800,41.30
aut,1800,53.40
aze,1800,31.70
bdi,1800,43.70
bel,1800,62.40
ben,1800,48.00
bfa,1800,37.50
bgd,1800,41.80
bgr,1800,47.80
bhr,1800,45.00
bhs,1800,46.80
bih,1800,26.20
blr,1800,57.90
blz,1800,56.00
bol,1800,36.90
bra,1800,40.10
brb,1800,48.30
brn,1800,45.00
btn,1800,46.80
bwa,1800,35.60
caf,1800,45.20
can,1800,45.10
che,1800,41.70
chl,1800,47.10
chn,1800,44.20
civ,1800,38.10
cmr,1800,56.20
cod,1800,42.10
cog,1800,51.10
col,1800,58.90
com,1800,36.30
cpv,1800,50.50
cri,1800,50.00
cub,1800,36.50
cyp,1800,29.00
cze,1800,34.90
deu,1800,53.00
dji,1800,41.50
dnk,1800,61.00
dom,1800,40.10
dza,1800,57.70
ecu,1800,38.00
egy,1800,57.70
eri,1800,45.00
esp,1800,38.00
est,1800,48.90
eth,1800,47.50
fin,1800,50.60
fji,1800,47.60
fra,1800,59.00
fsm,1800,61.10
gab,1800,45.90
gbr,1800,59.30
geo,1800,29.70
gha,1800,58.40
gin,1800,32.70
gmb,1800,45.00
gnb,1800,49.80
gnq,1800,45.00
grc,1800,49.90
grd,1800,45.00
gtm,1800,35.30
guy,1800,38.20
hnd,1800,61.90
hti,1800,41.50
hun,1800,47.40
idn,1800,51.70
ind,1800,32.80
irl,1800,44.60
irn,1800,57.70
irq,1800,57.70
isl,1800,24.60
isr,1800,44.90
ita,1800,60.50
jam,1800,39.10
jor,1800,38.80
jpn,1800,53.20
kaz,1800,43.30
ken,1800,46.30
kgz,1800,46.00
khm,1800,38.50
kir,1800,45.00
kor,1800,32.10
kwt,1800,45.00
lao,1800,38.40
lbn,1800,57.70
lbr,1800,38.20
lby,1800,45.00
lca,1800,42.60
lka,1800,48.00
lso,1800,56.00
ltu,1800,48.90
lux,1800,25.80
lva,1800,48.90
mar,1800,57.70
mda,1800,47.80
mdg,1800,41.00
mdv,1800,41.00
mex,1800,40.10
mkd,1800,32.50
mli,1800,47.20
mlt,1800,30.00
mmr,1800,30.50
mne,1800,30.10
mng,1800,33.20
moz,1800,45.20
mrt,1800,49.50
mus,1800,37.90
mwi,1800,45.70
mys,1800,25.30
nam,1800,52.60
ner,1800,43.30
nga,1800,54.90
nic,1800,56.70
nld,1800,56.30
nor,1800,43.70
npl,1800,41.00
nzl,1800,38.20
omn,1800,45.00
pak,1800,28.70
pan,1800,58.90
per,1800,57.40
phl,1800,32.50
png,1800,25.80
pol,1800,34.50
prk,1800,45.00
prt,1800,55.10
pry,1800,56.00
pse,1800,34.00
qat,1800,45.00
rou,1800,47.80
rus,1800,57.90
rwa,1800,59.00
sau,1800,45.00
sdn,1800,33.80
sds,1800,33.78
sen,1800,45.90
sgp,1800,41.00
slb,1800,45.00
sle,1800,60.10
slv,1800,53.00
som,1800,50.90
srb,1800,32.50
stp,1800,50.80
sur,1800,32.20
svk,1800,34.90
svn,1800,27.70
swe,1800,67.50
swz,1800,60.70
syc,1800,46.00
syr,1800,57.70
tcd,1800,50.60
tgo,1800,37.80
tha,1800,47.40
tjk,1800,47.40
tkm,1800,41.40
tls,1800,30.40
ton,1800,45.00
tto,1800,44.90
tun,1800,57.70
tur,1800,57.70
tza,1800,37.60
uga,1800,41.00
ukr,1800,45.60
ury,1800,48.10
usa,1800,66.60
uzb,1800,44.40
vct,1800,45.00
ven,1800,43.30
vnm,1800,40.40
vut,1800,45.00
wsm,1800,45.00
yem,1800,57.70
zaf,1800,35.90
zmb,1800,39.90
zwe,1800,34.60
afg,1801,30.50
ago,1801,48.90
alb,1801,41.20
are,1801,45.00
arg,1801,47.10
arm,1801,29.10
atg,1801,45.00
aus,1801,41.30
aut,1801,53.40
aze,1801,31.90
bdi,1801,43.70
