geo,time,sg_gdp_p_cap_const_ppp2011_dollar
tls,1800,521.00
ton,1800,663.00
tto,1800,1230.00
tun,1800,716.00
tur,1800,1221.00
tza,1800,562.00
uga,1800,464.00
ukr,1800,763.00
ury,1800,1758.00
usa,1800,2128.00
uzb,1800,502.00
vct,1800,838.00
ven,1800,682.00
vnm,1800,861.00
vut,1800,585.00
wsm,1800,1400.00
yem,1800,877.00
zaf,1800,1480.00
zmb,1800,663.00
zwe,1800,869.00
afg,1801,603.00
ago,1801,620.00
alb,1801,667.00
are,1801,1001.00
arg,1801,1508.00
arm,1801,514.00
atg,1801,757.00
aus,1801,816.00
aut,1801,1855.00
aze,1801,775.00
bdi,1801,418.00
bel,1801,2413.00
ben,1801,597.00
bfa,1801,480.00
bgd,1801,876.00
bgr,1801,1089.00
bhr,1801,1240.00
bhs,1801,1445.00
bih,1801,669.00
blr,1801,608.00
blz,1801,579.00
bol,1801,854.00
bra,1801,1109.00
brb,1801,914.00
brn,1801,1512.00
btn,1801,629.00
bwa,1801,397.00
caf,1801,424.00
can,1801,1322.00
che,1801,2701.00
chl,1801,1026.00
chn,1801,985.00
civ,1801,816.00
cmr,1801,626.00
cod,1801,487.00
cog,1801,576.00
col,1801,963.00
com,1801,697.00
cpv,1801,529.00
cri,1801,775.00
cub,1801,874.00
cyp,1801,854.00
cze,1801,1916.00
deu,1801,1651.00
dji,1801,754.00
dnk,1801,2017.00
dom,1801,667.00
dza,1801,716.00
ecu,1801,529.00
egy,1801,791.00
eri,1801,532.00
esp,1801,1518.00
est,1801,939.00
eth,1801,523.00
fin,1801,1246.00
fji,1801,785.00
fra,1801,1806.00
fsm,1801,518.00
gab,1801,390.00
gbr,1801,3439.00
geo,1801,543.00
gha,1801,696.00
gin,1801,450.00
gmb,1801,813.00
gnb,1801,777.00
gnq,1801,356.00
grc,1801,1374.00
grd,1801,959.00
gtm,1801,857.00
guy,1801,1214.00
hnd,1801,675.00
hti,1801,633.00
hun,1801,1249.00
idn,1801,994.00
ind,1801,1052.00
irl,1801,1447.00
irn,1801,977.00
irq,1801,970.00
isl,1801,926.00
isr,1801,880.00
ita,1801,2197.00
jam,1801,1171.00
jor,1801,976.00
jpn,1801,1051.00
kaz,1801,1141.00
ken,1801,856.00
kgz,1801,508.00
khm,1801,904.00
kir,1801,551.00
kor,1801,575.00
kwt,1801,1101.00
lao,1801,865.00
lbn,1801,1082.00
lbr,1801,797.00
lby,1801,1050.00
lca,1801,875.00
lka,1801,898.00
lso,1801,393.00
ltu,1801,1271.00
lux,1801,1453.00
lva,1801,752.00
mar,1801,715.00
mda,1801,621.00
mdg,1801,573.00
mdv,1801,843.00
mex,1801,1379.00
mkd,1801,690.00
mli,1801,603.00
mlt,1801,782.00
mmr,1801,840.00
mne,1801,1058.00
mng,1801,592.00
moz,1801,391.00
mrt,1801,528.00
mus,1801,940.00
mwi,1801,350.00
mys,1801,997.00
nam,1801,540.00
ner,1801,446.00
nga,1801,853.00
nic,1801,973.00
nld,1801,4161.00
nor,1801,1280.00
npl,1801,654.00
nzl,1801,659.00
omn,1801,916.00
pak,1801,1021.00
pan,1801,847.00
per,1801,1204.00
phl,1801,962.00
png,1801,546.00
pol,1801,1217.00
prk,1801,578.00
prt,1801,1685.00
pry,1801,835.00
pse,1801,1221.00
qat,1801,1101.00
rou,1801,816.00
rus,1801,1432.00
rwa,1801,432.00
sau,1801,846.00
sdn,1801,518.00
sds,1801,507.00
sen,1801,497.00
sgp,1801,1021.00
slb,1801,363.00
sle,1801,734.00
slv,1801,975.00
som,1801,694.00
srb,1801,1358.00
stp,1801,852.00
sur,1801,1637.00
svk,1801,1427.00
svn,1801,1409.00
swe,1801,1402.00
swz,1801,490.00
syc,1801,795.00
syr,1801,1081.00
tcd,1801,418.00
tgo,1801,683.00
tha,1801,932.00
tjk,1801,557.00
tkm,1801,944.00
tls,1801,522.00
ton,1801,663.00
tto,1801,1230.00
tun,1801,716.00
tur,1801,1221.00
tza,1801,562.00
