basomrade,year,immigration_surplus_min_3_years_of_higher_education_aged_25_64_male
4111110_norra_runby,2000,-4
4111110_norra_runby,2001,0
4111110_norra_runby,2002,0
4111110_norra_runby,2003,-2
4111110_norra_runby,2004,-4
4111110_norra_runby,2005,-13
4111110_norra_runby,2006,1
4111110_norra_runby,2007,5
4111110_norra_runby,2008,-4
4111110_norra_runby,2009,6
4111110_norra_runby,2010,11
4111110_norra_runby,2011,-3
4111110_norra_runby,2012,2
4111110_norra_runby,2013,7
4111110_norra_runby,2014,18
4111120_sodra_runby,2000,3
4111120_sodra_runby,2001,-3
4111120_sodra_runby,2002,-3
4111120_sodra_runby,2003,0
4111120_sodra_runby,2004,-3
4111120_sodra_runby,2005,0
4111120_sodra_runby,2006,0
4111120_sodra_runby,2007,0
4111120_sodra_runby,2008,3
4111120_sodra_runby,2009,0
4111120_sodra_runby,2010,-1
4111120_sodra_runby,2011,0
4111120_sodra_runby,2012,-5
4111120_sodra_runby,2013,-3
4111120_sodra_runby,2014,0
4111130_runby_lovsta,2000,0
4111130_runby_lovsta,2001,-6
4111130_runby_lovsta,2002,0
4111130_runby_lovsta,2003,-1
4111130_runby_lovsta,2004,1
4111130_runby_lovsta,2005,2
4111130_runby_lovsta,2006,-9
4111130_runby_lovsta,2007,6
4111130_runby_lovsta,2008,-4
4111130_runby_lovsta,2009,5
4111130_runby_lovsta,2010,5
4111130_runby_lovsta,2011,1
4111130_runby_lovsta,2012,4
4111130_runby_lovsta,2013,4
4111130_runby_lovsta,2014,0
4111140_prastgardsmarken,2000,2
4111140_prastgardsmarken,2001,-7
4111140_prastgardsmarken,2002,1
4111140_prastgardsmarken,2003,3
4111140_prastgardsmarken,2004,-1
4111140_prastgardsmarken,2005,-9
4111140_prastgardsmarken,2006,-3
4111140_prastgardsmarken,2007,6
4111140_prastgardsmarken,2008,-4
4111140_prastgardsmarken,2009,-2
4111140_prastgardsmarken,2010,-1
4111140_prastgardsmarken,2011,-3
4111140_prastgardsmarken,2012,1
4111140_prastgardsmarken,2013,-6
4111140_prastgardsmarken,2014,3
4111900_eds_glesbygd,2000,0
4111900_eds_glesbygd,2001,0
4111900_eds_glesbygd,2002,0
4111900_eds_glesbygd,2003,0
4111900_eds_glesbygd,2004,0
4111900_eds_glesbygd,2005,0
4111900_eds_glesbygd,2006,0
4111900_eds_glesbygd,2007,-3
4111900_eds_glesbygd,2008,0
4111900_eds_glesbygd,2009,0
4111900_eds_glesbygd,2010,2
4111900_eds_glesbygd,2011,0
4111900_eds_glesbygd,2012,-3
4111900_eds_glesbygd,2013,0
4111900_eds_glesbygd,2014,5
