basomrade,year,mean_income_aged_lt_20
4111110_norra_runby,2000,205826.34
4111110_norra_runby,2001,215563.35
4111110_norra_runby,2002,220216.8
4111110_norra_runby,2003,221818.57
4111110_norra_runby,2004,225927.85
4111110_norra_runby,2005,232496.69
4111110_norra_runby,2006,237929.34
4111110_norra_runby,2007,250344.13
4111110_norra_runby,2008,260920.73
4111110_norra_runby,2009,260819.6
4111110_norra_runby,2010,261600.51
4111110_norra_runby,2011,267340.22
4111110_norra_runby,2012,277171.62
4111110_norra_runby,2013,280566.91
4111110_norra_runby,2014,283932.05
4111120_sodra_runby,2000,218779.22
4111120_sodra_runby,2001,224900.05
4111120_sodra_runby,2002,232411.03
4111120_sodra_runby,2003,236057.16
4111120_sodra_runby,2004,242420.34
4111120_sodra_runby,2005,245321.23
4111120_sodra_runby,2006,249596.91
4111120_sodra_runby,2007,260005.42
4111120_sodra_runby,2008,271367.22
4111120_sodra_runby,2009,274465.83
4111120_sodra_runby,2010,265624.76
4111120_sodra_runby,2011,275997.85
4111120_sodra_runby,2012,286405.57
4111120_sodra_runby,2013,287647.24
4111120_sodra_runby,2014,296454.32
4111130_runby_lovsta,2000,231183.78
4111130_runby_lovsta,2001,234784.58
4111130_runby_lovsta,2002,240150.21
4111130_runby_lovsta,2003,249672.87
4111130_runby_lovsta,2004,253392.23
4111130_runby_lovsta,2005,261373.69
4111130_runby_lovsta,2006,262129.09
4111130_runby_lovsta,2007,272730.95
4111130_runby_lovsta,2008,280652.94
4111130_runby_lovsta,2009,287212.38
4111130_runby_lovsta,2010,291136.88
4111130_runby_lovsta,2011,295691.5
4111130_runby_lovsta,2012,300440.06
4111130_runby_lovsta,2013,301275.37
4111130_runby_lovsta,2014,313293.52
4111140_prastgardsmarken,2000,209856.63
4111140_prastgardsmarken,2001,222245.22
4111140_prastgardsmarken,2002,227457.41
4111140_prastgardsmarken,2003,229637.22
4111140_prastgardsmarken,2004,231529.32
4111140_prastgardsmarken,2005,230787.62
4111140_prastgardsmarken,2006,239988.26
4111140_prastgardsmarken,2007,251404.86
4111140_prastgardsmarken,2008,265474.77
4111140_prastgardsmarken,2009,266641.06
4111140_prastgardsmarken,2010,268158
