basomrade,year,cumulative_immigration_surplus_employed_aged_20_64_male
1010120_skeppsbron,2000,4
1010120_skeppsbron,2001,2
1010120_skeppsbron,2002,6
1010120_skeppsbron,2003,-5
1010120_skeppsbron,2004,-2
1010120_skeppsbron,2005,-5
1010120_skeppsbron,2006,2
1010120_skeppsbron,2007,12
1010120_skeppsbron,2008,17
1010120_skeppsbron,2009,11
1010120_skeppsbron,2010,15
1010120_skeppsbron,2011,15
1010120_skeppsbron,2012,11
1010120_skeppsbron,2013,8
1010120_skeppsbron,2014,17
1010130_munkbron,2000,16
1010130_munkbron,2001,32
1010130_munkbron,2002,20
1010130_munkbron,2003,14
1010130_munkbron,2004,0
1010130_munkbron,2005,-2
1010130_munkbron,2006,-10
1010130_munkbron,2007,-5
1010130_munkbron,2008,-6
1010130_munkbron,2009,5
1010130_munkbron,2010,3
1010130_munkbron,2011,12
1010130_munkbron,2012,25
1010130_munkbron,2013,31
1010130_munkbron,2014,43
1010140_stortorget,2000,-17
1010140_stortorget,2001,-22
1010140_stortorget,2002,-12
1010140_stortorget,2003,-9
1010140_stortorget,2004,-1
1010140_stortorget,2005,-4
1010140_stortorget,2006,8
1010140_stortorget,2007,-6
1010140_stortorget,2008,-14
1010140_stortorget,2009,-17
1010140_stortorget,2010,-19
1010140_stortorget,2011,-28
1010140_stortorget,2012,-31
1010140_stortorget,2013,-27
1010140_stortorget,2014,-25
1010201_centralstationen_n,2000,-2
1010201_centralstationen_n,2001,-5
1010201_centralstationen_n,2002,-10
1010201_centralstationen_n,2003,-18
1010201_centralstationen_n,2004,-19
1010201_centralstationen_n,2005,-22
1010201_centralstationen_n,2006,-29
1010201_centralstationen_n,2007,-24
1010201_centralstationen_n,2008,-33
1010201_centralstationen_n,2009,-35
1010201_centralstationen_n,2010,-47
1010201_centralstationen_n,2011,-55
1010201_centralstationen_n,2012,-56
1010201_centralstationen_n,2013,-58
1010201_centralstationen_n,2014,-73
1010220_klara_kyrka,2000,1
1010220_klara_kyrka,2001,-3
1010220_klara_kyrka,2002,22
1010220_klara_kyrka,2003,25
1010220_klara_kyrka,2004,24
1010220_klara_kyrka,2005,26
1010220_klara_kyrka,2006,24
1010220_klara_kyrka,2007,21
1010220_klara_kyrka,2008,20
1010220_klara_kyrka,2009,24
1010220_klara_kyrka,2010,23
1010220_klara_kyrka,2011,18
1010220_klara_kyrka,2012,19
1010220_klara_kyrka,2013,19
1010220_klara_kyrka,2014,16
1010230_centralposten,2000,1
1010230_centralposten,2001,-3
1010230_centralposten,2002,0
1010230_centralposten,2003,39
1010230_centralposten,2004,43
1010230_centralposten,2005,49
1010230_centralposten,2006,56
1010230_centralposten,2007,55
1010230_centralposten,2008,60
1010230_centralposten,2009,60
1010230_centralposten,2010,64
1010230_centralposten,2011,66
1010230_centralposten,2012,67
1010230_centralposten,2013,67
1010230_centralposten,2014,67
1010240_oscarsteatern,2000,-1
1010240_oscarsteatern,2001,-10
1010240_oscarsteatern,2002,-9
1010240_oscarsteatern,2003,-15
1010240_oscarsteatern,2004,-21
1010240_oscarsteatern,2005,-26
1010240_oscarsteatern,2006,-28
1010240_oscarsteatern,2007,-26
1010240_oscarsteatern,2008,-30
1010240_oscarsteatern,2009,-30
1010240_oscarsteatern,2010,-35
1010240_oscarsteatern,2011,-16
1010240_oscarsteatern,2012,-11
1010240_oscarsteatern,2013,-20
1010240_oscarsteatern,2014,-25
1010250_brunkeberg,2000,4
1010250_brunkeberg,2001,9
1010250_brunkeberg,2002,5
1010250_brunkeberg,2003,7
1010250_brunkeberg,2004,5
1010250_brunkeberg,2005,3
1010250_brunkeberg,2006,4
1010250_brunkeberg,2007,0
1010250_brunkeberg,2008,-1
1010250_brunkeberg,2009,-1
1010250_brunkeberg,2010,0
1010250_brunkeberg,2011,-1
1010250_brunkeberg,2012,-3
1010250_brunkeberg,2013,-3
1010250_brunkeberg,2014,1
1010290_oxtorget,2000,1
1010290_oxtorget,2001,-3
1010290_oxtorget,2002,4
1010290_oxtorget,2003,19
1010290_oxtorget,2004,19
1010290_oxtorget,2005,19
1010290_oxtorget,2006,23
1010290_oxtorget,2007,26
1010290_oxtorget,2008,21
1010290_oxtorget,2009,26
1010290_oxtorget,2010,19
1010290_oxtorget,2011,12
1010290_oxtorget,2012,7
1010290_oxtorget,2013,6
1010290_oxtorget,2014,6
1010310_norrlandsgatan,2000,0
1010310_norrlandsgatan,2001,0
1010310_norrlandsgatan,2002,14
1010310_norrlandsgatan,2003,22
1010310_norrlandsgatan,2004,23
1010310_norrlandsgatan,2005,23
1010310_norrlandsgatan,2006,31
1010310_norrlandsgatan,2007,38
1010310_norrlandsgatan,2008,37
1010310_norrlandsgatan,2009,30
1010310_norrlandsgatan,2010,36
1010310_norrlandsgatan,2011,35
1010310_norrlandsgatan,2012,46
1010310_norrlandsgatan,2013,55
1010310_norrlandsgatan,2014,61
1110111_brunnsgatan_n,2000,-3
1110111_brunnsgatan_n,2001,-9
1110111_brunnsgatan_n,2002,14
1110111_brunnsgatan_n,2003,24
1110111_brunnsgatan_n,2004,17
1110111_brunnsgatan_n,2005,7
1110111_brunnsgatan_n,2006,7
1110111_brunnsgatan_n,2007,0
1110111_brunnsgatan_n,2008,1
1110111_brunnsgatan_n,2009,6
1110111_brunnsgatan_n,2010,20
1110111_brunnsgatan_n,2011,13
1110111_brunnsgatan_n,2012,10
1110111_brunnsgatan_n,2013,12
1110111_brunnsgatan_n,2014,17
1110112_brunnsgatan_s,2000,-2
1110112_brunnsgatan_s,2001,-7
1110112_brunnsgatan_s,2002,-10
1110112_brunnsgatan_s,2003,-12
1110112_brunnsgatan_s,2004,-19
1110112_brunnsgatan_s,2005,-17
1110112_brunnsgatan_s,2006,-14
1110112_brunnsgatan_s,2007,-16
1110112_brunnsgatan_s,2008,-22
1110112_brunnsgatan_s,2009,-23
1110112_brunnsgatan_s,2010,-24
1110112_brunnsgatan_s,2011,-21
1110112_brunnsgatan_s,2012,-12
1110112_brunnsgatan_s,2013,-14
1110112_brunnsgatan_s,2014,-7
1110120_johannes_kyrka,2000,-5
1110120_johannes_kyrka,2001,-4
1110120_johannes_kyrka,2002,7
1110120_johannes_kyrka,2003,5
1110120_johannes_kyrka,2004,17
1110120_johannes_kyrka,2005,11
1110120_johannes_kyrka,2006,16
1110120_johannes_kyrka,2007,23
1110120_johannes_kyrka,2008,21
1110120_johannes_kyrka,2009,19
1110120_johannes_kyrka,2010,27
1110120_johannes_kyrka,2011,22
1110120_johannes_kyrka,2012,26
1110120_johannes_kyrka,2013,23
1110120_johannes_kyrka,2014,29
1110210_wenner_gren_center,2000,-12
1110210_wenner_gren_center,2001,-21
1110210_wenner_gren_center,2002,-37
1110210_wenner_gren_center,2003,-48
1110210_wenner_gren_center,2004,-52
1110210_wenner_gren_center,2005,-59
1110210_wenner_gren_center,2006,-66
1110210_wenner_gren_center,2007,-84
1110210_wenner_gren_center,2008,-86
1110210_wenner_gren_center,2009,-110
1110210_wenner_gren_center,2010,-107
1110210_wenner_gren_center,2011,-118
1110210_wenner_gren_center,2012,-114
1110210_wenner_gren_center,2013,-110
1110210_wenner_gren_center,2014,-97
1110220_vanadislunden,2000,66
1110220_vanadislunden,2001,73
1110220_vanadislunden,2002,65
1110220_vanadislunden,2003,102
1110220_vanadislunden,2004,91
1110220_vanadislunden,2005,98
1110220_vanadislunden,2006,70
1110220_vanadislunden,2007,96
1110220_vanadislunden,2008,112
1110220_vanadislunden,2009,132
1110220_vanadislunden,2010,118
1110220_vanadislunden,2011,117
1110220_vanadislunden,2012,105
1110220_vanadislunden,2013,99
1110220_vanadislunden,2014,104
1110230_surbrunnsomradet,2000,25
1110230_surbrunnsomradet,2001,32
1110230_surbrunnsomradet,2002,23
1110230_surbrunnsomradet,2003,13
1110230_surbrunnsomradet,2004,21
1110230_surbrunnsomradet,2005,23
1110230_surbrunnsomradet,2006,25
1110230_surbrunnsomradet,2007,44
1110230_surbrunnsomradet,2008,47
1110230_surbrunnsomradet,2009,29
1110230_surbrunnsomradet,2010,44
1110230_surbrunnsomradet,2011,65
1110230_surbrunnsomradet,2012,55
1110230_surbrunnsomradet,2013,87
1110230_surbrunnsomradet,2014,86
1110240_norra_real,2000,3
1110240_norra_real,2001,-2
1110240_norra_real,2002,0
1110240_norra_real,2003,-1
1110240_norra_real,2004,14
1110240_norra_real,2005,18
1110240_norra_real,2006,24
1110240_norra_real,2007,17
1110240_norra_real,2008,11
1110240_norra_real,2009,14
1110240_norra_real,2010,18
1110240_norra_real,2011,8
1110240_norra_real,2012,21
1110240_norra_real,2013,16
1110240_norra_real,2014,21
1110250_elverket,2000,2
1110250_elverket,2001,8
1110250_elverket,2002,4
1110250_elverket,2003,3
1110250_elverket,2004,10
1110250_elverket,2005,20
1110250_elverket,2006,17
1110250_elverket,2007,15
1110250_elverket,2008,14
1110250_elverket,2009,18
1110250_elverket,2010,23
1110250_elverket,2011,24
1110250_elverket,2012,24
1110250_elverket,2013,19
1110250_elverket,2014,15
1120110_tegnerlunden,2000,12
1120110_tegnerlunden,2001,8
1120110_tegnerlunden,2002,29
1120110_tegnerlunden,2003,37
1120110_tegnerlunden,2004,37
1120110_tegnerlunden,2005,52
1120110_tegnerlunden,2006,60
1120110_tegnerlunden,2007,58
1120110_tegnerlunden,2008,50
1120110_tegnerlunden,2009,53
1120110_tegnerlunden,2010,66
1120110_tegnerlunden,2011,76
1120110_tegnerlunden,2012,67
1120110_tegnerlunden,2013,76
1120110_tegnerlunden,2014,81
1120120_tandlakarhogskolan,2000,-1
1120120_tandlakarhogskolan,2001,-7
1120120_tandlakarhogskolan,2002,-7
1120120_tandlakarhogskolan,2003,1
1120120_tandlakarhogskolan,2004,-2
1120120_tandlakarhogskolan,2005,-12
1120120_tandlakarhogskolan,2006,-15
1120120_tandlakarhogskolan,2007,-23
1120120_tandlakarhogskolan,2008,-22
1120120_tandlakarhogskolan,2009,-33
1120120_tandlakarhogskolan,2010,-39
1120120_tandlakarhogskolan,2011,-47
1120120_tandlakarhogskolan,2012,-27
1120120_tandlakarhogskolan,2013,-23
1120120_tandlakarhogskolan,2014,-35
1120131_norra_bantorget_o,2000,10
1120131_norra_bantorget_o,2001,16
1120131_norra_bantorget_o,2002,11
1120131_norra_bantorget_o,2003,18
1120131_norra_bantorget_o,2004,14
1120131_norra_bantorget_o,2005,27
1120131_norra_bantorget_o,2006,33
1120131_norra_bantorget_o,2007,31
1120131_norra_bantorget_o,2008,79
1120131_norra_bantorget_o,2009,102
1120131_norra_bantorget_o,2010,101
1120131_norra_bantorget_o,2011,98
1120131_norra_bantorget_o,2012,99
1120131_norra_bantorget_o,2013,84
1120131_norra_bantorget_o,2014,93
1120132_norra_bantorget_v,2010,13
1120132_norra_bantorget_v,2011,14
1120132_norra_bantorget_v,2012,15
1120132_norra_bantorget_v,2013,16
1120132_norra_bantorget_v,2014,17
1120140_adolf_fredriks_kyrka,2000,6
1120140_adolf_fredriks_kyrka,2001,1
1120140_adolf_fredriks_kyrka,2002,3
1120140_adolf_fredriks_kyrka,2003,-1
1120140_adolf_fredriks_kyrka,2004,-9
1120140_adolf_fredriks_kyrka,2005,0
1120140_adolf_fredriks_kyrka,2006,6
1120140_adolf_fredriks_kyrka,2007,5
1120140_adolf_fredriks_kyrka,2008,-1
1120140_adolf_fredriks_kyrka,2009,-3
1120140_adolf_fredriks_kyrka,2010,-1
1120140_adolf_fredriks_kyrka,2011,-5
1120140_adolf_fredriks_kyrka,2012,-1
