basomrade,year,immigration_surplus
4122340_vilunda,2006,-65
4122340_vilunda,2007,4
4122340_vilunda,2008,-46
4122340_vilunda,2009,-42
4122340_vilunda,2010,51
4122340_vilunda,2011,-31
4122340_vilunda,2012,11
4122340_vilunda,2013,8
4122340_vilunda,2014,-105
4122420_norra_smedby,2000,-14
4122420_norra_smedby,2001,-49
4122420_norra_smedby,2002,-52
4122420_norra_smedby,2003,-86
4122420_norra_smedby,2004,-78
4122420_norra_smedby,2005,-86
4122420_norra_smedby,2006,-108
4122420_norra_smedby,2007,-15
4122420_norra_smedby,2008,-38
4122420_norra_smedby,2009,-19
4122420_norra_smedby,2010,-8
4122420_norra_smedby,2011,-23
4122420_norra_smedby,2012,-23
4122420_norra_smedby,2013,33
4122420_norra_smedby,2014,32
4122430_sodra_smedby,2000,3
4122430_sodra_smedby,2001,-21
4122430_sodra_smedby,2002,-21
4122430_sodra_smedby,2003,-29
4122430_sodra_smedby,2004,-14
4122430_sodra_smedby,2005,-35
4122430_sodra_smedby,2006,-34
4122430_sodra_smedby,2007,-18
4122430_sodra_smedby,2008,-9
4122430_sodra_smedby,2009,-22
4122430_sodra_smedby,2010,-27
4122430_sodra_smedby,2011,-31
4122430_sodra_smedby,2012,-26
4122430_sodra_smedby,2013,9
4122430_sodra_smedby,2014,-24
4122520_skalby,2000,-15
4122520_skalby,2001,-1
4122520_skalby,2002,-13
4122520_skalby,2003,-7
4122520_skalby,2004,-12
4122520_skalby,2005,-1
4122520_skalby,2006,-5
4122520_skalby,2007,-3
4122520_skalby,2008,-31
4122520_skalby,2009,-37
4122520_skalby,2010,61
4122520_skalby,2011,17
4122520_skalby,2012,1
4122520_skalby,2013,-1
4122520_skalby,2014,-9
4122530_carlslund,2000,38
4122530_carlslund,2001,-13
4122530_carlslund,2002,-38
4122530_carlslund,2003,-31
4122530_carlslund,2004,-57
4122530_carlslund,2005,-38
4122530_carlslund,2006,84
4122530_carlslund,2007,17
4122530_carlslund,2008,-1
4122530_carlslund,2009,-7
4122530_carlslund,2010,126
4122530_carlslund,2011,55
4122530_carlslund,2012,16
4122530_carlslund,2013,75
4122530_carlslund,2014,44
4122540_brunnby,2000,-5
4122540_brunnby,2001,6
4122540_brunnby,2002,2
4122540_brunnby,2003,6
4122540_brunnby,2004,20
4122540_brunnby,2005,4
4122540_brunnby,2006,22
4122540_brunnby,2007,-19
4122540_brunnby,2008,19
4122540_brunnby,2009,-10
4122540_brunnby,2010,-3
4122540_brunnby,2011,-20
4122540_brunnby,2012,-10
4122540_brunnby,2013,-28
4122540_brunnby,2014,-18
4122600_vastra_odenslunda,2000,-11
4122600_vastra_odenslunda,2001,-2
4122600_vastra_odenslunda,2002,-18
4122600_vastra_odenslunda,2003,-15
4122600_vastra_odenslunda,2004,4
4122600_vastra_odenslunda,2005,-18
4122600_vastra_odenslunda,2006,18
4122600_vastra_odenslunda,2007,23
4122600_vastra_odenslunda,2008,-13
4122600_vastra_odenslunda,2009,-11
4122600_vastra_odenslunda,2010,-34
