basomrade,year,immigration_surplus
3250400_ska_fd_forsaml,2002,-4
3250400_ska_fd_forsaml,2003,31
3250400_ska_fd_forsaml,2004,36
3250400_ska_fd_forsaml,2005,22
3250400_ska_fd_forsaml,2006,5
3250400_ska_fd_forsaml,2007,-25
3250400_ska_fd_forsaml,2008,-21
3250400_ska_fd_forsaml,2009,7
3250400_ska_fd_forsaml,2010,42
3250400_ska_fd_forsaml,2011,61
3250400_ska_fd_forsaml,2012,46
3250400_ska_fd_forsaml,2013,40
3250400_ska_fd_forsaml,2014,12
5310420_skogsang_milsten,2000,105
5310420_skogsang_milsten,2001,-57
5310420_skogsang_milsten,2002,-70
5310420_skogsang_milsten,2003,-45
5310420_skogsang_milsten,2004,-31
5310420_skogsang_milsten,2005,-10
5310420_skogsang_milsten,2006,-26
5310420_skogsang_milsten,2007,-60
5310420_skogsang_milsten,2008,-23
5310420_skogsang_milsten,2009,-7
5310420_skogsang_milsten,2010,-24
5310420_skogsang_milsten,2011,3
5310420_skogsang_milsten,2012,-41
5310420_skogsang_milsten,2013,29
5310420_skogsang_milsten,2014,-3
5310810_fullersta_gard,2000,22
5310810_fullersta_gard,2001,-12
5310810_fullersta_gard,2002,-26
5310810_fullersta_gard,2003,37
5310810_fullersta_gard,2004,109
5310810_fullersta_gard,2005,-12
5310810_fullersta_gard,2006,14
5310810_fullersta_gard,2007,2
5310810_fullersta_gard,2008,-4
5310810_fullersta_gard,2009,-7
5310810_fullersta_gard,2010,11
5310810_fullersta_gard,2011,54
5310810_fullersta_gard,2012,18
5310810_fullersta_gard,2013,3
5310810_fullersta_gard,2014,32
5310830_fridhem,2000,-8
5310830_fridhem,2001,27
5310830_fridhem,2002,-24
5310830_fridhem,2003,13
5310830_fridhem,2004,48
5310830_fridhem,2005,7
5310830_fridhem,2006,8
5310830_fridhem,2007,-5
5310830_fridhem,2008,-6
5310830_fridhem,2009,-5
5310830_fridhem,2010,-11
5310830_fridhem,2011,15
5310830_fridhem,2012,-19
5310830_fridhem,2013,-11
5310830_fridhem,2014,4
5310840_kallbrink_vistaberg,2000,100
5310840_kallbrink_vistaberg,2001,6
5310840_kallbrink_vistaberg,2002,-11
5310840_kallbrink_vistaberg,2003,-4
5310840_kallbrink_vistaberg,2004,9
5310840_kallbrink_vistaberg,2005,47
5310840_kallbrink_vistaberg,2006,-13
5310840_kallbrink_vistaberg,2007,30
5310840_kallbrink_vistaberg,2008,292
5310840_kallbrink_vistaberg,2009,328
5310840_kallbrink_vistaberg,2010,211
5310840_kallbrink_vistaberg,2011,214
5310840_kallbrink_vistaberg,2012,208
5310840_kallbrink_vistaberg,2013,200
5310840_kallbrink_vistaberg,2014,74
5310850_vardkasen,2000,-44
5310850_vardkasen,2001,-4
5310850_vardkasen,2002,-4
5310850_vardkasen,2003,-3
5310850_vardkasen,2004,-26
5310850_vardkasen,2005,-6
5310850_vardkasen,2006,-15
5310850_vardkasen,2007,4
5310850_vardkasen,2008,9
5310850_vardkasen,2009,-9
5310850_vardkasen,2010,-8
5310850_vardkasen,2011,1
5310850_vardkasen,2012,53
5310850_vardkasen,2013,30
5310850_vardkasen,2014,84
5310910_sjodalen_huddinge_c,2000,14
5310910_sjodalen_huddinge_c,2001,41
5310910_sjodalen_huddinge_c,2002,-42
5310910_sjodalen_huddinge_c,2003,-52
5310910_sjodalen_huddinge_c,2004,14
5310910_sjodalen_huddinge_c,2005,28
5310910_sjodalen_huddinge_c,2006,67
5310910_sjodalen_huddinge_c,2007,228
5310910_sjodalen_huddinge_c,2008,504
5310910_sjodalen_huddinge_c,2009,27
5310910_sjodalen_huddinge_c,2010,-8
5310910_sjodalen_huddinge_c,2011,-2
5310910_sjodalen_huddinge_c,2012,-12
5310910_sjodalen_huddinge_c,2013,-59
5310910_sjodalen_huddinge_c,2014,-27
5310941_solgard,2000,1
5310941_solgard,2001,2
5310941_solgard,2002,2
5310941_solgard,2003,-10
5310941_solgard,2004,-11
5310941_solgard,2005,-13
5310941_solgard,2006,-5
5310941_solgard,2007,-14
5310941_solgard,2008,44
5310941_solgard,2009,-34
5310941_solgard,2010,4
5310941_solgard,2011,-11
5310941_solgard,2012,-17
5310941_solgard,2013,-41
5310941_solgard,2014,3
5310942_sorskogen,2000,-33
5310942_sorskogen,2001,-16
5310942_sorskogen,2002,-24
5310942_sorskogen,2003,-44
5310942_sorskogen,2004,1
5310942_sorskogen,2005,-1
5310942_sorskogen,2006,-13
5310942_sorskogen,2007,15
5310942_sorskogen,2008,2
5310942_sorskogen,2009,12
5310942_sorskogen,2010,40
5310942_sorskogen,2011,-9
5310942_sorskogen,2012,10
5310942_sorskogen,2013,-17
5310942_sorskogen,2014,25
5310950_horningsnas_balingsnas,2000,6
5310950_horningsnas_balingsnas,2001,-31
5310950_horningsnas_balingsnas,2002,-23
5310950_horningsnas_balingsnas,2003,-23
5310950_horningsnas_balingsnas,2004,-24
5310950_horningsnas_balingsnas,2005,16
5310950_horningsnas_balingsnas,2006,106
5310950_horningsnas_balingsnas,2007,15
5310950_horningsnas_balingsnas,2008,182
5310950_horningsnas_balingsnas,2009,19
5310950_horningsnas_balingsnas,2010,14
5310950_horningsnas_balingsnas,2011,88
5310950_horningsnas_balingsnas,2012,104
5310950_horningsnas_balingsnas,2013,-10
5310950_horningsnas_balingsnas,2014,180
5311010_stuvsta_kvarnberget,2000,6
5311010_stuvsta_kvarnberget,2001,9
5311010_stuvsta_kvarnberget,2002,8
5311010_stuvsta_kvarnberget,2003,-20
5311010_stuvsta_kvarnberget,2004,4
5311010_stuvsta_kvarnberget,2005,0
5311010_stuvsta_kvarnberget,2006,-20
5311010_stuvsta_kvarnberget,2007,8
5311010_stuvsta_kvarnberget,2008,37
5311010_stuvsta_kvarnberget,2009,-8
5311010_stuvsta_kvarnberget,2010,1
5311010_stuvsta_kvarnberget,2011,17
5311010_stuvsta_kvarnberget,2012,14
5311010_stuvsta_kvarnberget,2013,24
5311010_stuvsta_kvarnberget,2014,0
5311030_segersminne,2000,-11
5311030_segersminne,2001,-4
5311030_segersminne,2002,-37
5311030_segersminne,2003,92
5311030_segersminne,2004,-20
5311030_segersminne,2005,-19
5311030_segersminne,2006,20
5311030_segersminne,2007,21
5311030_segersminne,2008,-21
5311030_segersminne,2009,-5
5311030_segersminne,2010,15
5311030_segersminne,2011,-1
5311030_segersminne,2012,15
5311030_segersminne,2013,12
5311030_segersminne,2014,18
5311041_stensangen_hogmora,2000,-21
5311041_stensangen_hogmora,2001,-37
5311041_stensangen_hogmora,2002,-17
5311041_stensangen_hogmora,2003,25
5311041_stensangen_hogmora,2004,-33
5311041_stensangen_hogmora,2005,-30
5311041_stensangen_hogmora,2006,-33
5311041_stensangen_hogmora,2007,111
5311041_stensangen_hogmora,2008,-25
5311041_stensangen_hogmora,2009,15
5311041_stensangen_hogmora,2010,-10
5311041_stensangen_hogmora,2011,-5
5311041_stensangen_hogmora,2012,-24
5311041_stensangen_hogmora,2013,-69
5311041_stensangen_hogmora,2014,-43
5311042_kynas,2000,11
5311042_kynas,2001,-1
5311042_kynas,2002,0
5311042_kynas,2003,-5
5311042_kynas,2004,17
5311042_kynas,2005,5
5311042_kynas,2006,-20
5311042_kynas,2007,45
5311042_kynas,2008,-13
5311042_kynas,2009,-22
5311042_kynas,2010,23
5311042_kynas,2011,-7
5311042_kynas,2012,-5
5311042_kynas,2013,-7
5311042_kynas,2014,34
5311110_glado_kvarn,2000,51
5311110_glado_kvarn,2001,40
5311110_glado_kvarn,2002,43
5311110_glado_kvarn,2003,-2
5311110_glado_kvarn,2004,-17
5311110_glado_kvarn,2005,-9
5311110_glado_kvarn,2006,21
5311110_glado_kvarn,2007,2
5311110_glado_kvarn,2008,12
5311110_glado_kvarn,2009,-12
5311110_glado_kvarn,2010,8
5311110_glado_kvarn,2011,-3
5311110_glado_kvarn,2012,8
5311110_glado_kvarn,2013,-16
5311110_glado_kvarn,2014,18
5311120_adran,2000,3
5311120_adran,2001,13
5311120_adran,2002,12
5311120_adran,2003,23
5311120_adran,2004,12
5311120_adran,2005,11
5311120_adran,2006,19
5311120_adran,2007,0
5311120_adran,2008,18
5311120_adran,2009,8
5311120_adran,2010,0
5311120_adran,2011,-6
5311120_adran,2012,19
5311120_adran,2013,4
5311120_adran,2014,0
5320110_trangsunds_centrum,2000,-29
5320110_trangsunds_centrum,2001,70
5320110_trangsunds_centrum,2002,-11
5320110_trangsunds_centrum,2003,-40
5320110_trangsunds_centrum,2004,-23
5320110_trangsunds_centrum,2005,117
5320110_trangsunds_centrum,2006,-84
5320110_trangsunds_centrum,2007,-3
5320110_trangsunds_centrum,2008,9
5320110_trangsunds_centrum,2009,41
5320110_trangsunds_centrum,2010,-24
5320110_trangsunds_centrum,2011,-8
5320110_trangsunds_centrum,2012,-34
5320110_trangsunds_centrum,2013,8
5320110_trangsunds_centrum,2014,-55
5320120_trangsunds_smahus,2000,234
5320120_trangsunds_smahus,2001,11
5320120_trangsunds_smahus,2002,34
5320120_trangsunds_smahus,2003,67
5320120_trangsunds_smahus,2004,18
5320120_trangsunds_smahus,2005,54
5320120_trangsunds_smahus,2006,67
5320120_trangsunds_smahus,2007,21
5320120_trangsunds_smahus,2008,54
5320120_trangsunds_smahus,2009,-1
5320120_trangsunds_smahus,2010,-26
5320120_trangsunds_smahus,2011,26
5320120_trangsunds_smahus,2012,3
5320120_trangsunds_smahus,2013,45
5320120_trangsunds_smahus,2014,88
5320310_vastra_skogas,2000,-33
5320310_vastra_skogas,2001,-83
5320310_vastra_skogas,2002,-49
5320310_vastra_skogas,2003,-137
5320310_vastra_skogas,2004,-108
5320310_vastra_skogas,2005,-9
5320310_vastra_skogas,2006,-119
5320310_vastra_skogas,2007,65
5320310_vastra_skogas,2008,-45
5320310_vastra_skogas,2009,-177
5320310_vastra_skogas,2010,-77
5320310_vastra_skogas,2011,-172
5320310_vastra_skogas,2012,-65
5320310_vastra_skogas,2013,-88
5320310_vastra_skogas,2014,56
5320320_ostra_skogas,2000,-40
5320320_ostra_skogas,2001,-57
5320320_ostra_skogas,2002,-110
5320320_ostra_skogas,2003,-130
5320320_ostra_skogas,2004,-118
5320320_ostra_skogas,2005,-99
5320320_ostra_skogas,2006,-36
5320320_ostra_skogas,2007,-48
5320320_ostra_skogas,2008,-113
5320320_ostra_skogas,2009,-46
5320320_ostra_skogas,2010,-82
5320320_ostra_skogas,2011,29
5320320_ostra_skogas,2012,-106
5320320_ostra_skogas,2013,-90
5320320_ostra_skogas,2014,-110
5320410_lanna_drevviken,2000,177
5320410_lanna_drevviken,2001,185
5320410_lanna_drevviken,2002,82
5320410_lanna_drevviken,2003,69
5320410_lanna_drevviken,2004,33
5320410_lanna_drevviken,2005,64
5320410_lanna_drevviken,2006,52
5320410_lanna_drevviken,2007,-24
5320410_lanna_drevviken,2008,9
5320410_lanna_drevviken,2009,26
5320410_lanna_drevviken,2010,38
5320410_lanna_drevviken,2011,-31
5320410_lanna_drevviken,2012,19
5320410_lanna_drevviken,2013,-13
5320410_lanna_drevviken,2014,27
5320510_trangsunds_glesbygd,2000,34
5320510_trangsunds_glesbygd,2001,5
5320510_trangsunds_glesbygd,2002,5
5320510_trangsunds_glesbygd,2003,-5
5320510_trangsunds_glesbygd,2004,40
5320510_trangsunds_glesbygd,2005,-4
5320510_trangsunds_glesbygd,2006,24
5320510_trangsunds_glesbygd,2007,12
5320510_trangsunds_glesbygd,2008,-2
5320510_trangsunds_glesbygd,2009,10
5320510_trangsunds_glesbygd,2010,11
5320510_trangsunds_glesbygd,2011,-21
5320510_trangsunds_glesbygd,2012,8
5320510_trangsunds_glesbygd,2013,8
5320510_trangsunds_glesbygd,2014,3
5320520_vidja,2000,13
5320520_vidja,2001,1
5320520_vidja,2002,16
5320520_vidja,2003,16
5320520_vidja,2004,-9
5320520_vidja,2005,-12
5320520_vidja,2006,-9
5320520_vidja,2007,8
5320520_vidja,2008,-5
5320520_vidja,2009,-12
5320520_vidja,2010,-2
5320520_vidja,2011,-16
5320520_vidja,2012,-17
5320520_vidja,2013,3
5320520_vidja,2014,16
5330110_varby_gard,2000,-54
5330110_varby_gard,2001,14
5330110_varby_gard,2002,-114
5330110_varby_gard,2003,-250
5330110_varby_gard,2004,-217
5330110_varby_gard,2005,-184
5330110_varby_gard,2006,-349
5330110_varby_gard,2007,-155
5330110_varby_gard,2008,-303
5330110_varby_gard,2009,-269
5330110_varby_gard,2010,-167
5330110_varby_gard,2011,-143
5330110_varby_gard,2012,-116
5330110_varby_gard,2013,-115
5330110_varby_gard,2014,-190
5330200_masmo,2000,-7
5330200_masmo,2001,-39
5330200_masmo,2002,4
5330200_masmo,2003,-62
5330200_masmo,2004,-42
5330200_masmo,2005,6
5330200_masmo,2006,-25
5330200_masmo,2007,-121
5330200_masmo,2008,7
5330200_masmo,2009,-27
5330200_masmo,2010,-32
5330200_masmo,2011,-54
5330200_masmo,2012,-54
5330200_masmo,2013,-11
5330200_masmo,2014,-65
5330331_smista_juringe,2000,2
5330331_smista_juringe,2001,-5
5330331_smista_juringe,2002,36
5330331_smista_juringe,2003,6
5330331_smista_juringe,2004,78
5330331_smista_juringe,2005,88
5330331_smista_juringe,2006,121
5330331_smista_juringe,2007,13
5330331_smista_juringe,2008,15
5330331_smista_juringe,2009,-11
5330331_smista_juringe,2010,50
5330331_smista_juringe,2011,39
5330331_smista_juringe,2012,211
5330331_smista_juringe,2013,122
5330331_smista_juringe,2014,-47
5330332_jakobslund,2000,11
5330332_jakobslund,2001,-16
5330332_jakobslund,2002,-2
5330332_jakobslund,2003,-32
5330332_jakobslund,2004,-24
5330332_jakobslund,2005,34
5330332_jakobslund,2006,15
5330332_jakobslund,2007,11
5330332_jakobslund,2008,-4
5330332_jakobslund,2009,-6
5330332_jakobslund,2010,8
5330332_jakobslund,2011,-4
5330332_jakobslund,2012,-3
5330332_jakobslund,2013,-30
5330332_jakobslund,2014,7
5330340_krakvik,2000,18
5330340_krakvik,2001,18
5330340_krakvik,2002,23
5330340_krakvik,2003,-4
5330340_krakvik,2004,-2
5330340_krakvik,2005,-3
5330340_krakvik,2006,11
5330340_krakvik,2007,-1
5330340_krakvik,2008,-24
5330340_krakvik,2009,5
5330340_krakvik,2010,16
5330340_krakvik,2011,-14
5330340_krakvik,2012,-14
5330340_krakvik,2013,14
5330340_krakvik,2014,-5
5330410_utsalje,2000,-39
5330410_utsalje,2001,-16
5330410_utsalje,2002,-16
5330410_utsalje,2003,-37
5330410_utsalje,2004,-71
5330410_utsalje,2005,-13
5330410_utsalje,2006,-3
5330410_utsalje,2007,-6
5330410_utsalje,2008,-14
5330410_utsalje,2009,-39
5330410_utsalje,2010,8
5330410_utsalje,2011,-22
5330410_utsalje,2012,-13
5330410_utsalje,2013,2
5330410_utsalje,2014,-20
5330430_snattringe_gard,2000,-4
5330430_snattringe_gard,2001,-4
5330430_snattringe_gard,2002,4
5330430_snattringe_gard,2003,8
5330430_snattringe_gard,2004,-12
5330430_snattringe_gard,2005,1
5330430_snattringe_gard,2006,-19
5330430_snattringe_gard,2007,-4
5330430_snattringe_gard,2008,-11
5330430_snattringe_gard,2009,0
5330430_snattringe_gard,2010,-3
5330430_snattringe_gard,2011,-14
5330430_snattringe_gard,2012,-1
5330430_snattringe_gard,2013,4
5330430_snattringe_gard,2014,-7
5340500_glomsta,2000,18
5340500_glomsta,2001,30
5340500_glomsta,2002,37
5340500_glomsta,2003,96
5340500_glomsta,2004,112
5340500_glomsta,2005,64
5340500_glomsta,2006,45
5340500_glomsta,2007,46
5340500_glomsta,2008,37
5340500_glomsta,2009,43
5340500_glomsta,2010,28
5340500_glomsta,2011,55
5340500_glomsta,2012,63
5340500_glomsta,2013,88
5340500_glomsta,2014,141
5340630_kasta,2000,47
5340630_kasta,2001,46
5340630_kasta,2002,5
5340630_kasta,2003,29
5340630_kasta,2004,24
5340630_kasta,2005,0
5340630_kasta,2006,8
5340630_kasta,2007,-5
5340630_kasta,2008,-7
5340630_kasta,2009,-6
5340630_kasta,2010,-20
5340630_kasta,2011,19
5340630_kasta,2012,-6
5340630_kasta,2013,13
5340630_kasta,2014,-5
5340640_grantorp,2000,30
5340640_grantorp,2001,-106
5340640_grantorp,2002,-191
5340640_grantorp,2003,-188
5340640_grantorp,2004,-133
5340640_grantorp,2005,-165
5340640_grantorp,2006,-109
5340640_grantorp,2007,-234
5340640_grantorp,2008,-177
5340640_grantorp,2009,-66
5340640_grantorp,2010,-112
5340640_grantorp,2011,-78
5340640_grantorp,2012,-111
5340640_grantorp,2013,-186
5340640_grantorp,2014,-196
5340710_visattra,2000,38
5340710_visattra,2001,37
5340710_visattra,2002,-108
5340710_visattra,2003,-47
5340710_visattra,2004,140
5340710_visattra,2005,-101
5340710_visattra,2006,-84
5340710_visattra,2007,-105
5340710_visattra,2008,-43
5340710_visattra,2009,-85
5340710_visattra,2010,-92
5340710_visattra,2011,-158
5340710_visattra,2012,-51
5340710_visattra,2013,-45
5340710_visattra,2014,-79
5110110_albyslatten,2000,9
5110110_albyslatten,2001,-38
5110110_albyslatten,2002,-118
5110110_albyslatten,2003,-230
5110110_albyslatten,2004,-275
5110110_albyslatten,2005,-200
5110110_albyslatten,2006,-303
5110110_albyslatten,2007,-221
5110110_albyslatten,2008,-236
5110110_albyslatten,2009,-200
5110110_albyslatten,2010,-109
5110110_albyslatten,2011,-100
5110110_albyslatten,2012,-109
5110110_albyslatten,2013,-215
5110110_albyslatten,2014,-199
5110120_albyberget,2000,0
5110120_albyberget,2001,27
5110120_albyberget,2002,8
5110120_albyberget,2003,-97
5110120_albyberget,2004,-172
5110120_albyberget,2005,-149
5110120_albyberget,2006,-107
5110120_albyberget,2007,-95
5110120_albyberget,2008,-159
5110120_albyberget,2009,-138
5110120_albyberget,2010,-169
5110120_albyberget,2011,-77
5110120_albyberget,2012,-93
5110120_albyberget,2013,-123
5110120_albyberget,2014,-80
5110150_rotemannen,2000,15
5110150_rotemannen,2001,-36
5110150_rotemannen,2002,-21
5110150_rotemannen,2003,-48
5110150_rotemannen,2004,-11
5110150_rotemannen,2005,-29
5110150_rotemannen,2006,-35
5110150_rotemannen,2007,-46
5110150_rotemannen,2008,-22
5110150_rotemannen,2009,-19
5110150_rotemannen,2010,-17
5110150_rotemannen,2011,14
5110150_rotemannen,2012,1
5110150_rotemannen,2013,-26
5110150_rotemannen,2014,-6
5110160_alby_gard,2000,-31
5110160_alby_gard,2001,-34
5110160_alby_gard,2002,-20
5110160_alby_gard,2003,33
5110160_alby_gard,2004,30
5110160_alby_gard,2005,-13
5110160_alby_gard,2006,48
5110160_alby_gard,2007,7
5110160_alby_gard,2008,31
5110160_alby_gard,2009,46
5110160_alby_gard,2010,41
5110160_alby_gard,2011,-34
5110160_alby_gard,2012,2
5110160_alby_gard,2013,12
5110160_alby_gard,2014,-29
5110240_aspberget,2000,-4
5110240_aspberget,2001,-36
5110240_aspberget,2002,2
5110240_aspberget,2003,-2
5110240_aspberget,2004,-10
5110240_aspberget,2005,1
5110240_aspberget,2006,-2
5110240_aspberget,2007,-12
5110240_aspberget,2008,-2
5110240_aspberget,2009,5
5110240_aspberget,2010,-14
5110240_aspberget,2011,-1
5110240_aspberget,2012,5
5110240_aspberget,2013,-11
5110240_aspberget,2014,-4
5110260_ostra_eriksberg,2000,-20
5110260_ostra_eriksberg,2001,2
5110260_ostra_eriksberg,2002,-7
5110260_ostra_eriksberg,2003,-4
5110260_ostra_eriksberg,2004,-1
5110260_ostra_eriksberg,2005,-15
5110260_ostra_eriksberg,2006,-16
5110260_ostra_eriksberg,2007,-23
5110260_ostra_eriksberg,2008,-10
5110260_ostra_eriksberg,2009,-2
5110260_ostra_eriksberg,2010,-26
5110260_ostra_eriksberg,2011,-3
5110260_ostra_eriksberg,2012,-4
5110260_ostra_eriksberg,2013,-23
5110260_ostra_eriksberg,2014,-45
5110270_vastra_eriksberg,2000,-15
5110270_vastra_eriksberg,2001,17
5110270_vastra_eriksberg,2002,-19
5110270_vastra_eriksberg,2003,2
5110270_vastra_eriksberg,2004,-14
5110270_vastra_eriksberg,2005,11
5110270_vastra_eriksberg,2006,-14
5110270_vastra_eriksberg,2007,-18
5110270_vastra_eriksberg,2008,1
5110270_vastra_eriksberg,2009,-13
5110270_vastra_eriksberg,2010,21
5110270_vastra_eriksberg,2011,-23
5110270_vastra_eriksberg,2012,-2
5110270_vastra_eriksberg,2013,-37
5110270_vastra_eriksberg,2014,-4
5110280_tre_kallor,2000,-9
5110280_tre_kallor,2001,-23
5110280_tre_kallor,2002,30
5110280_tre_kallor,2003,-24
5110280_tre_kallor,2004,-4
5110280_tre_kallor,2005,-16
5110280_tre_kallor,2006,-4
5110280_tre_kallor,2007,-6
5110280_tre_kallor,2008,8
5110280_tre_kallor,2009,1
5110280_tre_kallor,2010,-5
5110280_tre_kallor,2011,-11
5110280_tre_kallor,2012,1
5110280_tre_kallor,2013,-12
5110280_tre_kallor,2014,-3
5110290_sturehov,2000,53
5110290_sturehov,2001,0
5110290_sturehov,2002,23
5110290_sturehov,2003,-8
5110290_sturehov,2004,60
5110290_sturehov,2005,59
5110290_sturehov,2006,15
5110290_sturehov,2007,-11
5110290_sturehov,2008,0
5110290_sturehov,2009,-12
5110290_sturehov,2010,2
5110290_sturehov,2011,-1
5110290_sturehov,2012,5
5110290_sturehov,2013,7
5110290_sturehov,2014,12
5110311_krogarvagen_vardshusvagen,2000,-26
5110311_krogarvagen_vardshusvagen,2001,-94
5110311_krogarvagen_vardshusvagen,2002,-64
5110311_krogarvagen_vardshusvagen,2003,-160
5110311_krogarvagen_vardshusvagen,2004,-101
5110311_krogarvagen_vardshusvagen,2005,-165
5110311_krogarvagen_vardshusvagen,2006,-154
5110311_krogarvagen_vardshusvagen,2007,-60
5110311_krogarvagen_vardshusvagen,2008,-88
5110311_krogarvagen_vardshusvagen,2009,-98
5110311_krogarvagen_vardshusvagen,2010,-112
5110311_krogarvagen_vardshusvagen,2011,-108
5110311_krogarvagen_vardshusvagen,2012,-153
5110311_krogarvagen_vardshusvagen,2013,-225
5110311_krogarvagen_vardshusvagen,2014,-173
5110312_forvagen,2000,-32
5110312_forvagen,2001,-21
5110312_forvagen,2002,-68
5110312_forvagen,2003,-93
5110312_forvagen,2004,-98
5110312_forvagen,2005,-162
5110312_forvagen,2006,-144
5110312_forvagen,2007,-114
5110312_forvagen,2008,-141
5110312_forvagen,2009,-140
5110312_forvagen,2010,-111
5110312_forvagen,2011,-134
5110312_forvagen,2012,-77
5110312_forvagen,2013,-108
5110312_forvagen,2014,-50
5110320_fittja_gard,2000,0
5110320_fittja_gard,2001,-26
5110320_fittja_gard,2002,-39
5110320_fittja_gard,2003,-51
5110320_fittja_gard,2004,-24
5110320_fittja_gard,2005,30
5110320_fittja_gard,2006,-7
5110320_fittja_gard,2007,-9
5110320_fittja_gard,2008,-49
5110320_fittja_gard,2009,-17
5110320_fittja_gard,2010,-21
5110320_fittja_gard,2011,-15
5110320_fittja_gard,2012,-2
5110320_fittja_gard,2013,79
5110320_fittja_gard,2014,-3
5110410_sodra_hallunda,2000,-46
5110410_sodra_hallunda,2001,-29
5110410_sodra_hallunda,2002,-72
5110410_sodra_hallunda,2003,-102
5110410_sodra_hallunda,2004,3
5110410_sodra_hallunda,2005,-25
5110410_sodra_hallunda,2006,-16
5110410_sodra_hallunda,2007,-50
5110410_sodra_hallunda,2008,-58
5110410_sodra_hallunda,2009,-4
5110410_sodra_hallunda,2010,-1
5110410_sodra_hallunda,2011,-3
5110410_sodra_hallunda,2012,-88
5110410_sodra_hallunda,2013,-69
5110410_sodra_hallunda,2014,-154
5110420_slagsta,2000,-50
5110420_slagsta,2001,8
5110420_slagsta,2002,-31
5110420_slagsta,2003,-34
5110420_slagsta,2004,23
5110420_slagsta,2005,14
5110420_slagsta,2006,21
5110420_slagsta,2007,56
5110420_slagsta,2008,5
5110420_slagsta,2009,26
5110420_slagsta,2010,17
5110420_slagsta,2011,16
5110420_slagsta,2012,23
5110420_slagsta,2013,15
5110420_slagsta,2014,-63
5110430_brunna,2000,-6
5110430_brunna,2001,-19
5110430_brunna,2002,-24
5110430_brunna,2003,-23
5110430_brunna,2004,-9
5110430_brunna,2005,-6
5110430_brunna,2006,-32
5110430_brunna,2007,3
5110430_brunna,2008,-16
5110430_brunna,2009,2
5110430_brunna,2010,-6
5110430_brunna,2011,-25
5110430_brunna,2012,2
5110430_brunna,2013,-10
5110430_brunna,2014,-13
5110450_sodra_norsborg,2000,-60
5110450_sodra_norsborg,2001,-31
5110450_sodra_norsborg,2002,-146
5110450_sodra_norsborg,2003,-213
5110450_sodra_norsborg,2004,-290
5110450_sodra_norsborg,2005,-126
5110450_sodra_norsborg,2006,-210
5110450_sodra_norsborg,2007,-247
5110450_sodra_norsborg,2008,-198
5110450_sodra_norsborg,2009,-141
5110450_sodra_norsborg,2010,-147
5110450_sodra_norsborg,2011,-114
5110450_sodra_norsborg,2012,-153
5110450_sodra_norsborg,2013,-144
5110450_sodra_norsborg,2014,-237
5110460_tornbergsfaltet,2000,-12
5110460_tornbergsfaltet,2001,-4
5110460_tornbergsfaltet,2002,-25
5110460_tornbergsfaltet,2003,-8
5110460_tornbergsfaltet,2004,-26
5110460_tornbergsfaltet,2005,7
5110460_tornbergsfaltet,2006,-39
5110460_tornbergsfaltet,2007,-23
5110460_tornbergsfaltet,2008,-28
5110460_tornbergsfaltet,2009,6
5110460_tornbergsfaltet,2010,-32
5110460_tornbergsfaltet,2011,-14
5110460_tornbergsfaltet,2012,-9
5110460_tornbergsfaltet,2013,32
5110460_tornbergsfaltet,2014,49
5110480_nordostra_norsborg,2000,-4
5110480_nordostra_norsborg,2001,-13
5110480_nordostra_norsborg,2002,5
5110480_nordostra_norsborg,2003,-6
5110480_nordostra_norsborg,2004,25
5110480_nordostra_norsborg,2005,8
5110480_nordostra_norsborg,2006,5
5110480_nordostra_norsborg,2007,24
5110480_nordostra_norsborg,2008,-12
5110480_nordostra_norsborg,2009,-10
5110480_nordostra_norsborg,2010,-6
5110480_nordostra_norsborg,2011,5
5110480_nordostra_norsborg,2012,-4
5110480_nordostra_norsborg,2013,-22
5110480_nordostra_norsborg,2014,8
5110490_nordvastra_norsborg,2000,-2
5110490_nordvastra_norsborg,2001,7
5110490_nordvastra_norsborg,2002,-12
5110490_nordvastra_norsborg,2003,30
5110490_nordvastra_norsborg,2004,-14
5110490_nordvastra_norsborg,2005,1
5110490_nordvastra_norsborg,2006,1
5110490_nordvastra_norsborg,2007,4
5110490_nordvastra_norsborg,2008,4
5110490_nordvastra_norsborg,2009,-4
5110490_nordvastra_norsborg,2010,0
5110490_nordvastra_norsborg,2011,5
5110490_nordvastra_norsborg,2012,-11
5110490_nordvastra_norsborg,2013,-19
5110490_nordvastra_norsborg,2014,11
5120730_tumba_centrum,2000,12
5120730_tumba_centrum,2001,19
5120730_tumba_centrum,2002,29
5120730_tumba_centrum,2003,16
5120730_tumba_centrum,2004,6
5120730_tumba_centrum,2005,23
5120730_tumba_centrum,2006,-33
5120730_tumba_centrum,2007,-1
5120730_tumba_centrum,2008,5
5120730_tumba_centrum,2009,-21
5120730_tumba_centrum,2010,44
5120730_tumba_centrum,2011,12
5120730_tumba_centrum,2012,4
5120730_tumba_centrum,2013,-16
5120730_tumba_centrum,2014,12
5120750_segersjo,2000,-4
5120750_segersjo,2001,6
5120750_segersjo,2002,-17
5120750_segersjo,2003,6
5120750_segersjo,2004,21
5120750_segersjo,2005,-28
5120750_segersjo,2006,-5
5120750_segersjo,2007,55
5120750_segersjo,2008,16
5120750_segersjo,2009,17
5120750_segersjo,2010,22
5120750_segersjo,2011,5
5120750_segersjo,2012,-3
5120750_segersjo,2013,38
5120750_segersjo,2014,2
5120780_tumba_villastad,2000,-36
