basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_female
1110210_wenner_gren_center,2006,-49
1110210_wenner_gren_center,2007,-66
1110210_wenner_gren_center,2008,-60
1110210_wenner_gren_center,2009,-71
1110210_wenner_gren_center,2010,-61
1110210_wenner_gren_center,2011,-57
1110210_wenner_gren_center,2012,-57
1110210_wenner_gren_center,2013,-56
1110210_wenner_gren_center,2014,-44
1110220_vanadislunden,2000,4
1110220_vanadislunden,2001,23
1110220_vanadislunden,2002,28
1110220_vanadislunden,2003,15
1110220_vanadislunden,2004,-1
1110220_vanadislunden,2005,-27
1110220_vanadislunden,2006,-11
1110220_vanadislunden,2007,-29
1110220_vanadislunden,2008,0
1110220_vanadislunden,2009,-5
1110220_vanadislunden,2010,-5
1110220_vanadislunden,2011,-7
1110220_vanadislunden,2012,-22
1110220_vanadislunden,2013,-45
1110220_vanadislunden,2014,-55
1110230_surbrunnsomradet,2000,1
1110230_surbrunnsomradet,2001,-12
1110230_surbrunnsomradet,2002,-18
1110230_surbrunnsomradet,2003,-17
1110230_surbrunnsomradet,2004,5
1110230_surbrunnsomradet,2005,-14
1110230_surbrunnsomradet,2006,-22
1110230_surbrunnsomradet,2007,-14
1110230_surbrunnsomradet,2008,-9
1110230_surbrunnsomradet,2009,-17
1110230_surbrunnsomradet,2010,-6
1110230_surbrunnsomradet,2011,2
1110230_surbrunnsomradet,2012,0
1110230_surbrunnsomradet,2013,21
1110230_surbrunnsomradet,2014,31
1110240_norra_real,2000,5
1110240_norra_real,2001,19
1110240_norra_real,2002,22
1110240_norra_real,2003,29
1110240_norra_real,2004,37
1110240_norra_real,2005,38
1110240_norra_real,2006,41
1110240_norra_real,2007,18
1110240_norra_real,2008,14
1110240_norra_real,2009,11
1110240_norra_real,2010,12
1110240_norra_real,2011,10
1110240_norra_real,2012,-2
1110240_norra_real,2013,7
1110240_norra_real,2014,-2
1110250_elverket,2000,2
1110250_elverket,2001,2
1110250_elverket,2002,6
1110250_elverket,2003,8
1110250_elverket,2004,11
1110250_elverket,2005,13
1110250_elverket,2006,13
1110250_elverket,2007,11
1110250_elverket,2008,7
1110250_elverket,2009,6
1110250_elverket,2010,7
1110250_elverket,2011,5
1110250_elverket,2012,0
1110250_elverket,2013,0
1110250_elverket,2014,-3
1120110_tegnerlunden,2000,1
1120110_tegnerlunden,2001,-6
1120110_tegnerlunden,2002,4
1120110_tegnerlunden,2003,3
1120110_tegnerlunden,2004,-4
1120110_tegnerlunden,2005,4
1120110_tegnerlunden,2006,0
1120110_tegnerlunden,2007,11
1120110_tegnerlunden,2008,5
1120110_tegnerlunden,2009,-9
1120110_tegnerlunden,2010,-30
1120110_tegnerlunden,2011,-15
1120110_tegnerlunden,2012,-30
1120110_tegnerlunden,2013,-45
1120110_tegnerlunden,2014,-42
1120120_tandlakarhogskolan,2000,-8
1120120_tandlakarhogskolan,2001,-12
1120120_tandlakarhogskolan,2002,-11
1120120_tandlakarhogskolan,2003,-23
1120120_tandlakarhogskolan,2004,-28
1120120_tandlakarhogskolan,2005,-35
1120120_tandlakarhogskolan,2006,-38
1120120_tandlakarhogskolan,2007,-45
1120120_tandlakarhogskolan,2008,-41
1120120_tandlakarhogskolan,2009,-45
1120120_tandlakarhogskolan,2010,-54
1120120_tandlakarhogskolan,2011,-55
1120120_tandlakarhogskolan,2012,-59
1120120_tandlakarhogskolan,2013,-60
1120120_tandlakarhogskolan,2014,-56
1120131_norra_bantorget_o,2000,-3
1120131_norra_bantorget_o,2001,-5
1120131_norra_bantorget_o,2002,-11
1120131_norra_bantorget_o,2003,-9
1120131_norra_bantorget_o,2004,-10
1120131_norra_bantorget_o,2005,-8
1120131_norra_bantorget_o,2006,-4
1120131_norra_bantorget_o,2007,1
1120131_norra_bantorget_o,2008,21
1120131_norra_bantorget_o,2009,35
1120131_norra_bantorget_o,2010,29
1120131_norra_bantorget_o,2011,27
1120131_norra_bantorget_o,2012,30
1120131_norra_bantorget_o,2013,27
1120131_norra_bantorget_o,2014,33
1120132_norra_bantorget_v,2010,10
1120132_norra_bantorget_v,2011,9
1120132_norra_bantorget_v,2012,7
1120132_norra_bantorget_v,2013,7
1120132_norra_bantorget_v,2014,7
1120140_adolf_fredriks_kyrka,2000,-3
1120140_adolf_fredriks_kyrka,2001,-4
1120140_adolf_fredriks_kyrka,2002,-8
1120140_adolf_fredriks_kyrka,2003,-7
1120140_adolf_fredriks_kyrka,2004,4
1120140_adolf_fredriks_kyrka,2005,10
1120140_adolf_fredriks_kyrka,2006,4
1120140_adolf_fredriks_kyrka,2007,5
1120140_adolf_fredriks_kyrka,2008,11
1120140_adolf_fredriks_kyrka,2009,6
1120140_adolf_fredriks_kyrka,2010,8
1120140_adolf_fredriks_kyrka,2011,6
1120140_adolf_fredriks_kyrka,2012,-6
1120140_adolf_fredriks_kyrka,2013,-1
1120140_adolf_fredriks_kyrka,2014,8
1120150_skandiahuset,2000,0
1120150_skandiahuset,2001,-3
1120150_skandiahuset,2002,-10
1120150_skandiahuset,2003,-2
1120150_skandiahuset,2004,-2
1120150_skandiahuset,2005,3
1120150_skandiahuset,2006,0
1120150_skandiahuset,2007,8
1120150_skandiahuset,2008,6
1120150_skandiahuset,2009,6
1120150_skandiahuset,2010,12
1120150_skandiahuset,2011,8
1120150_skandiahuset,2012,14
1120150_skandiahuset,2013,12
1120150_skandiahuset,2014,5
1120210_kungsstenen,2000,5
1120210_kungsstenen,2001,12
1120210_kungsstenen,2002,3
1120210_kungsstenen,2003,-7
1120210_kungsstenen,2004,-10
1120210_kungsstenen,2005,-13
1120210_kungsstenen,2006,-7
1120210_kungsstenen,2007,-4
1120210_kungsstenen,2008,-9
1120210_kungsstenen,2009,-1
1120210_kungsstenen,2010,-10
1120210_kungsstenen,2011,-4
1120210_kungsstenen,2012,-12
1120210_kungsstenen,2013,-31
1120210_kungsstenen,2014,-31
1120220_saltmatargatan,2000,3
1120220_saltmatargatan,2001,5
1120220_saltmatargatan,2002,10
1120220_saltmatargatan,2003,10
1120220_saltmatargatan,2004,11
1120220_saltmatargatan,2005,11
1120220_saltmatargatan,2006,15
1120220_saltmatargatan,2007,12
1120220_saltmatargatan,2008,18
1120220_saltmatargatan,2009,16
1120220_saltmatargatan,2010,17
1120220_saltmatargatan,2011,11
1120220_saltmatargatan,2012,13
1120220_saltmatargatan,2013,10
1120220_saltmatargatan,2014,10
1120230_sjokatten,2000,3
1120230_sjokatten,2001,10
1120230_sjokatten,2002,10
1120230_sjokatten,2003,3
1120230_sjokatten,2004,2
1120230_sjokatten,2005,10
1120230_sjokatten,2006,13
1120230_sjokatten,2007,13
1120230_sjokatten,2008,21
1120230_sjokatten,2009,16
1120230_sjokatten,2010,13
1120230_sjokatten,2011,13
1120230_sjokatten,2012,-5
1120230_sjokatten,2013,-12
1120230_sjokatten,2014,-25
1130110_atlasomradet,2000,2
1130110_atlasomradet,2001,17
1130110_atlasomradet,2002,13
1130110_atlasomradet,2003,5
1130110_atlasomradet,2004,-9
1130110_atlasomradet,2005,-9
1130110_atlasomradet,2006,-23
1130110_atlasomradet,2007,-35
1130110_atlasomradet,2008,-28
1130110_atlasomradet,2009,-44
1130110_atlasomradet,2010,-24
1130110_atlasomradet,2011,-69
1130110_atlasomradet,2012,-65
1130110_atlasomradet,2013,-63
1130110_atlasomradet,2014,-80
1130120_gustav_vasa_kyrka,2000,2
1130120_gustav_vasa_kyrka,2001,-13
1130120_gustav_vasa_kyrka,2002,11
1130120_gustav_vasa_kyrka,2003,15
1130120_gustav_vasa_kyrka,2004,20
1130120_gustav_vasa_kyrka,2005,29
1130120_gustav_vasa_kyrka,2006,46
1130120_gustav_vasa_kyrka,2007,45
1130120_gustav_vasa_kyrka,2008,32
1130120_gustav_vasa_kyrka,2009,33
1130120_gustav_vasa_kyrka,2010,30
1130120_gustav_vasa_kyrka,2011,36
1130120_gustav_vasa_kyrka,2012,47
1130120_gustav_vasa_kyrka,2013,47
1130120_gustav_vasa_kyrka,2014,42
1130130_observatoriegatan,2000,19
1130130_observatoriegatan,2001,13
1130130_observatoriegatan,2002,11
1130130_observatoriegatan,2003,7
1130130_observatoriegatan,2004,30
1130130_observatoriegatan,2005,19
1130130_observatoriegatan,2006,15
1130130_observatoriegatan,2007,12
1130130_observatoriegatan,2008,-2
1130130_observatoriegatan,2009,-3
1130130_observatoriegatan,2010,6
1130130_observatoriegatan,2011,18
1130130_observatoriegatan,2012,-4
1130130_observatoriegatan,2013,-11
1130130_observatoriegatan,2014,1
1130140_sabbatsberg,2000,-5
1130140_sabbatsberg,2001,-15
1130140_sabbatsberg,2002,-9
1130140_sabbatsberg,2003,-16
1130140_sabbatsberg,2004,-19
1130140_sabbatsberg,2005,-22
1130140_sabbatsberg,2006,-24
1130140_sabbatsberg,2007,-21
1130140_sabbatsberg,2008,17
1130140_sabbatsberg,2009,148
1130140_sabbatsberg,2010,156
1130140_sabbatsberg,2011,160
1130140_sabbatsberg,2012,155
1130140_sabbatsberg,2013,150
1130140_sabbatsberg,2014,146
1130150_polstjarnan,2000,-1
1130150_polstjarnan,2001,9
1130150_polstjarnan,2002,21
1130150_polstjarnan,2003,19
1130150_polstjarnan,2004,25
1130150_polstjarnan,2005,15
1130150_polstjarnan,2006,6
1130150_polstjarnan,2007,-6
1130150_polstjarnan,2008,12
1130150_polstjarnan,2009,-5
1130150_polstjarnan,2010,11
1130150_polstjarnan,2011,-2
1130150_polstjarnan,2012,2
1130150_polstjarnan,2013,8
1130150_polstjarnan,2014,-7
1130170_betlehemskyrkan,2000,-11
1130170_betlehemskyrkan,2001,-14
1130170_betlehemskyrkan,2002,-17
1130170_betlehemskyrkan,2003,-12
1130170_betlehemskyrkan,2004,-18
1130170_betlehemskyrkan,2005,-9
1130170_betlehemskyrkan,2006,-15
1130170_betlehemskyrkan,2007,-24
1130170_betlehemskyrkan,2008,-8
1130170_betlehemskyrkan,2009,-29
1130170_betlehemskyrkan,2010,-55
1130170_betlehemskyrkan,2011,-57
1130170_betlehemskyrkan,2012,-65
1130170_betlehemskyrkan,2013,-83
1130170_betlehemskyrkan,2014,-77
1140110_norrtull,2000,0
1140110_norrtull,2001,3
1140110_norrtull,2002,0
1140110_norrtull,2003,3
1140110_norrtull,2004,4
1140110_norrtull,2005,1
1140110_norrtull,2006,4
1140110_norrtull,2007,3
1140110_norrtull,2008,-2
1140110_norrtull,2009,-6
1140110_norrtull,2010,-5
1140110_norrtull,2011,-1
1140110_norrtull,2012,-6
1140110_norrtull,2013,-5
1140110_norrtull,2014,0
1140120_tre_liljor,2000,6
1140120_tre_liljor,2001,22
1140120_tre_liljor,2002,8
1140120_tre_liljor,2003,5
1140120_tre_liljor,2004,17
1140120_tre_liljor,2005,22
1140120_tre_liljor,2006,43
1140120_tre_liljor,2007,32
1140120_tre_liljor,2008,5
1140120_tre_liljor,2009,28
1140120_tre_liljor,2010,30
1140120_tre_liljor,2011,31
1140120_tre_liljor,2012,37
1140120_tre_liljor,2013,28
1140120_tre_liljor,2014,13
1140130_matteus_kyrka,2000,7
1140130_matteus_kyrka,2001,26
