basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_female
1430150_eriksdal,2013,-18
1430150_eriksdal,2014,-18
1430160_asotorget,2000,10
1430160_asotorget,2001,12
1430160_asotorget,2002,14
1430160_asotorget,2003,12
1430160_asotorget,2004,8
1430160_asotorget,2005,6
1430160_asotorget,2006,6
1430160_asotorget,2007,50
1430160_asotorget,2008,51
1430160_asotorget,2009,41
1430160_asotorget,2010,56
1430160_asotorget,2011,65
1430160_asotorget,2012,14
1430160_asotorget,2013,-18
1430160_asotorget,2014,-64
1430180_rosenlund,2000,4
1430180_rosenlund,2001,3
1430180_rosenlund,2002,5
1430180_rosenlund,2003,9
1430180_rosenlund,2004,1
1430180_rosenlund,2005,-2
1430180_rosenlund,2006,24
1430180_rosenlund,2007,25
1430180_rosenlund,2008,21
1430180_rosenlund,2009,20
1430180_rosenlund,2010,16
1430180_rosenlund,2011,15
1430180_rosenlund,2012,14
1430180_rosenlund,2013,16
1430180_rosenlund,2014,25
1430210_mosebacke,2000,10
1430210_mosebacke,2001,6
1430210_mosebacke,2002,2
1430210_mosebacke,2003,-8
1430210_mosebacke,2004,-13
1430210_mosebacke,2005,-11
1430210_mosebacke,2006,-4
1430210_mosebacke,2007,-38
1430210_mosebacke,2008,-33
1430210_mosebacke,2009,-23
1430210_mosebacke,2010,-21
1430210_mosebacke,2011,-18
1430210_mosebacke,2012,-18
1430210_mosebacke,2013,-19
1430210_mosebacke,2014,-24
1430220_ostra_aso,2000,30
1430220_ostra_aso,2001,32
1430220_ostra_aso,2002,17
1430220_ostra_aso,2003,20
1430220_ostra_aso,2004,35
1430220_ostra_aso,2005,27
1430220_ostra_aso,2006,-8
1430220_ostra_aso,2007,-34
1430220_ostra_aso,2008,-35
1430220_ostra_aso,2009,-34
1430220_ostra_aso,2010,-26
1430220_ostra_aso,2011,-7
1430220_ostra_aso,2012,-50
1430220_ostra_aso,2013,-29
1430220_ostra_aso,2014,-53
1430230_katarina_kyrka,2000,-5
1430230_katarina_kyrka,2001,7
1430230_katarina_kyrka,2002,13
1430230_katarina_kyrka,2003,27
1430230_katarina_kyrka,2004,23
1430230_katarina_kyrka,2005,35
1430230_katarina_kyrka,2006,22
1430230_katarina_kyrka,2007,32
1430230_katarina_kyrka,2008,41
1430230_katarina_kyrka,2009,15
1430230_katarina_kyrka,2010,7
1430230_katarina_kyrka,2011,4
1430230_katarina_kyrka,2012,-2
1430230_katarina_kyrka,2013,16
1430230_katarina_kyrka,2014,18
1430240_bjurholmsplan,2000,-18
1430240_bjurholmsplan,2001,-20
1430240_bjurholmsplan,2002,-23
1430240_bjurholmsplan,2003,-21
1430240_bjurholmsplan,2004,-32
1430240_bjurholmsplan,2005,-41
1430240_bjurholmsplan,2006,-34
1430240_bjurholmsplan,2007,-44
1430240_bjurholmsplan,2008,-52
1430240_bjurholmsplan,2009,-50
1430240_bjurholmsplan,2010,-56
1430240_bjurholmsplan,2011,-71
1430240_bjurholmsplan,2012,-61
1430240_bjurholmsplan,2013,-99
1430240_bjurholmsplan,2014,-135
1430250_nytorget,2000,12
1430250_nytorget,2001,7
1430250_nytorget,2002,-17
1430250_nytorget,2003,10
1430250_nytorget,2004,-2
1430250_nytorget,2005,10
1430250_nytorget,2006,19
1430250_nytorget,2007,9
1430250_nytorget,2008,35
1430250_nytorget,2009,24
1430250_nytorget,2010,-12
1430250_nytorget,2011,5
1430250_nytorget,2012,16
1430250_nytorget,2013,-20
1430250_nytorget,2014,-49
1440110_ersta,2000,0
1440110_ersta,2001,-15
1440110_ersta,2002,-13
1440110_ersta,2003,-16
1440110_ersta,2004,-19
1440110_ersta,2005,-22
1440110_ersta,2006,-32
1440110_ersta,2007,-27
1440110_ersta,2008,-28
1440110_ersta,2009,-43
1440110_ersta,2010,-41
1440110_ersta,2011,-50
1440110_ersta,2012,-57
1440110_ersta,2013,-67
1440110_ersta,2014,-82
1440120_sofia_kyrka,2000,1
1440120_sofia_kyrka,2001,-6
1440120_sofia_kyrka,2002,-16
1440120_sofia_kyrka,2003,-21
1440120_sofia_kyrka,2004,-37
1440120_sofia_kyrka,2005,-43
1440120_sofia_kyrka,2006,-72
1440120_sofia_kyrka,2007,-69
1440120_sofia_kyrka,2008,-76
1440120_sofia_kyrka,2009,-84
1440120_sofia_kyrka,2010,-113
1440120_sofia_kyrka,2011,-120
1440120_sofia_kyrka,2012,-132
1440120_sofia_kyrka,2013,-107
1440120_sofia_kyrka,2014,-126
1440210_tullgarden,2000,3
1440210_tullgarden,2001,7
1440210_tullgarden,2002,2
1440210_tullgarden,2003,0
1440210_tullgarden,2004,-2
1440210_tullgarden,2005,-1
1440210_tullgarden,2006,11
1440210_tullgarden,2007,21
1440210_tullgarden,2008,8
1440210_tullgarden,2009,2
1440210_tullgarden,2010,-4
1440210_tullgarden,2011,-13
1440210_tullgarden,2012,-13
1440210_tullgarden,2013,-19
1440210_tullgarden,2014,-22
1440220_vita_bergen,2000,13
1440220_vita_bergen,2001,-4
1440220_vita_bergen,2002,14
1440220_vita_bergen,2003,-19
1440220_vita_bergen,2004,-20
1440220_vita_bergen,2005,10
1440220_vita_bergen,2006,38
1440220_vita_bergen,2007,37
1440220_vita_bergen,2008,85
1440220_vita_bergen,2009,71
1440220_vita_bergen,2010,66
1440220_vita_bergen,2011,58
1440220_vita_bergen,2012,53
1440220_vita_bergen,2013,43
1440220_vita_bergen,2014,51
1440230_blecktornet,2000,-3
1440230_blecktornet,2001,14
1440230_blecktornet,2002,6
1440230_blecktornet,2003,2
1440230_blecktornet,2004,9
1440230_blecktornet,2005,6
1440230_blecktornet,2006,-2
1440230_blecktornet,2007,-2
1440230_blecktornet,2008,-1
1440230_blecktornet,2009,18
1440230_blecktornet,2010,6
1440230_blecktornet,2011,-8
1440230_blecktornet,2012,0
1440230_blecktornet,2013,3
1440230_blecktornet,2014,-3
1440240_vintertullen,2000,-1
1440240_vintertullen,2001,2
1440240_vintertullen,2002,-4
1440240_vintertullen,2003,-4
1440240_vintertullen,2004,-1
1440240_vintertullen,2005,4
1440240_vintertullen,2006,9
1440240_vintertullen,2007,11
1440240_vintertullen,2008,15
1440240_vintertullen,2009,16
1440240_vintertullen,2010,23
1440240_vintertullen,2011,30
1440240_vintertullen,2012,35
1440240_vintertullen,2013,38
1440240_vintertullen,2014,43
1440250_barnangen,2000,69
1440250_barnangen,2001,71
1440250_barnangen,2002,76
1440250_barnangen,2003,98
1440250_barnangen,2004,120
1440250_barnangen,2005,134
1440250_barnangen,2006,140
1440250_barnangen,2007,148
1440250_barnangen,2008,151
1440250_barnangen,2009,155
1440250_barnangen,2010,153
1440250_barnangen,2011,151
1440250_barnangen,2012,150
1440250_barnangen,2013,157
1440250_barnangen,2014,152
1440260_mjardgrand,2000,2
1440260_mjardgrand,2001,6
1440260_mjardgrand,2002,8
1440260_mjardgrand,2003,10
1440260_mjardgrand,2004,12
1440260_mjardgrand,2005,13
1440260_mjardgrand,2006,22
1440260_mjardgrand,2007,17
1440260_mjardgrand,2008,8
1440260_mjardgrand,2009,11
1440260_mjardgrand,2010,16
1440260_mjardgrand,2011,16
1440260_mjardgrand,2012,13
1440260_mjardgrand,2013,16
1440260_mjardgrand,2014,22
1440311_danviken_n,2000,-5
1440311_danviken_n,2001,-16
1440311_danviken_n,2002,-14
1440311_danviken_n,2003,-26
1440311_danviken_n,2004,-24
1440311_danviken_n,2005,-19
1440311_danviken_n,2006,-18
1440311_danviken_n,2007,-21
1440311_danviken_n,2008,-24
1440311_danviken_n,2009,1
1440311_danviken_n,2010,81
1440311_danviken_n,2011,167
1440311_danviken_n,2012,236
1440311_danviken_n,2013,278
1440311_danviken_n,2014,277
1440312_danviken_s,2000,10
1440312_danviken_s,2001,125
1440312_danviken_s,2002,268
1440312_danviken_s,2003,402
1440312_danviken_s,2004,432
1440312_danviken_s,2005,509
1440312_danviken_s,2006,545
1440312_danviken_s,2007,650
1440312_danviken_s,2008,727
1440312_danviken_s,2009,712
1440312_danviken_s,2010,686
1440312_danviken_s,2011,684
1440312_danviken_s,2012,686
1440312_danviken_s,2013,686
1440312_danviken_s,2014,673
2110120_sankt_sigfrid,2000,-8
2110120_sankt_sigfrid,2001,14
2110120_sankt_sigfrid,2002,15
2110120_sankt_sigfrid,2003,15
2110120_sankt_sigfrid,2004,12
2110120_sankt_sigfrid,2005,16
2110120_sankt_sigfrid,2006,24
2110120_sankt_sigfrid,2007,30
2110120_sankt_sigfrid,2008,-4
2110120_sankt_sigfrid,2009,17
2110120_sankt_sigfrid,2010,43
2110120_sankt_sigfrid,2011,53
2110120_sankt_sigfrid,2012,71
2110120_sankt_sigfrid,2013,84
2110120_sankt_sigfrid,2014,83
2110130_ornsberg_nord_ost,2000,11
2110130_ornsberg_nord_ost,2001,16
2110130_ornsberg_nord_ost,2002,16
2110130_ornsberg_nord_ost,2003,21
2110130_ornsberg_nord_ost,2004,8
2110130_ornsberg_nord_ost,2005,15
2110130_ornsberg_nord_ost,2006,25
2110130_ornsberg_nord_ost,2007,25
2110130_ornsberg_nord_ost,2008,28
2110130_ornsberg_nord_ost,2009,33
2110130_ornsberg_nord_ost,2010,60
2110130_ornsberg_nord_ost,2011,62
2110130_ornsberg_nord_ost,2012,61
2110130_ornsberg_nord_ost,2013,61
2110130_ornsberg_nord_ost,2014,58
2110140_vinterviken,2000,-2
2110140_vinterviken,2001,2
2110140_vinterviken,2002,12
2110140_vinterviken,2003,21
2110140_vinterviken,2004,22
2110140_vinterviken,2005,30
2110140_vinterviken,2006,27
2110140_vinterviken,2007,26
2110140_vinterviken,2008,35
2110140_vinterviken,2009,53
2110140_vinterviken,2010,41
2110140_vinterviken,2011,45
2110140_vinterviken,2012,47
2110140_vinterviken,2013,48
2110140_vinterviken,2014,49
2110150_ornsberg_syd_ost,2000,0
2110150_ornsberg_syd_ost,2001,0
2110150_ornsberg_syd_ost,2002,3
2110150_ornsberg_syd_ost,2003,0
2110150_ornsberg_syd_ost,2004,0
2110150_ornsberg_syd_ost,2005,0
2110150_ornsberg_syd_ost,2006,0
2110150_ornsberg_syd_ost,2007,0
2110150_ornsberg_syd_ost,2008,3
2110150_ornsberg_syd_ost,2009,6
2110150_ornsberg_syd_ost,2010,6
2110150_ornsberg_syd_ost,2011,9
2110150_ornsberg_syd_ost,2012,6
2110150_ornsberg_syd_ost,2013,3
2110150_ornsberg_syd_ost,2014,0
2110220_ostra_grondal,2000,2
2110220_ostra_grondal,2001,6
2110220_ostra_grondal,2002,12
2110220_ostra_grondal,2003,41
2110220_ostra_grondal,2004,94
2110220_ostra_grondal,2005,130
2110220_ostra_grondal,2006,147
2110220_ostra_grondal,2007,153
2110220_ostra_grondal,2008,143
2110220_ostra_grondal,2009,157
2110220_ostra_grondal,2010,176
2110220_ostra_grondal,2011,182
2110220_ostra_grondal,2012,194
2110220_ostra_grondal,2013,218
2110220_ostra_grondal,2014,205
2110230_ekensberg,2000,4
2110230_ekensberg,2001,4
2110230_ekensberg,2002,-2
2110230_ekensberg,2003,-4
2110230_ekensberg,2004,-2
2110230_ekensberg,2005,-2
2110230_ekensberg,2006,-2
2110230_ekensberg,2007,-1
2110230_ekensberg,2008,20
2110230_ekensberg,2009,26
2110230_ekensberg,2010,21
2110230_ekensberg,2011,21
2110230_ekensberg,2012,31
2110230_ekensberg,2013,34
2110230_ekensberg,2014,54
2110310_axelbergs_torg,2000,0
2110310_axelbergs_torg,2001,0
2110310_axelbergs_torg,2002,0
2110310_axelbergs_torg,2003,0
2110310_axelbergs_torg,2004,0
2110310_axelbergs_torg,2005,0
2110310_axelbergs_torg,2006,0
2110310_axelbergs_torg,2007,0
2110310_axelbergs_torg,2008,0
2110310_axelbergs_torg,2009,0
2110310_axelbergs_torg,2010,-1
2110310_axelbergs_torg,2011,-1
2110310_axelbergs_torg,2012,-1
2110310_axelbergs_torg,2013,-1
2110310_axelbergs_torg,2014,-1
2110320_klubbacken,2000,0
2110320_klubbacken,2001,3
2110320_klubbacken,2002,0
2110320_klubbacken,2003,-2
2110320_klubbacken,2004,-1
2110320_klubbacken,2005,4
2110320_klubbacken,2006,0
2110320_klubbacken,2007,4
2110320_klubbacken,2008,15
2110320_klubbacken,2009,-2
2110320_klubbacken,2010,20
2110320_klubbacken,2011,11
2110320_klubbacken,2012,9
2110320_klubbacken,2013,8
2110320_klubbacken,2014,12
2110330_axelsberg_syd_ost,2000,2
2110330_axelsberg_syd_ost,2001,1
2110330_axelsberg_syd_ost,2002,-3
2110330_axelsberg_syd_ost,2003,-2
2110330_axelsberg_syd_ost,2004,0
2110330_axelsberg_syd_ost,2005,-1
2110330_axelsberg_syd_ost,2006,-3
2110330_axelsberg_syd_ost,2007,-7
2110330_axelsberg_syd_ost,2008,0
2110330_axelsberg_syd_ost,2009,4
2110330_axelsberg_syd_ost,2010,39
2110330_axelsberg_syd_ost,2011,73
2110330_axelsberg_syd_ost,2012,65
2110330_axelsberg_syd_ost,2013,78
2110330_axelsberg_syd_ost,2014,76
2110340_stensborg,2000,0
2110340_stensborg,2001,3
2110340_stensborg,2002,3
2110340_stensborg,2003,6
2110340_stensborg,2004,5
2110340_stensborg,2005,7
2110340_stensborg,2006,13
2110340_stensborg,2007,18
2110340_stensborg,2008,19
2110340_stensborg,2009,19
2110340_stensborg,2010,29
2110340_stensborg,2011,27
2110340_stensborg,2012,23
2110340_stensborg,2013,30
2110340_stensborg,2014,31
2110350_sankt_mickelsgatan,2000,6
2110350_sankt_mickelsgatan,2001,12
2110350_sankt_mickelsgatan,2002,19
2110350_sankt_mickelsgatan,2003,30
2110350_sankt_mickelsgatan,2004,36
2110350_sankt_mickelsgatan,2005,45
2110350_sankt_mickelsgatan,2006,48
2110350_sankt_mickelsgatan,2007,51
2110350_sankt_mickelsgatan,2008,61
2110350_sankt_mickelsgatan,2009,73
2110350_sankt_mickelsgatan,2010,76
2110350_sankt_mickelsgatan,2011,80
2110350_sankt_mickelsgatan,2012,87
2110350_sankt_mickelsgatan,2013,100
2110350_sankt_mickelsgatan,2014,102
2110370_ornsberg_syd_vast,2000,-7
2110370_ornsberg_syd_vast,2001,-12
2110370_ornsberg_syd_vast,2002,-8
2110370_ornsberg_syd_vast,2003,-7
2110370_ornsberg_syd_vast,2004,-16
2110370_ornsberg_syd_vast,2005,-12
2110370_ornsberg_syd_vast,2006,-1
2110370_ornsberg_syd_vast,2007,-3
2110370_ornsberg_syd_vast,2008,-7
2110370_ornsberg_syd_vast,2009,-10
2110370_ornsberg_syd_vast,2010,-14
2110370_ornsberg_syd_vast,2011,-21
2110370_ornsberg_syd_vast,2012,-16
2110370_ornsberg_syd_vast,2013,-18
2110370_ornsberg_syd_vast,2014,-25
2110380_hagerstenshamnen,2000,12
2110380_hagerstenshamnen,2001,10
2110380_hagerstenshamnen,2002,13
2110380_hagerstenshamnen,2003,12
2110380_hagerstenshamnen,2004,16
2110380_hagerstenshamnen,2005,14
2110380_hagerstenshamnen,2006,5
2110380_hagerstenshamnen,2007,10
2110380_hagerstenshamnen,2008,22
2110380_hagerstenshamnen,2009,27
2110380_hagerstenshamnen,2010,30
2110380_hagerstenshamnen,2011,35
2110380_hagerstenshamnen,2012,37
2110380_hagerstenshamnen,2013,42
2110380_hagerstenshamnen,2014,42
2110390_axelsberg_nord,2000,2
2110390_axelsberg_nord,2001,14
2110390_axelsberg_nord,2002,18
2110390_axelsberg_nord,2003,20
2110390_axelsberg_nord,2004,21
2110390_axelsberg_nord,2005,25
2110390_axelsberg_nord,2006,36
2110390_axelsberg_nord,2007,38
2110390_axelsberg_nord,2008,46
2110390_axelsberg_nord,2009,44
2110390_axelsberg_nord,2010,49
2110390_axelsberg_nord,2011,44
2110390_axelsberg_nord,2012,38
2110390_axelsberg_nord,2013,38
2110390_axelsberg_nord,2014,40
2110520_norra_hagerstensasen,2000,-3
2110520_norra_hagerstensasen,2001,-7
2110520_norra_hagerstensasen,2002,-11
2110520_norra_hagerstensasen,2003,-23
2110520_norra_hagerstensasen,2004,-7
2110520_norra_hagerstensasen,2005,-11
2110520_norra_hagerstensasen,2006,-7
2110520_norra_hagerstensasen,2007,-5
2110520_norra_hagerstensasen,2008,-21
2110520_norra_hagerstensasen,2009,-25
2110520_norra_hagerstensasen,2010,-14
2110520_norra_hagerstensasen,2011,-12
2110520_norra_hagerstensasen,2012,-35
2110520_norra_hagerstensasen,2013,-45
2110520_norra_hagerstensasen,2014,-43
2110530_sodra_hagerstensasen,2000,29
2110530_sodra_hagerstensasen,2001,23
2110530_sodra_hagerstensasen,2002,30
2110530_sodra_hagerstensasen,2003,19
2110530_sodra_hagerstensasen,2004,-8
2110530_sodra_hagerstensasen,2005,-16
2110530_sodra_hagerstensasen,2006,-29
2110530_sodra_hagerstensasen,2007,-24
2110530_sodra_hagerstensasen,2008,-33
2110530_sodra_hagerstensasen,2009,-45
2110530_sodra_hagerstensasen,2010,-30
2110530_sodra_hagerstensasen,2011,-32
2110530_sodra_hagerstensasen,2012,-57
2110530_sodra_hagerstensasen,2013,-60
2110530_sodra_hagerstensasen,2014,-89
2110620_nybohov,2000,-6
2110620_nybohov,2001,2
2110620_nybohov,2002,1
2110620_nybohov,2003,-3
2110620_nybohov,2004,-5
2110620_nybohov,2005,-15
2110620_nybohov,2006,-8
2110620_nybohov,2007,10
2110620_nybohov,2008,31
2110620_nybohov,2009,62
2110620_nybohov,2010,64
2110620_nybohov,2011,58
2110620_nybohov,2012,44
2110620_nybohov,2013,30
2110620_nybohov,2014,23
2110650_liljeholmsberget,2000,1
2110650_liljeholmsberget,2001,0
2110650_liljeholmsberget,2002,4
2110650_liljeholmsberget,2003,11
2110650_liljeholmsberget,2004,12
2110650_liljeholmsberget,2005,9
2110650_liljeholmsberget,2006,14
2110650_liljeholmsberget,2007,17
2110650_liljeholmsberget,2008,19
2110650_liljeholmsberget,2009,20
2110650_liljeholmsberget,2010,23
2110650_liljeholmsberget,2011,21
2110650_liljeholmsberget,2012,19
2110650_liljeholmsberget,2013,18
2110650_liljeholmsberget,2014,18
2110660_lovholmen,2000,-4
2110660_lovholmen,2001,-2
2110660_lovholmen,2002,1
2110660_lovholmen,2003,16
2110660_lovholmen,2004,45
2110660_lovholmen,2005,68
2110660_lovholmen,2006,89
2110660_lovholmen,2007,93
2110660_lovholmen,2008,111
2110660_lovholmen,2009,118
2110660_lovholmen,2010,147
2110660_lovholmen,2011,155
2110660_lovholmen,2012,154
2110660_lovholmen,2013,144
2110660_lovholmen,2014,182
2110681_nyboda_o,2000,-2
2110681_nyboda_o,2001,1
2110681_nyboda_o,2002,0
2110681_nyboda_o,2003,26
2110681_nyboda_o,2004,98
2110681_nyboda_o,2005,162
2110681_nyboda_o,2006,345
2110681_nyboda_o,2007,428
2110681_nyboda_o,2008,512
2110681_nyboda_o,2009,649
2110681_nyboda_o,2010,673
2110681_nyboda_o,2011,750
2110681_nyboda_o,2012,809
2110681_nyboda_o,2013,853
2110681_nyboda_o,2014,918
2110720_svandammen,2000,5
2110720_svandammen,2001,6
2110720_svandammen,2002,7
2110720_svandammen,2003,-31
2110720_svandammen,2004,-24
2110720_svandammen,2005,-5
2110720_svandammen,2006,24
2110720_svandammen,2007,51
2110720_svandammen,2008,58
2110720_svandammen,2009,25
2110720_svandammen,2010,15
2110720_svandammen,2011,-17
2110720_svandammen,2012,-33
2110720_svandammen,2013,-35
2110720_svandammen,2014,-56
2110730_fastlagsvagen,2000,3
2110730_fastlagsvagen,2001,22
2110730_fastlagsvagen,2002,0
2110730_fastlagsvagen,2003,7
2110730_fastlagsvagen,2004,-5
2110730_fastlagsvagen,2005,-26
2110730_fastlagsvagen,2006,-30
2110730_fastlagsvagen,2007,38
2110730_fastlagsvagen,2008,54
2110730_fastlagsvagen,2009,44
2110730_fastlagsvagen,2010,44
2110730_fastlagsvagen,2011,36
2110730_fastlagsvagen,2012,20
2110730_fastlagsvagen,2013,56
2110730_fastlagsvagen,2014,109
2110740_telefonplan,2000,13
2110740_telefonplan,2001,-10
2110740_telefonplan,2002,-5
2110740_telefonplan,2003,-20
2110740_telefonplan,2004,-32
2110740_telefonplan,2005,-15
2110740_telefonplan,2006,-17
2110740_telefonplan,2007,-22
2110740_telefonplan,2008,-23
2110740_telefonplan,2009,-38
2110740_telefonplan,2010,-13
2110740_telefonplan,2011,-11
2110740_telefonplan,2012,-24
2110740_telefonplan,2013,-40
2110740_telefonplan,2014,-69
2110810_norra_malarhojden,2000,12
2110810_norra_malarhojden,2001,15
2110810_norra_malarhojden,2002,18
2110810_norra_malarhojden,2003,23
2110810_norra_malarhojden,2004,44
2110810_norra_malarhojden,2005,58
2110810_norra_malarhojden,2006,74
2110810_norra_malarhojden,2007,92
2110810_norra_malarhojden,2008,111
2110810_norra_malarhojden,2009,125
2110810_norra_malarhojden,2010,142
2110810_norra_malarhojden,2011,146
2110810_norra_malarhojden,2012,161
2110810_norra_malarhojden,2013,180
2110810_norra_malarhojden,2014,186
2110820_gulddragaren,2000,1
2110820_gulddragaren,2001,-5
2110820_gulddragaren,2002,-4
2110820_gulddragaren,2003,-4
2110820_gulddragaren,2004,-3
2110820_gulddragaren,2005,-4
2110820_gulddragaren,2006,-8
2110820_gulddragaren,2007,-7
2110820_gulddragaren,2008,-7
2110820_gulddragaren,2009,-9
2110820_gulddragaren,2010,-2
2110820_gulddragaren,2011,-1
2110820_gulddragaren,2012,2
2110820_gulddragaren,2013,3
2110820_gulddragaren,2014,4
2110920_karusellvagen,2000,-3
2110920_karusellvagen,2001,-5
2110920_karusellvagen,2002,-23
2110920_karusellvagen,2003,-29
2110920_karusellvagen,2004,-39
2110920_karusellvagen,2005,-52
2110920_karusellvagen,2006,-63
2110920_karusellvagen,2007,-65
2110920_karusellvagen,2008,-63
2110920_karusellvagen,2009,-65
2110920_karusellvagen,2010,-75
2110920_karusellvagen,2011,-69
2110920_karusellvagen,2012,-66
2110920_karusellvagen,2013,-58
2110920_karusellvagen,2014,-56
2110930_korpmossen,2000,-4
2110930_korpmossen,2001,0
2110930_korpmossen,2002,3
2110930_korpmossen,2003,5
2110930_korpmossen,2004,13
2110930_korpmossen,2005,14
2110930_korpmossen,2006,17
2110930_korpmossen,2007,32
2110930_korpmossen,2008,37
2110930_korpmossen,2009,41
2110930_korpmossen,2010,44
2110930_korpmossen,2011,39
2110930_korpmossen,2012,45
2110930_korpmossen,2013,51
2110930_korpmossen,2014,49
2110940_hokmossen,2000,-5
2110940_hokmossen,2001,-5
2110940_hokmossen,2002,7
2110940_hokmossen,2003,5
2110940_hokmossen,2004,-21
2110940_hokmossen,2005,-29
2110940_hokmossen,2006,-40
2110940_hokmossen,2007,-43
2110940_hokmossen,2008,-40
2110940_hokmossen,2009,-52
2110940_hokmossen,2010,-54
2110940_hokmossen,2011,-59
2110940_hokmossen,2012,-76
2110940_hokmossen,2013,-79
2110940_hokmossen,2014,-72
2120100_fruangen,2000,-9
2120100_fruangen,2001,-24
2120100_fruangen,2002,-29
2120100_fruangen,2003,-41
2120100_fruangen,2004,-53
2120100_fruangen,2005,-84
2120100_fruangen,2006,-84
2120100_fruangen,2007,-77
2120100_fruangen,2008,-67
2120100_fruangen,2009,-57
2120100_fruangen,2010,-57
2120100_fruangen,2011,-39
2120100_fruangen,2012,0
2120100_fruangen,2013,21
2120100_fruangen,2014,162
2120201_herrangen_v,2000,3
2120201_herrangen_v,2001,7
2120201_herrangen_v,2002,7
2120201_herrangen_v,2003,16
2120201_herrangen_v,2004,24
2120201_herrangen_v,2005,34
2120201_herrangen_v,2006,43
2120201_herrangen_v,2007,43
2120201_herrangen_v,2008,61
2120201_herrangen_v,2009,78
2120201_herrangen_v,2010,93
2120201_herrangen_v,2011,105
2120201_herrangen_v,2012,117
2120201_herrangen_v,2013,129
2120201_herrangen_v,2014,142
2120202_herrangen_o,2000,0
2120202_herrangen_o,2001,1
2120202_herrangen_o,2002,-2
2120202_herrangen_o,2003,4
2120202_herrangen_o,2004,5
2120202_herrangen_o,2005,15
2120202_herrangen_o,2006,19
2120202_herrangen_o,2007,29
2120202_herrangen_o,2008,39
2120202_herrangen_o,2009,42
2120202_herrangen_o,2010,53
2120202_herrangen_o,2011,58
2120202_herrangen_o,2012,60
2120202_herrangen_o,2013,70
2120202_herrangen_o,2014,78
2120300_liseberg,2000,7
2120300_liseberg,2001,1
2120300_liseberg,2002,-2
2120300_liseberg,2003,-4
2120300_liseberg,2004,-2
2120300_liseberg,2005,1
2120300_liseberg,2006,5
2120300_liseberg,2007,3
2120300_liseberg,2008,3
2120300_liseberg,2009,7
2120300_liseberg,2010,14
2120300_liseberg,2011,14
2120300_liseberg,2012,14
2120300_liseberg,2013,15
2120300_liseberg,2014,21
2120401_langbro_v,2000,2
2120401_langbro_v,2001,4
2120401_langbro_v,2002,28
2120401_langbro_v,2003,32
2120401_langbro_v,2004,47
2120401_langbro_v,2005,67
2120401_langbro_v,2006,71
2120401_langbro_v,2007,113
2120401_langbro_v,2008,155
2120401_langbro_v,2009,169
2120401_langbro_v,2010,217
2120401_langbro_v,2011,242
2120401_langbro_v,2012,299
2120401_langbro_v,2013,338
2120401_langbro_v,2014,336
2120402_langbro_o,2000,6
2120402_langbro_o,2001,-2
2120402_langbro_o,2002,17
2120402_langbro_o,2003,19
2120402_langbro_o,2004,20
2120402_langbro_o,2005,43
2120402_langbro_o,2006,57
2120402_langbro_o,2007,68
2120402_langbro_o,2008,83
2120402_langbro_o,2009,96
2120402_langbro_o,2010,109
2120402_langbro_o,2011,140
2120402_langbro_o,2012,138
2120402_langbro_o,2013,148
2120402_langbro_o,2014,165
2120500_langsjo,2000,-4
2120500_langsjo,2001,3
2120500_langsjo,2002,9
2120500_langsjo,2003,1
2120500_langsjo,2004,3
2120500_langsjo,2005,10
2120500_langsjo,2006,32
2120500_langsjo,2007,50
2120500_langsjo,2008,63
2120500_langsjo,2009,84
2120500_langsjo,2010,85
2120500_langsjo,2011,91
2120500_langsjo,2012,102
2120500_langsjo,2013,113
2120500_langsjo,2014,133
2120620_norra_solberga,2000,9
2120620_norra_solberga,2001,8
2120620_norra_solberga,2002,14
2120620_norra_solberga,2003,16
2120620_norra_solberga,2004,21
2120620_norra_solberga,2005,10
2120620_norra_solberga,2006,-3
2120620_norra_solberga,2007,7
2120620_norra_solberga,2008,23
2120620_norra_solberga,2009,60
2120620_norra_solberga,2010,61
2120620_norra_solberga,2011,61
2120620_norra_solberga,2012,48
2120620_norra_solberga,2013,41
2120620_norra_solberga,2014,28
2120630_vastra_solberga,2000,-4
2120630_vastra_solberga,2001,-1
2120630_vastra_solberga,2002,2
2120630_vastra_solberga,2003,-1
2120630_vastra_solberga,2004,-1
2120630_vastra_solberga,2005,4
2120630_vastra_solberga,2006,1
2120630_vastra_solberga,2007,1
2120630_vastra_solberga,2008,-3
2120630_vastra_solberga,2009,-7
2120630_vastra_solberga,2010,-2
2120630_vastra_solberga,2011,-4
2120630_vastra_solberga,2012,-2
2120630_vastra_solberga,2013,2
2120630_vastra_solberga,2014,6
2120660_sodra_solberga,2000,1
2120660_sodra_solberga,2001,3
2120660_sodra_solberga,2002,5
2120660_sodra_solberga,2003,10
2120660_sodra_solberga,2004,33
2120660_sodra_solberga,2005,34
2120660_sodra_solberga,2006,49
2120660_sodra_solberga,2007,64
2120660_sodra_solberga,2008,112
2120660_sodra_solberga,2009,108
2120660_sodra_solberga,2010,97
2120660_sodra_solberga,2011,93
2120660_sodra_solberga,2012,119
2120660_sodra_solberga,2013,164
2120660_sodra_solberga,2014,159
2120700_vastertorp,2000,5
2120700_vastertorp,2001,11
2120700_vastertorp,2002,15
2120700_vastertorp,2003,12
2120700_vastertorp,2004,-23
2120700_vastertorp,2005,-32
2120700_vastertorp,2006,-33
2120700_vastertorp,2007,-22
