basomrade,year,population_20xx_12_31_male
4111110_norra_runby,2000,1437
4111110_norra_runby,2001,1436
4111110_norra_runby,2002,1451
4111110_norra_runby,2003,1435
4111110_norra_runby,2004,1436
4111110_norra_runby,2005,1419
4111110_norra_runby,2006,1429
4111110_norra_runby,2007,1412
4111110_norra_runby,2008,1380
4111110_norra_runby,2009,1441
4111110_norra_runby,2010,1475
4111110_norra_runby,2011,1511
4111110_norra_runby,2012,1531
4111110_norra_runby,2013,1603
4111110_norra_runby,2014,1616
4111120_sodra_runby,2000,192
4111120_sodra_runby,2001,192
4111120_sodra_runby,2002,197
4111120_sodra_runby,2003,203
4111120_sodra_runby,2004,204
4111120_sodra_runby,2005,196
4111120_sodra_runby,2006,189
4111120_sodra_runby,2007,185
4111120_sodra_runby,2008,186
4111120_sodra_runby,2009,187
4111120_sodra_runby,2010,183
4111120_sodra_runby,2011,192
4111120_sodra_runby,2012,203
4111120_sodra_runby,2013,201
4111120_sodra_runby,2014,203
4111130_runby_lovsta,2000,582
4111130_runby_lovsta,2001,565
4111130_runby_lovsta,2002,562
4111130_runby_lovsta,2003,546
4111130_runby_lovsta,2004,528
4111130_runby_lovsta,2005,525
4111130_runby_lovsta,2006,531
4111130_runby_lovsta,2007,545
4111130_runby_lovsta,2008,520
4111130_runby_lovsta,2009,535
4111130_runby_lovsta,2010,527
4111130_runby_lovsta,2011,547
4111130_runby_lovsta,2012,529
4111130_runby_lovsta,2013,537
4111130_runby_lovsta,2014,534
4111140_prastgardsmarken,2000,731
4111140_prastgardsmarken,2001,705
4111140_prastgardsmarken,2002,703
4111140_prastgardsmarken,2003,690
4111140_prastgardsmarken,2004,736
4111140_prastgardsmarken,2005,708
4111140_prastgardsmarken,2006,710
4111140_prastgardsmarken,2007,712
4111140_prastgardsmarken,2008,731
4111140_prastgardsmarken,2009,732
4111140_prastgardsmarken,2010,729
4111140_prastgardsmarken,2011,726
4111140_prastgardsmarken,2012,738
4111140_prastgardsmarken,2013,739
4111140_prastgardsmarken,2014,737
4111900_eds_glesbygd,2000,220
4111900_eds_glesbygd,2001,222
4111900_eds_glesbygd,2002,222
4111900_eds_glesbygd,2003,210
4111900_eds_glesbygd,2004,213
4111900_eds_glesbygd,2005,214
4111900_eds_glesbygd,2006,206
4111900_eds_glesbygd,2007,214
4111900_eds_glesbygd,2008,222
4111900_eds_glesbygd,2009,227
4111900_eds_glesbygd,2010,228
4111900_eds_glesbygd,2011,233
4111900_eds_glesbygd,2012,231
4111900_eds_glesbygd,2013,242
4111900_eds_glesbygd,2014,246
4122100_lowenstromska_sjukhuset,2000,281
4122100_lowenstromska_sjukhuset,2001,288
4122100_lowenstromska_sjukhuset,2002,283
4122100_lowenstromska_sjukhuset,2003,301
4122100_lowenstromska_sjukhuset,2004,287
4122100_lowenstromska_sjukhuset,2005,273
4122100_lowenstromska_sjukhuset,2006,283
4122100_lowenstromska_sjukhuset,2007,295
4122100_lowenstromska_sjukhuset,2008,306
4122100_lowenstromska_sjukhuset,2009,305
4122100_lowenstromska_sjukhuset,2010,297
4122100_lowenstromska_sjukhuset,2011,330
4122100_lowenstromska_sjukhuset,2012,332
4122100_lowenstromska_sjukhuset,2013,342
4122100_lowenstromska_sjukhuset,2014,366
4122210_norra_vilunda,2000,525
4122210_norra_vilunda,2001,521
4122210_norra_vilunda,2002,512
4122210_norra_vilunda,2003,515
4122210_norra_vilunda,2004,514
4122210_norra_vilunda,2005,516
4122210_norra_vilunda,2006,515
4122210_norra_vilunda,2007,517
4122210_norra_vilunda,2008,506
4122210_norra_vilunda,2009,520
4122210_norra_vilunda,2010,529
4122210_norra_vilunda,2011,533
4122210_norra_vilunda,2012,518
4122210_norra_vilunda,2013,533
4122210_norra_vilunda,2014,522
4122230_apoteksskogen,2000,1211
4122230_apoteksskogen,2001,1218
4122230_apoteksskogen,2002,1181
4122230_apoteksskogen,2003,1158
4122230_apoteksskogen,2004,1194
4122230_apoteksskogen,2005,1170
4122230_apoteksskogen,2006,1177
4122230_apoteksskogen,2007,1178
4122230_apoteksskogen,2008,1165
4122230_apoteksskogen,2009,1174
4122230_apoteksskogen,2010,1157
4122230_apoteksskogen,2011,1227
4122230_apoteksskogen,2012,1228
4122230_apoteksskogen,2013,1278
4122230_apoteksskogen,2014,1282
4122240_vasbyskogen,2000,1058
4122240_vasbyskogen,2001,1060
4122240_vasbyskogen,2002,1045
4122240_vasbyskogen,2003,1048
4122240_vasbyskogen,2004,1014
4122240_vasbyskogen,2005,1015
4122240_vasbyskogen,2006,1009
4122240_vasbyskogen,2007,994
4122240_vasbyskogen,2008,991
4122240_vasbyskogen,2009,1013
4122240_vasbyskogen,2010,1050
4122240_vasbyskogen,2011,1067
4122240_vasbyskogen,2012,1078
4122240_vasbyskogen,2013,1111
4122240_vasbyskogen,2014,1120
4122310_korpkulla,2000,1436
4122310_korpkulla,2001,1428
4122310_korpkulla,2002,1438
4122310_korpkulla,2003,1481
4122310_korpkulla,2004,1487
4122310_korpkulla,2005,1522
4122310_korpkulla,2006,1587
4122310_korpkulla,2007,1590
4122310_korpkulla,2008,1649
4122310_korpkulla,2009,1623
4122310_korpkulla,2010,1697
4122310_korpkulla,2011,1777
4122310_korpkulla,2012,1756
4122310_korpkulla,2013,1753
4122310_korpkulla,2014,1773
4122340_vilunda,2000,971
4122340_vilunda,2001,976
4122340_vilunda,2002,946
4122340_vilunda,2003,930
4122340_vilunda,2004,918
4122340_vilunda,2005,917
4122340_vilunda,2006,884
4122340_vilunda,2007,893
4122340_vilunda,2008,880
4122340_vilunda,2009,863
4122340_vilunda,2010,899
4122340_vilunda,2011,874
4122340_vilunda,2012,900
4122340_vilunda,2013,906
4122340_vilunda,2014,866
4122420_norra_smedby,2000,1822
4122420_norra_smedby,2001,1831
4122420_norra_smedby,2002,1828
4122420_norra_smedby,2003,1812
4122420_norra_smedby,2004,1772
4122420_norra_smedby,2005,1747
4122420_norra_smedby,2006,1711
4122420_norra_smedby,2007,1747
4122420_norra_smedby,2008,1726
4122420_norra_smedby,2009,1729
4122420_norra_smedby,2010,1756
4122420_norra_smedby,2011,1810
4122420_norra_smedby,2012,1834
4122420_norra_smedby,2013,1886
4122420_norra_smedby,2014,1943
4122430_sodra_smedby,2000,427
4122430_sodra_smedby,2001,409
4122430_sodra_smedby,2002,405
4122430_sodra_smedby,2003,390
4122430_sodra_smedby,2004,401
4122430_sodra_smedby,2005,385
4122430_sodra_smedby,2006,375
4122430_sodra_smedby,2007,374
4122430_sodra_smedby,2008,382
4122430_sodra_smedby,2009,378
4122430_sodra_smedby,2010,362
4122430_sodra_smedby,2011,357
4122430_sodra_smedby,2012,349
4122430_sodra_smedby,2013,356
4122430_sodra_smedby,2014,353
4122520_skalby,2000,566
4122520_skalby,2001,562
4122520_skalby,2002,560
4122520_skalby,2003,558
4122520_skalby,2004,562
4122520_skalby,2005,567
4122520_skalby,2006,575
4122520_skalby,2007,583
4122520_skalby,2008,572
4122520_skalby,2009,560
4122520_skalby,2010,596
4122520_skalby,2011,606
4122520_skalby,2012,601
4122520_skalby,2013,597
4122520_skalby,2014,597
4122530_carlslund,2000,719
4122530_carlslund,2001,713
4122530_carlslund,2002,702
4122530_carlslund,2003,701
4122530_carlslund,2004,693
4122530_carlslund,2005,669
4122530_carlslund,2006,710
4122530_carlslund,2007,734
4122530_carlslund,2008,769
4122530_carlslund,2009,759
4122530_carlslund,2010,855
4122530_carlslund,2011,890
4122530_carlslund,2012,921
4122530_carlslund,2013,989
4122530_carlslund,2014,1001
4122540_brunnby,2000,491
4122540_brunnby,2001,499
4122540_brunnby,2002,486
4122540_brunnby,2003,493
4122540_brunnby,2004,498
4122540_brunnby,2005,506
4122540_brunnby,2006,522
4122540_brunnby,2007,523
4122540_brunnby,2008,535
4122540_brunnby,2009,551
4122540_brunnby,2010,538
4122540_brunnby,2011,541
4122540_brunnby,2012,535
4122540_brunnby,2013,540
4122540_brunnby,2014,530
4122600_vastra_odenslunda,2000,663
4122600_vastra_odenslunda,2001,662
4122600_vastra_odenslunda,2002,660
4122600_vastra_odenslunda,2003,662
4122600_vastra_odenslunda,2004,653
4122600_vastra_odenslunda,2005,652
4122600_vastra_odenslunda,2006,672
4122600_vastra_odenslunda,2007,679
4122600_vastra_odenslunda,2008,684
4122600_vastra_odenslunda,2009,690
4122600_vastra_odenslunda,2010,681
4122600_vastra_odenslunda,2011,673
4122600_vastra_odenslunda,2012,681
4122600_vastra_odenslunda,2013,681
4122600_vastra_odenslunda,2014,697
4133110_sanda,2000,23
4133110_sanda,2001,22
4133110_sanda,2002,20
4133110_sanda,2003,12
4133110_sanda,2004,36
4133110_sanda,2005,30
4133110_sanda,2006,34
4133110_sanda,2007,35
4133110_sanda,2008,84
4133110_sanda,2009,190
4133110_sanda,2010,221
4133110_sanda,2011,258
4133110_sanda,2012,306
4133110_sanda,2013,343
4133110_sanda,2014,371
4133120_ostra_odenslunda,2000,867
4133120_ostra_odenslunda,2001,874
4133120_ostra_odenslunda,2002,886
4133120_ostra_odenslunda,2003,893
4133120_ostra_odenslunda,2004,925
4133120_ostra_odenslunda,2005,957
4133120_ostra_odenslunda,2006,942
4133120_ostra_odenslunda,2007,955
4133120_ostra_odenslunda,2008,968
4133120_ostra_odenslunda,2009,965
4133120_ostra_odenslunda,2010,961
4133120_ostra_odenslunda,2011,960
4133120_ostra_odenslunda,2012,974
4133120_ostra_odenslunda,2013,974
4133120_ostra_odenslunda,2014,978
4133200_frestaby,2000,856
4133200_frestaby,2001,840
4133200_frestaby,2002,837
4133200_frestaby,2003,839
4133200_frestaby,2004,822
4133200_frestaby,2005,833
4133200_frestaby,2006,850
4133200_frestaby,2007,895
4133200_frestaby,2008,904
4133200_frestaby,2009,938
4133200_frestaby,2010,922
4133200_frestaby,2011,923
4133200_frestaby,2012,917
4133200_frestaby,2013,932
4133200_frestaby,2014,976
4133310_vastra_bollstanas,2000,783
4133310_vastra_bollstanas,2001,772
4133310_vastra_bollstanas,2002,763
4133310_vastra_bollstanas,2003,747
4133310_vastra_bollstanas,2004,741
4133310_vastra_bollstanas,2005,746
4133310_vastra_bollstanas,2006,745
4133310_vastra_bollstanas,2007,765
4133310_vastra_bollstanas,2008,795
4133310_vastra_bollstanas,2009,792
4133310_vastra_bollstanas,2010,811
4133310_vastra_bollstanas,2011,823
4133310_vastra_bollstanas,2012,852
4133310_vastra_bollstanas,2013,845
4133310_vastra_bollstanas,2014,852
4133330_ostra_bollstanas,2000,1819
4133330_ostra_bollstanas,2001,1804
4133330_ostra_bollstanas,2002,1836
4133330_ostra_bollstanas,2003,1847
4133330_ostra_bollstanas,2004,1855
4133330_ostra_bollstanas,2005,1915
4133330_ostra_bollstanas,2006,1943
4133330_ostra_bollstanas,2007,1941
4133330_ostra_bollstanas,2008,1925
4133330_ostra_bollstanas,2009,1929
4133330_ostra_bollstanas,2010,1949
4133330_ostra_bollstanas,2011,1967
4133330_ostra_bollstanas,2012,1964
4133330_ostra_bollstanas,2013,1968
4133330_ostra_bollstanas,2014,1995
4133350_sodra_bollstanas,2000,612
4133350_sodra_bollstanas,2001,653
4133350_sodra_bollstanas,2002,654
4133350_sodra_bollstanas,2003,664
4133350_sodra_bollstanas,2004,675
4133350_sodra_bollstanas,2005,697
4133350_sodra_bollstanas,2006,713
4133350_sodra_bollstanas,2007,721
4133350_sodra_bollstanas,2008,730
4133350_sodra_bollstanas,2009,716
4133350_sodra_bollstanas,2010,696
4133350_sodra_bollstanas,2011,705
4133350_sodra_bollstanas,2012,706
4133350_sodra_bollstanas,2013,716
4133350_sodra_bollstanas,2014,712
4133910_fresta_norra_glesbygd,2000,173
