basomrade,year,cumulative_immigration_surplus
1010120_skeppsbron,2000,4
1010120_skeppsbron,2001,9
1010120_skeppsbron,2002,27
1010120_skeppsbron,2003,5
1010120_skeppsbron,2004,18
1010120_skeppsbron,2005,14
1010120_skeppsbron,2006,20
1010120_skeppsbron,2007,41
1010120_skeppsbron,2008,40
1010120_skeppsbron,2009,26
1010120_skeppsbron,2010,38
1010120_skeppsbron,2011,36
1010120_skeppsbron,2012,28
1010120_skeppsbron,2013,23
1010120_skeppsbron,2014,45
1010130_munkbron,2000,11
1010130_munkbron,2001,41
1010130_munkbron,2002,3
1010130_munkbron,2003,-20
1010130_munkbron,2004,-42
1010130_munkbron,2005,-37
1010130_munkbron,2006,-29
1010130_munkbron,2007,-28
1010130_munkbron,2008,-53
1010130_munkbron,2009,-33
1010130_munkbron,2010,-33
1010130_munkbron,2011,-16
1010130_munkbron,2012,5
1010130_munkbron,2013,-3
1010130_munkbron,2014,5
1010140_stortorget,2000,-4
1010140_stortorget,2001,-13
1010140_stortorget,2002,-23
1010140_stortorget,2003,-1
1010140_stortorget,2004,-7
1010140_stortorget,2005,-2
1010140_stortorget,2006,-5
1010140_stortorget,2007,-35
1010140_stortorget,2008,-32
1010140_stortorget,2009,-24
1010140_stortorget,2010,-34
1010140_stortorget,2011,-64
1010140_stortorget,2012,-58
1010140_stortorget,2013,-36
1010140_stortorget,2014,-47
1010201_centralstationen_n,2000,0
1010201_centralstationen_n,2001,-17
1010201_centralstationen_n,2002,-32
1010201_centralstationen_n,2003,-41
1010201_centralstationen_n,2004,-42
1010201_centralstationen_n,2005,-47
1010201_centralstationen_n,2006,-66
1010201_centralstationen_n,2007,-70
1010201_centralstationen_n,2008,-92
1010201_centralstationen_n,2009,-107
1010201_centralstationen_n,2010,-121
1010201_centralstationen_n,2011,-133
1010201_centralstationen_n,2012,-138
1010201_centralstationen_n,2013,-154
1010201_centralstationen_n,2014,-172
1010220_klara_kyrka,2000,6
1010220_klara_kyrka,2001,2
1010220_klara_kyrka,2002,59
1010220_klara_kyrka,2003,71
1010220_klara_kyrka,2004,71
1010220_klara_kyrka,2005,64
1010220_klara_kyrka,2006,64
1010220_klara_kyrka,2007,62
1010220_klara_kyrka,2008,66
1010220_klara_kyrka,2009,73
1010220_klara_kyrka,2010,71
1010220_klara_kyrka,2011,49
1010220_klara_kyrka,2012,55
1010220_klara_kyrka,2013,49
1010220_klara_kyrka,2014,41
1010230_centralposten,2000,-11
1010230_centralposten,2001,-14
1010230_centralposten,2002,-8
1010230_centralposten,2003,91
1010230_centralposten,2004,94
1010230_centralposten,2005,91
1010230_centralposten,2006,90
1010230_centralposten,2007,88
1010230_centralposten,2008,91
1010230_centralposten,2009,103
1010230_centralposten,2010,105
1010230_centralposten,2011,103
1010230_centralposten,2012,119
1010230_centralposten,2013,124
1010230_centralposten,2014,116
1010240_oscarsteatern,2000,1
1010240_oscarsteatern,2001,-21
1010240_oscarsteatern,2002,-16
1010240_oscarsteatern,2003,-26
1010240_oscarsteatern,2004,-32
1010240_oscarsteatern,2005,-40
1010240_oscarsteatern,2006,-56
1010240_oscarsteatern,2007,-74
1010240_oscarsteatern,2008,-77
1010240_oscarsteatern,2009,-75
1010240_oscarsteatern,2010,-75
1010240_oscarsteatern,2011,-33
1010240_oscarsteatern,2012,-46
1010240_oscarsteatern,2013,-59
1010240_oscarsteatern,2014,-69
1010250_brunkeberg,2000,2
1010250_brunkeberg,2001,-6
1010250_brunkeberg,2002,-18
1010250_brunkeberg,2003,-25
1010250_brunkeberg,2004,-29
1010250_brunkeberg,2005,-30
1010250_brunkeberg,2006,-45
1010250_brunkeberg,2007,-56
1010250_brunkeberg,2008,-58
1010250_brunkeberg,2009,-57
1010250_brunkeberg,2010,-59
1010250_brunkeberg,2011,-56
1010250_brunkeberg,2012,-56
1010250_brunkeberg,2013,-60
1010250_brunkeberg,2014,-60
1010290_oxtorget,2000,-4
1010290_oxtorget,2001,-20
1010290_oxtorget,2002,-24
1010290_oxtorget,2003,11
1010290_oxtorget,2004,16
1010290_oxtorget,2005,5
1010290_oxtorget,2006,9
1010290_oxtorget,2007,4
1010290_oxtorget,2008,-2
1010290_oxtorget,2009,17
1010290_oxtorget,2010,10
1010290_oxtorget,2011,-10
1010290_oxtorget,2012,-10
1010290_oxtorget,2013,-20
1010290_oxtorget,2014,-41
1010310_norrlandsgatan,2000,3
1010310_norrlandsgatan,2001,-2
1010310_norrlandsgatan,2002,26
1010310_norrlandsgatan,2003,35
1010310_norrlandsgatan,2004,38
1010310_norrlandsgatan,2005,32
1010310_norrlandsgatan,2006,46
1010310_norrlandsgatan,2007,50
1010310_norrlandsgatan,2008,45
1010310_norrlandsgatan,2009,35
1010310_norrlandsgatan,2010,48
1010310_norrlandsgatan,2011,47
1010310_norrlandsgatan,2012,69
1010310_norrlandsgatan,2013,88
1010310_norrlandsgatan,2014,99
1110111_brunnsgatan_n,2000,-8
1110111_brunnsgatan_n,2001,-17
1110111_brunnsgatan_n,2002,-2
1110111_brunnsgatan_n,2003,3
1110111_brunnsgatan_n,2004,-1
1110111_brunnsgatan_n,2005,3
1110111_brunnsgatan_n,2006,5
1110111_brunnsgatan_n,2007,-3
1110111_brunnsgatan_n,2008,-9
1110111_brunnsgatan_n,2009,5
1110111_brunnsgatan_n,2010,27
1110111_brunnsgatan_n,2011,17
1110111_brunnsgatan_n,2012,21
1110111_brunnsgatan_n,2013,16
1110111_brunnsgatan_n,2014,13
1110112_brunnsgatan_s,2000,28
1110112_brunnsgatan_s,2001,72
1110112_brunnsgatan_s,2002,71
1110112_brunnsgatan_s,2003,100
1110112_brunnsgatan_s,2004,92
1110112_brunnsgatan_s,2005,112
1110112_brunnsgatan_s,2006,130
1110112_brunnsgatan_s,2007,159
1110112_brunnsgatan_s,2008,173
1110112_brunnsgatan_s,2009,179
1110112_brunnsgatan_s,2010,197
1110112_brunnsgatan_s,2011,205
1110112_brunnsgatan_s,2012,239
1110112_brunnsgatan_s,2013,258
1110112_brunnsgatan_s,2014,274
1110120_johannes_kyrka,2000,-5
1110120_johannes_kyrka,2001,-47
1110120_johannes_kyrka,2002,-28
1110120_johannes_kyrka,2003,-9
1110120_johannes_kyrka,2004,-27
1110120_johannes_kyrka,2005,-31
1110120_johannes_kyrka,2006,-59
1110120_johannes_kyrka,2007,-48
1110120_johannes_kyrka,2008,-62
1110120_johannes_kyrka,2009,-64
1110120_johannes_kyrka,2010,-72
1110120_johannes_kyrka,2011,-90
1110120_johannes_kyrka,2012,-90
1110120_johannes_kyrka,2013,-102
1110120_johannes_kyrka,2014,-115
1110210_wenner_gren_center,2000,-21
1110210_wenner_gren_center,2001,-40
1110210_wenner_gren_center,2002,-82
1110210_wenner_gren_center,2003,-96
1110210_wenner_gren_center,2004,-108
1110210_wenner_gren_center,2005,-132
1110210_wenner_gren_center,2006,-168
1110210_wenner_gren_center,2007,-213
1110210_wenner_gren_center,2008,-192
1110210_wenner_gren_center,2009,-228
1110210_wenner_gren_center,2010,-211
1110210_wenner_gren_center,2011,-222
1110210_wenner_gren_center,2012,-201
1110210_wenner_gren_center,2013,-186
1110210_wenner_gren_center,2014,-171
1110220_vanadislunden,2000,82
1110220_vanadislunden,2001,99
1110220_vanadislunden,2002,41
1110220_vanadislunden,2003,18
1110220_vanadislunden,2004,-27
1110220_vanadislunden,2005,-16
1110220_vanadislunden,2006,-88
1110220_vanadislunden,2007,-136
1110220_vanadislunden,2008,-88
1110220_vanadislunden,2009,-169
1110220_vanadislunden,2010,-192
1110220_vanadislunden,2011,-195
1110220_vanadislunden,2012,-186
1110220_vanadislunden,2013,-217
1110220_vanadislunden,2014,-258
1110230_surbrunnsomradet,2000,35
1110230_surbrunnsomradet,2001,7
1110230_surbrunnsomradet,2002,-55
1110230_surbrunnsomradet,2003,-38
1110230_surbrunnsomradet,2004,-49
1110230_surbrunnsomradet,2005,-79
1110230_surbrunnsomradet,2006,-98
1110230_surbrunnsomradet,2007,-97
1110230_surbrunnsomradet,2008,-65
1110230_surbrunnsomradet,2009,-89
1110230_surbrunnsomradet,2010,-88
1110230_surbrunnsomradet,2011,-76
1110230_surbrunnsomradet,2012,-94
1110230_surbrunnsomradet,2013,-42
1110230_surbrunnsomradet,2014,-37
1110240_norra_real,2000,-17
1110240_norra_real,2001,-13
1110240_norra_real,2002,-29
1110240_norra_real,2003,-37
1110240_norra_real,2004,-16
1110240_norra_real,2005,-29
1110240_norra_real,2006,-57
1110240_norra_real,2007,-101
1110240_norra_real,2008,-103
1110240_norra_real,2009,-129
1110240_norra_real,2010,-122
1110240_norra_real,2011,-166
1110240_norra_real,2012,-185
1110240_norra_real,2013,-172
1110240_norra_real,2014,-186
1110250_elverket,2000,3
1110250_elverket,2001,-1
1110250_elverket,2002,-8
1110250_elverket,2003,-34
1110250_elverket,2004,-38
1110250_elverket,2005,-34
1110250_elverket,2006,-43
1110250_elverket,2007,-35
1110250_elverket,2008,-43
1110250_elverket,2009,-41
1110250_elverket,2010,-47
1110250_elverket,2011,-55
1110250_elverket,2012,-68
1110250_elverket,2013,-83
1110250_elverket,2014,-104
1120110_tegnerlunden,2000,-21
1120110_tegnerlunden,2001,-16
1120110_tegnerlunden,2002,17
1120110_tegnerlunden,2003,21
1120110_tegnerlunden,2004,5
1120110_tegnerlunden,2005,0
1120110_tegnerlunden,2006,2
1120110_tegnerlunden,2007,-8
1120110_tegnerlunden,2008,-28
1120110_tegnerlunden,2009,-65
1120110_tegnerlunden,2010,-90
1120110_tegnerlunden,2011,-37
1120110_tegnerlunden,2012,-71
1120110_tegnerlunden,2013,-97
1120110_tegnerlunden,2014,-125
1120120_tandlakarhogskolan,2000,-8
1120120_tandlakarhogskolan,2001,-17
1120120_tandlakarhogskolan,2002,-4
1120120_tandlakarhogskolan,2003,-1
1120120_tandlakarhogskolan,2004,12
1120120_tandlakarhogskolan,2005,8
1120120_tandlakarhogskolan,2006,11
1120120_tandlakarhogskolan,2007,-1
1120120_tandlakarhogskolan,2008,18
1120120_tandlakarhogskolan,2009,0
1120120_tandlakarhogskolan,2010,2
1120120_tandlakarhogskolan,2011,-15
1120120_tandlakarhogskolan,2012,31
1120120_tandlakarhogskolan,2013,32
1120120_tandlakarhogskolan,2014,37
1120131_norra_bantorget_o,2000,-16
1120131_norra_bantorget_o,2001,-11
1120131_norra_bantorget_o,2002,-29
1120131_norra_bantorget_o,2003,-19
1120131_norra_bantorget_o,2004,-32
1120131_norra_bantorget_o,2005,-20
1120131_norra_bantorget_o,2006,-19
1120131_norra_bantorget_o,2007,-27
1120131_norra_bantorget_o,2008,82
1120131_norra_bantorget_o,2009,134
1120131_norra_bantorget_o,2010,151
1120131_norra_bantorget_o,2011,136
1120131_norra_bantorget_o,2012,137
1120131_norra_bantorget_o,2013,105
1120131_norra_bantorget_o,2014,123
1120132_norra_bantorget_v,2010,34
1120132_norra_bantorget_v,2011,43
1120132_norra_bantorget_v,2012,51
1120132_norra_bantorget_v,2013,50
1120132_norra_bantorget_v,2014,39
1120140_adolf_fredriks_kyrka,2000,5
1120140_adolf_fredriks_kyrka,2001,-13
1120140_adolf_fredriks_kyrka,2002,-11
1120140_adolf_fredriks_kyrka,2003,-16
1120140_adolf_fredriks_kyrka,2004,-38
1120140_adolf_fredriks_kyrka,2005,-37
1120140_adolf_fredriks_kyrka,2006,-47
1120140_adolf_fredriks_kyrka,2007,-50
1120140_adolf_fredriks_kyrka,2008,-46
1120140_adolf_fredriks_kyrka,2009,-53
1120140_adolf_fredriks_kyrka,2010,-49
1120140_adolf_fredriks_kyrka,2011,-72
1120140_adolf_fredriks_kyrka,2012,-110
1120140_adolf_fredriks_kyrka,2013,-108
1120140_adolf_fredriks_kyrka,2014,-59
1120150_skandiahuset,2000,14
1120150_skandiahuset,2001,21
1120150_skandiahuset,2002,1
1120150_skandiahuset,2003,21
1120150_skandiahuset,2004,-9
1120150_skandiahuset,2005,14
1120150_skandiahuset,2006,12
1120150_skandiahuset,2007,20
1120150_skandiahuset,2008,12
1120150_skandiahuset,2009,9
1120150_skandiahuset,2010,25
1120150_skandiahuset,2011,6
1120150_skandiahuset,2012,10
1120150_skandiahuset,2013,8
1120150_skandiahuset,2014,-16
1120210_kungsstenen,2000,14
1120210_kungsstenen,2001,30
1120210_kungsstenen,2002,9
1120210_kungsstenen,2003,13
1120210_kungsstenen,2004,22
1120210_kungsstenen,2005,2
1120210_kungsstenen,2006,61
1120210_kungsstenen,2007,14
1120210_kungsstenen,2008,21
1120210_kungsstenen,2009,69
1120210_kungsstenen,2010,54
1120210_kungsstenen,2011,22
1120210_kungsstenen,2012,-26
1120210_kungsstenen,2013,-74
1120210_kungsstenen,2014,-82
1120220_saltmatargatan,2000,2
1120220_saltmatargatan,2001,-10
1120220_saltmatargatan,2002,-13
1120220_saltmatargatan,2003,-16
1120220_saltmatargatan,2004,-12
1120220_saltmatargatan,2005,-22
1120220_saltmatargatan,2006,-22
1120220_saltmatargatan,2007,-17
1120220_saltmatargatan,2008,-7
1120220_saltmatargatan,2009,5
1120220_saltmatargatan,2010,7
1120220_saltmatargatan,2011,-3
1120220_saltmatargatan,2012,-4
1120220_saltmatargatan,2013,-8
1120220_saltmatargatan,2014,-7
1120230_sjokatten,2000,13
1120230_sjokatten,2001,5
1120230_sjokatten,2002,0
1120230_sjokatten,2003,-4
1120230_sjokatten,2004,-17
1120230_sjokatten,2005,8
1120230_sjokatten,2006,58
1120230_sjokatten,2007,40
1120230_sjokatten,2008,32
1120230_sjokatten,2009,15
1120230_sjokatten,2010,31
1120230_sjokatten,2011,18
1120230_sjokatten,2012,15
1120230_sjokatten,2013,4
1120230_sjokatten,2014,-25
1130110_atlasomradet,2000,21
1130110_atlasomradet,2001,43
1130110_atlasomradet,2002,41
1130110_atlasomradet,2003,19
1130110_atlasomradet,2004,-25
1130110_atlasomradet,2005,-22
1130110_atlasomradet,2006,-44
1130110_atlasomradet,2007,-65
1130110_atlasomradet,2008,-53
1130110_atlasomradet,2009,-103
1130110_atlasomradet,2010,-147
1130110_atlasomradet,2011,-170
1130110_atlasomradet,2012,-208
1130110_atlasomradet,2013,-200
1130110_atlasomradet,2014,-198
1130120_gustav_vasa_kyrka,2000,59
1130120_gustav_vasa_kyrka,2001,11
1130120_gustav_vasa_kyrka,2002,56
1130120_gustav_vasa_kyrka,2003,49
1130120_gustav_vasa_kyrka,2004,136
1130120_gustav_vasa_kyrka,2005,154
1130120_gustav_vasa_kyrka,2006,131
1130120_gustav_vasa_kyrka,2007,150
1130120_gustav_vasa_kyrka,2008,111
1130120_gustav_vasa_kyrka,2009,118
1130120_gustav_vasa_kyrka,2010,100
1130120_gustav_vasa_kyrka,2011,171
1130120_gustav_vasa_kyrka,2012,158
1130120_gustav_vasa_kyrka,2013,131
1130120_gustav_vasa_kyrka,2014,132
1130130_observatoriegatan,2000,30
1130130_observatoriegatan,2001,22
1130130_observatoriegatan,2002,-4
1130130_observatoriegatan,2003,1
1130130_observatoriegatan,2004,-53
1130130_observatoriegatan,2005,-66
1130130_observatoriegatan,2006,-80
1130130_observatoriegatan,2007,-96
1130130_observatoriegatan,2008,-95
1130130_observatoriegatan,2009,-145
1130130_observatoriegatan,2010,-140
1130130_observatoriegatan,2011,-129
1130130_observatoriegatan,2012,-173
1130130_observatoriegatan,2013,-174
1130130_observatoriegatan,2014,-191
1130140_sabbatsberg,2000,42
1130140_sabbatsberg,2001,62
1130140_sabbatsberg,2002,85
1130140_sabbatsberg,2003,77
1130140_sabbatsberg,2004,99
1130140_sabbatsberg,2005,131
1130140_sabbatsberg,2006,163
1130140_sabbatsberg,2007,175
1130140_sabbatsberg,2008,360
1130140_sabbatsberg,2009,1106
1130140_sabbatsberg,2010,1154
1130140_sabbatsberg,2011,1242
1130140_sabbatsberg,2012,1249
1130140_sabbatsberg,2013,1238
1130140_sabbatsberg,2014,1220
1130150_polstjarnan,2000,13
1130150_polstjarnan,2001,-1
1130150_polstjarnan,2002,2
1130150_polstjarnan,2003,7
1130150_polstjarnan,2004,49
1130150_polstjarnan,2005,50
1130150_polstjarnan,2006,33
1130150_polstjarnan,2007,40
1130150_polstjarnan,2008,22
1130150_polstjarnan,2009,-3
1130150_polstjarnan,2010,36
1130150_polstjarnan,2011,-10
1130150_polstjarnan,2012,-19
1130150_polstjarnan,2013,-15
1130150_polstjarnan,2014,-22
1130170_betlehemskyrkan,2000,-32
1130170_betlehemskyrkan,2001,-47
1130170_betlehemskyrkan,2002,-43
1130170_betlehemskyrkan,2003,-54
1130170_betlehemskyrkan,2004,-76
1130170_betlehemskyrkan,2005,-101
1130170_betlehemskyrkan,2006,-106
1130170_betlehemskyrkan,2007,-120
1130170_betlehemskyrkan,2008,-92
1130170_betlehemskyrkan,2009,-133
1130170_betlehemskyrkan,2010,-164
1130170_betlehemskyrkan,2011,-174
1130170_betlehemskyrkan,2012,-191
1130170_betlehemskyrkan,2013,-262
1130170_betlehemskyrkan,2014,-208
1140110_norrtull,2000,4
1140110_norrtull,2001,6
1140110_norrtull,2002,0
1140110_norrtull,2003,3
1140110_norrtull,2004,14
1140110_norrtull,2005,11
1140110_norrtull,2006,15
1140110_norrtull,2007,9
1140110_norrtull,2008,8
1140110_norrtull,2009,16
1140110_norrtull,2010,20
1140110_norrtull,2011,28
1140110_norrtull,2012,2
1140110_norrtull,2013,-7
1140110_norrtull,2014,5
1140120_tre_liljor,2000,45
1140120_tre_liljor,2001,-8
1140120_tre_liljor,2002,-76
1140120_tre_liljor,2003,-74
1140120_tre_liljor,2004,-62
1140120_tre_liljor,2005,-20
1140120_tre_liljor,2006,-44
1140120_tre_liljor,2007,-70
1140120_tre_liljor,2008,-93
1140120_tre_liljor,2009,-99
1140120_tre_liljor,2010,-75
1140120_tre_liljor,2011,-124
1140120_tre_liljor,2012,-61
1140120_tre_liljor,2013,-104
1140120_tre_liljor,2014,-180
1140130_matteus_kyrka,2000,63
1140130_matteus_kyrka,2001,33
1140130_matteus_kyrka,2002,42
1140130_matteus_kyrka,2003,30
1140130_matteus_kyrka,2004,-7
1140130_matteus_kyrka,2005,-27
1140130_matteus_kyrka,2006,-82
1140130_matteus_kyrka,2007,-171
1140130_matteus_kyrka,2008,-186
1140130_matteus_kyrka,2009,-224
1140130_matteus_kyrka,2010,-254
1140130_matteus_kyrka,2011,-299
1140130_matteus_kyrka,2012,-331
1140130_matteus_kyrka,2013,-401
1140130_matteus_kyrka,2014,-409
1140140_halsingehojden,2000,17
1140140_halsingehojden,2001,22
1140140_halsingehojden,2002,10
1140140_halsingehojden,2003,43
1140140_halsingehojden,2004,23
1140140_halsingehojden,2005,-41
1140140_halsingehojden,2006,-42
1140140_halsingehojden,2007,-99
1140140_halsingehojden,2008,-117
1140140_halsingehojden,2009,-199
1140140_halsingehojden,2010,-258
1140140_halsingehojden,2011,-251
1140140_halsingehojden,2012,-272
1140140_halsingehojden,2013,-264
1140140_halsingehojden,2014,-349
1140150_centralgaraget,2000,-30
1140150_centralgaraget,2001,-42
1140150_centralgaraget,2002,-36
1140150_centralgaraget,2003,-53
1140150_centralgaraget,2004,-44
1140150_centralgaraget,2005,-11
1140150_centralgaraget,2006,-52
1140150_centralgaraget,2007,-58
1140150_centralgaraget,2008,2
1140150_centralgaraget,2009,26
1140150_centralgaraget,2010,32
1140150_centralgaraget,2011,-6
1140150_centralgaraget,2012,-42
1140150_centralgaraget,2013,-56
1140150_centralgaraget,2014,-88
1140210_okand,2000,3
1140210_okand,2001,2
1140210_okand,2002,5
1140210_okand,2003,11
1140210_okand,2004,6
1140210_okand,2005,5
1140210_okand,2006,-12
1140210_okand,2007,-5
1140210_okand,2008,0
1140210_okand,2009,0
1140212_norra_station_2,2010,-9
1140212_norra_station_2,2011,-2
1140212_norra_station_2,2012,-2
1140212_norra_station_2,2013,-9
1140212_norra_station_2,2014,-9
1140220_birkagarden,2000,30
1140220_birkagarden,2001,41
1140220_birkagarden,2002,-1
1140220_birkagarden,2003,-22
1140220_birkagarden,2004,4
1140220_birkagarden,2005,-39
1140220_birkagarden,2006,-53
1140220_birkagarden,2007,-91
1140220_birkagarden,2008,-68
1140220_birkagarden,2009,-97
1140220_birkagarden,2010,-70
1140220_birkagarden,2011,-81
1140220_birkagarden,2012,-116
1140220_birkagarden,2013,-73
1140220_birkagarden,2014,-49
1140230_rorstrand,2000,-75
1140230_rorstrand,2001,-119
1140230_rorstrand,2002,-129
1140230_rorstrand,2003,-174
1140230_rorstrand,2004,-347
1140230_rorstrand,2005,-398
1140230_rorstrand,2006,-498
1140230_rorstrand,2007,-652
1140230_rorstrand,2008,-573
1140230_rorstrand,2009,-681
1140230_rorstrand,2010,-761
1140230_rorstrand,2011,-810
1140230_rorstrand,2012,-907
1140230_rorstrand,2013,-1029
1140230_rorstrand,2014,-1207
1140240_rodaberget,2000,26
1140240_rodaberget,2001,27
1140240_rodaberget,2002,33
1140240_rodaberget,2003,20
1140240_rodaberget,2004,24
1140240_rodaberget,2005,57
1140240_rodaberget,2006,61
1140240_rodaberget,2007,101
1140240_rodaberget,2008,134
1140240_rodaberget,2009,105
1140240_rodaberget,2010,167
1140240_rodaberget,2011,99
1140240_rodaberget,2012,73
1140240_rodaberget,2013,96
1140240_rodaberget,2014,94
1140250_s_t_eriksplan,2000,5
1140250_s_t_eriksplan,2001,32
1140250_s_t_eriksplan,2002,0
1140250_s_t_eriksplan,2003,-35
1140250_s_t_eriksplan,2004,-75
1140250_s_t_eriksplan,2005,-60
1140250_s_t_eriksplan,2006,-93
1140250_s_t_eriksplan,2007,-126
1140250_s_t_eriksplan,2008,-156
1140250_s_t_eriksplan,2009,-123
1140250_s_t_eriksplan,2010,-147
1140250_s_t_eriksplan,2011,-158
1140250_s_t_eriksplan,2012,-196
1140250_s_t_eriksplan,2013,-214
1140250_s_t_eriksplan,2014,-245
1210110_roslagstull,2000,40
1210110_roslagstull,2001,25
1210110_roslagstull,2002,9
1210110_roslagstull,2003,4
1210110_roslagstull,2004,-19
1210110_roslagstull,2005,-31
1210110_roslagstull,2006,-93
1210110_roslagstull,2007,-64
1210110_roslagstull,2008,-152
1210110_roslagstull,2009,-58
1210110_roslagstull,2010,-2
1210110_roslagstull,2011,4
1210110_roslagstull,2012,-60
1210110_roslagstull,2013,-151
1210110_roslagstull,2014,-149
1210120_larkstaden,2000,-3
1210120_larkstaden,2001,-92
1210120_larkstaden,2002,-145
1210120_larkstaden,2003,-166
1210120_larkstaden,2004,-180
1210120_larkstaden,2005,-140
1210120_larkstaden,2006,-151
1210120_larkstaden,2007,-231
1210120_larkstaden,2008,-222
1210120_larkstaden,2009,-208
1210120_larkstaden,2010,-164
1210120_larkstaden,2011,-212
1210120_larkstaden,2012,-221
1210120_larkstaden,2013,-278
1210120_larkstaden,2014,-315
1210131_danderydsplan_v,2000,-27
1210131_danderydsplan_v,2001,-52
1210131_danderydsplan_v,2002,-35
1210131_danderydsplan_v,2003,3
1210131_danderydsplan_v,2004,-16
1210131_danderydsplan_v,2005,-17
1210131_danderydsplan_v,2006,-55
1210131_danderydsplan_v,2007,-77
1210131_danderydsplan_v,2008,-50
1210131_danderydsplan_v,2009,-69
1210131_danderydsplan_v,2010,-79
1210131_danderydsplan_v,2011,-99
1210131_danderydsplan_v,2012,-121
1210131_danderydsplan_v,2013,-94
1210131_danderydsplan_v,2014,10
1210132_danderydsplan_o,2000,33
1210132_danderydsplan_o,2001,60
1210132_danderydsplan_o,2002,48
1210132_danderydsplan_o,2003,30
1210132_danderydsplan_o,2004,64
1210132_danderydsplan_o,2005,18
1210132_danderydsplan_o,2006,27
1210132_danderydsplan_o,2007,33
1210132_danderydsplan_o,2008,43
1210132_danderydsplan_o,2009,43
1210132_danderydsplan_o,2010,21
1210132_danderydsplan_o,2011,57
1210132_danderydsplan_o,2012,48
1210132_danderydsplan_o,2013,40
1210132_danderydsplan_o,2014,50
1210140_eriksberg,2000,22
1210140_eriksberg,2001,11
1210140_eriksberg,2002,47
1210140_eriksberg,2003,27
1210140_eriksberg,2004,14
1210140_eriksberg,2005,23
1210140_eriksberg,2006,33
1210140_eriksberg,2007,-10
1210140_eriksberg,2008,30
1210140_eriksberg,2009,86
1210140_eriksberg,2010,79
1210140_eriksberg,2011,60
1210140_eriksberg,2012,44
1210140_eriksberg,2013,3
1210140_eriksberg,2014,6
1210151_stureplan_o,2000,-5
1210151_stureplan_o,2001,-7
1210151_stureplan_o,2002,-14
1210151_stureplan_o,2003,-12
1210151_stureplan_o,2004,-11
1210151_stureplan_o,2005,-24
1210151_stureplan_o,2006,-43
1210151_stureplan_o,2007,-34
1210151_stureplan_o,2008,-34
1210151_stureplan_o,2009,-22
1210151_stureplan_o,2010,-48
1210151_stureplan_o,2011,-50
1210151_stureplan_o,2012,-41
1210151_stureplan_o,2013,-54
1210151_stureplan_o,2014,-48
1210161_humlegarden_o,2000,6
1210161_humlegarden_o,2001,-3
1210161_humlegarden_o,2002,2
1210161_humlegarden_o,2003,-17
1210161_humlegarden_o,2004,2
1210161_humlegarden_o,2005,8
1210161_humlegarden_o,2006,-5
1210161_humlegarden_o,2007,-6
1210161_humlegarden_o,2008,-20
1210161_humlegarden_o,2009,-11
1210161_humlegarden_o,2010,-21
1210161_humlegarden_o,2011,-45
1210161_humlegarden_o,2012,-57
1210161_humlegarden_o,2013,-20
1210161_humlegarden_o,2014,-37
1210171_stureparken_o,2000,7
1210171_stureparken_o,2001,-11
1210171_stureparken_o,2002,-4
1210171_stureparken_o,2003,-10
1210171_stureparken_o,2004,-1
1210171_stureparken_o,2005,4
1210171_stureparken_o,2006,6
1210171_stureparken_o,2007,16
1210171_stureparken_o,2008,26
1210171_stureparken_o,2009,54
1210171_stureparken_o,2010,110
1210171_stureparken_o,2011,106
1210171_stureparken_o,2012,138
1210171_stureparken_o,2013,143
1210171_stureparken_o,2014,158
1210172_stureparken_v,2000,12
1210172_stureparken_v,2001,26
1210172_stureparken_v,2002,17
1210172_stureparken_v,2003,-18
1210172_stureparken_v,2004,1
1210172_stureparken_v,2005,8
1210172_stureparken_v,2006,11
1210172_stureparken_v,2007,11
1210172_stureparken_v,2008,11
1210172_stureparken_v,2009,31
1210172_stureparken_v,2010,68
1210172_stureparken_v,2011,91
1210172_stureparken_v,2012,68
1210172_stureparken_v,2013,88
1210172_stureparken_v,2014,102
1210210_roslagstulls_sjukhus,2000,3
1210210_roslagstulls_sjukhus,2001,-20
1210210_roslagstulls_sjukhus,2002,-43
1210210_roslagstulls_sjukhus,2003,-86
1210210_roslagstulls_sjukhus,2004,-130
1210210_roslagstulls_sjukhus,2005,-99
1210210_roslagstulls_sjukhus,2006,5
1210210_roslagstulls_sjukhus,2007,81
1210210_roslagstulls_sjukhus,2008,109
1210210_roslagstulls_sjukhus,2009,122
1210210_roslagstulls_sjukhus,2010,168
1210210_roslagstulls_sjukhus,2011,192
1210210_roslagstulls_sjukhus,2012,185
1210210_roslagstulls_sjukhus,2013,183
1210210_roslagstulls_sjukhus,2014,275
1210220_ostra_station,2000,15
1210220_ostra_station,2001,-23
1210220_ostra_station,2002,-52
1210220_ostra_station,2003,-86
1210220_ostra_station,2004,-66
1210220_ostra_station,2005,-37
1210220_ostra_station,2006,-51
1210220_ostra_station,2007,-121
1210220_ostra_station,2008,-101
1210220_ostra_station,2009,-87
1210220_ostra_station,2010,-77
1210220_ostra_station,2011,-89
1210220_ostra_station,2012,-56
1210220_ostra_station,2013,26
1210220_ostra_station,2014,-9
1210320_ekhagen,2000,53
1210320_ekhagen,2001,18
1210320_ekhagen,2002,5
1210320_ekhagen,2003,-77
1210320_ekhagen,2004,-221
1210320_ekhagen,2005,-279
1210320_ekhagen,2006,-303
1210320_ekhagen,2007,-393
1210320_ekhagen,2008,-378
1210320_ekhagen,2009,-394
