basomrade,year,cumulative_immigration_surplus_female
2220300_nockeby,2005,58
2220300_nockeby,2006,48
2220300_nockeby,2007,56
2220300_nockeby,2008,35
2220300_nockeby,2009,58
2220300_nockeby,2010,34
2220300_nockeby,2011,41
2220300_nockeby,2012,24
2220300_nockeby,2013,47
2220300_nockeby,2014,47
2220400_nockebyhov,2000,43
2220400_nockebyhov,2001,53
2220400_nockebyhov,2002,97
2220400_nockebyhov,2003,142
2220400_nockebyhov,2004,161
2220400_nockebyhov,2005,219
2220400_nockebyhov,2006,251
2220400_nockebyhov,2007,269
2220400_nockebyhov,2008,245
2220400_nockebyhov,2009,310
2220400_nockebyhov,2010,334
2220400_nockebyhov,2011,348
2220400_nockebyhov,2012,393
2220400_nockebyhov,2013,400
2220400_nockebyhov,2014,393
2220500_olovslund,2000,2
2220500_olovslund,2001,-6
2220500_olovslund,2002,-3
2220500_olovslund,2003,-5
2220500_olovslund,2004,-3
2220500_olovslund,2005,2
2220500_olovslund,2006,2
2220500_olovslund,2007,-1
2220500_olovslund,2008,-9
2220500_olovslund,2009,-7
2220500_olovslund,2010,-2
2220500_olovslund,2011,-2
2220500_olovslund,2012,-9
2220500_olovslund,2013,-7
2220500_olovslund,2014,-18
2220600_smedslatten,2000,-2
2220600_smedslatten,2001,-38
2220600_smedslatten,2002,-28
2220600_smedslatten,2003,-27
2220600_smedslatten,2004,-25
2220600_smedslatten,2005,-14
2220600_smedslatten,2006,-21
2220600_smedslatten,2007,-29
2220600_smedslatten,2008,-2
2220600_smedslatten,2009,-36
2220600_smedslatten,2010,-46
2220600_smedslatten,2011,-41
2220600_smedslatten,2012,-30
2220600_smedslatten,2013,-20
2220600_smedslatten,2014,-42
2220700_stora_mossen,2000,7
2220700_stora_mossen,2001,6
2220700_stora_mossen,2002,-11
2220700_stora_mossen,2003,35
2220700_stora_mossen,2004,108
2220700_stora_mossen,2005,158
2220700_stora_mossen,2006,148
2220700_stora_mossen,2007,133
2220700_stora_mossen,2008,118
2220700_stora_mossen,2009,109
2220700_stora_mossen,2010,105
2220700_stora_mossen,2011,106
2220700_stora_mossen,2012,111
2220700_stora_mossen,2013,92
2220700_stora_mossen,2014,95
2220820_sodra_traneberg,2000,-40
2220820_sodra_traneberg,2001,-10
2220820_sodra_traneberg,2002,10
2220820_sodra_traneberg,2003,-4
2220820_sodra_traneberg,2004,23
2220820_sodra_traneberg,2005,1
2220820_sodra_traneberg,2006,-10
2220820_sodra_traneberg,2007,-11
2220820_sodra_traneberg,2008,-2
2220820_sodra_traneberg,2009,-24
2220820_sodra_traneberg,2010,-36
2220820_sodra_traneberg,2011,-69
2220820_sodra_traneberg,2012,-69
2220820_sodra_traneberg,2013,-43
2220820_sodra_traneberg,2014,-22
2220830_norra_traneberg,2000,-7
2220830_norra_traneberg,2001,-45
2220830_norra_traneberg,2002,-46
2220830_norra_traneberg,2003,-75
2220830_norra_traneberg,2004,-72
2220830_norra_traneberg,2005,-51
2220830_norra_traneberg,2006,-65
2220830_norra_traneberg,2007,-77
2220830_norra_traneberg,2008,-97
2220830_norra_traneberg,2009,-96
2220830_norra_traneberg,2010,-79
2220830_norra_traneberg,2011,-72
2220830_norra_traneberg,2012,-100
2220830_norra_traneberg,2013,-104
2220830_norra_traneberg,2014,-125
2220840_minneberg,2000,-13
2220840_minneberg,2001,-19
2220840_minneberg,2002,-33
2220840_minneberg,2003,-48
2220840_minneberg,2004,-68
2220840_minneberg,2005,-45
2220840_minneberg,2006,-68
2220840_minneberg,2007,-72
2220840_minneberg,2008,-64
2220840_minneberg,2009,-88
2220840_minneberg,2010,-97
2220840_minneberg,2011,-119
2220840_minneberg,2012,-121
2220840_minneberg,2013,-127
2220840_minneberg,2014,-94
2220900_ulvsunda,2000,8
2220900_ulvsunda,2001,-3
2220900_ulvsunda,2002,-23
2220900_ulvsunda,2003,-39
2220900_ulvsunda,2004,-54
2220900_ulvsunda,2005,-83
2220900_ulvsunda,2006,-103
2220900_ulvsunda,2007,-117
2220900_ulvsunda,2008,-134
2220900_ulvsunda,2009,-160
2220900_ulvsunda,2010,-164
2220900_ulvsunda,2011,-150
2220900_ulvsunda,2012,-170
2220900_ulvsunda,2013,-176
2220900_ulvsunda,2014,-149
2221000_alsten,2000,-21
2221000_alsten,2001,-29
2221000_alsten,2002,-58
2221000_alsten,2003,-72
2221000_alsten,2004,-110
2221000_alsten,2005,-82
2221000_alsten,2006,-118
2221000_alsten,2007,-91
2221000_alsten,2008,-91
2221000_alsten,2009,-99
2221000_alsten,2010,-103
2221000_alsten,2011,-128
2221000_alsten,2012,-139
2221000_alsten,2013,-139
2221000_alsten,2014,-131
2221100_appelviken,2000,-4
2221100_appelviken,2001,7
2221100_appelviken,2002,-16
2221100_appelviken,2003,-28
2221100_appelviken,2004,-31
2221100_appelviken,2005,-18
2221100_appelviken,2006,-26
2221100_appelviken,2007,-37
2221100_appelviken,2008,-42
2221100_appelviken,2009,-34
2221100_appelviken,2010,-43
2221100_appelviken,2011,-45
2221100_appelviken,2012,-47
2221100_appelviken,2013,-53
2221100_appelviken,2014,-75
2230100_grimsta,2000,-23
2230100_grimsta,2001,51
2230100_grimsta,2002,102
2230100_grimsta,2003,102
2230100_grimsta,2004,98
2230100_grimsta,2005,105
2230100_grimsta,2006,129
2230100_grimsta,2007,196
2230100_grimsta,2008,148
2230100_grimsta,2009,110
2230100_grimsta,2010,91
2230100_grimsta,2011,93
2230100_grimsta,2012,56
2230100_grimsta,2013,69
2230100_grimsta,2014,6
2230200_kalvesta,2000,-30
2230200_kalvesta,2001,-89
2230200_kalvesta,2002,-106
2230200_kalvesta,2003,-127
2230200_kalvesta,2004,-155
2230200_kalvesta,2005,-154
2230200_kalvesta,2006,-158
2230200_kalvesta,2007,-193
2230200_kalvesta,2008,-187
2230200_kalvesta,2009,-212
2230200_kalvesta,2010,-211
2230200_kalvesta,2011,-250
2230200_kalvesta,2012,-279
2230200_kalvesta,2013,-280
2230200_kalvesta,2014,-288
2230300_nalsta,2000,-9
2230300_nalsta,2001,-20
2230300_nalsta,2002,-22
2230300_nalsta,2003,-30
2230300_nalsta,2004,-38
2230300_nalsta,2005,-34
2230300_nalsta,2006,-7
2230300_nalsta,2007,-16
2230300_nalsta,2008,-11
2230300_nalsta,2009,-16
2230300_nalsta,2010,-51
2230300_nalsta,2011,-72
2230300_nalsta,2012,-80
2230300_nalsta,2013,-106
2230300_nalsta,2014,-120
2230420_vastra_racksta,2000,-7
2230420_vastra_racksta,2001,-48
2230420_vastra_racksta,2002,-43
2230420_vastra_racksta,2003,-63
2230420_vastra_racksta,2004,-85
2230420_vastra_racksta,2005,-109
2230420_vastra_racksta,2006,-121
2230420_vastra_racksta,2007,-79
2230420_vastra_racksta,2008,33
2230420_vastra_racksta,2009,132
2230420_vastra_racksta,2010,248
2230420_vastra_racksta,2011,340
2230420_vastra_racksta,2012,397
2230420_vastra_racksta,2013,387
2230420_vastra_racksta,2014,373
2230430_ostra_racksta,2000,-6
2230430_ostra_racksta,2001,-15
2230430_ostra_racksta,2002,-16
2230430_ostra_racksta,2003,-22
2230430_ostra_racksta,2004,-23
2230430_ostra_racksta,2005,-27
2230430_ostra_racksta,2006,-23
2230430_ostra_racksta,2007,-25
2230430_ostra_racksta,2008,-16
2230430_ostra_racksta,2009,-25
2230430_ostra_racksta,2010,-26
2230430_ostra_racksta,2011,-30
2230430_ostra_racksta,2012,-39
2230430_ostra_racksta,2013,-33
2230430_ostra_racksta,2014,-45
2230440_racksta_sjukhus,2000,16
2230440_racksta_sjukhus,2001,32
2230440_racksta_sjukhus,2002,40
2230440_racksta_sjukhus,2003,14
2230440_racksta_sjukhus,2004,21
2230440_racksta_sjukhus,2005,50
2230440_racksta_sjukhus,2006,54
2230440_racksta_sjukhus,2007,86
2230440_racksta_sjukhus,2008,146
2230440_racksta_sjukhus,2009,181
2230440_racksta_sjukhus,2010,232
2230440_racksta_sjukhus,2011,224
2230440_racksta_sjukhus,2012,236
2230440_racksta_sjukhus,2013,266
2230440_racksta_sjukhus,2014,259
2230520_norra_vinsta,2000,7
2230520_norra_vinsta,2001,-24
2230520_norra_vinsta,2002,-58
2230520_norra_vinsta,2003,-70
2230520_norra_vinsta,2004,-62
2230520_norra_vinsta,2005,-75
2230520_norra_vinsta,2006,-77
2230520_norra_vinsta,2007,-93
2230520_norra_vinsta,2008,-109
2230520_norra_vinsta,2009,-119
2230520_norra_vinsta,2010,-135
2230520_norra_vinsta,2011,-118
2230520_norra_vinsta,2012,17
2230520_norra_vinsta,2013,204
2230520_norra_vinsta,2014,281
2230560_sodra_vinsta,2000,1
2230560_sodra_vinsta,2001,5
2230560_sodra_vinsta,2002,-1
2230560_sodra_vinsta,2003,11
2230560_sodra_vinsta,2004,26
2230560_sodra_vinsta,2005,23
2230560_sodra_vinsta,2006,13
2230560_sodra_vinsta,2007,-2
2230560_sodra_vinsta,2008,-2
2230560_sodra_vinsta,2009,-9
2230560_sodra_vinsta,2010,-15
2230560_sodra_vinsta,2011,-20
2230560_sodra_vinsta,2012,-39
2230560_sodra_vinsta,2013,-56
2230560_sodra_vinsta,2014,-53
2230610_vallingby_centrum,2000,4
2230610_vallingby_centrum,2001,0
2230610_vallingby_centrum,2002,-2
2230610_vallingby_centrum,2003,12
2230610_vallingby_centrum,2004,7
2230610_vallingby_centrum,2005,12
2230610_vallingby_centrum,2006,28
2230610_vallingby_centrum,2007,25
2230610_vallingby_centrum,2008,26
2230610_vallingby_centrum,2009,75
2230610_vallingby_centrum,2010,196
2230610_vallingby_centrum,2011,193
2230610_vallingby_centrum,2012,185
2230610_vallingby_centrum,2013,193
2230610_vallingby_centrum,2014,193
2230620_sodra_vallingby,2000,4
2230620_sodra_vallingby,2001,19
2230620_sodra_vallingby,2002,40
2230620_sodra_vallingby,2003,27
2230620_sodra_vallingby,2004,29
2230620_sodra_vallingby,2005,-24
2230620_sodra_vallingby,2006,135
2230620_sodra_vallingby,2007,130
2230620_sodra_vallingby,2008,152
2230620_sodra_vallingby,2009,101
2230620_sodra_vallingby,2010,135
2230620_sodra_vallingby,2011,116
2230620_sodra_vallingby,2012,109
2230620_sodra_vallingby,2013,123
2230620_sodra_vallingby,2014,120
2230630_norra_vallingby,2000,-7
2230630_norra_vallingby,2001,-1
2230630_norra_vallingby,2002,-8
2230630_norra_vallingby,2003,-29
2230630_norra_vallingby,2004,-15
2230630_norra_vallingby,2005,1
2230630_norra_vallingby,2006,-11
2230630_norra_vallingby,2007,-8
2230630_norra_vallingby,2008,-9
2230630_norra_vallingby,2009,-9
2230630_norra_vallingby,2010,-20
2230630_norra_vallingby,2011,-14
2230630_norra_vallingby,2012,-6
2230630_norra_vallingby,2013,1
2230630_norra_vallingby,2014,15
2240121_sodra_bromsten_n,2000,13
2240121_sodra_bromsten_n,2001,10
2240121_sodra_bromsten_n,2002,7
2240121_sodra_bromsten_n,2003,8
2240121_sodra_bromsten_n,2004,4
2240121_sodra_bromsten_n,2005,-1
2240121_sodra_bromsten_n,2006,-13
2240121_sodra_bromsten_n,2007,-17
2240121_sodra_bromsten_n,2008,-2
2240121_sodra_bromsten_n,2009,-13
2240121_sodra_bromsten_n,2010,-8
2240121_sodra_bromsten_n,2011,-11
2240121_sodra_bromsten_n,2012,-13
2240121_sodra_bromsten_n,2013,-7
2240121_sodra_bromsten_n,2014,-17
2240122_sodra_bromsten_s,2000,2
2240122_sodra_bromsten_s,2001,-8
2240122_sodra_bromsten_s,2002,-16
2240122_sodra_bromsten_s,2003,-22
2240122_sodra_bromsten_s,2004,-24
2240122_sodra_bromsten_s,2005,-31
2240122_sodra_bromsten_s,2006,-30
2240122_sodra_bromsten_s,2007,27
2240122_sodra_bromsten_s,2008,35
2240122_sodra_bromsten_s,2009,26
2240122_sodra_bromsten_s,2010,14
2240122_sodra_bromsten_s,2011,5
2240122_sodra_bromsten_s,2012,9
2240122_sodra_bromsten_s,2013,16
2240122_sodra_bromsten_s,2014,5
2240130_norra_bromsten,2000,13
2240130_norra_bromsten,2001,-15
2240130_norra_bromsten,2002,6
2240130_norra_bromsten,2003,32
2240130_norra_bromsten,2004,25
2240130_norra_bromsten,2005,4
2240130_norra_bromsten,2006,-37
2240130_norra_bromsten,2007,-69
2240130_norra_bromsten,2008,-85
2240130_norra_bromsten,2009,-109
2240130_norra_bromsten,2010,-104
2240130_norra_bromsten,2011,-135
2240130_norra_bromsten,2012,-161
2240130_norra_bromsten,2013,-129
2240130_norra_bromsten,2014,-121
2240200_flysta,2000,5
2240200_flysta,2001,-10
2240200_flysta,2002,-26
2240200_flysta,2003,-20
2240200_flysta,2004,-5
2240200_flysta,2005,-20
2240200_flysta,2006,-27
2240200_flysta,2007,-37
2240200_flysta,2008,-48
2240200_flysta,2009,-62
2240200_flysta,2010,-49
2240200_flysta,2011,-60
2240200_flysta,2012,-69
2240200_flysta,2013,-80
2240200_flysta,2014,-87
2240520_okand,2000,-28
2240520_okand,2001,-95
2240520_okand,2002,-217
2240520_okand,2003,-415
2240520_okand,2004,-556
2240520_okand,2005,-833
2240520_okand,2006,-930
2240520_okand,2007,-1123
2240520_okand,2008,-1235
2240520_okand,2009,-1416
2240521_norra_rinkeby_kvarnby,2010,-80
2240521_norra_rinkeby_kvarnby,2011,-155
2240521_norra_rinkeby_kvarnby,2012,-281
2240521_norra_rinkeby_kvarnby,2013,-372
2240521_norra_rinkeby_kvarnby,2014,-511
2240522_norra_rinkeby_askeby,2010,-40
2240522_norra_rinkeby_askeby,2011,-79
2240522_norra_rinkeby_askeby,2012,-94
2240522_norra_rinkeby_askeby,2013,-194
2240522_norra_rinkeby_askeby,2014,-207
2240530_okand,2000,-60
2240530_okand,2001,-102
2240530_okand,2002,-164
2240530_okand,2003,-282
2240530_okand,2004,-409
2240530_okand,2005,-510
2240530_okand,2006,-669
2240530_okand,2007,-778
2240530_okand,2008,-1009
2240530_okand,2009,-1186
2240531_sodra_rinkeby_knutby,2010,-67
2240531_sodra_rinkeby_knutby,2011,-208
2240531_sodra_rinkeby_knutby,2012,-167
2240531_sodra_rinkeby_knutby,2013,-220
2240531_sodra_rinkeby_knutby,2014,-286
2240532_sodra_rinkeby_bredby,2010,30
2240532_sodra_rinkeby_bredby,2011,46
2240532_sodra_rinkeby_bredby,2012,31
2240532_sodra_rinkeby_bredby,2013,-20
2240532_sodra_rinkeby_bredby,2014,-7
2240621_solhojden,2000,15
2240621_solhojden,2001,2
2240621_solhojden,2002,9
2240621_solhojden,2003,6
2240621_solhojden,2004,-9
2240621_solhojden,2005,1
2240621_solhojden,2006,-2
2240621_solhojden,2007,-2
2240621_solhojden,2008,18
2240621_solhojden,2009,4
2240621_solhojden,2010,3
2240621_solhojden,2011,13
2240621_solhojden,2012,11
2240621_solhojden,2013,-12
2240621_solhojden,2014,-52
2240622_spanga_torg,2000,9
2240622_spanga_torg,2001,12
2240622_spanga_torg,2002,34
2240622_spanga_torg,2003,25
2240622_spanga_torg,2004,19
2240622_spanga_torg,2005,29
2240622_spanga_torg,2006,36
2240622_spanga_torg,2007,42
2240622_spanga_torg,2008,54
2240622_spanga_torg,2009,67
2240622_spanga_torg,2010,58
2240622_spanga_torg,2011,47
2240622_spanga_torg,2012,44
2240622_spanga_torg,2013,57
2240622_spanga_torg,2014,62
2240631_solhems_villastad_vast,2000,-20
2240631_solhems_villastad_vast,2001,-23
2240631_solhems_villastad_vast,2002,-35
2240631_solhems_villastad_vast,2003,-65
2240631_solhems_villastad_vast,2004,-63
2240631_solhems_villastad_vast,2005,-67
2240631_solhems_villastad_vast,2006,-74
2240631_solhems_villastad_vast,2007,-50
2240631_solhems_villastad_vast,2008,-60
2240631_solhems_villastad_vast,2009,-63
2240631_solhems_villastad_vast,2010,-68
2240631_solhems_villastad_vast,2011,-70
2240631_solhems_villastad_vast,2012,-79
2240631_solhems_villastad_vast,2013,-84
2240631_solhems_villastad_vast,2014,-75
2240632_spanga_gymnasium,2000,3
2240632_spanga_gymnasium,2001,-10
2240632_spanga_gymnasium,2002,-27
2240632_spanga_gymnasium,2003,-21
2240632_spanga_gymnasium,2004,-12
2240632_spanga_gymnasium,2005,-11
2240632_spanga_gymnasium,2006,-8
2240632_spanga_gymnasium,2007,0
2240632_spanga_gymnasium,2008,-10
2240632_spanga_gymnasium,2009,-7
2240632_spanga_gymnasium,2010,-4
2240632_spanga_gymnasium,2011,-26
2240632_spanga_gymnasium,2012,-41
2240632_spanga_gymnasium,2013,-67
2240632_spanga_gymnasium,2014,-91
2240640_solhems_villastad_nord,2000,6
2240640_solhems_villastad_nord,2001,1
2240640_solhems_villastad_nord,2002,-2
2240640_solhems_villastad_nord,2003,-12
2240640_solhems_villastad_nord,2004,-14
2240640_solhems_villastad_nord,2005,-19
2240640_solhems_villastad_nord,2006,-18
2240640_solhems_villastad_nord,2007,-21
2240640_solhems_villastad_nord,2008,-21
2240640_solhems_villastad_nord,2009,-18
2240640_solhems_villastad_nord,2010,-27
2240640_solhems_villastad_nord,2011,-27
2240640_solhems_villastad_nord,2012,-27
2240640_solhems_villastad_nord,2013,-34
2240640_solhems_villastad_nord,2014,-32
2240650_logvagen_erland,2000,-8
2240650_logvagen_erland,2001,-6
2240650_logvagen_erland,2002,1
2240650_logvagen_erland,2003,7
2240650_logvagen_erland,2004,19
2240650_logvagen_erland,2005,22
2240650_logvagen_erland,2006,18
2240650_logvagen_erland,2007,19
2240650_logvagen_erland,2008,21
2240650_logvagen_erland,2009,14
2240650_logvagen_erland,2010,17
2240650_logvagen_erland,2011,20
2240650_logvagen_erland,2012,19
2240650_logvagen_erland,2013,16
2240650_logvagen_erland,2014,12
2240700_sundby,2000,-17
2240700_sundby,2001,-10
2240700_sundby,2002,-10
2240700_sundby,2003,-22
2240700_sundby,2004,-37
2240700_sundby,2005,-11
2240700_sundby,2006,18
2240700_sundby,2007,-1
2240700_sundby,2008,2
2240700_sundby,2009,8
2240700_sundby,2010,24
2240700_sundby,2011,14
2240700_sundby,2012,-11
2240700_sundby,2013,5
2240700_sundby,2014,-6
2240820_okand,2000,-89
2240820_okand,2001,-132
2240820_okand,2002,-256
2240820_okand,2003,-506
2240820_okand,2004,-685
2240820_okand,2005,-870
2240820_okand,2006,-1067
2240820_okand,2007,-1225
2240820_okand,2008,-1442
2240820_okand,2009,-1558
2240821_norra_tensta_spanga_kyrkvag,2010,-62
2240821_norra_tensta_spanga_kyrkvag,2011,-152
2240821_norra_tensta_spanga_kyrkvag,2012,-243
2240821_norra_tensta_spanga_kyrkvag,2013,-263
2240821_norra_tensta_spanga_kyrkvag,2014,-399
2240822_norra_tensta_tensta_alle,2010,-15
2240822_norra_tensta_tensta_alle,2011,-12
2240822_norra_tensta_tensta_alle,2012,-109
2240822_norra_tensta_tensta_alle,2013,-59
2240822_norra_tensta_tensta_alle,2014,-139
2240830_okand,2000,-8
2240830_okand,2001,-36
2240830_okand,2002,-77
2240830_okand,2003,-155
2240830_okand,2004,-193
2240830_okand,2005,-222
2240830_okand,2006,-276
2240830_okand,2007,-350
2240830_okand,2008,-405
2240830_okand,2009,-486
2240831_sodra_tensta_spanga_kyrka,2010,-17
2240831_sodra_tensta_spanga_kyrka,2011,4
2240831_sodra_tensta_spanga_kyrka,2012,-24
2240831_sodra_tensta_spanga_kyrka,2013,-46
2240831_sodra_tensta_spanga_kyrka,2014,-59
2240832_sodra_tensta_tensta_kyrka,2010,-69
2240832_sodra_tensta_tensta_kyrka,2011,-118
2240832_sodra_tensta_tensta_kyrka,2012,-138
2240832_sodra_tensta_tensta_kyrka,2013,-195
2240832_sodra_tensta_tensta_kyrka,2014,-230
2240840_hjulsta,2000,-14
2240840_hjulsta,2001,-48
2240840_hjulsta,2002,-133
2240840_hjulsta,2003,-190
2240840_hjulsta,2004,-247
2240840_hjulsta,2005,-340
2240840_hjulsta,2006,-379
2240840_hjulsta,2007,-457
2240840_hjulsta,2008,-503
2240840_hjulsta,2009,-549
2240840_hjulsta,2010,-619
2240840_hjulsta,2011,-679
2240840_hjulsta,2012,-756
2240840_hjulsta,2013,-878
2240840_hjulsta,2014,-912
2242120_centrala_akalla,2010,-92
2242120_centrala_akalla,2011,-136
2242120_centrala_akalla,2012,-163
2242120_centrala_akalla,2013,-207
2242120_centrala_akalla,2014,-218
2242130_sodra_akalla,2010,-23
2242130_sodra_akalla,2011,-43
2242130_sodra_akalla,2012,-54
2242130_sodra_akalla,2013,-54
2242130_sodra_akalla,2014,-86
2242220_norra_husby,2010,-41
2242220_norra_husby,2011,-96
2242220_norra_husby,2012,-132
2242220_norra_husby,2013,-197
2242220_norra_husby,2014,-260
2242230_sodra_husby,2010,-88
2242230_sodra_husby,2011,-171
2242230_sodra_husby,2012,-137
2242230_sodra_husby,2013,-381
2242230_sodra_husby,2014,-404
2242310_kista_centrum,2010,-23
2242310_kista_centrum,2011,-47
2242310_kista_centrum,2012,-43
2242310_kista_centrum,2013,-30
2242310_kista_centrum,2014,-27
2242320_ovre_kista,2010,-30
2242320_ovre_kista,2011,-87
2242320_ovre_kista,2012,-118
2242320_ovre_kista,2013,-152
2242320_ovre_kista,2014,-270
2242330_nedre_kista,2010,-29
2242330_nedre_kista,2011,-64
2242330_nedre_kista,2012,-76
2242330_nedre_kista,2013,-54
2242330_nedre_kista,2014,-79
2250120_hasselby_torg,2000,-11
2250120_hasselby_torg,2001,-35
2250120_hasselby_torg,2002,-37
2250120_hasselby_torg,2003,-73
2250120_hasselby_torg,2004,-176
2250120_hasselby_torg,2005,-203
2250120_hasselby_torg,2006,-198
2250120_hasselby_torg,2007,-177
2250120_hasselby_torg,2008,-142
2250120_hasselby_torg,2009,-257
2250120_hasselby_torg,2010,-284
2250120_hasselby_torg,2011,-368
2250120_hasselby_torg,2012,-402
2250120_hasselby_torg,2013,-443
2250120_hasselby_torg,2014,-490
2250130_vastra_hasselby_gard,2000,-8
2250130_vastra_hasselby_gard,2001,-3
2250130_vastra_hasselby_gard,2002,6
2250130_vastra_hasselby_gard,2003,-10
2250130_vastra_hasselby_gard,2004,-14
2250130_vastra_hasselby_gard,2005,-12
2250130_vastra_hasselby_gard,2006,-19
2250130_vastra_hasselby_gard,2007,-10
2250130_vastra_hasselby_gard,2008,-24
2250130_vastra_hasselby_gard,2009,-25
2250130_vastra_hasselby_gard,2010,-22
2250130_vastra_hasselby_gard,2011,-28
2250130_vastra_hasselby_gard,2012,-37
2250130_vastra_hasselby_gard,2013,-38
2250130_vastra_hasselby_gard,2014,-44
2250140_sodra_hasselby_gard,2000,51
2250140_sodra_hasselby_gard,2001,120
2250140_sodra_hasselby_gard,2002,131
2250140_sodra_hasselby_gard,2003,116
2250140_sodra_hasselby_gard,2004,108
2250140_sodra_hasselby_gard,2005,124
2250140_sodra_hasselby_gard,2006,205
2250140_sodra_hasselby_gard,2007,211
2250140_sodra_hasselby_gard,2008,300
2250140_sodra_hasselby_gard,2009,294
2250140_sodra_hasselby_gard,2010,256
2250140_sodra_hasselby_gard,2011,245
2250140_sodra_hasselby_gard,2012,227
2250140_sodra_hasselby_gard,2013,300
2250140_sodra_hasselby_gard,2014,299
2250200_hasselby_strand,2000,66
2250200_hasselby_strand,2001,65
2250200_hasselby_strand,2002,98
2250200_hasselby_strand,2003,126
2250200_hasselby_strand,2004,181
2250200_hasselby_strand,2005,267
2250200_hasselby_strand,2006,234
2250200_hasselby_strand,2007,182
2250200_hasselby_strand,2008,148
2250200_hasselby_strand,2009,72
2250200_hasselby_strand,2010,82
2250200_hasselby_strand,2011,167
2250200_hasselby_strand,2012,192
2250200_hasselby_strand,2013,240
2250200_hasselby_strand,2014,182
2250310_backlura,2000,-7
2250310_backlura,2001,-27
2250310_backlura,2002,-53
2250310_backlura,2003,-81
2250310_backlura,2004,-77
2250310_backlura,2005,-102
2250310_backlura,2006,-108
2250310_backlura,2007,-93
2250310_backlura,2008,-108
2250310_backlura,2009,-117
2250310_backlura,2010,-142
2250310_backlura,2011,-132
2250310_backlura,2012,-147
2250310_backlura,2013,-151
2250310_backlura,2014,-163
2250320_trollboda,2000,29
2250320_trollboda,2001,32
2250320_trollboda,2002,30
2250320_trollboda,2003,26
2250320_trollboda,2004,28
2250320_trollboda,2005,-18
2250320_trollboda,2006,-12
2250320_trollboda,2007,-37
2250320_trollboda,2008,0
2250320_trollboda,2009,-8
2250320_trollboda,2010,-14
2250320_trollboda,2011,-40
2250320_trollboda,2012,-65
2250320_trollboda,2013,-61
2250320_trollboda,2014,-81
2250332_hasselby_villastrand,2000,12
2250332_hasselby_villastrand,2001,13
2250332_hasselby_villastrand,2002,1
2250332_hasselby_villastrand,2003,0
2250332_hasselby_villastrand,2004,-11
2250332_hasselby_villastrand,2005,17
2250332_hasselby_villastrand,2006,-11
2250332_hasselby_villastrand,2007,-15
2250332_hasselby_villastrand,2008,-14
2250332_hasselby_villastrand,2009,-18
2250332_hasselby_villastrand,2010,-20
2250332_hasselby_villastrand,2011,-31
2250332_hasselby_villastrand,2012,-39
2250332_hasselby_villastrand,2013,-67
2250332_hasselby_villastrand,2014,-45
2250340_hasselby_kyrka,2000,12
2250340_hasselby_kyrka,2001,18
2250340_hasselby_kyrka,2002,21
2250340_hasselby_kyrka,2003,37
2250340_hasselby_kyrka,2004,45
2250340_hasselby_kyrka,2005,46
2250340_hasselby_kyrka,2006,66
2250340_hasselby_kyrka,2007,88
2250340_hasselby_kyrka,2008,105
2250340_hasselby_kyrka,2009,138
2250340_hasselby_kyrka,2010,143
2250340_hasselby_kyrka,2011,168
2250340_hasselby_kyrka,2012,186
2250340_hasselby_kyrka,2013,222
2250340_hasselby_kyrka,2014,245
2250350_akermyntan,2000,-18
2250350_akermyntan,2001,-36
2250350_akermyntan,2002,-54
2250350_akermyntan,2003,-77
2250350_akermyntan,2004,-85
2250350_akermyntan,2005,-87
2250350_akermyntan,2006,-100
2250350_akermyntan,2007,-113
2250350_akermyntan,2008,-132
2250350_akermyntan,2009,-151
2250350_akermyntan,2010,-170
2250350_akermyntan,2011,-191
2250350_akermyntan,2012,-192
2250350_akermyntan,2013,-201
2250350_akermyntan,2014,-201
2250370_radisvagen,2000,-4
2250370_radisvagen,2001,-11
2250370_radisvagen,2002,-13
2250370_radisvagen,2003,-2
2250370_radisvagen,2004,-12
2250370_radisvagen,2005,-13
2250370_radisvagen,2006,-6
2250370_radisvagen,2007,-3
2250370_radisvagen,2008,-8
2250370_radisvagen,2009,-3
2250370_radisvagen,2010,-8
2250370_radisvagen,2011,-10
2250370_radisvagen,2012,-3
2250370_radisvagen,2013,-3
2250370_radisvagen,2014,-2
2250380_smedshagen,2000,-15
2250380_smedshagen,2001,-16
2250380_smedshagen,2002,-25
2250380_smedshagen,2003,-38
2250380_smedshagen,2004,-51
2250380_smedshagen,2005,-74
2250380_smedshagen,2006,-89
2250380_smedshagen,2007,-125
2250380_smedshagen,2008,-134
2250380_smedshagen,2009,-153
2250380_smedshagen,2010,-195
2250380_smedshagen,2011,-186
2250380_smedshagen,2012,-253
2250380_smedshagen,2013,-270
2250380_smedshagen,2014,-317
2260120_okand,2000,-56
2260120_okand,2001,-83
2260120_okand,2002,-196
2260120_okand,2003,-244
2260120_okand,2004,-375
2260120_okand,2005,-382
2260120_okand,2006,-467
2260120_okand,2007,-593
2260120_okand,2008,-732
2260120_okand,2009,-804
2260130_okand,2000,-20
2260130_okand,2001,-51
2260130_okand,2002,-75
2260130_okand,2003,-97
2260130_okand,2004,-102
2260130_okand,2005,-121
2260130_okand,2006,-153
2260130_okand,2007,-157
2260130_okand,2008,-167
2260130_okand,2009,-194
2260220_okand,2000,-29
2260220_okand,2001,-98
2260220_okand,2002,-126
2260220_okand,2003,-194
2260220_okand,2004,-228
2260220_okand,2005,-278
2260220_okand,2006,-332
2260220_okand,2007,-396
2260220_okand,2008,-454
