basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64
2170120_bredangs_alle,2001,14
2170120_bredangs_alle,2002,0
2170120_bredangs_alle,2003,-27
2170120_bredangs_alle,2004,-45
2170120_bredangs_alle,2005,-70
2170120_bredangs_alle,2006,-73
2170120_bredangs_alle,2007,-93
2170120_bredangs_alle,2008,-118
2170120_bredangs_alle,2009,-141
2170120_bredangs_alle,2010,-159
2170120_bredangs_alle,2011,-173
2170120_bredangs_alle,2012,-191
2170120_bredangs_alle,2013,-186
2170120_bredangs_alle,2014,-194
2170130_yttre_bredang,2000,6
2170130_yttre_bredang,2001,9
2170130_yttre_bredang,2002,5
2170130_yttre_bredang,2003,4
2170130_yttre_bredang,2004,2
2170130_yttre_bredang,2005,-3
2170130_yttre_bredang,2006,-1
2170130_yttre_bredang,2007,1
2170130_yttre_bredang,2008,7
2170130_yttre_bredang,2009,20
2170130_yttre_bredang,2010,9
2170130_yttre_bredang,2011,11
2170130_yttre_bredang,2012,11
2170130_yttre_bredang,2013,18
2170130_yttre_bredang,2014,23
2170220_satra_torg,2000,22
2170220_satra_torg,2001,44
2170220_satra_torg,2002,30
2170220_satra_torg,2003,16
2170220_satra_torg,2004,1
2170220_satra_torg,2005,-4
2170220_satra_torg,2006,-6
2170220_satra_torg,2007,-3
2170220_satra_torg,2008,-9
2170220_satra_torg,2009,-28
2170220_satra_torg,2010,-28
2170220_satra_torg,2011,-30
2170220_satra_torg,2012,-71
2170220_satra_torg,2013,-102
2170220_satra_torg,2014,-78
2170230_norra_satra,2000,3
2170230_norra_satra,2001,-7
2170230_norra_satra,2002,-9
2170230_norra_satra,2003,-3
2170230_norra_satra,2004,13
2170230_norra_satra,2005,8
2170230_norra_satra,2006,0
2170230_norra_satra,2007,4
2170230_norra_satra,2008,11
2170230_norra_satra,2009,19
2170230_norra_satra,2010,28
2170230_norra_satra,2011,38
2170230_norra_satra,2012,32
2170230_norra_satra,2013,29
2170230_norra_satra,2014,33
2170310_skarholmens_centrum,2000,-1
2170310_skarholmens_centrum,2001,-5
2170310_skarholmens_centrum,2002,-7
2170310_skarholmens_centrum,2003,-15
2170310_skarholmens_centrum,2004,-19
2170310_skarholmens_centrum,2005,-17
2170310_skarholmens_centrum,2006,-30
2170310_skarholmens_centrum,2007,-29
2170310_skarholmens_centrum,2008,-37
2170310_skarholmens_centrum,2009,-39
2170310_skarholmens_centrum,2010,-48
2170310_skarholmens_centrum,2011,-54
2170310_skarholmens_centrum,2012,-64
2170310_skarholmens_centrum,2013,-55
2170310_skarholmens_centrum,2014,-58
2170321_skarholmens_gard,2000,0
2170321_skarholmens_gard,2001,3
2170321_skarholmens_gard,2002,-4
2170321_skarholmens_gard,2003,-8
2170321_skarholmens_gard,2004,-4
2170321_skarholmens_gard,2005,-2
2170321_skarholmens_gard,2006,0
2170321_skarholmens_gard,2007,2
2170321_skarholmens_gard,2008,-6
2170321_skarholmens_gard,2009,-9
2170321_skarholmens_gard,2010,-10
2170321_skarholmens_gard,2011,-8
2170321_skarholmens_gard,2012,-14
2170321_skarholmens_gard,2013,-11
2170321_skarholmens_gard,2014,-13
2170322_mellersta_skarholmen,2000,-11
2170322_mellersta_skarholmen,2001,2
2170322_mellersta_skarholmen,2002,-5
2170322_mellersta_skarholmen,2003,-15
2170322_mellersta_skarholmen,2004,-29
2170322_mellersta_skarholmen,2005,-41
2170322_mellersta_skarholmen,2006,-11
2170322_mellersta_skarholmen,2007,-47
2170322_mellersta_skarholmen,2008,-38
2170322_mellersta_skarholmen,2009,-59
2170322_mellersta_skarholmen,2010,-81
2170322_mellersta_skarholmen,2011,-82
2170322_mellersta_skarholmen,2012,-122
2170322_mellersta_skarholmen,2013,-115
2170322_mellersta_skarholmen,2014,-137
2170330_sodra_skarholmen,2000,4
2170330_sodra_skarholmen,2001,2
2170330_sodra_skarholmen,2002,-2
2170330_sodra_skarholmen,2003,-14
2170330_sodra_skarholmen,2004,-16
2170330_sodra_skarholmen,2005,-13
2170330_sodra_skarholmen,2006,-15
2170330_sodra_skarholmen,2007,-15
2170330_sodra_skarholmen,2008,-13
2170330_sodra_skarholmen,2009,-19
2170330_sodra_skarholmen,2010,-16
2170330_sodra_skarholmen,2011,-15
2170330_sodra_skarholmen,2012,-15
2170330_sodra_skarholmen,2013,-15
2170330_sodra_skarholmen,2014,-18
2170420_ostra_varberg,2000,25
2170420_ostra_varberg,2001,12
2170420_ostra_varberg,2002,1
2170420_ostra_varberg,2003,-49
2170420_ostra_varberg,2004,-94
2170420_ostra_varberg,2005,-122
2170420_ostra_varberg,2006,-134
2170420_ostra_varberg,2007,-131
2170420_ostra_varberg,2008,-156
2170420_ostra_varberg,2009,-190
2170420_ostra_varberg,2010,-200
2170420_ostra_varberg,2011,-215
2170420_ostra_varberg,2012,-243
2170420_ostra_varberg,2013,-283
2170420_ostra_varberg,2014,-315
2170430_vastra_varberg,2000,5
2170430_vastra_varberg,2001,3
2170430_vastra_varberg,2002,2
2170430_vastra_varberg,2003,5
2170430_vastra_varberg,2004,4
2170430_vastra_varberg,2005,3
2170430_vastra_varberg,2006,7
2170430_vastra_varberg,2007,6
2170430_vastra_varberg,2008,0
2170430_vastra_varberg,2009,8
2170430_vastra_varberg,2010,9
2170430_vastra_varberg,2011,20
2170430_vastra_varberg,2012,39
2170430_vastra_varberg,2013,46
2170430_vastra_varberg,2014,23
2210120_norra_abrahamsberg,2000,-6
2210120_norra_abrahamsberg,2001,-9
2210120_norra_abrahamsberg,2002,-12
2210120_norra_abrahamsberg,2003,-8
2210120_norra_abrahamsberg,2004,-2
2210120_norra_abrahamsberg,2005,-12
2210120_norra_abrahamsberg,2006,-21
2210120_norra_abrahamsberg,2007,-32
2210120_norra_abrahamsberg,2008,-40
2210120_norra_abrahamsberg,2009,-73
2210120_norra_abrahamsberg,2010,-57
2210120_norra_abrahamsberg,2011,-34
2210120_norra_abrahamsberg,2012,-54
2210120_norra_abrahamsberg,2013,-64
2210120_norra_abrahamsberg,2014,-78
2210130_sodra_abrahamsberg,2000,-5
2210130_sodra_abrahamsberg,2001,-20
2210130_sodra_abrahamsberg,2002,-25
2210130_sodra_abrahamsberg,2003,-22
2210130_sodra_abrahamsberg,2004,-22
2210130_sodra_abrahamsberg,2005,-40
2210130_sodra_abrahamsberg,2006,-71
2210130_sodra_abrahamsberg,2007,-63
2210130_sodra_abrahamsberg,2008,-59
2210130_sodra_abrahamsberg,2009,-62
2210130_sodra_abrahamsberg,2010,-54
2210130_sodra_abrahamsberg,2011,-70
2210130_sodra_abrahamsberg,2012,-67
2210130_sodra_abrahamsberg,2013,-61
2210130_sodra_abrahamsberg,2014,-73
2210200_beckomberga,2000,-20
2210200_beckomberga,2001,-14
2210200_beckomberga,2002,-22
2210200_beckomberga,2003,-40
2210200_beckomberga,2004,-44
2210200_beckomberga,2005,-50
2210200_beckomberga,2006,-60
2210200_beckomberga,2007,-22
2210200_beckomberga,2008,42
2210200_beckomberga,2009,123
2210200_beckomberga,2010,194
2210200_beckomberga,2011,226
2210200_beckomberga,2012,223
2210200_beckomberga,2013,244
2210200_beckomberga,2014,368
2210300_blackeberg,2000,6
2210300_blackeberg,2001,-8
2210300_blackeberg,2002,-1
2210300_blackeberg,2003,-31
2210300_blackeberg,2004,-61
2210300_blackeberg,2005,-60
2210300_blackeberg,2006,0
2210300_blackeberg,2007,17
2210300_blackeberg,2008,25
2210300_blackeberg,2009,-16
2210300_blackeberg,2010,42
2210300_blackeberg,2011,37
2210300_blackeberg,2012,206
2210300_blackeberg,2013,303
2210300_blackeberg,2014,357
2210400_bromma_kyrka,2000,10
2210400_bromma_kyrka,2001,28
2210400_bromma_kyrka,2002,40
2210400_bromma_kyrka,2003,42
2210400_bromma_kyrka,2004,60
2210400_bromma_kyrka,2005,75
2210400_bromma_kyrka,2006,87
2210400_bromma_kyrka,2007,110
2210400_bromma_kyrka,2008,127
2210400_bromma_kyrka,2009,145
2210400_bromma_kyrka,2010,151
2210400_bromma_kyrka,2011,164
2210400_bromma_kyrka,2012,183
2210400_bromma_kyrka,2013,192
2210400_bromma_kyrka,2014,202
2210500_ballsta,2000,10
2210500_ballsta,2001,12
2210500_ballsta,2002,16
2210500_ballsta,2003,15
2210500_ballsta,2004,18
2210500_ballsta,2005,16
2210500_ballsta,2006,17
2210500_ballsta,2007,16
2210500_ballsta,2008,17
2210500_ballsta,2009,15
2210500_ballsta,2010,23
2210500_ballsta,2011,26
2210500_ballsta,2012,37
2210500_ballsta,2013,33
2210500_ballsta,2014,27
2210600_eneby,2000,3
2210600_eneby,2001,12
2210600_eneby,2002,12
2210600_eneby,2003,1
2210600_eneby,2004,8
2210600_eneby,2005,11
2210600_eneby,2006,18
2210600_eneby,2007,16
2210600_eneby,2008,23
2210600_eneby,2009,23
2210600_eneby,2010,20
2210600_eneby,2011,26
2210600_eneby,2012,31
2210600_eneby,2013,37
2210600_eneby,2014,50
2210700_mariehall,2000,3
2210700_mariehall,2001,13
2210700_mariehall,2002,12
2210700_mariehall,2003,9
2210700_mariehall,2004,47
2210700_mariehall,2005,83
2210700_mariehall,2006,87
2210700_mariehall,2007,119
2210700_mariehall,2008,165
2210700_mariehall,2009,158
2210700_mariehall,2010,143
2210700_mariehall,2011,351
2210700_mariehall,2012,677
2210700_mariehall,2013,870
2210700_mariehall,2014,1173
2210830_runstensplan,2000,2
2210830_runstensplan,2001,3
2210830_runstensplan,2002,-1
2210830_runstensplan,2003,21
2210830_runstensplan,2004,41
2210830_runstensplan,2005,46
2210830_runstensplan,2006,50
2210830_runstensplan,2007,84
2210830_runstensplan,2008,92
2210830_runstensplan,2009,121
2210830_runstensplan,2010,127
2210830_runstensplan,2011,124
2210830_runstensplan,2012,144
2210830_runstensplan,2013,151
2210830_runstensplan,2014,170
2210840_angbylunden,2000,24
2210840_angbylunden,2001,38
2210840_angbylunden,2002,45
2210840_angbylunden,2003,51
2210840_angbylunden,2004,62
2210840_angbylunden,2005,69
2210840_angbylunden,2006,76
2210840_angbylunden,2007,87
2210840_angbylunden,2008,102
2210840_angbylunden,2009,119
2210840_angbylunden,2010,127
2210840_angbylunden,2011,152
2210840_angbylunden,2012,168
2210840_angbylunden,2013,171
2210840_angbylunden,2014,183
2210850_attehagen,2000,8
2210850_attehagen,2001,13
2210850_attehagen,2002,15
2210850_attehagen,2003,24
2210850_attehagen,2004,16
2210850_attehagen,2005,32
2210850_attehagen,2006,39
2210850_attehagen,2007,53
2210850_attehagen,2008,50
2210850_attehagen,2009,59
2210850_attehagen,2010,68
2210850_attehagen,2011,69
2210850_attehagen,2012,77
2210850_attehagen,2013,96
2210850_attehagen,2014,117
2210860_akeshovsbadet,2000,-17
2210860_akeshovsbadet,2001,-30
2210860_akeshovsbadet,2002,-57
2210860_akeshovsbadet,2003,-89
2210860_akeshovsbadet,2004,-118
2210860_akeshovsbadet,2005,-143
2210860_akeshovsbadet,2006,-184
2210860_akeshovsbadet,2007,-202
2210860_akeshovsbadet,2008,-190
2210860_akeshovsbadet,2009,-212
2210860_akeshovsbadet,2010,-237
2210860_akeshovsbadet,2011,-257
2210860_akeshovsbadet,2012,-282
2210860_akeshovsbadet,2013,-295
2210860_akeshovsbadet,2014,-309
2210920_sodra_riksby,2000,38
2210920_sodra_riksby,2001,60
2210920_sodra_riksby,2002,52
2210920_sodra_riksby,2003,57
2210920_sodra_riksby,2004,10
2210920_sodra_riksby,2005,-8
2210920_sodra_riksby,2006,-51
2210920_sodra_riksby,2007,-57
2210920_sodra_riksby,2008,-74
2210920_sodra_riksby,2009,-107
2210920_sodra_riksby,2010,-142
2210920_sodra_riksby,2011,-113
2210920_sodra_riksby,2012,-173
2210920_sodra_riksby,2013,-169
2210920_sodra_riksby,2014,-189
2211121_farjestadsvagen_v,2000,12
2211121_farjestadsvagen_v,2001,23
2211121_farjestadsvagen_v,2002,36
2211121_farjestadsvagen_v,2003,49
2211121_farjestadsvagen_v,2004,51
2211121_farjestadsvagen_v,2005,57
2211121_farjestadsvagen_v,2006,65
2211121_farjestadsvagen_v,2007,61
2211121_farjestadsvagen_v,2008,60
2211121_farjestadsvagen_v,2009,68
2211121_farjestadsvagen_v,2010,65
2211121_farjestadsvagen_v,2011,61
2211121_farjestadsvagen_v,2012,63
2211121_farjestadsvagen_v,2013,67
2211121_farjestadsvagen_v,2014,73
2211130_angbyhojden,2000,4
2211130_angbyhojden,2001,7
2211130_angbyhojden,2002,13
2211130_angbyhojden,2003,17
2211130_angbyhojden,2004,11
2211130_angbyhojden,2005,22
2211130_angbyhojden,2006,26
2211130_angbyhojden,2007,36
2211130_angbyhojden,2008,37
2211130_angbyhojden,2009,40
2211130_angbyhojden,2010,43
2211130_angbyhojden,2011,46
2211130_angbyhojden,2012,50
2211130_angbyhojden,2013,56
2211130_angbyhojden,2014,66
2211220_johannesfred,2000,-2
2211220_johannesfred,2001,8
2211220_johannesfred,2002,21
2211220_johannesfred,2003,-10
2211220_johannesfred,2004,-27
2211220_johannesfred,2005,-42
2211220_johannesfred,2006,-59
2211220_johannesfred,2007,-82
2211220_johannesfred,2008,-108
2211220_johannesfred,2009,-133
2211220_johannesfred,2010,-146
2211220_johannesfred,2011,-139
2211220_johannesfred,2012,-143
2211220_johannesfred,2013,-161
2211220_johannesfred,2014,-158
2211300_akeshov,2000,2
2211300_akeshov,2001,-2
2211300_akeshov,2002,9
2211300_akeshov,2003,11
2211300_akeshov,2004,-1
2211300_akeshov,2005,-10
2211300_akeshov,2006,-4
2211300_akeshov,2007,-10
2211300_akeshov,2008,-16
2211300_akeshov,2009,-49
2211300_akeshov,2010,-61
2211300_akeshov,2011,-60
2211300_akeshov,2012,-67
2211300_akeshov,2013,-60
2211300_akeshov,2014,-68
2211420_ostra_akeslund,2000,11
2211420_ostra_akeslund,2001,-21
2211420_ostra_akeslund,2002,-31
2211420_ostra_akeslund,2003,-53
2211420_ostra_akeslund,2004,-43
2211420_ostra_akeslund,2005,-22
2211420_ostra_akeslund,2006,-4
2211420_ostra_akeslund,2007,-12
2211420_ostra_akeslund,2008,5
2211420_ostra_akeslund,2009,20
2211420_ostra_akeslund,2010,12
2211420_ostra_akeslund,2011,2
2211420_ostra_akeslund,2012,-1
2211420_ostra_akeslund,2013,-10
2211420_ostra_akeslund,2014,2
2211460_vastra_akeslund,2000,-2
2211460_vastra_akeslund,2001,-2
2211460_vastra_akeslund,2002,-3
2211460_vastra_akeslund,2003,-21
2211460_vastra_akeslund,2004,-21
2211460_vastra_akeslund,2005,-24
2211460_vastra_akeslund,2006,-28
2211460_vastra_akeslund,2007,-25
2211460_vastra_akeslund,2008,-29
2211460_vastra_akeslund,2009,-27
2211460_vastra_akeslund,2010,-23
2211460_vastra_akeslund,2011,-26
2211460_vastra_akeslund,2012,-20
2211460_vastra_akeslund,2013,-21
2211460_vastra_akeslund,2014,-21
2220100_alvik,2000,-16
2220100_alvik,2001,-9
2220100_alvik,2002,-13
2220100_alvik,2003,-6
2220100_alvik,2004,5
2220100_alvik,2005,-8
2220100_alvik,2006,5
2220100_alvik,2007,15
2220100_alvik,2008,20
2220100_alvik,2009,11
2220100_alvik,2010,8
2220100_alvik,2011,16
2220100_alvik,2012,13
2220100_alvik,2013,-6
2220100_alvik,2014,34
2220200_hoglandet,2000,8
2220200_hoglandet,2001,12
2220200_hoglandet,2002,5
2220200_hoglandet,2003,-3
2220200_hoglandet,2004,3
2220200_hoglandet,2005,7
2220200_hoglandet,2006,23
2220200_hoglandet,2007,28
2220200_hoglandet,2008,40
2220200_hoglandet,2009,53
2220200_hoglandet,2010,64
2220200_hoglandet,2011,68
2220200_hoglandet,2012,83
2220200_hoglandet,2013,86
2220200_hoglandet,2014,90
2220300_nockeby,2000,16
2220300_nockeby,2001,20
2220300_nockeby,2002,0
2220300_nockeby,2003,2
2220300_nockeby,2004,15
2220300_nockeby,2005,28
2220300_nockeby,2006,25
2220300_nockeby,2007,49
2220300_nockeby,2008,29
2220300_nockeby,2009,29
2220300_nockeby,2010,29
2220300_nockeby,2011,34
2220300_nockeby,2012,39
2220300_nockeby,2013,46
2220300_nockeby,2014,64
2220400_nockebyhov,2000,12
2220400_nockebyhov,2001,28
2220400_nockebyhov,2002,25
2220400_nockebyhov,2003,38
2220400_nockebyhov,2004,23
2220400_nockebyhov,2005,47
2220400_nockebyhov,2006,47
2220400_nockebyhov,2007,67
2220400_nockebyhov,2008,81
2220400_nockebyhov,2009,101
2220400_nockebyhov,2010,105
2220400_nockebyhov,2011,97
2220400_nockebyhov,2012,92
2220400_nockebyhov,2013,80
2220400_nockebyhov,2014,37
2220500_olovslund,2000,5
2220500_olovslund,2001,9
2220500_olovslund,2002,16
2220500_olovslund,2003,18
2220500_olovslund,2004,24
2220500_olovslund,2005,28
2220500_olovslund,2006,31
2220500_olovslund,2007,33
2220500_olovslund,2008,39
2220500_olovslund,2009,46
2220500_olovslund,2010,46
2220500_olovslund,2011,43
2220500_olovslund,2012,48
2220500_olovslund,2013,55
2220500_olovslund,2014,57
2220600_smedslatten,2000,-2
2220600_smedslatten,2001,-16
2220600_smedslatten,2002,-5
2220600_smedslatten,2003,-13
2220600_smedslatten,2004,-2
2220600_smedslatten,2005,18
2220600_smedslatten,2006,36
2220600_smedslatten,2007,48
2220600_smedslatten,2008,65
2220600_smedslatten,2009,75
2220600_smedslatten,2010,76
2220600_smedslatten,2011,67
2220600_smedslatten,2012,79
2220600_smedslatten,2013,105
2220600_smedslatten,2014,117
2220700_stora_mossen,2000,8
2220700_stora_mossen,2001,25
2220700_stora_mossen,2002,29
2220700_stora_mossen,2003,62
2220700_stora_mossen,2004,109
2220700_stora_mossen,2005,117
2220700_stora_mossen,2006,115
2220700_stora_mossen,2007,114
2220700_stora_mossen,2008,114
2220700_stora_mossen,2009,120
2220700_stora_mossen,2010,123
2220700_stora_mossen,2011,126
2220700_stora_mossen,2012,139
2220700_stora_mossen,2013,129
2220700_stora_mossen,2014,148
2220820_sodra_traneberg,2000,-24
2220820_sodra_traneberg,2001,-26
2220820_sodra_traneberg,2002,-11
2220820_sodra_traneberg,2003,-39
2220820_sodra_traneberg,2004,-24
2220820_sodra_traneberg,2005,-16
2220820_sodra_traneberg,2006,2
2220820_sodra_traneberg,2007,-17
2220820_sodra_traneberg,2008,-6
2220820_sodra_traneberg,2009,-34
2220820_sodra_traneberg,2010,-57
2220820_sodra_traneberg,2011,-37
2220820_sodra_traneberg,2012,-73
2220820_sodra_traneberg,2013,-83
2220820_sodra_traneberg,2014,-112
2220830_norra_traneberg,2000,-8
2220830_norra_traneberg,2001,-27
2220830_norra_traneberg,2002,-30
2220830_norra_traneberg,2003,-36
2220830_norra_traneberg,2004,-28
2220830_norra_traneberg,2005,-33
2220830_norra_traneberg,2006,-28
2220830_norra_traneberg,2007,-31
2220830_norra_traneberg,2008,-41
2220830_norra_traneberg,2009,-48
2220830_norra_traneberg,2010,-41
2220830_norra_traneberg,2011,-23
2220830_norra_traneberg,2012,-37
2220830_norra_traneberg,2013,-53
2220830_norra_traneberg,2014,-73
2220840_minneberg,2000,1
2220840_minneberg,2001,12
2220840_minneberg,2002,10
2220840_minneberg,2003,13
2220840_minneberg,2004,-1
2220840_minneberg,2005,19
2220840_minneberg,2006,12
2220840_minneberg,2007,39
2220840_minneberg,2008,50
2220840_minneberg,2009,58
2220840_minneberg,2010,69
2220840_minneberg,2011,67
2220840_minneberg,2012,67
2220840_minneberg,2013,74
2220840_minneberg,2014,88
2220900_ulvsunda,2000,-9
2220900_ulvsunda,2001,-1
2220900_ulvsunda,2002,-26
2220900_ulvsunda,2003,-30
2220900_ulvsunda,2004,-41
2220900_ulvsunda,2005,-44
2220900_ulvsunda,2006,-52
2220900_ulvsunda,2007,-57
2220900_ulvsunda,2008,-47
2220900_ulvsunda,2009,-78
2220900_ulvsunda,2010,-92
2220900_ulvsunda,2011,-65
2220900_ulvsunda,2012,-70
2220900_ulvsunda,2013,-74
2220900_ulvsunda,2014,-51
2221000_alsten,2000,14
2221000_alsten,2001,21
2221000_alsten,2002,22
2221000_alsten,2003,46
2221000_alsten,2004,42
2221000_alsten,2005,86
2221000_alsten,2006,88
2221000_alsten,2007,106
2221000_alsten,2008,126
2221000_alsten,2009,138
2221000_alsten,2010,152
2221000_alsten,2011,147
2221000_alsten,2012,153
2221000_alsten,2013,176
2221000_alsten,2014,196
2221100_appelviken,2000,3
2221100_appelviken,2001,7
2221100_appelviken,2002,15
2221100_appelviken,2003,20
2221100_appelviken,2004,22
2221100_appelviken,2005,43
2221100_appelviken,2006,43
2221100_appelviken,2007,50
2221100_appelviken,2008,47
2221100_appelviken,2009,58
2221100_appelviken,2010,59
2221100_appelviken,2011,65
2221100_appelviken,2012,61
2221100_appelviken,2013,73
2221100_appelviken,2014,69
2230100_grimsta,2000,3
2230100_grimsta,2001,34
2230100_grimsta,2002,42
2230100_grimsta,2003,37
2230100_grimsta,2004,28
2230100_grimsta,2005,36
2230100_grimsta,2006,71
2230100_grimsta,2007,95
2230100_grimsta,2008,57
2230100_grimsta,2009,17
2230100_grimsta,2010,-15
2230100_grimsta,2011,13
2230100_grimsta,2012,-5
2230100_grimsta,2013,-11
2230100_grimsta,2014,-15
2230200_kalvesta,2000,-6
2230200_kalvesta,2001,-14
2230200_kalvesta,2002,-24
2230200_kalvesta,2003,-13
2230200_kalvesta,2004,-11
2230200_kalvesta,2005,3
2230200_kalvesta,2006,20
2230200_kalvesta,2007,-1
2230200_kalvesta,2008,6
2230200_kalvesta,2009,4
2230200_kalvesta,2010,15
2230200_kalvesta,2011,30
2230200_kalvesta,2012,37
2230200_kalvesta,2013,57
2230200_kalvesta,2014,60
2230300_nalsta,2000,9
2230300_nalsta,2001,8
2230300_nalsta,2002,32
2230300_nalsta,2003,19
2230300_nalsta,2004,26
2230300_nalsta,2005,34
2230300_nalsta,2006,78
2230300_nalsta,2007,82
2230300_nalsta,2008,102
2230300_nalsta,2009,116
2230300_nalsta,2010,140
2230300_nalsta,2011,149
2230300_nalsta,2012,163
2230300_nalsta,2013,173
2230300_nalsta,2014,185
2230420_vastra_racksta,2000,1
2230420_vastra_racksta,2001,4
2230420_vastra_racksta,2002,9
2230420_vastra_racksta,2003,-4
2230420_vastra_racksta,2004,-10
2230420_vastra_racksta,2005,7
2230420_vastra_racksta,2006,-3
2230420_vastra_racksta,2007,56
2230420_vastra_racksta,2008,118
2230420_vastra_racksta,2009,116
2230420_vastra_racksta,2010,197
2230420_vastra_racksta,2011,227
2230420_vastra_racksta,2012,237
2230420_vastra_racksta,2013,190
2230420_vastra_racksta,2014,157
2230430_ostra_racksta,2000,11
2230430_ostra_racksta,2001,8
2230430_ostra_racksta,2002,13
2230430_ostra_racksta,2003,11
2230430_ostra_racksta,2004,22
2230430_ostra_racksta,2005,25
2230430_ostra_racksta,2006,28
2230430_ostra_racksta,2007,30
2230430_ostra_racksta,2008,40
2230430_ostra_racksta,2009,41
2230430_ostra_racksta,2010,47
2230430_ostra_racksta,2011,54
2230430_ostra_racksta,2012,64
2230430_ostra_racksta,2013,69
2230430_ostra_racksta,2014,80
2230440_racksta_sjukhus,2000,6
2230440_racksta_sjukhus,2001,1
2230440_racksta_sjukhus,2002,-1
2230440_racksta_sjukhus,2003,-14
2230440_racksta_sjukhus,2004,-14
2230440_racksta_sjukhus,2005,-26
2230440_racksta_sjukhus,2006,-29
2230440_racksta_sjukhus,2007,-27
2230440_racksta_sjukhus,2008,-23
2230440_racksta_sjukhus,2009,-27
2230440_racksta_sjukhus,2010,-27
2230440_racksta_sjukhus,2011,-37
2230440_racksta_sjukhus,2012,-35
2230440_racksta_sjukhus,2013,-27
2230440_racksta_sjukhus,2014,-31
2230520_norra_vinsta,2000,4
2230520_norra_vinsta,2001,12
2230520_norra_vinsta,2002,-1
2230520_norra_vinsta,2003,0
2230520_norra_vinsta,2004,14
2230520_norra_vinsta,2005,16
2230520_norra_vinsta,2006,21
2230520_norra_vinsta,2007,13
2230520_norra_vinsta,2008,16
2230520_norra_vinsta,2009,17
2230520_norra_vinsta,2010,17
2230520_norra_vinsta,2011,34
2230520_norra_vinsta,2012,88
2230520_norra_vinsta,2013,158
2230520_norra_vinsta,2014,207
2230560_sodra_vinsta,2000,0
2230560_sodra_vinsta,2001,0
2230560_sodra_vinsta,2002,-3
2230560_sodra_vinsta,2003,2
2230560_sodra_vinsta,2004,12
2230560_sodra_vinsta,2005,3
2230560_sodra_vinsta,2006,5
2230560_sodra_vinsta,2007,4
2230560_sodra_vinsta,2008,3
2230560_sodra_vinsta,2009,6
2230560_sodra_vinsta,2010,2
2230560_sodra_vinsta,2011,2
2230560_sodra_vinsta,2012,-13
2230560_sodra_vinsta,2013,-17
2230560_sodra_vinsta,2014,-21
2230610_vallingby_centrum,2000,-6
2230610_vallingby_centrum,2001,-5
2230610_vallingby_centrum,2002,-11
2230610_vallingby_centrum,2003,-17
2230610_vallingby_centrum,2004,-17
2230610_vallingby_centrum,2005,-16
2230610_vallingby_centrum,2006,-19
2230610_vallingby_centrum,2007,-26
2230610_vallingby_centrum,2008,-26
2230610_vallingby_centrum,2009,-9
2230610_vallingby_centrum,2010,35
2230610_vallingby_centrum,2011,29
2230610_vallingby_centrum,2012,19
2230610_vallingby_centrum,2013,23
2230610_vallingby_centrum,2014,13
2230620_sodra_vallingby,2000,4
2230620_sodra_vallingby,2001,7
2230620_sodra_vallingby,2002,-1
2230620_sodra_vallingby,2003,-1
2230620_sodra_vallingby,2004,-12
2230620_sodra_vallingby,2005,-41
2230620_sodra_vallingby,2006,11
2230620_sodra_vallingby,2007,22
2230620_sodra_vallingby,2008,2
2230620_sodra_vallingby,2009,-21
2230620_sodra_vallingby,2010,-23
2230620_sodra_vallingby,2011,-35
2230620_sodra_vallingby,2012,-47
2230620_sodra_vallingby,2013,-44
2230620_sodra_vallingby,2014,-75
2230630_norra_vallingby,2000,5
2230630_norra_vallingby,2001,14
2230630_norra_vallingby,2002,26
2230630_norra_vallingby,2003,32
2230630_norra_vallingby,2004,44
2230630_norra_vallingby,2005,60
2230630_norra_vallingby,2006,58
2230630_norra_vallingby,2007,72
2230630_norra_vallingby,2008,77
2230630_norra_vallingby,2009,94
2230630_norra_vallingby,2010,111
2230630_norra_vallingby,2011,124
2230630_norra_vallingby,2012,128
2230630_norra_vallingby,2013,155
2230630_norra_vallingby,2014,175
2240121_sodra_bromsten_n,2000,5
2240121_sodra_bromsten_n,2001,2
2240121_sodra_bromsten_n,2002,9
2240121_sodra_bromsten_n,2003,13
2240121_sodra_bromsten_n,2004,12
2240121_sodra_bromsten_n,2005,10
2240121_sodra_bromsten_n,2006,11
2240121_sodra_bromsten_n,2007,14
2240121_sodra_bromsten_n,2008,14
2240121_sodra_bromsten_n,2009,12
2240121_sodra_bromsten_n,2010,17
2240121_sodra_bromsten_n,2011,16
2240121_sodra_bromsten_n,2012,20
2240121_sodra_bromsten_n,2013,26
2240121_sodra_bromsten_n,2014,23
2240122_sodra_bromsten_s,2000,-4
2240122_sodra_bromsten_s,2001,-6
2240122_sodra_bromsten_s,2002,-10
2240122_sodra_bromsten_s,2003,-13
2240122_sodra_bromsten_s,2004,-14
2240122_sodra_bromsten_s,2005,-9
2240122_sodra_bromsten_s,2006,-7
2240122_sodra_bromsten_s,2007,26
2240122_sodra_bromsten_s,2008,44
2240122_sodra_bromsten_s,2009,51
2240122_sodra_bromsten_s,2010,58
2240122_sodra_bromsten_s,2011,68
2240122_sodra_bromsten_s,2012,73
2240122_sodra_bromsten_s,2013,65
2240122_sodra_bromsten_s,2014,65
2240130_norra_bromsten,2000,20
2240130_norra_bromsten,2001,32
2240130_norra_bromsten,2002,21
2240130_norra_bromsten,2003,34
2240130_norra_bromsten,2004,35
2240130_norra_bromsten,2005,25
