basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_male
2110940_hokmossen,2008,-22
2110940_hokmossen,2009,-26
2110940_hokmossen,2010,-28
2110940_hokmossen,2011,-34
2110940_hokmossen,2012,-39
2110940_hokmossen,2013,-47
2110940_hokmossen,2014,-42
2120100_fruangen,2000,13
2120100_fruangen,2001,20
2120100_fruangen,2002,20
2120100_fruangen,2003,20
2120100_fruangen,2004,-5
2120100_fruangen,2005,-20
2120100_fruangen,2006,-33
2120100_fruangen,2007,-10
2120100_fruangen,2008,-4
2120100_fruangen,2009,-11
2120100_fruangen,2010,4
2120100_fruangen,2011,33
2120100_fruangen,2012,77
2120100_fruangen,2013,89
2120100_fruangen,2014,169
2120201_herrangen_v,2000,12
2120201_herrangen_v,2001,15
2120201_herrangen_v,2002,12
2120201_herrangen_v,2003,26
2120201_herrangen_v,2004,31
2120201_herrangen_v,2005,34
2120201_herrangen_v,2006,44
2120201_herrangen_v,2007,58
2120201_herrangen_v,2008,75
2120201_herrangen_v,2009,87
2120201_herrangen_v,2010,99
2120201_herrangen_v,2011,103
2120201_herrangen_v,2012,109
2120201_herrangen_v,2013,120
2120201_herrangen_v,2014,123
2120202_herrangen_o,2000,-1
2120202_herrangen_o,2001,6
2120202_herrangen_o,2002,12
2120202_herrangen_o,2003,14
2120202_herrangen_o,2004,13
2120202_herrangen_o,2005,17
2120202_herrangen_o,2006,21
2120202_herrangen_o,2007,22
2120202_herrangen_o,2008,30
2120202_herrangen_o,2009,32
2120202_herrangen_o,2010,40
2120202_herrangen_o,2011,43
2120202_herrangen_o,2012,49
2120202_herrangen_o,2013,55
2120202_herrangen_o,2014,60
2120300_liseberg,2000,2
2120300_liseberg,2001,0
2120300_liseberg,2002,2
2120300_liseberg,2003,0
2120300_liseberg,2004,6
2120300_liseberg,2005,8
2120300_liseberg,2006,10
2120300_liseberg,2007,11
2120300_liseberg,2008,7
2120300_liseberg,2009,12
2120300_liseberg,2010,9
2120300_liseberg,2011,8
2120300_liseberg,2012,7
2120300_liseberg,2013,8
2120300_liseberg,2014,17
2120401_langbro_v,2000,3
2120401_langbro_v,2001,4
2120401_langbro_v,2002,24
2120401_langbro_v,2003,28
2120401_langbro_v,2004,34
2120401_langbro_v,2005,41
2120401_langbro_v,2006,37
2120401_langbro_v,2007,79
2120401_langbro_v,2008,109
2120401_langbro_v,2009,116
2120401_langbro_v,2010,130
2120401_langbro_v,2011,148
2120401_langbro_v,2012,197
2120401_langbro_v,2013,220
2120401_langbro_v,2014,235
2120402_langbro_o,2000,9
2120402_langbro_o,2001,7
2120402_langbro_o,2002,6
2120402_langbro_o,2003,14
2120402_langbro_o,2004,24
2120402_langbro_o,2005,48
2120402_langbro_o,2006,48
2120402_langbro_o,2007,51
2120402_langbro_o,2008,61
2120402_langbro_o,2009,67
2120402_langbro_o,2010,71
2120402_langbro_o,2011,102
2120402_langbro_o,2012,107
2120402_langbro_o,2013,101
2120402_langbro_o,2014,118
2120500_langsjo,2000,4
2120500_langsjo,2001,17
2120500_langsjo,2002,26
2120500_langsjo,2003,18
2120500_langsjo,2004,28
2120500_langsjo,2005,40
2120500_langsjo,2006,57
2120500_langsjo,2007,70
2120500_langsjo,2008,81
2120500_langsjo,2009,83
2120500_langsjo,2010,88
2120500_langsjo,2011,96
2120500_langsjo,2012,102
2120500_langsjo,2013,107
2120500_langsjo,2014,129
2120620_norra_solberga,2000,3
2120620_norra_solberga,2001,6
2120620_norra_solberga,2002,7
2120620_norra_solberga,2003,1
2120620_norra_solberga,2004,3
2120620_norra_solberga,2005,7
2120620_norra_solberga,2006,-2
2120620_norra_solberga,2007,3
2120620_norra_solberga,2008,17
2120620_norra_solberga,2009,54
2120620_norra_solberga,2010,56
2120620_norra_solberga,2011,60
2120620_norra_solberga,2012,42
2120620_norra_solberga,2013,55
2120620_norra_solberga,2014,60
2120630_vastra_solberga,2000,0
2120630_vastra_solberga,2001,0
2120630_vastra_solberga,2002,-3
2120630_vastra_solberga,2003,-3
2120630_vastra_solberga,2004,-3
2120630_vastra_solberga,2005,4
2120630_vastra_solberga,2006,0
2120630_vastra_solberga,2007,2
2120630_vastra_solberga,2008,-2
2120630_vastra_solberga,2009,-6
2120630_vastra_solberga,2010,-10
2120630_vastra_solberga,2011,-12
2120630_vastra_solberga,2012,-8
2120630_vastra_solberga,2013,-6
2120630_vastra_solberga,2014,-7
2120660_sodra_solberga,2000,2
2120660_sodra_solberga,2001,-2
2120660_sodra_solberga,2002,-3
2120660_sodra_solberga,2003,1
2120660_sodra_solberga,2004,18
2120660_sodra_solberga,2005,20
2120660_sodra_solberga,2006,27
2120660_sodra_solberga,2007,46
2120660_sodra_solberga,2008,94
2120660_sodra_solberga,2009,78
2120660_sodra_solberga,2010,80
2120660_sodra_solberga,2011,84
2120660_sodra_solberga,2012,106
2120660_sodra_solberga,2013,145
2120660_sodra_solberga,2014,145
2120700_vastertorp,2000,11
2120700_vastertorp,2001,15
2120700_vastertorp,2002,12
2120700_vastertorp,2003,9
2120700_vastertorp,2004,9
2120700_vastertorp,2005,-10
2120700_vastertorp,2006,-8
2120700_vastertorp,2007,-5
2120700_vastertorp,2008,-6
2120700_vastertorp,2009,48
2120700_vastertorp,2010,59
2120700_vastertorp,2011,77
2120700_vastertorp,2012,94
2120700_vastertorp,2013,96
2120700_vastertorp,2014,87
2120820_vastra_alvsjo,2000,-3
2120820_vastra_alvsjo,2001,2
2120820_vastra_alvsjo,2002,4
2120820_vastra_alvsjo,2003,7
2120820_vastra_alvsjo,2004,2
2120820_vastra_alvsjo,2005,4
2120820_vastra_alvsjo,2006,11
2120820_vastra_alvsjo,2007,7
2120820_vastra_alvsjo,2008,14
2120820_vastra_alvsjo,2009,16
2120820_vastra_alvsjo,2010,19
2120820_vastra_alvsjo,2011,21
2120820_vastra_alvsjo,2012,24
2120820_vastra_alvsjo,2013,29
2120820_vastra_alvsjo,2014,40
2120900_orby_slott,2000,9
2120900_orby_slott,2001,8
2120900_orby_slott,2002,17
2120900_orby_slott,2003,14
2120900_orby_slott,2004,9
2120900_orby_slott,2005,12
2120900_orby_slott,2006,16
2120900_orby_slott,2007,13
2120900_orby_slott,2008,13
2120900_orby_slott,2009,8
2120900_orby_slott,2010,16
2120900_orby_slott,2011,18
2120900_orby_slott,2012,21
2120900_orby_slott,2013,23
2120900_orby_slott,2014,20
2121020_okand,2000,8
2121020_okand,2001,10
2121020_okand,2002,26
2121020_okand,2003,18
2121020_okand,2004,11
2121020_okand,2005,14
2121020_okand,2006,35
2121020_okand,2007,38
2121020_okand,2008,28
2121020_okand,2009,35
2121021_ostbergahojden,2010,2
2121021_ostbergahojden,2011,-14
2121021_ostbergahojden,2012,-10
2121021_ostbergahojden,2013,-16
2121021_ostbergahojden,2014,-15
2130100_bandhagen,2000,2
2130100_bandhagen,2001,5
2130100_bandhagen,2002,3
2130100_bandhagen,2003,-14
2130100_bandhagen,2004,-15
2130100_bandhagen,2005,-18
2130100_bandhagen,2006,-10
2130100_bandhagen,2007,2
2130100_bandhagen,2008,13
2130100_bandhagen,2009,22
2130100_bandhagen,2010,30
2130100_bandhagen,2011,18
2130100_bandhagen,2012,25
2130100_bandhagen,2013,24
2130100_bandhagen,2014,10
2130210_hogdalens_centrum,2000,0
2130210_hogdalens_centrum,2001,0
2130210_hogdalens_centrum,2002,-3
2130210_hogdalens_centrum,2003,-3
2130210_hogdalens_centrum,2004,-2
2130210_hogdalens_centrum,2005,-2
2130210_hogdalens_centrum,2006,1
2130210_hogdalens_centrum,2007,0
2130210_hogdalens_centrum,2008,17
2130210_hogdalens_centrum,2009,16
2130210_hogdalens_centrum,2010,10
2130210_hogdalens_centrum,2011,6
2130210_hogdalens_centrum,2012,17
2130210_hogdalens_centrum,2013,29
2130210_hogdalens_centrum,2014,38
2130220_ostra_hogdalen,2000,8
2130220_ostra_hogdalen,2001,-3
2130220_ostra_hogdalen,2002,-3
2130220_ostra_hogdalen,2003,-5
2130220_ostra_hogdalen,2004,-14
2130220_ostra_hogdalen,2005,-25
2130220_ostra_hogdalen,2006,-32
2130220_ostra_hogdalen,2007,-42
2130220_ostra_hogdalen,2008,-54
2130220_ostra_hogdalen,2009,-47
2130220_ostra_hogdalen,2010,-55
2130220_ostra_hogdalen,2011,-50
2130220_ostra_hogdalen,2012,-40
2130220_ostra_hogdalen,2013,-29
2130220_ostra_hogdalen,2014,-29
2130230_vastra_hogdalen,2000,1
2130230_vastra_hogdalen,2001,-1
2130230_vastra_hogdalen,2002,-1
2130230_vastra_hogdalen,2003,-2
2130230_vastra_hogdalen,2004,-2
2130230_vastra_hogdalen,2005,2
2130230_vastra_hogdalen,2006,5
2130230_vastra_hogdalen,2007,10
2130230_vastra_hogdalen,2008,9
2130230_vastra_hogdalen,2009,12
2130230_vastra_hogdalen,2010,11
2130230_vastra_hogdalen,2011,8
2130230_vastra_hogdalen,2012,8
2130230_vastra_hogdalen,2013,8
2130230_vastra_hogdalen,2014,9
2130240_skebokvarnsvagen,2000,-3
2130240_skebokvarnsvagen,2001,0
2130240_skebokvarnsvagen,2002,-2
2130240_skebokvarnsvagen,2003,1
2130240_skebokvarnsvagen,2004,1
2130240_skebokvarnsvagen,2005,-7
2130240_skebokvarnsvagen,2006,-1
2130240_skebokvarnsvagen,2007,1
2130240_skebokvarnsvagen,2008,-5
2130240_skebokvarnsvagen,2009,-11
2130240_skebokvarnsvagen,2010,-26
2130240_skebokvarnsvagen,2011,-21
2130240_skebokvarnsvagen,2012,-15
2130240_skebokvarnsvagen,2013,-31
2130240_skebokvarnsvagen,2014,-27
2130320_ragsveds_torg,2000,8
2130320_ragsveds_torg,2001,18
2130320_ragsveds_torg,2002,25
2130320_ragsveds_torg,2003,28
2130320_ragsveds_torg,2004,17
2130320_ragsveds_torg,2005,28
2130320_ragsveds_torg,2006,24
2130320_ragsveds_torg,2007,11
2130320_ragsveds_torg,2008,27
2130320_ragsveds_torg,2009,12
2130320_ragsveds_torg,2010,13
2130320_ragsveds_torg,2011,4
2130320_ragsveds_torg,2012,3
2130320_ragsveds_torg,2013,-1
2130320_ragsveds_torg,2014,-1
2130330_bjursatra,2000,-2
2130330_bjursatra,2001,10
2130330_bjursatra,2002,10
2130330_bjursatra,2003,6
2130330_bjursatra,2004,-4
2130330_bjursatra,2005,-25
2130330_bjursatra,2006,-23
2130330_bjursatra,2007,-21
2130330_bjursatra,2008,-28
2130330_bjursatra,2009,-50
2130330_bjursatra,2010,-34
2130330_bjursatra,2011,-33
2130330_bjursatra,2012,-45
2130330_bjursatra,2013,-57
2130330_bjursatra,2014,-63
2130340_snosatra,2000,0
2130340_snosatra,2001,3
2130340_snosatra,2002,9
2130340_snosatra,2003,5
2130340_snosatra,2004,4
2130340_snosatra,2005,1
2130340_snosatra,2006,-6
2130340_snosatra,2007,-6
2130340_snosatra,2008,-2
2130340_snosatra,2009,-12
2130340_snosatra,2010,-14
2130340_snosatra,2011,1
2130340_snosatra,2012,8
2130340_snosatra,2013,21
2130340_snosatra,2014,19
2130420_backaskiftsvagen,2000,14
2130420_backaskiftsvagen,2001,18
2130420_backaskiftsvagen,2002,19
2130420_backaskiftsvagen,2003,11
2130420_backaskiftsvagen,2004,17
2130420_backaskiftsvagen,2005,11
2130420_backaskiftsvagen,2006,10
2130420_backaskiftsvagen,2007,26
2130420_backaskiftsvagen,2008,28
2130420_backaskiftsvagen,2009,27
2130420_backaskiftsvagen,2010,30
2130420_backaskiftsvagen,2011,35
2130420_backaskiftsvagen,2012,51
2130420_backaskiftsvagen,2013,39
2130420_backaskiftsvagen,2014,50
2130430_ostra_stureby,2000,9
2130430_ostra_stureby,2001,16
2130430_ostra_stureby,2002,23
2130430_ostra_stureby,2003,30
2130430_ostra_stureby,2004,33
2130430_ostra_stureby,2005,37
2130430_ostra_stureby,2006,41
2130430_ostra_stureby,2007,49
2130430_ostra_stureby,2008,67
2130430_ostra_stureby,2009,66
2130430_ostra_stureby,2010,71
2130430_ostra_stureby,2011,85
2130430_ostra_stureby,2012,99
2130430_ostra_stureby,2013,121
2130430_ostra_stureby,2014,128
2130440_vastra_stureby,2000,6
2130440_vastra_stureby,2001,13
2130440_vastra_stureby,2002,13
2130440_vastra_stureby,2003,22
2130440_vastra_stureby,2004,19
2130440_vastra_stureby,2005,15
2130440_vastra_stureby,2006,11
2130440_vastra_stureby,2007,17
2130440_vastra_stureby,2008,12
2130440_vastra_stureby,2009,20
2130440_vastra_stureby,2010,14
2130440_vastra_stureby,2011,25
2130440_vastra_stureby,2012,25
2130440_vastra_stureby,2013,24
2130440_vastra_stureby,2014,34
2130501_orby_n,2000,8
2130501_orby_n,2001,1
2130501_orby_n,2002,-2
2130501_orby_n,2003,-10
2130501_orby_n,2004,-12
2130501_orby_n,2005,-13
2130501_orby_n,2006,-1
2130501_orby_n,2007,0
2130501_orby_n,2008,-5
2130501_orby_n,2009,-14
2130501_orby_n,2010,-17
2130501_orby_n,2011,-14
2130501_orby_n,2012,-26
2130501_orby_n,2013,-31
2130501_orby_n,2014,-33
2130502_orby_s,2000,9
2130502_orby_s,2001,15
2130502_orby_s,2002,33
2130502_orby_s,2003,32
2130502_orby_s,2004,41
2130502_orby_s,2005,48
2130502_orby_s,2006,59
2130502_orby_s,2007,63
2130502_orby_s,2008,65
2130502_orby_s,2009,77
2130502_orby_s,2010,96
2130502_orby_s,2011,92
2130502_orby_s,2012,106
2130502_orby_s,2013,116
2130502_orby_s,2014,137
2130620_hagsatra_torg,2000,3
2130620_hagsatra_torg,2001,6
2130620_hagsatra_torg,2002,2
2130620_hagsatra_torg,2003,-8
2130620_hagsatra_torg,2004,-13
2130620_hagsatra_torg,2005,2
2130620_hagsatra_torg,2006,-1
2130620_hagsatra_torg,2007,-18
2130620_hagsatra_torg,2008,-25
2130620_hagsatra_torg,2009,-42
2130620_hagsatra_torg,2010,-44
2130620_hagsatra_torg,2011,-41
2130620_hagsatra_torg,2012,-51
2130620_hagsatra_torg,2013,-50
2130620_hagsatra_torg,2014,-19
2130630_ormkarr,2000,-1
2130630_ormkarr,2001,-1
2130630_ormkarr,2002,4
2130630_ormkarr,2003,0
2130630_ormkarr,2004,1
2130630_ormkarr,2005,3
2130630_ormkarr,2006,-9
2130630_ormkarr,2007,-6
2130630_ormkarr,2008,-5
2130630_ormkarr,2009,-7
2130630_ormkarr,2010,-6
2130630_ormkarr,2011,-4
2130630_ormkarr,2012,4
2130630_ormkarr,2013,3
2130630_ormkarr,2014,11
2140120_ostra_enskedefaltet,2000,2
2140120_ostra_enskedefaltet,2001,9
2140120_ostra_enskedefaltet,2002,3
2140120_ostra_enskedefaltet,2003,-2
2140120_ostra_enskedefaltet,2004,0
2140120_ostra_enskedefaltet,2005,-3
2140120_ostra_enskedefaltet,2006,-3
2140120_ostra_enskedefaltet,2007,-1
2140120_ostra_enskedefaltet,2008,0
2140120_ostra_enskedefaltet,2009,-1
2140120_ostra_enskedefaltet,2010,6
2140120_ostra_enskedefaltet,2011,8
2140120_ostra_enskedefaltet,2012,10
2140120_ostra_enskedefaltet,2013,21
2140120_ostra_enskedefaltet,2014,21
2140210_vastra_enskede_gard,2000,-6
2140210_vastra_enskede_gard,2001,5
2140210_vastra_enskede_gard,2002,3
2140210_vastra_enskede_gard,2003,-4
2140210_vastra_enskede_gard,2004,-1
2140210_vastra_enskede_gard,2005,-9
2140210_vastra_enskede_gard,2006,-4
2140210_vastra_enskede_gard,2007,3
2140210_vastra_enskede_gard,2008,18
2140210_vastra_enskede_gard,2009,25
2140210_vastra_enskede_gard,2010,33
2140210_vastra_enskede_gard,2011,36
2140210_vastra_enskede_gard,2012,25
2140210_vastra_enskede_gard,2013,31
2140210_vastra_enskede_gard,2014,36
2140220_tradskolan,2000,-1
2140220_tradskolan,2001,0
2140220_tradskolan,2002,-6
2140220_tradskolan,2003,-4
2140220_tradskolan,2004,-5
2140220_tradskolan,2005,-3
2140220_tradskolan,2006,0
2140220_tradskolan,2007,3
2140220_tradskolan,2008,0
2140220_tradskolan,2009,4
2140220_tradskolan,2010,7
2140220_tradskolan,2011,10
2140220_tradskolan,2012,11
2140220_tradskolan,2013,11
2140220_tradskolan,2014,8
2140320_enskede_kyrka,2000,7
2140320_enskede_kyrka,2001,11
2140320_enskede_kyrka,2002,1
2140320_enskede_kyrka,2003,-7
2140320_enskede_kyrka,2004,-2
2140320_enskede_kyrka,2005,7
2140320_enskede_kyrka,2006,6
2140320_enskede_kyrka,2007,6
2140320_enskede_kyrka,2008,13
2140320_enskede_kyrka,2009,23
2140320_enskede_kyrka,2010,16
2140320_enskede_kyrka,2011,4
2140320_enskede_kyrka,2012,35
2140320_enskede_kyrka,2013,28
2140320_enskede_kyrka,2014,40
2140330_svampvagen,2000,1
2140330_svampvagen,2001,2
2140330_svampvagen,2002,6
2140330_svampvagen,2003,6
2140330_svampvagen,2004,3
2140330_svampvagen,2005,5
2140330_svampvagen,2006,10
2140330_svampvagen,2007,11
2140330_svampvagen,2008,16
2140330_svampvagen,2009,15
2140330_svampvagen,2010,14
2140330_svampvagen,2011,39
2140330_svampvagen,2012,44
2140330_svampvagen,2013,48
2140330_svampvagen,2014,37
2140340_sandsborg,2000,1
2140340_sandsborg,2001,-3
2140340_sandsborg,2002,-5
2140340_sandsborg,2003,-14
2140340_sandsborg,2004,-7
2140340_sandsborg,2005,-8
2140340_sandsborg,2006,-6
2140340_sandsborg,2007,-29
2140340_sandsborg,2008,-21
2140340_sandsborg,2009,-23
2140340_sandsborg,2010,-27
2140340_sandsborg,2011,-23
2140340_sandsborg,2012,-20
2140340_sandsborg,2013,-15
2140340_sandsborg,2014,-10
2140350_dalen,2000,-2
2140350_dalen,2001,-3
2140350_dalen,2002,-8
2140350_dalen,2003,7
2140350_dalen,2004,9
2140350_dalen,2005,10
2140350_dalen,2006,-1
2140350_dalen,2007,14
2140350_dalen,2008,15
2140350_dalen,2009,23
2140350_dalen,2010,34
2140350_dalen,2011,36
2140350_dalen,2012,37
2140350_dalen,2013,36
2140350_dalen,2014,40
2140620_gullmarsplan,2000,6
2140620_gullmarsplan,2001,16
2140620_gullmarsplan,2002,18
2140620_gullmarsplan,2003,2
2140620_gullmarsplan,2004,13
2140620_gullmarsplan,2005,3
2140620_gullmarsplan,2006,-12
2140620_gullmarsplan,2007,-4
2140620_gullmarsplan,2008,0
2140620_gullmarsplan,2009,-13
2140620_gullmarsplan,2010,-11
2140620_gullmarsplan,2011,-2
2140620_gullmarsplan,2012,7
2140620_gullmarsplan,2013,5
2140620_gullmarsplan,2014,-10
2140630_skarmarbrink,2000,6
2140630_skarmarbrink,2001,-17
2140630_skarmarbrink,2002,-27
2140630_skarmarbrink,2003,-20
2140630_skarmarbrink,2004,-26
2140630_skarmarbrink,2005,-25
2140630_skarmarbrink,2006,-28
2140630_skarmarbrink,2007,-12
2140630_skarmarbrink,2008,-16
2140630_skarmarbrink,2009,-42
2140630_skarmarbrink,2010,-50
2140630_skarmarbrink,2011,-84
2140630_skarmarbrink,2012,-66
2140630_skarmarbrink,2013,-72
2140630_skarmarbrink,2014,-80
2140820_skanskvarn,2000,5
2140820_skanskvarn,2001,17
2140820_skanskvarn,2002,20
2140820_skanskvarn,2003,35
2140820_skanskvarn,2004,30
2140820_skanskvarn,2005,10
2140820_skanskvarn,2006,29
2140820_skanskvarn,2007,53
2140820_skanskvarn,2008,100
2140820_skanskvarn,2009,143
2140820_skanskvarn,2010,143
2140820_skanskvarn,2011,153
2140820_skanskvarn,2012,142
2140820_skanskvarn,2013,138
2140820_skanskvarn,2014,150
2140830_arsta_centrum,2000,10
2140830_arsta_centrum,2001,27
2140830_arsta_centrum,2002,53
2140830_arsta_centrum,2003,69
2140830_arsta_centrum,2004,85
2140830_arsta_centrum,2005,72
2140830_arsta_centrum,2006,94
2140830_arsta_centrum,2007,129
2140830_arsta_centrum,2008,142
2140830_arsta_centrum,2009,135
2140830_arsta_centrum,2010,147
2140830_arsta_centrum,2011,155
2140830_arsta_centrum,2012,150
2140830_arsta_centrum,2013,140
2140830_arsta_centrum,2014,137
2140840_arsta_gard,2000,19
2140840_arsta_gard,2001,1
2140840_arsta_gard,2002,11
2140840_arsta_gard,2003,12
2140840_arsta_gard,2004,37
2140840_arsta_gard,2005,75
2140840_arsta_gard,2006,89
2140840_arsta_gard,2007,118
2140840_arsta_gard,2008,133
2140840_arsta_gard,2009,131
2140840_arsta_gard,2010,124
2140840_arsta_gard,2011,119
2140840_arsta_gard,2012,131
2140840_arsta_gard,2013,129
2140840_arsta_gard,2014,133
2140850_valla_garde,2000,17
2140850_valla_garde,2001,17
2140850_valla_garde,2002,26
2140850_valla_garde,2003,19
2140850_valla_garde,2004,20
2140850_valla_garde,2005,30
2140850_valla_garde,2006,40
2140850_valla_garde,2007,50
2140850_valla_garde,2008,65
2140850_valla_garde,2009,73
2140850_valla_garde,2010,78
2140850_valla_garde,2011,75
2140850_valla_garde,2012,73
2140850_valla_garde,2013,78
2140850_valla_garde,2014,82
2150100_bjorkhagen,2000,27
2150100_bjorkhagen,2001,30
2150100_bjorkhagen,2002,30
2150100_bjorkhagen,2003,49
2150100_bjorkhagen,2004,57
2150100_bjorkhagen,2005,57
2150100_bjorkhagen,2006,62
2150100_bjorkhagen,2007,84
2150100_bjorkhagen,2008,79
2150100_bjorkhagen,2009,111
2150100_bjorkhagen,2010,109
2150100_bjorkhagen,2011,146
2150100_bjorkhagen,2012,163
2150100_bjorkhagen,2013,170
2150100_bjorkhagen,2014,159
2150200_enskededalen,2000,8
2150200_enskededalen,2001,13
2150200_enskededalen,2002,13
2150200_enskededalen,2003,15
2150200_enskededalen,2004,4
2150200_enskededalen,2005,1
2150200_enskededalen,2006,12
2150200_enskededalen,2007,24
2150200_enskededalen,2008,25
2150200_enskededalen,2009,38
2150200_enskededalen,2010,53
2150200_enskededalen,2011,51
2150200_enskededalen,2012,78
2150200_enskededalen,2013,102
2150200_enskededalen,2014,94
2150400_okand,2000,6
2150400_okand,2001,11
2150400_okand,2002,-4
2150400_okand,2003,8
2150400_okand,2004,13
2150400_okand,2005,9
2150400_okand,2006,3
2150400_okand,2007,22
2150400_okand,2008,38
2150400_okand,2009,107
2150401_blasut,2010,8
2150401_blasut,2011,26
2150401_blasut,2012,30
2150401_blasut,2013,47
2150401_blasut,2014,99
2150402_hammarbyhojden,2010,-12
2150402_hammarbyhojden,2011,-24
2150402_hammarbyhojden,2012,-37
2150402_hammarbyhojden,2013,-57
2150402_hammarbyhojden,2014,-65
2150500_karrtorp,2000,3
2150500_karrtorp,2001,5
2150500_karrtorp,2002,4
2150500_karrtorp,2003,-3
2150500_karrtorp,2004,4
2150500_karrtorp,2005,9
2150500_karrtorp,2006,5
2150500_karrtorp,2007,-6
2150500_karrtorp,2008,13
2150500_karrtorp,2009,58
2150500_karrtorp,2010,79
2150500_karrtorp,2011,94
2150500_karrtorp,2012,112
2150500_karrtorp,2013,122
2150500_karrtorp,2014,143
2150720_pungpinan,2000,4
2150720_pungpinan,2001,11
2150720_pungpinan,2002,20
2150720_pungpinan,2003,21
2150720_pungpinan,2004,31
2150720_pungpinan,2005,23
2150720_pungpinan,2006,28
2150720_pungpinan,2007,41
2150720_pungpinan,2008,48
2150720_pungpinan,2009,73
2150720_pungpinan,2010,93
2150720_pungpinan,2011,114
2150720_pungpinan,2012,118
2150720_pungpinan,2013,127
2150720_pungpinan,2014,133
2150731_skarpnacksfaltet_o,2000,8
2150731_skarpnacksfaltet_o,2001,13
2150731_skarpnacksfaltet_o,2002,17
2150731_skarpnacksfaltet_o,2003,12
2150731_skarpnacksfaltet_o,2004,11
2150731_skarpnacksfaltet_o,2005,-5
2150731_skarpnacksfaltet_o,2006,-11
2150731_skarpnacksfaltet_o,2007,-16
2150731_skarpnacksfaltet_o,2008,-6
2150731_skarpnacksfaltet_o,2009,4
2150731_skarpnacksfaltet_o,2010,11
2150731_skarpnacksfaltet_o,2011,11
2150731_skarpnacksfaltet_o,2012,26
2150731_skarpnacksfaltet_o,2013,40
2150731_skarpnacksfaltet_o,2014,48
2150732_skarpnacksfaltet_v,2000,-5
2150732_skarpnacksfaltet_v,2001,-6
2150732_skarpnacksfaltet_v,2002,-19
2150732_skarpnacksfaltet_v,2003,-25
2150732_skarpnacksfaltet_v,2004,-23
2150732_skarpnacksfaltet_v,2005,-26
2150732_skarpnacksfaltet_v,2006,-34
2150732_skarpnacksfaltet_v,2007,-33
2150732_skarpnacksfaltet_v,2008,-29
2150732_skarpnacksfaltet_v,2009,-40
2150732_skarpnacksfaltet_v,2010,-43
2150732_skarpnacksfaltet_v,2011,-54
2150732_skarpnacksfaltet_v,2012,-58
2150732_skarpnacksfaltet_v,2013,-58
2150732_skarpnacksfaltet_v,2014,-57
2150740_skarpa_by,2000,-4
2150740_skarpa_by,2001,-1
2150740_skarpa_by,2002,2
2150740_skarpa_by,2003,2
2150740_skarpa_by,2004,5
2150740_skarpa_by,2005,5
2150740_skarpa_by,2006,2
2150740_skarpa_by,2007,2
2150740_skarpa_by,2008,5
2150740_skarpa_by,2009,5
2150740_skarpa_by,2010,4
2150740_skarpa_by,2011,4
2150740_skarpa_by,2012,7
2150740_skarpa_by,2013,7
2150740_skarpa_by,2014,7
2150820_lagaplan,2000,-6
2150820_lagaplan,2001,0
2150820_lagaplan,2002,-4
2150820_lagaplan,2003,-1
2150820_lagaplan,2004,14
2150820_lagaplan,2005,0
2150820_lagaplan,2006,0
2150820_lagaplan,2007,-5
2150820_lagaplan,2008,37
2150820_lagaplan,2009,70
2150820_lagaplan,2010,90
2150820_lagaplan,2011,119
2150820_lagaplan,2012,121
2150820_lagaplan,2013,152
2150820_lagaplan,2014,138
2150830_sodra_bagarmossen,2000,2
2150830_sodra_bagarmossen,2001,8
2150830_sodra_bagarmossen,2002,10
2150830_sodra_bagarmossen,2003,19
2150830_sodra_bagarmossen,2004,21
2150830_sodra_bagarmossen,2005,22
2150830_sodra_bagarmossen,2006,30
2150830_sodra_bagarmossen,2007,38
2150830_sodra_bagarmossen,2008,43
2150830_sodra_bagarmossen,2009,50
2150830_sodra_bagarmossen,2010,52
2150830_sodra_bagarmossen,2011,59
2150830_sodra_bagarmossen,2012,58
2150830_sodra_bagarmossen,2013,61
2150830_sodra_bagarmossen,2014,71
2150840_norra_bagarmossen,2000,6
2150840_norra_bagarmossen,2001,4
2150840_norra_bagarmossen,2002,14
2150840_norra_bagarmossen,2003,17
2150840_norra_bagarmossen,2004,11
2150840_norra_bagarmossen,2005,-2
2150840_norra_bagarmossen,2006,-4
2150840_norra_bagarmossen,2007,3
2150840_norra_bagarmossen,2008,-3
2150840_norra_bagarmossen,2009,3
2150840_norra_bagarmossen,2010,4
2150840_norra_bagarmossen,2011,-2
2150840_norra_bagarmossen,2012,3
2150840_norra_bagarmossen,2013,4
2150840_norra_bagarmossen,2014,0
2160120_havsornstorget,2000,11
2160120_havsornstorget,2001,10
2160120_havsornstorget,2002,6
2160120_havsornstorget,2003,-2
2160120_havsornstorget,2004,-9
2160120_havsornstorget,2005,-4
2160120_havsornstorget,2006,-2
2160120_havsornstorget,2007,-7
2160120_havsornstorget,2008,-12
2160120_havsornstorget,2009,-22
2160120_havsornstorget,2010,-11
2160120_havsornstorget,2011,-16
2160120_havsornstorget,2012,-18
2160120_havsornstorget,2013,-27
2160120_havsornstorget,2014,-31
2160130_fagersjovagen,2000,0
2160130_fagersjovagen,2001,-3
2160130_fagersjovagen,2002,-3
2160130_fagersjovagen,2003,0
2160130_fagersjovagen,2004,5
2160130_fagersjovagen,2005,8
2160130_fagersjovagen,2006,5
2160130_fagersjovagen,2007,2
2160130_fagersjovagen,2008,2
2160130_fagersjovagen,2009,7
2160130_fagersjovagen,2010,4
