basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_male
1110111_brunnsgatan_n,2008,-15
1110111_brunnsgatan_n,2009,-11
1110111_brunnsgatan_n,2010,-9
1110111_brunnsgatan_n,2011,-20
1110111_brunnsgatan_n,2012,-17
1110111_brunnsgatan_n,2013,-26
1110111_brunnsgatan_n,2014,-24
1110112_brunnsgatan_s,2000,3
1110112_brunnsgatan_s,2001,5
1110112_brunnsgatan_s,2002,3
1110112_brunnsgatan_s,2003,6
1110112_brunnsgatan_s,2004,4
1110112_brunnsgatan_s,2005,7
1110112_brunnsgatan_s,2006,10
1110112_brunnsgatan_s,2007,7
1110112_brunnsgatan_s,2008,8
1110112_brunnsgatan_s,2009,8
1110112_brunnsgatan_s,2010,11
1110112_brunnsgatan_s,2011,15
1110112_brunnsgatan_s,2012,13
1110112_brunnsgatan_s,2013,12
1110112_brunnsgatan_s,2014,17
1110120_johannes_kyrka,2000,-7
1110120_johannes_kyrka,2001,-8
1110120_johannes_kyrka,2002,1
1110120_johannes_kyrka,2003,2
1110120_johannes_kyrka,2004,1
1110120_johannes_kyrka,2005,-4
1110120_johannes_kyrka,2006,-8
1110120_johannes_kyrka,2007,8
1110120_johannes_kyrka,2008,1
1110120_johannes_kyrka,2009,8
1110120_johannes_kyrka,2010,13
1110120_johannes_kyrka,2011,11
1110120_johannes_kyrka,2012,17
1110120_johannes_kyrka,2013,18
1110120_johannes_kyrka,2014,21
1110210_wenner_gren_center,2000,-5
1110210_wenner_gren_center,2001,-11
1110210_wenner_gren_center,2002,-24
1110210_wenner_gren_center,2003,-27
1110210_wenner_gren_center,2004,-30
1110210_wenner_gren_center,2005,-32
1110210_wenner_gren_center,2006,-42
1110210_wenner_gren_center,2007,-53
1110210_wenner_gren_center,2008,-42
1110210_wenner_gren_center,2009,-51
1110210_wenner_gren_center,2010,-41
1110210_wenner_gren_center,2011,-46
1110210_wenner_gren_center,2012,-40
1110210_wenner_gren_center,2013,-35
1110210_wenner_gren_center,2014,-26
1110220_vanadislunden,2000,24
1110220_vanadislunden,2001,22
1110220_vanadislunden,2002,11
1110220_vanadislunden,2003,37
1110220_vanadislunden,2004,20
1110220_vanadislunden,2005,16
1110220_vanadislunden,2006,16
1110220_vanadislunden,2007,23
1110220_vanadislunden,2008,30
1110220_vanadislunden,2009,34
1110220_vanadislunden,2010,33
1110220_vanadislunden,2011,45
1110220_vanadislunden,2012,28
1110220_vanadislunden,2013,4
1110220_vanadislunden,2014,-6
1110230_surbrunnsomradet,2000,11
1110230_surbrunnsomradet,2001,-1
1110230_surbrunnsomradet,2002,-2
1110230_surbrunnsomradet,2003,-8
1110230_surbrunnsomradet,2004,0
1110230_surbrunnsomradet,2005,-9
1110230_surbrunnsomradet,2006,-11
1110230_surbrunnsomradet,2007,-12
1110230_surbrunnsomradet,2008,-15
1110230_surbrunnsomradet,2009,-24
1110230_surbrunnsomradet,2010,-7
1110230_surbrunnsomradet,2011,11
1110230_surbrunnsomradet,2012,8
1110230_surbrunnsomradet,2013,26
1110230_surbrunnsomradet,2014,26
1110240_norra_real,2000,-6
1110240_norra_real,2001,0
1110240_norra_real,2002,9
1110240_norra_real,2003,5
1110240_norra_real,2004,17
1110240_norra_real,2005,24
1110240_norra_real,2006,23
1110240_norra_real,2007,29
1110240_norra_real,2008,22
1110240_norra_real,2009,30
1110240_norra_real,2010,37
1110240_norra_real,2011,35
1110240_norra_real,2012,38
1110240_norra_real,2013,30
1110240_norra_real,2014,24
1110250_elverket,2000,5
1110250_elverket,2001,12
1110250_elverket,2002,6
1110250_elverket,2003,4
1110250_elverket,2004,6
1110250_elverket,2005,8
1110250_elverket,2006,10
1110250_elverket,2007,12
1110250_elverket,2008,13
1110250_elverket,2009,16
1110250_elverket,2010,17
1110250_elverket,2011,17
1110250_elverket,2012,22
1110250_elverket,2013,16
1110250_elverket,2014,11
1120110_tegnerlunden,2000,-2
1120110_tegnerlunden,2001,-4
1120110_tegnerlunden,2002,16
1120110_tegnerlunden,2003,8
1120110_tegnerlunden,2004,1
1120110_tegnerlunden,2005,7
1120110_tegnerlunden,2006,24
1120110_tegnerlunden,2007,18
1120110_tegnerlunden,2008,13
1120110_tegnerlunden,2009,12
1120110_tegnerlunden,2010,14
1120110_tegnerlunden,2011,16
1120110_tegnerlunden,2012,6
1120110_tegnerlunden,2013,19
1120110_tegnerlunden,2014,18
1120120_tandlakarhogskolan,2000,-4
1120120_tandlakarhogskolan,2001,-5
1120120_tandlakarhogskolan,2002,-7
1120120_tandlakarhogskolan,2003,-9
1120120_tandlakarhogskolan,2004,-11
1120120_tandlakarhogskolan,2005,-24
1120120_tandlakarhogskolan,2006,-30
1120120_tandlakarhogskolan,2007,-41
1120120_tandlakarhogskolan,2008,-46
1120120_tandlakarhogskolan,2009,-55
1120120_tandlakarhogskolan,2010,-58
1120120_tandlakarhogskolan,2011,-61
1120120_tandlakarhogskolan,2012,-61
1120120_tandlakarhogskolan,2013,-58
1120120_tandlakarhogskolan,2014,-67
1120131_norra_bantorget_o,2000,6
1120131_norra_bantorget_o,2001,5
1120131_norra_bantorget_o,2002,1
1120131_norra_bantorget_o,2003,2
1120131_norra_bantorget_o,2004,6
1120131_norra_bantorget_o,2005,15
1120131_norra_bantorget_o,2006,14
1120131_norra_bantorget_o,2007,8
1120131_norra_bantorget_o,2008,28
1120131_norra_bantorget_o,2009,38
1120131_norra_bantorget_o,2010,39
1120131_norra_bantorget_o,2011,35
1120131_norra_bantorget_o,2012,39
1120131_norra_bantorget_o,2013,37
1120131_norra_bantorget_o,2014,46
1120132_norra_bantorget_v,2010,9
1120132_norra_bantorget_v,2011,10
1120132_norra_bantorget_v,2012,8
1120132_norra_bantorget_v,2013,9
1120132_norra_bantorget_v,2014,13
1120140_adolf_fredriks_kyrka,2000,1
1120140_adolf_fredriks_kyrka,2001,-7
1120140_adolf_fredriks_kyrka,2002,-3
1120140_adolf_fredriks_kyrka,2003,0
1120140_adolf_fredriks_kyrka,2004,-3
1120140_adolf_fredriks_kyrka,2005,2
1120140_adolf_fredriks_kyrka,2006,3
1120140_adolf_fredriks_kyrka,2007,7
1120140_adolf_fredriks_kyrka,2008,13
1120140_adolf_fredriks_kyrka,2009,9
1120140_adolf_fredriks_kyrka,2010,6
1120140_adolf_fredriks_kyrka,2011,8
1120140_adolf_fredriks_kyrka,2012,12
1120140_adolf_fredriks_kyrka,2013,18
1120140_adolf_fredriks_kyrka,2014,24
1120150_skandiahuset,2000,0
1120150_skandiahuset,2001,4
1120150_skandiahuset,2002,3
1120150_skandiahuset,2003,1
1120150_skandiahuset,2004,0
1120150_skandiahuset,2005,5
1120150_skandiahuset,2006,4
1120150_skandiahuset,2007,8
1120150_skandiahuset,2008,5
1120150_skandiahuset,2009,5
1120150_skandiahuset,2010,2
1120150_skandiahuset,2011,3
1120150_skandiahuset,2012,7
1120150_skandiahuset,2013,3
1120150_skandiahuset,2014,-5
1120210_kungsstenen,2000,-7
1120210_kungsstenen,2001,-9
1120210_kungsstenen,2002,-7
1120210_kungsstenen,2003,-10
1120210_kungsstenen,2004,7
1120210_kungsstenen,2005,13
1120210_kungsstenen,2006,15
1120210_kungsstenen,2007,34
1120210_kungsstenen,2008,54
1120210_kungsstenen,2009,71
1120210_kungsstenen,2010,76
1120210_kungsstenen,2011,69
1120210_kungsstenen,2012,55
1120210_kungsstenen,2013,43
1120210_kungsstenen,2014,18
1120220_saltmatargatan,2000,-1
1120220_saltmatargatan,2001,-3
1120220_saltmatargatan,2002,-6
1120220_saltmatargatan,2003,-4
1120220_saltmatargatan,2004,-5
1120220_saltmatargatan,2005,-1
1120220_saltmatargatan,2006,3
1120220_saltmatargatan,2007,3
1120220_saltmatargatan,2008,7
1120220_saltmatargatan,2009,12
1120220_saltmatargatan,2010,11
1120220_saltmatargatan,2011,5
1120220_saltmatargatan,2012,3
1120220_saltmatargatan,2013,-1
1120220_saltmatargatan,2014,-2
1120230_sjokatten,2000,8
1120230_sjokatten,2001,1
1120230_sjokatten,2002,-1
1120230_sjokatten,2003,7
1120230_sjokatten,2004,6
