basomrade,name,municipality,is--basomrade
4111110_norra_runby, Norra Runby,0114_upplands_vasby,TRUE
4111120_sodra_runby, Södra Runby,0114_upplands_vasby,TRUE
4111130_runby_lovsta, Runby Lövsta,0114_upplands_vasby,TRUE
4111140_prastgardsmarken, Prästgårdsmarken,0114_upplands_vasby,TRUE
4111900_eds_glesbygd, Eds glesbygd,0114_upplands_vasby,TRUE
4122100_lowenstromska_sjukhuset, Löwenströmska Sjukhuset,0114_upplands_vasby,TRUE
4122210_norra_vilunda, Norra Vilunda,0114_upplands_vasby,TRUE
4122230_apoteksskogen, Apoteksskogen,0114_upplands_vasby,TRUE
4122240_vasbyskogen, Väsbyskogen,0114_upplands_vasby,TRUE
4122310_korpkulla, Korpkulla,0114_upplands_vasby,TRUE
4122340_vilunda, Vilunda,0114_upplands_vasby,TRUE
4122420_norra_smedby, Norra Smedby,0114_upplands_vasby,TRUE
4122430_sodra_smedby, Södra Smedby,0114_upplands_vasby,TRUE
4122520_skalby, Skälby,0114_upplands_vasby,TRUE
4122530_carlslund, Carlslund,0114_upplands_vasby,TRUE
4122540_brunnby, Brunnby,0114_upplands_vasby,TRUE
4122600_vastra_odenslunda, Västra Odenslunda,0114_upplands_vasby,TRUE
4133110_sanda, Sanda,0114_upplands_vasby,TRUE
4133120_ostra_odenslunda, Östra Odenslunda,0114_upplands_vasby,TRUE
4133200_frestaby, Frestaby,0114_upplands_vasby,TRUE
4133310_vastra_bollstanas, Västra Bollstanäs,0114_upplands_vasby,TRUE
4133330_ostra_bollstanas, Östra Bollstanäs,0114_upplands_vasby,TRUE
4133350_sodra_bollstanas, Södra Bollstanäs,0114_upplands_vasby,TRUE
4133910_fresta_norra_glesbygd, Fresta norra glesbygd,0114_upplands_vasby,TRUE
4133920_fresta_sodra_glesbygd, Fresta södra glesbygd,0114_upplands_vasby,TRUE
4210110_centrala_vallentuna, Centrala Vallentuna,0115_vallentuna,TRUE
4210210_norra_vallentuna_tatort, Norra Vallentuna tätort,0115_vallentuna,TRUE
4210220_nv_a_vallentuna_tatort, NV:a Vallentuna tätort,0115_vallentuna,TRUE
4210320_ostra_ormsta, Östra Ormsta,0115_vallentuna,TRUE
4210330_vastra_ormsta, Västra Ormsta,0115_vallentuna,TRUE
4210340_aby_bostadsomr, Åby bostadsomr,0115_vallentuna,TRUE
4210410_vastra_ballsta, Västra Bällsta,0115_vallentuna,TRUE
4210420_kragstalund, Kragstalund,0115_vallentuna,TRUE
4210430_ballstaberg, Bällstaberg,0115_vallentuna,TRUE
4210440_okand,Okänd,0115_vallentuna,TRUE
4210510_vallentuna_glesbygd_v, Vallentuna glesbygd V,0115_vallentuna,TRUE
4210530_vallentuna_glesbygd_no, Vallentuna glesbygd NO,0115_vallentuna,TRUE
4210540_okand,Okänd,0115_vallentuna,TRUE
4220000_markims_forsamling, Markims församling,0115_vallentuna,TRUE
4230100_lindholmen, Lindholmen,0115_vallentuna,TRUE
4230500_okand,Okänd,0115_vallentuna,TRUE
4240000_frosunda_forsamling, Frösunda församling,0115_vallentuna,TRUE
4250100_karsta, Kårsta,0115_vallentuna,TRUE
4250200_ekskogen, Ekskogen,0115_vallentuna,TRUE
4250500_karsta_glesbygd, Kårsta glesbygd,0115_vallentuna,TRUE
4260500_vada_glesbygd, Vada glesbygd,0115_vallentuna,TRUE
4270100_karby, Karby,0115_vallentuna,TRUE
4270200_brottby, Brottby,0115_vallentuna,TRUE
4270501_ovr_osseby_garns_glesbygd, Övr Össeby-Garns glesbygd,0115_vallentuna,TRUE
4270502_algeby_garns_ekskogen, Älgeby/Garns-Ekskogen,0115_vallentuna,TRUE
4280000_angarns_forsamling, Angarns församling,0115_vallentuna,TRUE
4440110_ljustero, Ljusterö,0117_osteraker,TRUE
4440120_ingmarso_m_fl_oar, Ingmarsö m fl öar,0117_osteraker,TRUE
4440200_roslags_kulla_fd_forsaml, Roslags-Kulla fd församl,0117_osteraker,TRUE
4450110_ekbacken, Ekbacken,0117_osteraker,TRUE
4450120_runo_gard, Runö gård,0117_osteraker,TRUE
4450130_akersberga, Åkersberga,0117_osteraker,TRUE
4450140_kullen, Kullen,0117_osteraker,TRUE
4450150_ostra_sora, Östra Söra,0117_osteraker,TRUE
4450160_vastra_sora, Västra Söra,0117_osteraker,TRUE
4450170_neptunus, Neptunus,0117_osteraker,TRUE
4450180_kungsangen, Kungsängen,0117_osteraker,TRUE
4450190_tunagard_osterskar, Tunagård Österskär,0117_osteraker,TRUE
4450210_akerstorp, Åkerstorp,0117_osteraker,TRUE
