basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_male
3346200_skalby_gard,2011,0.23464
3346200_skalby_gard,2012,0.2329
3346200_skalby_gard,2013,0.23443
3346200_skalby_gard,2014,0.25044
3347300_jarfalla_kyrka,2000,0.31325
3347300_jarfalla_kyrka,2001,0.29762
3347300_jarfalla_kyrka,2002,0.31707
3347300_jarfalla_kyrka,2003,0.33333
3347300_jarfalla_kyrka,2004,0.31034
3347300_jarfalla_kyrka,2005,0.31707
3347300_jarfalla_kyrka,2006,0.32927
3347300_jarfalla_kyrka,2007,0.30328
3347300_jarfalla_kyrka,2008,0.32231
3347300_jarfalla_kyrka,2009,0.30631
3347300_jarfalla_kyrka,2010,0.32479
3347300_jarfalla_kyrka,2011,0.32759
3347300_jarfalla_kyrka,2012,0.34234
3347300_jarfalla_kyrka,2013,0.35965
3347300_jarfalla_kyrka,2014,0.37037
3347400_barkarby,2000,0.17439
3347400_barkarby,2001,0.17817
3347400_barkarby,2002,0.18404
3347400_barkarby,2003,0.18736
3347400_barkarby,2004,0.19773
3347400_barkarby,2005,0.18664
3347400_barkarby,2006,0.1758
3347400_barkarby,2007,0.19643
3347400_barkarby,2008,0.18652
3347400_barkarby,2009,0.17234
3347400_barkarby,2010,0.17026
3347400_barkarby,2011,0.17708
3347400_barkarby,2012,0.17745
3347400_barkarby,2013,0.1688
3347400_barkarby,2014,0.16849
3347500_barsbro,2000,0.30622
3347500_barsbro,2001,0.30986
3347500_barsbro,2002,0.30751
3347500_barsbro,2003,0.31481
3347500_barsbro,2004,0.32877
3347500_barsbro,2005,0.32809
3347500_barsbro,2006,0.32723
3347500_barsbro,2007,0.34163
3347500_barsbro,2008,0.36028
3347500_barsbro,2009,0.35333
3347500_barsbro,2010,0.36504
3347500_barsbro,2011,0.36422
3347500_barsbro,2012,0.36111
3347500_barsbro,2013,0.35244
3347500_barsbro,2014,0.36325
3210100_drottningholm,2000,0.38017
3210100_drottningholm,2001,0.35246
3210100_drottningholm,2002,0.33333
3210100_drottningholm,2003,0.36752
3210100_drottningholm,2004,0.375
3210100_drottningholm,2005,0.33929
3210100_drottningholm,2006,0.32759
3210100_drottningholm,2007,0.33663
3210100_drottningholm,2008,0.32692
3210100_drottningholm,2009,0.35789
3210100_drottningholm,2010,0.34043
3210100_drottningholm,2011,0.35632
3210100_drottningholm,2012,0.37234
3210100_drottningholm,2013,0.37895
3210100_drottningholm,2014,0.40449
3210500_lovo_glesbygd,2000,0.26573
3210500_lovo_glesbygd,2001,0.27007
3210500_lovo_glesbygd,2002,0.28767
3210500_lovo_glesbygd,2003,0.24828
3210500_lovo_glesbygd,2004,0.23649
3210500_lovo_glesbygd,2005,0.22819
3210500_lovo_glesbygd,2006,0.26087
3210500_lovo_glesbygd,2007,0.25325
3210500_lovo_glesbygd,2008,0.23226
3210500_lovo_glesbygd,2009,0.24828
3210500_lovo_glesbygd,2010,0.25658
3210500_lovo_glesbygd,2011,0.2585
3210500_lovo_glesbygd,2012,0.28477
3210500_lovo_glesbygd,2013,0.30769
3210500_lovo_glesbygd,2014,0.32927
3220101_tappstrom_narlunda,2000,0.28288
3220101_tappstrom_narlunda,2001,0.29038
3220101_tappstrom_narlunda,2002,0.30824
3220101_tappstrom_narlunda,2003,0.31485
3220101_tappstrom_narlunda,2004,0.30396
3220101_tappstrom_narlunda,2005,0.30944
3220101_tappstrom_narlunda,2006,0.30496
3220101_tappstrom_narlunda,2007,0.30265
3220101_tappstrom_narlunda,2008,0.30797
3220101_tappstrom_narlunda,2009,0.319
3220101_tappstrom_narlunda,2010,0.31495
3220101_tappstrom_narlunda,2011,0.31738
3220101_tappstrom_narlunda,2012,0.31475
3220101_tappstrom_narlunda,2013,0.31465
3220101_tappstrom_narlunda,2014,0.31738
3220102_ostra_narlunda,2000,0.27778
3220102_ostra_narlunda,2001,0.27193
3220102_ostra_narlunda,2002,0.26364
3220102_ostra_narlunda,2003,0.27273
3220102_ostra_narlunda,2004,0.28037
3220102_ostra_narlunda,2005,0.28283
3220102_ostra_narlunda,2006,0.30476
3220102_ostra_narlunda,2007,0.35714
3220102_ostra_narlunda,2008,0.31858
3220102_ostra_narlunda,2009,0.30172
3220102_ostra_narlunda,2010,0.27273
3220102_ostra_narlunda,2011,0.3
3220102_ostra_narlunda,2012,0.30556
3220102_ostra_narlunda,2013,0.32432
3220102_ostra_narlunda,2014,0.30508
3220103_ekero_centrum,2000,0.16488
3220103_ekero_centrum,2001,0.1569
3220103_ekero_centrum,2002,0.1587
3220103_ekero_centrum,2003,0.15766
3220103_ekero_centrum,2004,0.16084
3220103_ekero_centrum,2005,0.15385
3220103_ekero_centrum,2006,0.16465
3220103_ekero_centrum,2007,0.16346
3220103_ekero_centrum,2008,0.16792
3220103_ekero_centrum,2009,0.15762
3220103_ekero_centrum,2010,0.16364
3220103_ekero_centrum,2011,0.14737
3220103_ekero_centrum,2012,0.15325
3220103_ekero_centrum,2013,0.15345
3220103_ekero_centrum,2014,0.15441
3220211_alvnas,2000,0.29787
3220211_alvnas,2001,0.30714
3220211_alvnas,2002,0.33333
3220211_alvnas,2003,0.35374
3220211_alvnas,2004,0.35616
3220211_alvnas,2005,0.36486
3220211_alvnas,2006,0.38462
3220211_alvnas,2007,0.38125
3220211_alvnas,2008,0.39394
3220211_alvnas,2009,0.4
3220211_alvnas,2010,0.41358
3220211_alvnas,2011,0.39053
3220211_alvnas,2012,0.39884
3220211_alvnas,2013,0.37778
3220211_alvnas,2014,0.37056
3220212_brunna,2000,0.19892
3220212_brunna,2001,0.18994
3220212_brunna,2002,0.17391
3220212_brunna,2003,0.15957
3220212_brunna,2004,0.19101
3220212_brunna,2005,0.21512
3220212_brunna,2006,0.22905
3220212_brunna,2007,0.25731
3220212_brunna,2008,0.24138
3220212_brunna,2009,0.22652
3220212_brunna,2010,0.22599
3220212_brunna,2011,0.22989
3220212_brunna,2012,0.24444
3220212_brunna,2013,0.24194
3220212_brunna,2014,0.23404
3220230_knalleborg,2000,0.23724
3220230_knalleborg,2001,0.22606
3220230_knalleborg,2002,0.21237
3220230_knalleborg,2003,0.20891
3220230_knalleborg,2004,0.2095
3220230_knalleborg,2005,0.22222
3220230_knalleborg,2006,0.22515
3220230_knalleborg,2007,0.22796
3220230_knalleborg,2008,0.24138
3220230_knalleborg,2009,0.24516
3220230_knalleborg,2010,0.25166
3220230_knalleborg,2011,0.26797
3220230_knalleborg,2012,0.27
3220230_knalleborg,2013,0.27517
3220230_knalleborg,2014,0.28136
3220261_ostra_trakvista,2000,0.26705
3220261_ostra_trakvista,2001,0.26939
3220261_ostra_trakvista,2002,0.2766
3220261_ostra_trakvista,2003,0.28179
3220261_ostra_trakvista,2004,0.27557
3220261_ostra_trakvista,2005,0.27635
3220261_ostra_trakvista,2006,0.29868
3220261_ostra_trakvista,2007,0.3058
3220261_ostra_trakvista,2008,0.30669
3220261_ostra_trakvista,2009,0.30815
3220261_ostra_trakvista,2010,0.31751
3220261_ostra_trakvista,2011,0.32191
3220261_ostra_trakvista,2012,0.32541
3220261_ostra_trakvista,2013,0.32059
3220261_ostra_trakvista,2014,0.32514
3220262_gallsta_o,2000,0.18421
3220262_gallsta_o,2001,0.17105
3220262_gallsta_o,2002,0.1954
3220262_gallsta_o,2003,0.23232
3220262_gallsta_o,2004,0.30952
3220262_gallsta_o,2005,0.2924
3220262_gallsta_o,2006,0.32124
3220262_gallsta_o,2007,0.33824
3220262_gallsta_o,2008,0.36036
3220262_gallsta_o,2009,0.35426
3220262_gallsta_o,2010,0.36
3220262_gallsta_o,2011,0.38288
3220262_gallsta_o,2012,0.41333
3220262_gallsta_o,2013,0.42128
3220262_gallsta_o,2014,0.45494
3220270_sandudden,2000,0.34839
3220270_sandudden,2001,0.3522
3220270_sandudden,2002,0.39303
3220270_sandudden,2003,0.38835
3220270_sandudden,2004,0.41327
3220270_sandudden,2005,0.39691
3220270_sandudden,2006,0.37895
3220270_sandudden,2007,0.41489
3220270_sandudden,2008,0.39891
3220270_sandudden,2009,0.40465
3220270_sandudden,2010,0.39738
3220270_sandudden,2011,0.41636
3220270_sandudden,2012,0.42049
3220270_sandudden,2013,0.42857
3220270_sandudden,2014,0.43151
3220500_ekero_glesbygd,2000,0.1793
3220500_ekero_glesbygd,2001,0.19384
3220500_ekero_glesbygd,2002,0.20036
3220500_ekero_glesbygd,2003,0.20665
3220500_ekero_glesbygd,2004,0.2047
3220500_ekero_glesbygd,2005,0.20199
3220500_ekero_glesbygd,2006,0.20367
3220500_ekero_glesbygd,2007,0.20777
3220500_ekero_glesbygd,2008,0.21429
3220500_ekero_glesbygd,2009,0.22375
3220500_ekero_glesbygd,2010,0.23186
3220500_ekero_glesbygd,2011,0.22144
3220500_ekero_glesbygd,2012,0.20951
3220500_ekero_glesbygd,2013,0.21228
3220500_ekero_glesbygd,2014,0.22837
3230000_munso_forsamling,2000,0.06512
3230000_munso_forsamling,2001,0.07373
3230000_munso_forsamling,2002,0.06926
3230000_munso_forsamling,2003,0.0766
3230000_munso_forsamling,2004,0.09016
3230000_munso_forsamling,2005,0.08537
3230000_munso_forsamling,2006,0.08333
3230000_munso_forsamling,2007,0.09804
3230000_munso_forsamling,2008,0.0996
3230000_munso_forsamling,2009,0.11155
3230000_munso_forsamling,2010,0.10588
3230000_munso_forsamling,2011,0.11554
3230000_munso_forsamling,2012,0.11741
3230000_munso_forsamling,2013,0.11284
3230000_munso_forsamling,2014,0.11191
3240000_adelso_forsamling,2000,0.07576
3240000_adelso_forsamling,2001,0.0597
3240000_adelso_forsamling,2002,0.06468
3240000_adelso_forsamling,2003,0.06829
3240000_adelso_forsamling,2004,0.06699
3240000_adelso_forsamling,2005,0.06881
3240000_adelso_forsamling,2006,0.07273
3240000_adelso_forsamling,2007,0.07798
3240000_adelso_forsamling,2008,0.08559
3240000_adelso_forsamling,2009,0.0885
3240000_adelso_forsamling,2010,0.09211
3240000_adelso_forsamling,2011,0.07907
3240000_adelso_forsamling,2012,0.08636
3240000_adelso_forsamling,2013,0.11468
3240000_adelso_forsamling,2014,0.11872
3250100_farentuna_fd_forsaml,2000,0.12108
3250100_farentuna_fd_forsaml,2001,0.12115
3250100_farentuna_fd_forsaml,2002,0.12527
3250100_farentuna_fd_forsaml,2003,0.11864
3250100_farentuna_fd_forsaml,2004,0.11482
3250100_farentuna_fd_forsaml,2005,0.11765
3250100_farentuna_fd_forsaml,2006,0.12277
3250100_farentuna_fd_forsaml,2007,0.126
3250100_farentuna_fd_forsaml,2008,0.13253
3250100_farentuna_fd_forsaml,2009,0.14859
3250100_farentuna_fd_forsaml,2010,0.15735
3250100_farentuna_fd_forsaml,2011,0.15091
3250100_farentuna_fd_forsaml,2012,0.13849
3250100_farentuna_fd_forsaml,2013,0.13078
3250100_farentuna_fd_forsaml,2014,0.13618
3250201_hilleshogs_fd_forsaml,2000,0.133
3250201_hilleshogs_fd_forsaml,2001,0.15094
3250201_hilleshogs_fd_forsaml,2002,0.16432
3250201_hilleshogs_fd_forsaml,2003,0.15138
3250201_hilleshogs_fd_forsaml,2004,0.14747
3250201_hilleshogs_fd_forsaml,2005,0.14545
3250201_hilleshogs_fd_forsaml,2006,0.12876
3250201_hilleshogs_fd_forsaml,2007,0.14592
3250201_hilleshogs_fd_forsaml,2008,0.14932
3250201_hilleshogs_fd_forsaml,2009,0.16509
3250201_hilleshogs_fd_forsaml,2010,0.18386
3250201_hilleshogs_fd_forsaml,2011,0.20536
3250201_hilleshogs_fd_forsaml,2012,0.18483
3250201_hilleshogs_fd_forsaml,2013,0.17822
3250201_hilleshogs_fd_forsaml,2014,0.16749
3250202_ricksattra,2000,0.15385
3250202_ricksattra,2001,0.19048
3250202_ricksattra,2002,0.18605
3250202_ricksattra,2003,0.18182
3250202_ricksattra,2004,0.19565
3250202_ricksattra,2005,0.20833
3250202_ricksattra,2006,0.20833
3250202_ricksattra,2007,0.20455
3250202_ricksattra,2008,0.2
3250202_ricksattra,2009,0.23404
3250202_ricksattra,2010,0.19231
3250202_ricksattra,2011,0.21277
3250202_ricksattra,2012,0.20833
3250202_ricksattra,2013,0.22
3250202_ricksattra,2014,0.23913
3250310_stenhamra,2000,0.14086
3250310_stenhamra,2001,0.14118
3250310_stenhamra,2002,0.14591
3250310_stenhamra,2003,0.14573
3250310_stenhamra,2004,0.15067
3250310_stenhamra,2005,0.15271
3250310_stenhamra,2006,0.15822
3250310_stenhamra,2007,0.15328
3250310_stenhamra,2008,0.15337
3250310_stenhamra,2009,0.15356
3250310_stenhamra,2010,0.14787
3250310_stenhamra,2011,0.15583
3250310_stenhamra,2012,0.15783
3250310_stenhamra,2013,0.16566
3250310_stenhamra,2014,0.17163
3250320_sanga_glesbygd,2000,0.15556
3250320_sanga_glesbygd,2001,0.163
3250320_sanga_glesbygd,2002,0.15721
3250320_sanga_glesbygd,2003,0.17105
3250320_sanga_glesbygd,2004,0.16807
3250320_sanga_glesbygd,2005,0.175
3250320_sanga_glesbygd,2006,0.16935
3250320_sanga_glesbygd,2007,0.175
3250320_sanga_glesbygd,2008,0.175
3250320_sanga_glesbygd,2009,0.17155
3250320_sanga_glesbygd,2010,0.18548
3250320_sanga_glesbygd,2011,0.18725
3250320_sanga_glesbygd,2012,0.16538
3250320_sanga_glesbygd,2013,0.18327
3250320_sanga_glesbygd,2014,0.20319
3250400_ska_fd_forsaml,2000,0.1196
3250400_ska_fd_forsaml,2001,0.12179
3250400_ska_fd_forsaml,2002,0.1442
3250400_ska_fd_forsaml,2003,0.15
3250400_ska_fd_forsaml,2004,0.14907
3250400_ska_fd_forsaml,2005,0.16082
3250400_ska_fd_forsaml,2006,0.14956
3250400_ska_fd_forsaml,2007,0.1506
3250400_ska_fd_forsaml,2008,0.16923
3250400_ska_fd_forsaml,2009,0.2006
3250400_ska_fd_forsaml,2010,0.2069
3250400_ska_fd_forsaml,2011,0.21186
3250400_ska_fd_forsaml,2012,0.20436
3250400_ska_fd_forsaml,2013,0.20403
3250400_ska_fd_forsaml,2014,0.21667
5310420_skogsang_milsten,2000,0.22936
5310420_skogsang_milsten,2001,0.24065
5310420_skogsang_milsten,2002,0.25345
5310420_skogsang_milsten,2003,0.25712
5310420_skogsang_milsten,2004,0.26284
5310420_skogsang_milsten,2005,0.27194
5310420_skogsang_milsten,2006,0.28007
5310420_skogsang_milsten,2007,0.28049
5310420_skogsang_milsten,2008,0.28521
5310420_skogsang_milsten,2009,0.28608
5310420_skogsang_milsten,2010,0.29495
5310420_skogsang_milsten,2011,0.30769
5310420_skogsang_milsten,2012,0.30983
5310420_skogsang_milsten,2013,0.31223
5310420_skogsang_milsten,2014,0.3231
5310810_fullersta_gard,2000,0.20361
5310810_fullersta_gard,2001,0.1974
5310810_fullersta_gard,2002,0.19677
5310810_fullersta_gard,2003,0.20159
5310810_fullersta_gard,2004,0.20428
5310810_fullersta_gard,2005,0.20531
5310810_fullersta_gard,2006,0.19756
5310810_fullersta_gard,2007,0.21078
5310810_fullersta_gard,2008,0.21205
5310810_fullersta_gard,2009,0.22167
5310810_fullersta_gard,2010,0.21867
5310810_fullersta_gard,2011,0.20903
5310810_fullersta_gard,2012,0.20624
5310810_fullersta_gard,2013,0.22727
5310810_fullersta_gard,2014,0.22488
5310830_fridhem,2000,0.21149
5310830_fridhem,2001,0.22917
5310830_fridhem,2002,0.22781
5310830_fridhem,2003,0.22751
5310830_fridhem,2004,0.23639
5310830_fridhem,2005,0.23606
5310830_fridhem,2006,0.2474
5310830_fridhem,2007,0.24387
5310830_fridhem,2008,0.25361
5310830_fridhem,2009,0.26261
5310830_fridhem,2010,0.27078
5310830_fridhem,2011,0.27064
5310830_fridhem,2012,0.27732
5310830_fridhem,2013,0.2748
5310830_fridhem,2014,0.28054
5310840_kallbrink_vistaberg,2000,0.19171
5310840_kallbrink_vistaberg,2001,0.18385
5310840_kallbrink_vistaberg,2002,0.19185
5310840_kallbrink_vistaberg,2003,0.19257
5310840_kallbrink_vistaberg,2004,0.20436
5310840_kallbrink_vistaberg,2005,0.21298
5310840_kallbrink_vistaberg,2006,0.22204
5310840_kallbrink_vistaberg,2007,0.22712
5310840_kallbrink_vistaberg,2008,0.27415
5310840_kallbrink_vistaberg,2009,0.2809
5310840_kallbrink_vistaberg,2010,0.30046
5310840_kallbrink_vistaberg,2011,0.31741
5310840_kallbrink_vistaberg,2012,0.34353
5310840_kallbrink_vistaberg,2013,0.34738
5310840_kallbrink_vistaberg,2014,0.36011
5310850_vardkasen,2000,0.13609
5310850_vardkasen,2001,0.13333
5310850_vardkasen,2002,0.13714
5310850_vardkasen,2003,0.15429
5310850_vardkasen,2004,0.16766
5310850_vardkasen,2005,0.16564
5310850_vardkasen,2006,0.16471
5310850_vardkasen,2007,0.17391
5310850_vardkasen,2008,0.2
5310850_vardkasen,2009,0.19892
5310850_vardkasen,2010,0.19672
5310850_vardkasen,2011,0.20652
5310850_vardkasen,2012,0.21579
5310850_vardkasen,2013,0.23196
5310850_vardkasen,2014,0.25551
5310910_sjodalen_huddinge_c,2000,0.13011
5310910_sjodalen_huddinge_c,2001,0.13648
5310910_sjodalen_huddinge_c,2002,0.14131
5310910_sjodalen_huddinge_c,2003,0.14175
5310910_sjodalen_huddinge_c,2004,0.14062
5310910_sjodalen_huddinge_c,2005,0.131
5310910_sjodalen_huddinge_c,2006,0.12884
5310910_sjodalen_huddinge_c,2007,0.14634
5310910_sjodalen_huddinge_c,2008,0.15419
5310910_sjodalen_huddinge_c,2009,0.15055
5310910_sjodalen_huddinge_c,2010,0.14441
5310910_sjodalen_huddinge_c,2011,0.15713
5310910_sjodalen_huddinge_c,2012,0.15634
5310910_sjodalen_huddinge_c,2013,0.16597
5310910_sjodalen_huddinge_c,2014,0.16157
5310941_solgard,2000,0.17967
5310941_solgard,2001,0.19672
5310941_solgard,2002,0.19858
5310941_solgard,2003,0.18695
5310941_solgard,2004,0.18246
5310941_solgard,2005,0.2
5310941_solgard,2006,0.20459
5310941_solgard,2007,0.21793
5310941_solgard,2008,0.23311
5310941_solgard,2009,0.23448
5310941_solgard,2010,0.23156
5310941_solgard,2011,0.2517
5310941_solgard,2012,0.2534
5310941_solgard,2013,0.26207
5310941_solgard,2014,0.25214
5310942_sorskogen,2000,0.23684
5310942_sorskogen,2001,0.2346
5310942_sorskogen,2002,0.2381
5310942_sorskogen,2003,0.24
5310942_sorskogen,2004,0.24051
5310942_sorskogen,2005,0.24601
5310942_sorskogen,2006,0.26214
5310942_sorskogen,2007,0.23734
5310942_sorskogen,2008,0.23839
5310942_sorskogen,2009,0.22642
5310942_sorskogen,2010,0.23125
5310942_sorskogen,2011,0.23301
5310942_sorskogen,2012,0.22045
5310942_sorskogen,2013,0.22403
5310942_sorskogen,2014,0.24367
5310950_horningsnas_balingsnas,2000,0.16691
5310950_horningsnas_balingsnas,2001,0.17621
5310950_horningsnas_balingsnas,2002,0.18062
5310950_horningsnas_balingsnas,2003,0.18813
5310950_horningsnas_balingsnas,2004,0.20029
5310950_horningsnas_balingsnas,2005,0.20876
5310950_horningsnas_balingsnas,2006,0.20195
5310950_horningsnas_balingsnas,2007,0.20845
5310950_horningsnas_balingsnas,2008,0.22162
5310950_horningsnas_balingsnas,2009,0.21854
5310950_horningsnas_balingsnas,2010,0.22572
5310950_horningsnas_balingsnas,2011,0.2554
5310950_horningsnas_balingsnas,2012,0.26683
5310950_horningsnas_balingsnas,2013,0.27427
5310950_horningsnas_balingsnas,2014,0.2838
5311010_stuvsta_kvarnberget,2000,0.1
5311010_stuvsta_kvarnberget,2001,0.10469
5311010_stuvsta_kvarnberget,2002,0.12044
5311010_stuvsta_kvarnberget,2003,0.09924
5311010_stuvsta_kvarnberget,2004,0.09924
5311010_stuvsta_kvarnberget,2005,0.08846
5311010_stuvsta_kvarnberget,2006,0.09818
5311010_stuvsta_kvarnberget,2007,0.10584
5311010_stuvsta_kvarnberget,2008,0.12027
5311010_stuvsta_kvarnberget,2009,0.11986
5311010_stuvsta_kvarnberget,2010,0.14626
5311010_stuvsta_kvarnberget,2011,0.15203
5311010_stuvsta_kvarnberget,2012,0.15674
5311010_stuvsta_kvarnberget,2013,0.14243
5311010_stuvsta_kvarnberget,2014,0.13953
5311030_segersminne,2000,0.21418
5311030_segersminne,2001,0.22576
5311030_segersminne,2002,0.22975
5311030_segersminne,2003,0.23131
5311030_segersminne,2004,0.23891
5311030_segersminne,2005,0.25685
5311030_segersminne,2006,0.26232
5311030_segersminne,2007,0.2684
5311030_segersminne,2008,0.26183
5311030_segersminne,2009,0.26996
5311030_segersminne,2010,0.28047
5311030_segersminne,2011,0.29866
5311030_segersminne,2012,0.30321
5311030_segersminne,2013,0.31517
5311030_segersminne,2014,0.33188
5311041_stensangen_hogmora,2000,0.14518
5311041_stensangen_hogmora,2001,0.14698
5311041_stensangen_hogmora,2002,0.14918
5311041_stensangen_hogmora,2003,0.15144
5311041_stensangen_hogmora,2004,0.15796
5311041_stensangen_hogmora,2005,0.16237
5311041_stensangen_hogmora,2006,0.1656
5311041_stensangen_hogmora,2007,0.18922
5311041_stensangen_hogmora,2008,0.1969
5311041_stensangen_hogmora,2009,0.20449
5311041_stensangen_hogmora,2010,0.21127
5311041_stensangen_hogmora,2011,0.2147
5311041_stensangen_hogmora,2012,0.21864
5311041_stensangen_hogmora,2013,0.22432
5311041_stensangen_hogmora,2014,0.23059
5311042_kynas,2000,0.19695
5311042_kynas,2001,0.19978
5311042_kynas,2002,0.19397
5311042_kynas,2003,0.19393
5311042_kynas,2004,0.19351
5311042_kynas,2005,0.20638
5311042_kynas,2006,0.20708
5311042_kynas,2007,0.2268
5311042_kynas,2008,0.23701
5311042_kynas,2009,0.25026
5311042_kynas,2010,0.25646
5311042_kynas,2011,0.25896
5311042_kynas,2012,0.26186
5311042_kynas,2013,0.27133
5311042_kynas,2014,0.26876
5311110_glado_kvarn,2000,0.03896
5311110_glado_kvarn,2001,0.05455
5311110_glado_kvarn,2002,0.05
5311110_glado_kvarn,2003,0.05435
5311110_glado_kvarn,2004,0.05085
5311110_glado_kvarn,2005,0.06077
5311110_glado_kvarn,2006,0.08021
5311110_glado_kvarn,2007,0.09677
5311110_glado_kvarn,2008,0.08081
5311110_glado_kvarn,2009,0.075
5311110_glado_kvarn,2010,0.06944
5311110_glado_kvarn,2011,0.07907
5311110_glado_kvarn,2012,0.0885
5311110_glado_kvarn,2013,0.06726
5311110_glado_kvarn,2014,0.08407
5311120_adran,2000,0.04
5311120_adran,2001,0.08235
5311120_adran,2002,0.07429
5311120_adran,2003,0.06452
5311120_adran,2004,0.06557
5311120_adran,2005,0.0625
5311120_adran,2006,0.05025
5311120_adran,2007,0.06566
5311120_adran,2008,0.07109
5311120_adran,2009,0.08257
5311120_adran,2010,0.07692
5311120_adran,2011,0.08333
5311120_adran,2012,0.06278
5311120_adran,2013,0.05439
5311120_adran,2014,0.07173
5320110_trangsunds_centrum,2000,0.11024
5320110_trangsunds_centrum,2001,0.12342
5320110_trangsunds_centrum,2002,0.13312
5320110_trangsunds_centrum,2003,0.13684
5320110_trangsunds_centrum,2004,0.12815
5320110_trangsunds_centrum,2005,0.13462
5320110_trangsunds_centrum,2006,0.13661
5320110_trangsunds_centrum,2007,0.13377
5320110_trangsunds_centrum,2008,0.14811
5320110_trangsunds_centrum,2009,0.14513
5320110_trangsunds_centrum,2010,0.13001
5320110_trangsunds_centrum,2011,0.13592
5320110_trangsunds_centrum,2012,0.14107
5320110_trangsunds_centrum,2013,0.1536
5320110_trangsunds_centrum,2014,0.15053
5320120_trangsunds_smahus,2000,0.21318
5320120_trangsunds_smahus,2001,0.22848
5320120_trangsunds_smahus,2002,0.23972
5320120_trangsunds_smahus,2003,0.24038
5320120_trangsunds_smahus,2004,0.24806
5320120_trangsunds_smahus,2005,0.25057
5320120_trangsunds_smahus,2006,0.25848
5320120_trangsunds_smahus,2007,0.26268
5320120_trangsunds_smahus,2008,0.26762
5320120_trangsunds_smahus,2009,0.27179
5320120_trangsunds_smahus,2010,0.28698
5320120_trangsunds_smahus,2011,0.29795
5320120_trangsunds_smahus,2012,0.30043
5320120_trangsunds_smahus,2013,0.29587
5320120_trangsunds_smahus,2014,0.30385
5320310_vastra_skogas,2000,0.09319
5320310_vastra_skogas,2001,0.09373
5320310_vastra_skogas,2002,0.09288
5320310_vastra_skogas,2003,0.09268
5320310_vastra_skogas,2004,0.10247
5320310_vastra_skogas,2005,0.09527
5320310_vastra_skogas,2006,0.10203
5320310_vastra_skogas,2007,0.11317
5320310_vastra_skogas,2008,0.10616
5320310_vastra_skogas,2009,0.10393
5320310_vastra_skogas,2010,0.1113
5320310_vastra_skogas,2011,0.1212
5320310_vastra_skogas,2012,0.12783
5320310_vastra_skogas,2013,0.14331
5320310_vastra_skogas,2014,0.13969
5320320_ostra_skogas,2000,0.139
5320320_ostra_skogas,2001,0.14503
5320320_ostra_skogas,2002,0.15028
5320320_ostra_skogas,2003,0.15634
5320320_ostra_skogas,2004,0.15621
5320320_ostra_skogas,2005,0.17084
5320320_ostra_skogas,2006,0.1703
5320320_ostra_skogas,2007,0.17364
5320320_ostra_skogas,2008,0.17256
5320320_ostra_skogas,2009,0.18425
5320320_ostra_skogas,2010,0.19435
5320320_ostra_skogas,2011,0.19504
5320320_ostra_skogas,2012,0.20784
5320320_ostra_skogas,2013,0.2007
5320320_ostra_skogas,2014,0.20616
5320410_lanna_drevviken,2000,0.10381
5320410_lanna_drevviken,2001,0.14201
5320410_lanna_drevviken,2002,0.14674
5320410_lanna_drevviken,2003,0.15762
5320410_lanna_drevviken,2004,0.16
5320410_lanna_drevviken,2005,0.16038
5320410_lanna_drevviken,2006,0.16704
5320410_lanna_drevviken,2007,0.17421
5320410_lanna_drevviken,2008,0.1766
5320410_lanna_drevviken,2009,0.17391
5320410_lanna_drevviken,2010,0.16738
5320410_lanna_drevviken,2011,0.17686
5320410_lanna_drevviken,2012,0.1797
5320410_lanna_drevviken,2013,0.19328
5320410_lanna_drevviken,2014,0.17544
5320510_trangsunds_glesbygd,2000,0.11765
5320510_trangsunds_glesbygd,2001,0.12143
5320510_trangsunds_glesbygd,2002,0.15328
5320510_trangsunds_glesbygd,2003,0.10949
5320510_trangsunds_glesbygd,2004,0.14667
5320510_trangsunds_glesbygd,2005,0.15132
5320510_trangsunds_glesbygd,2006,0.15625
5320510_trangsunds_glesbygd,2007,0.18129
5320510_trangsunds_glesbygd,2008,0.18235
5320510_trangsunds_glesbygd,2009,0.17964
5320510_trangsunds_glesbygd,2010,0.19318
5320510_trangsunds_glesbygd,2011,0.2
5320510_trangsunds_glesbygd,2012,0.1978
5320510_trangsunds_glesbygd,2013,0.20541
5320510_trangsunds_glesbygd,2014,0.20725
5320520_vidja,2000,0.03902
5320520_vidja,2001,0.03846
5320520_vidja,2002,0.05023
5320520_vidja,2003,0.04741
5320520_vidja,2004,0.05957
5320520_vidja,2005,0.07725
5320520_vidja,2006,0.09483
5320520_vidja,2007,0.08658
5320520_vidja,2008,0.08547
5320520_vidja,2009,0.08511
5320520_vidja,2010,0.08621
5320520_vidja,2011,0.08889
5320520_vidja,2012,0.07207
5320520_vidja,2013,0.07792
5320520_vidja,2014,0.06452
5330110_varby_gard,2000,0.11642
5330110_varby_gard,2001,0.12558
5330110_varby_gard,2002,0.12306
5330110_varby_gard,2003,0.12249
5330110_varby_gard,2004,0.11735
5330110_varby_gard,2005,0.11848
5330110_varby_gard,2006,0.11533
5330110_varby_gard,2007,0.11969
5330110_varby_gard,2008,0.11667
5330110_varby_gard,2009,0.12045
5330110_varby_gard,2010,0.12217
5330110_varby_gard,2011,0.12779
5330110_varby_gard,2012,0.13363
5330110_varby_gard,2013,0.1333
5330110_varby_gard,2014,0.1397
5330200_masmo,2000,0.11774
