basomrade,year,population_20xx_12_31_female
4122340_vilunda,2008,963
4122340_vilunda,2009,948
4122340_vilunda,2010,982
4122340_vilunda,2011,1006
4122340_vilunda,2012,1016
4122340_vilunda,2013,1018
4122340_vilunda,2014,960
4122420_norra_smedby,2000,1888
4122420_norra_smedby,2001,1870
4122420_norra_smedby,2002,1828
4122420_norra_smedby,2003,1796
4122420_norra_smedby,2004,1786
4122420_norra_smedby,2005,1779
4122420_norra_smedby,2006,1738
4122420_norra_smedby,2007,1723
4122420_norra_smedby,2008,1757
4122420_norra_smedby,2009,1804
4122420_norra_smedby,2010,1865
4122420_norra_smedby,2011,1869
4122420_norra_smedby,2012,1920
4122420_norra_smedby,2013,1978
4122420_norra_smedby,2014,2014
4122430_sodra_smedby,2000,400
4122430_sodra_smedby,2001,404
4122430_sodra_smedby,2002,403
4122430_sodra_smedby,2003,401
4122430_sodra_smedby,2004,394
4122430_sodra_smedby,2005,389
4122430_sodra_smedby,2006,383
4122430_sodra_smedby,2007,380
4122430_sodra_smedby,2008,375
4122430_sodra_smedby,2009,367
4122430_sodra_smedby,2010,366
4122430_sodra_smedby,2011,354
4122430_sodra_smedby,2012,341
4122430_sodra_smedby,2013,350
4122430_sodra_smedby,2014,352
4122520_skalby,2000,562
4122520_skalby,2001,566
4122520_skalby,2002,566
4122520_skalby,2003,567
4122520_skalby,2004,558
4122520_skalby,2005,561
4122520_skalby,2006,553
4122520_skalby,2007,549
4122520_skalby,2008,537
4122520_skalby,2009,523
4122520_skalby,2010,556
4122520_skalby,2011,567
4122520_skalby,2012,576
4122520_skalby,2013,585
4122520_skalby,2014,586
4122530_carlslund,2000,714
4122530_carlslund,2001,716
4122530_carlslund,2002,708
4122530_carlslund,2003,705
4122530_carlslund,2004,667
4122530_carlslund,2005,668
4122530_carlslund,2006,743
4122530_carlslund,2007,761
4122530_carlslund,2008,746
4122530_carlslund,2009,772
4122530_carlslund,2010,857
4122530_carlslund,2011,913
4122530_carlslund,2012,938
4122530_carlslund,2013,997
4122530_carlslund,2014,1060
4122540_brunnby,2000,445
4122540_brunnby,2001,457
4122540_brunnby,2002,468
4122540_brunnby,2003,466
4122540_brunnby,2004,477
4122540_brunnby,2005,480
4122540_brunnby,2006,498
4122540_brunnby,2007,484
4122540_brunnby,2008,500
4122540_brunnby,2009,490
4122540_brunnby,2010,489
4122540_brunnby,2011,480
4122540_brunnby,2012,488
4122540_brunnby,2013,482
4122540_brunnby,2014,468
4122600_vastra_odenslunda,2000,610
4122600_vastra_odenslunda,2001,617
4122600_vastra_odenslunda,2002,610
4122600_vastra_odenslunda,2003,602
4122600_vastra_odenslunda,2004,623
4122600_vastra_odenslunda,2005,625
4122600_vastra_odenslunda,2006,633
4122600_vastra_odenslunda,2007,655
4122600_vastra_odenslunda,2008,653
4122600_vastra_odenslunda,2009,651
4122600_vastra_odenslunda,2010,649
4122600_vastra_odenslunda,2011,655
4122600_vastra_odenslunda,2012,660
4122600_vastra_odenslunda,2013,663
4122600_vastra_odenslunda,2014,671
4133110_sanda,2000,11
4133110_sanda,2001,13
4133110_sanda,2002,12
4133110_sanda,2003,8
4133110_sanda,2004,29
4133110_sanda,2005,21
4133110_sanda,2006,21
4133110_sanda,2007,18
4133110_sanda,2008,75
4133110_sanda,2009,181
4133110_sanda,2010,217
4133110_sanda,2011,252
4133110_sanda,2012,313
4133110_sanda,2013,355
4133110_sanda,2014,379
4133120_ostra_odenslunda,2000,853
4133120_ostra_odenslunda,2001,849
4133120_ostra_odenslunda,2002,827
4133120_ostra_odenslunda,2003,831
4133120_ostra_odenslunda,2004,865
4133120_ostra_odenslunda,2005,918
4133120_ostra_odenslunda,2006,904
4133120_ostra_odenslunda,2007,910
4133120_ostra_odenslunda,2008,904
4133120_ostra_odenslunda,2009,921
4133120_ostra_odenslunda,2010,905
4133120_ostra_odenslunda,2011,926
4133120_ostra_odenslunda,2012,937
4133120_ostra_odenslunda,2013,923
4133120_ostra_odenslunda,2014,929
4133200_frestaby,2000,867
4133200_frestaby,2001,840
4133200_frestaby,2002,845
4133200_frestaby,2003,833
4133200_frestaby,2004,832
4133200_frestaby,2005,837
4133200_frestaby,2006,852
4133200_frestaby,2007,922
4133200_frestaby,2008,917
4133200_frestaby,2009,936
4133200_frestaby,2010,928
4133200_frestaby,2011,952
4133200_frestaby,2012,943
4133200_frestaby,2013,949
4133200_frestaby,2014,972
4133310_vastra_bollstanas,2000,763
4133310_vastra_bollstanas,2001,754
4133310_vastra_bollstanas,2002,745
4133310_vastra_bollstanas,2003,725
4133310_vastra_bollstanas,2004,726
4133310_vastra_bollstanas,2005,740
4133310_vastra_bollstanas,2006,740
4133310_vastra_bollstanas,2007,744
4133310_vastra_bollstanas,2008,758
4133310_vastra_bollstanas,2009,760
4133310_vastra_bollstanas,2010,772
4133310_vastra_bollstanas,2011,763
4133310_vastra_bollstanas,2012,781
4133310_vastra_bollstanas,2013,781
4133310_vastra_bollstanas,2014,787
4133330_ostra_bollstanas,2000,1859
4133330_ostra_bollstanas,2001,1823
4133330_ostra_bollstanas,2002,1861
4133330_ostra_bollstanas,2003,1884
4133330_ostra_bollstanas,2004,1895
4133330_ostra_bollstanas,2005,1927
4133330_ostra_bollstanas,2006,1967
4133330_ostra_bollstanas,2007,1929
4133330_ostra_bollstanas,2008,1920
4133330_ostra_bollstanas,2009,1915
4133330_ostra_bollstanas,2010,1938
4133330_ostra_bollstanas,2011,1950
4133330_ostra_bollstanas,2012,1956
4133330_ostra_bollstanas,2013,1953
4133330_ostra_bollstanas,2014,1952
4133350_sodra_bollstanas,2000,574
4133350_sodra_bollstanas,2001,608
4133350_sodra_bollstanas,2002,608
4133350_sodra_bollstanas,2003,617
4133350_sodra_bollstanas,2004,654
4133350_sodra_bollstanas,2005,668
4133350_sodra_bollstanas,2006,679
4133350_sodra_bollstanas,2007,678
4133350_sodra_bollstanas,2008,670
4133350_sodra_bollstanas,2009,669
4133350_sodra_bollstanas,2010,692
4133350_sodra_bollstanas,2011,685
4133350_sodra_bollstanas,2012,669
4133350_sodra_bollstanas,2013,670
4133350_sodra_bollstanas,2014,680
4133910_fresta_norra_glesbygd,2000,164
4133910_fresta_norra_glesbygd,2001,175
4133910_fresta_norra_glesbygd,2002,194
4133910_fresta_norra_glesbygd,2003,225
4133910_fresta_norra_glesbygd,2004,235
4133910_fresta_norra_glesbygd,2005,244
4133910_fresta_norra_glesbygd,2006,248
4133910_fresta_norra_glesbygd,2007,252
4133910_fresta_norra_glesbygd,2008,268
4133910_fresta_norra_glesbygd,2009,261
4133910_fresta_norra_glesbygd,2010,255
4133910_fresta_norra_glesbygd,2011,255
4133910_fresta_norra_glesbygd,2012,260
4133910_fresta_norra_glesbygd,2013,260
4133910_fresta_norra_glesbygd,2014,258
4133920_fresta_sodra_glesbygd,2000,62
4133920_fresta_sodra_glesbygd,2001,63
4133920_fresta_sodra_glesbygd,2002,64
4133920_fresta_sodra_glesbygd,2003,65
4133920_fresta_sodra_glesbygd,2004,79
4133920_fresta_sodra_glesbygd,2005,78
4133920_fresta_sodra_glesbygd,2006,73
4133920_fresta_sodra_glesbygd,2007,84
4133920_fresta_sodra_glesbygd,2008,82
4133920_fresta_sodra_glesbygd,2009,78
4133920_fresta_sodra_glesbygd,2010,75
4133920_fresta_sodra_glesbygd,2011,83
4133920_fresta_sodra_glesbygd,2012,92
4133920_fresta_sodra_glesbygd,2013,86
4133920_fresta_sodra_glesbygd,2014,82
4210110_centrala_vallentuna,2000,1738
4210110_centrala_vallentuna,2001,1730
4210110_centrala_vallentuna,2002,1774
4210110_centrala_vallentuna,2003,1781
4210110_centrala_vallentuna,2004,1753
4210110_centrala_vallentuna,2005,1755
4210110_centrala_vallentuna,2006,1767
4210110_centrala_vallentuna,2007,1747
4210110_centrala_vallentuna,2008,1795
4210110_centrala_vallentuna,2009,1739
4210110_centrala_vallentuna,2010,1766
4210110_centrala_vallentuna,2011,1754
4210110_centrala_vallentuna,2012,1799
4210110_centrala_vallentuna,2013,1816
4210110_centrala_vallentuna,2014,1818
4210210_norra_vallentuna_tatort,2000,1101
4210210_norra_vallentuna_tatort,2001,1150
4210210_norra_vallentuna_tatort,2002,1139
4210210_norra_vallentuna_tatort,2003,1135
4210210_norra_vallentuna_tatort,2004,1147
4210210_norra_vallentuna_tatort,2005,1148
4210210_norra_vallentuna_tatort,2006,1144
4210210_norra_vallentuna_tatort,2007,1133
4210210_norra_vallentuna_tatort,2008,1114
4210210_norra_vallentuna_tatort,2009,1102
4210210_norra_vallentuna_tatort,2010,1131
4210210_norra_vallentuna_tatort,2011,1130
4210210_norra_vallentuna_tatort,2012,1120
4210210_norra_vallentuna_tatort,2013,1087
4210210_norra_vallentuna_tatort,2014,1085
4210220_nv_a_vallentuna_tatort,2000,826
4210220_nv_a_vallentuna_tatort,2001,831
4210220_nv_a_vallentuna_tatort,2002,824
4210220_nv_a_vallentuna_tatort,2003,836
4210220_nv_a_vallentuna_tatort,2004,860
4210220_nv_a_vallentuna_tatort,2005,852
4210220_nv_a_vallentuna_tatort,2006,877
4210220_nv_a_vallentuna_tatort,2007,963
4210220_nv_a_vallentuna_tatort,2008,1047
4210220_nv_a_vallentuna_tatort,2009,1123
4210220_nv_a_vallentuna_tatort,2010,1184
4210220_nv_a_vallentuna_tatort,2011,1201
4210220_nv_a_vallentuna_tatort,2012,1256
4210220_nv_a_vallentuna_tatort,2013,1267
4210220_nv_a_vallentuna_tatort,2014,1307
4210320_ostra_ormsta,2000,886
4210320_ostra_ormsta,2001,936
4210320_ostra_ormsta,2002,927
4210320_ostra_ormsta,2003,942
4210320_ostra_ormsta,2004,933
4210320_ostra_ormsta,2005,916
4210320_ostra_ormsta,2006,920
4210320_ostra_ormsta,2007,923
4210320_ostra_ormsta,2008,954
4210320_ostra_ormsta,2009,953
4210320_ostra_ormsta,2010,978
4210320_ostra_ormsta,2011,988
4210320_ostra_ormsta,2012,990
4210320_ostra_ormsta,2013,1008
4210320_ostra_ormsta,2014,1020
4210330_vastra_ormsta,2000,834
4210330_vastra_ormsta,2001,817
4210330_vastra_ormsta,2002,812
4210330_vastra_ormsta,2003,812
4210330_vastra_ormsta,2004,803
4210330_vastra_ormsta,2005,804
4210330_vastra_ormsta,2006,824
4210330_vastra_ormsta,2007,806
4210330_vastra_ormsta,2008,811
4210330_vastra_ormsta,2009,801
4210330_vastra_ormsta,2010,825
4210330_vastra_ormsta,2011,831
4210330_vastra_ormsta,2012,797
4210330_vastra_ormsta,2013,813
4210330_vastra_ormsta,2014,818
4210340_aby_bostadsomr,2000,467
4210340_aby_bostadsomr,2001,483
4210340_aby_bostadsomr,2002,474
4210340_aby_bostadsomr,2003,454
4210340_aby_bostadsomr,2004,467
4210340_aby_bostadsomr,2005,473
4210340_aby_bostadsomr,2006,458
4210340_aby_bostadsomr,2007,454
4210340_aby_bostadsomr,2008,449
4210340_aby_bostadsomr,2009,465
4210340_aby_bostadsomr,2010,529
4210340_aby_bostadsomr,2011,564
4210340_aby_bostadsomr,2012,571
4210340_aby_bostadsomr,2013,575
4210340_aby_bostadsomr,2014,572
4210410_vastra_ballsta,2000,1148
4210410_vastra_ballsta,2001,1167
4210410_vastra_ballsta,2002,1233
4210410_vastra_ballsta,2003,1260
4210410_vastra_ballsta,2004,1262
4210410_vastra_ballsta,2005,1273
4210410_vastra_ballsta,2006,1310
4210410_vastra_ballsta,2007,1299
4210410_vastra_ballsta,2008,1299
4210410_vastra_ballsta,2009,1325
4210410_vastra_ballsta,2010,1410
4210410_vastra_ballsta,2011,1480
4210410_vastra_ballsta,2012,1518
4210410_vastra_ballsta,2013,1520
4210410_vastra_ballsta,2014,1569
4210420_kragstalund,2000,744
4210420_kragstalund,2001,754
4210420_kragstalund,2002,772
4210420_kragstalund,2003,831
4210420_kragstalund,2004,921
4210420_kragstalund,2005,1090
4210420_kragstalund,2006,1171
4210420_kragstalund,2007,1249
4210420_kragstalund,2008,1263
4210420_kragstalund,2009,1281
4210420_kragstalund,2010,1283
4210420_kragstalund,2011,1277
4210420_kragstalund,2012,1307
4210420_kragstalund,2013,1308
4210420_kragstalund,2014,1303
4210430_ballstaberg,2000,210
4210430_ballstaberg,2001,259
4210430_ballstaberg,2002,307
4210430_ballstaberg,2003,352
4210430_ballstaberg,2004,455
4210430_ballstaberg,2005,540
4210430_ballstaberg,2006,607
4210430_ballstaberg,2007,660
4210430_ballstaberg,2008,731
4210430_ballstaberg,2009,832
4210430_ballstaberg,2010,873
4210430_ballstaberg,2011,931
4210430_ballstaberg,2012,951
4210430_ballstaberg,2013,966
4210430_ballstaberg,2014,995
4210440_okand,2000,1276
4210440_okand,2001,1296
4210440_okand,2002,1277
4210440_okand,2003,1279
4210440_okand,2004,1288
4210440_okand,2005,1291
4210440_okand,2006,1275
4210440_okand,2007,1260
4210440_okand,2008,1270
4210440_okand,2009,1262
4210510_vallentuna_glesbygd_v,2000,241
4210510_vallentuna_glesbygd_v,2001,244
4210510_vallentuna_glesbygd_v,2002,244
4210510_vallentuna_glesbygd_v,2003,252
4210510_vallentuna_glesbygd_v,2004,266
4210510_vallentuna_glesbygd_v,2005,263
4210510_vallentuna_glesbygd_v,2006,272
4210510_vallentuna_glesbygd_v,2007,272
4210510_vallentuna_glesbygd_v,2008,276
4210510_vallentuna_glesbygd_v,2009,280
4210510_vallentuna_glesbygd_v,2010,257
4210510_vallentuna_glesbygd_v,2011,274
4210510_vallentuna_glesbygd_v,2012,293
4210510_vallentuna_glesbygd_v,2013,299
4210510_vallentuna_glesbygd_v,2014,317
4210530_vallentuna_glesbygd_no,2000,141
4210530_vallentuna_glesbygd_no,2001,151
4210530_vallentuna_glesbygd_no,2002,158
4210530_vallentuna_glesbygd_no,2003,171
4210530_vallentuna_glesbygd_no,2004,174
4210530_vallentuna_glesbygd_no,2005,168
4210530_vallentuna_glesbygd_no,2006,172
4210530_vallentuna_glesbygd_no,2007,186
4210530_vallentuna_glesbygd_no,2008,187
4210530_vallentuna_glesbygd_no,2009,199
4210530_vallentuna_glesbygd_no,2010,223
4210530_vallentuna_glesbygd_no,2011,243
4210530_vallentuna_glesbygd_no,2012,244
4210530_vallentuna_glesbygd_no,2013,279
4210530_vallentuna_glesbygd_no,2014,293
4210540_okand,2000,70
4210540_okand,2001,73
4210540_okand,2002,70
4210540_okand,2003,74
4210540_okand,2004,74
4210540_okand,2005,71
4210540_okand,2006,65
4210540_okand,2007,56
4210540_okand,2008,70
4210540_okand,2009,70
4220000_markims_forsamling,2000,148
4220000_markims_forsamling,2001,146
4220000_markims_forsamling,2002,153
4220000_markims_forsamling,2003,145
4220000_markims_forsamling,2004,150
4220000_markims_forsamling,2005,153
4220000_markims_forsamling,2006,146
4220000_markims_forsamling,2007,134
4220000_markims_forsamling,2008,134
4220000_markims_forsamling,2009,138
4220000_markims_forsamling,2010,139
4220000_markims_forsamling,2011,135
4220000_markims_forsamling,2012,139
4220000_markims_forsamling,2013,134
4220000_markims_forsamling,2014,134
4230100_lindholmen,2000,391
4230100_lindholmen,2001,387
4230100_lindholmen,2002,385
4230100_lindholmen,2003,387
4230100_lindholmen,2004,397
4230100_lindholmen,2005,410
4230100_lindholmen,2006,403
4230100_lindholmen,2007,406
4230100_lindholmen,2008,412
4230100_lindholmen,2009,428
4230100_lindholmen,2010,430
4230100_lindholmen,2011,443
4230100_lindholmen,2012,458
4230100_lindholmen,2013,459
4230100_lindholmen,2014,466
4230500_okand,2000,147
4230500_okand,2001,156
4230500_okand,2002,151
4230500_okand,2003,157
4230500_okand,2004,153
4230500_okand,2005,152
4230500_okand,2006,148
4230500_okand,2007,146
4230500_okand,2008,154
4230500_okand,2009,156
4240000_frosunda_forsamling,2000,273
4240000_frosunda_forsamling,2001,271
4240000_frosunda_forsamling,2002,279
4240000_frosunda_forsamling,2003,289
4240000_frosunda_forsamling,2004,289
4240000_frosunda_forsamling,2005,300
4240000_frosunda_forsamling,2006,290
4240000_frosunda_forsamling,2007,301
4240000_frosunda_forsamling,2008,316
4240000_frosunda_forsamling,2009,311
4240000_frosunda_forsamling,2010,310
4240000_frosunda_forsamling,2011,308
4240000_frosunda_forsamling,2012,313
4240000_frosunda_forsamling,2013,331
4240000_frosunda_forsamling,2014,337
4250100_karsta,2000,196
4250100_karsta,2001,191
4250100_karsta,2002,184
4250100_karsta,2003,188
4250100_karsta,2004,183
4250100_karsta,2005,187
4250100_karsta,2006,189
4250100_karsta,2007,190
4250100_karsta,2008,187
4250100_karsta,2009,192
4250100_karsta,2010,189
4250100_karsta,2011,200
4250100_karsta,2012,204
4250100_karsta,2013,207
4250100_karsta,2014,210
4250200_ekskogen,2000,100
4250200_ekskogen,2001,103
4250200_ekskogen,2002,99
4250200_ekskogen,2003,100
4250200_ekskogen,2004,97
4250200_ekskogen,2005,95
4250200_ekskogen,2006,91
4250200_ekskogen,2007,95
4250200_ekskogen,2008,91
4250200_ekskogen,2009,89
4250200_ekskogen,2010,95
4250200_ekskogen,2011,94
4250200_ekskogen,2012,93
4250200_ekskogen,2013,94
4250200_ekskogen,2014,93
4250500_karsta_glesbygd,2000,275
4250500_karsta_glesbygd,2001,287
4250500_karsta_glesbygd,2002,290
4250500_karsta_glesbygd,2003,307
4250500_karsta_glesbygd,2004,311
4250500_karsta_glesbygd,2005,320
4250500_karsta_glesbygd,2006,335
4250500_karsta_glesbygd,2007,340
4250500_karsta_glesbygd,2008,351
4250500_karsta_glesbygd,2009,351
4250500_karsta_glesbygd,2010,349
4250500_karsta_glesbygd,2011,356
4250500_karsta_glesbygd,2012,351
4250500_karsta_glesbygd,2013,351
4250500_karsta_glesbygd,2014,359
4260500_vada_glesbygd,2000,97
4260500_vada_glesbygd,2001,93
4260500_vada_glesbygd,2002,98
4260500_vada_glesbygd,2003,99
4260500_vada_glesbygd,2004,105
4260500_vada_glesbygd,2005,111
4260500_vada_glesbygd,2006,107
4260500_vada_glesbygd,2007,109
4260500_vada_glesbygd,2008,106
4260500_vada_glesbygd,2009,103
4260500_vada_glesbygd,2010,106
4260500_vada_glesbygd,2011,116
4260500_vada_glesbygd,2012,116
4260500_vada_glesbygd,2013,118
4260500_vada_glesbygd,2014,119
4270100_karby,2000,405
4270100_karby,2001,416
4270100_karby,2002,397
4270100_karby,2003,396
4270100_karby,2004,397
4270100_karby,2005,383
4270100_karby,2006,392
4270100_karby,2007,414
4270100_karby,2008,410
4270100_karby,2009,393
4270100_karby,2010,388
4270100_karby,2011,385
4270100_karby,2012,382
4270100_karby,2013,388
4270100_karby,2014,386
4270200_brottby,2000,106
4270200_brottby,2001,100
4270200_brottby,2002,98
4270200_brottby,2003,95
4270200_brottby,2004,92
4270200_brottby,2005,89
4270200_brottby,2006,87
4270200_brottby,2007,92
4270200_brottby,2008,92
4270200_brottby,2009,90
4270200_brottby,2010,95
4270200_brottby,2011,89
4270200_brottby,2012,88
4270200_brottby,2013,88
4270200_brottby,2014,87
4270501_ovr_osseby_garns_glesbygd,2000,477
4270501_ovr_osseby_garns_glesbygd,2001,497
4270501_ovr_osseby_garns_glesbygd,2002,513
4270501_ovr_osseby_garns_glesbygd,2003,524
4270501_ovr_osseby_garns_glesbygd,2004,546
4270501_ovr_osseby_garns_glesbygd,2005,556
4270501_ovr_osseby_garns_glesbygd,2006,557
4270501_ovr_osseby_garns_glesbygd,2007,555
4270501_ovr_osseby_garns_glesbygd,2008,583
4270501_ovr_osseby_garns_glesbygd,2009,611
4270501_ovr_osseby_garns_glesbygd,2010,611
4270501_ovr_osseby_garns_glesbygd,2011,618
4270501_ovr_osseby_garns_glesbygd,2012,630
4270501_ovr_osseby_garns_glesbygd,2013,627
4270501_ovr_osseby_garns_glesbygd,2014,622
4270502_algeby_garns_ekskogen,2000,106
4270502_algeby_garns_ekskogen,2001,110
4270502_algeby_garns_ekskogen,2002,108
4270502_algeby_garns_ekskogen,2003,111
4270502_algeby_garns_ekskogen,2004,107
