basomrade,year,mean_income_aged_lt_20_male
4122310_korpkulla,2000,220685.4
4122310_korpkulla,2001,232329.54
4122310_korpkulla,2002,240878.79
4122310_korpkulla,2003,239964.69
4122310_korpkulla,2004,240012.08
4122310_korpkulla,2005,252796.29
4122310_korpkulla,2006,261488.9
4122310_korpkulla,2007,272174.45
4122310_korpkulla,2008,285691.26
4122310_korpkulla,2009,289375.88
4122310_korpkulla,2010,287885.64
4122310_korpkulla,2011,299194.79
4122310_korpkulla,2012,308951.52
4122310_korpkulla,2013,314576.15
4122310_korpkulla,2014,316479.22
4122340_vilunda,2000,162987.22
4122340_vilunda,2001,170253.08
4122340_vilunda,2002,173302.35
4122340_vilunda,2003,176437.46
4122340_vilunda,2004,174188.84
4122340_vilunda,2005,172453.73
4122340_vilunda,2006,177126.33
4122340_vilunda,2007,188651.85
4122340_vilunda,2008,191933.61
4122340_vilunda,2009,199958.07
4122340_vilunda,2010,194845.28
4122340_vilunda,2011,201937.44
4122340_vilunda,2012,203759.8
4122340_vilunda,2013,211092.04
4122340_vilunda,2014,207891.05
4122420_norra_smedby,2000,205877.55
4122420_norra_smedby,2001,212023.16
4122420_norra_smedby,2002,217987.27
4122420_norra_smedby,2003,220952.14
4122420_norra_smedby,2004,219367.37
4122420_norra_smedby,2005,218023.7
4122420_norra_smedby,2006,224013.8
4122420_norra_smedby,2007,229633.2
4122420_norra_smedby,2008,235083.66
4122420_norra_smedby,2009,239660.64
4122420_norra_smedby,2010,238683.87
4122420_norra_smedby,2011,242720.33
4122420_norra_smedby,2012,255722.05
4122420_norra_smedby,2013,252658.59
4122420_norra_smedby,2014,258033.45
4122430_sodra_smedby,2000,225646.42
4122430_sodra_smedby,2001,233155.63
4122430_sodra_smedby,2002,240102.26
4122430_sodra_smedby,2003,239476.82
4122430_sodra_smedby,2004,241923.2
4122430_sodra_smedby,2005,243057.48
4122430_sodra_smedby,2006,247817.8
4122430_sodra_smedby,2007,259904.34
4122430_sodra_smedby,2008,273359.28
4122430_sodra_smedby,2009,261316.67
4122430_sodra_smedby,2010,277421.65
4122430_sodra_smedby,2011,276253.03
4122430_sodra_smedby,2012,293259.59
4122430_sodra_smedby,2013,309149.92
4122430_sodra_smedby,2014,314552.54
4122520_skalby,2000,290098.86
4122520_skalby,2001,311523.96
4122520_skalby,2002,316359.43
4122520_skalby,2003,322164.67
4122520_skalby,2004,327930.3
4122520_skalby,2005,335672.38
4122520_skalby,2006,326964.08
4122520_skalby,2007,328639.71
4122520_skalby,2008,355567.04
4122520_skalby,2009,358399.21
4122520_skalby,2010,361190.14
4122520_skalby,2011,365896.66
4122520_skalby,2012,367779.17
4122520_skalby,2013,374977.12
4122520_skalby,2014,380456.34
4122530_carlslund,2000,211917.27
4122530_carlslund,2001,216866.11
4122530_carlslund,2002,210554.03
4122530_carlslund,2003,213764.66
4122530_carlslund,2004,209430.1
4122530_carlslund,2005,214258.23
4122530_carlslund,2006,228206.58
4122530_carlslund,2007,238239.91
4122530_carlslund,2008,250709.64
4122530_carlslund,2009,242847.01
4122530_carlslund,2010,241744.07
4122530_carlslund,2011,258368.36
4122530_carlslund,2012,269184.12
4122530_carlslund,2013,279156.92
4122530_carlslund,2014,291680.24
4122540_brunnby,2000,308558.84
4122540_brunnby,2001,329776.63
4122540_brunnby,2002,329520.13
4122540_brunnby,2003,344108.83
4122540_brunnby,2004,347227.51
4122540_brunnby,2005,357171.69
4122540_brunnby,2006,359895.56
4122540_brunnby,2007,376317.16
4122540_brunnby,2008,382289
4122540_brunnby,2009,379504.1
4122540_brunnby,2010,385636.95
4122540_brunnby,2011,405770.78
4122540_brunnby,2012,390722.64
4122540_brunnby,2013,379999.18
4122540_brunnby,2014,392781.97
4122600_vastra_odenslunda,2000,311387.47
4122600_vastra_odenslunda,2001,316875.57
4122600_vastra_odenslunda,2002,321024.04
4122600_vastra_odenslunda,2003,333216.24
4122600_vastra_odenslunda,2004,335546.56
4122600_vastra_odenslunda,2005,346821.63
4122600_vastra_odenslunda,2006,340468.28
4122600_vastra_odenslunda,2007,347400
4122600_vastra_odenslunda,2008,359915.15
4122600_vastra_odenslunda,2009,363022.11
4122600_vastra_odenslunda,2010,365522.3
4122600_vastra_odenslunda,2011,374668.22
4122600_vastra_odenslunda,2012,377830.49
4122600_vastra_odenslunda,2013,389487.43
4122600_vastra_odenslunda,2014,384929.09
4133110_sanda,2000,182672.35
4133110_sanda,2001,204959.24
4133110_sanda,2002,219924.95
4133110_sanda,2003,235084.17
4133110_sanda,2004,171797.21
4133110_sanda,2005,195815.93
4133110_sanda,2006,204986.59
4133110_sanda,2007,241464.39
4133110_sanda,2008,399041.74
4133110_sanda,2009,401312.02
4133110_sanda,2010,423726.74
4133110_sanda,2011,468595.63
4133110_sanda,2012,477823.95
4133110_sanda,2013,468971.88
4133110_sanda,2014,504551.43
4133120_ostra_odenslunda,2000,299807.24
4133120_ostra_odenslunda,2001,315480.06
4133120_ostra_odenslunda,2002,313861.27
4133120_ostra_odenslunda,2003,316402.83
4133120_ostra_odenslunda,2004,312813.11
4133120_ostra_odenslunda,2005,328334.03
4133120_ostra_odenslunda,2006,331498.62
4133120_ostra_odenslunda,2007,345792.63
4133120_ostra_odenslunda,2008,367199.32
4133120_ostra_odenslunda,2009,363741.55
4133120_ostra_odenslunda,2010,372935.75
4133120_ostra_odenslunda,2011,380098.92
4133120_ostra_odenslunda,2012,385466.06
4133120_ostra_odenslunda,2013,386293.24
4133120_ostra_odenslunda,2014,388721.43
4133200_frestaby,2000,309231.1
4133200_frestaby,2001,323727.39
4133200_frestaby,2002,340031.44
4133200_frestaby,2003,335655.2
4133200_frestaby,2004,343591.15
4133200_frestaby,2005,360871.14
4133200_frestaby,2006,363363.86
4133200_frestaby,2007,389133.88
4133200_frestaby,2008,401961.39
4133200_frestaby,2009,405956.75
4133200_frestaby,2010,399821.29
4133200_frestaby,2011,419908.6
4133200_frestaby,2012,417618.73
4133200_frestaby,2013,420746.03
4133200_frestaby,2014,423570.81
4133310_vastra_bollstanas,2000,327419.33
4133310_vastra_bollstanas,2001,345571.01
4133310_vastra_bollstanas,2002,348488.17
4133310_vastra_bollstanas,2003,363228.59
4133310_vastra_bollstanas,2004,363401.83
4133310_vastra_bollstanas,2005,371577.54
4133310_vastra_bollstanas,2006,382058.75
4133310_vastra_bollstanas,2007,394287.27
4133310_vastra_bollstanas,2008,400958.22
4133310_vastra_bollstanas,2009,394389.5
4133310_vastra_bollstanas,2010,394989.28
4133310_vastra_bollstanas,2011,396254.51
4133310_vastra_bollstanas,2012,407302.34
4133310_vastra_bollstanas,2013,414244.19
4133310_vastra_bollstanas,2014,414074.31
4133330_ostra_bollstanas,2000,329055.89
4133330_ostra_bollstanas,2001,344125.51
4133330_ostra_bollstanas,2002,345851.73
4133330_ostra_bollstanas,2003,351826.5
4133330_ostra_bollstanas,2004,367950.86
4133330_ostra_bollstanas,2005,376083.27
4133330_ostra_bollstanas,2006,394474.97
4133330_ostra_bollstanas,2007,404413.44
4133330_ostra_bollstanas,2008,419551.35
4133330_ostra_bollstanas,2009,410429.08
4133330_ostra_bollstanas,2010,417420.98
4133330_ostra_bollstanas,2011,421525.17
4133330_ostra_bollstanas,2012,429678.18
4133330_ostra_bollstanas,2013,433553.8
4133330_ostra_bollstanas,2014,440714.03
4133350_sodra_bollstanas,2000,322795.6
4133350_sodra_bollstanas,2001,340434.38
4133350_sodra_bollstanas,2002,341017.58
4133350_sodra_bollstanas,2003,352538.33
4133350_sodra_bollstanas,2004,355397.16
4133350_sodra_bollstanas,2005,373017.82
4133350_sodra_bollstanas,2006,389989.18
4133350_sodra_bollstanas,2007,419899.99
4133350_sodra_bollstanas,2008,429934.07
4133350_sodra_bollstanas,2009,421274.1
4133350_sodra_bollstanas,2010,450747.42
4133350_sodra_bollstanas,2011,471649.87
4133350_sodra_bollstanas,2012,467772.51
4133350_sodra_bollstanas,2013,467539.36
4133350_sodra_bollstanas,2014,474870.22
4133910_fresta_norra_glesbygd,2000,286175.19
4133910_fresta_norra_glesbygd,2001,303228.66
4133910_fresta_norra_glesbygd,2002,335367.21
4133910_fresta_norra_glesbygd,2003,343624.78
4133910_fresta_norra_glesbygd,2004,349894.04
4133910_fresta_norra_glesbygd,2005,353121.95
4133910_fresta_norra_glesbygd,2006,368283.52
4133910_fresta_norra_glesbygd,2007,402067
4133910_fresta_norra_glesbygd,2008,413038.73
4133910_fresta_norra_glesbygd,2009,403770.56
4133910_fresta_norra_glesbygd,2010,403886.39
4133910_fresta_norra_glesbygd,2011,432441
4133910_fresta_norra_glesbygd,2012,438864.29
4133910_fresta_norra_glesbygd,2013,437949.52
4133910_fresta_norra_glesbygd,2014,436989.35
4133920_fresta_sodra_glesbygd,2000,290648.81
4133920_fresta_sodra_glesbygd,2001,255410.22
4133920_fresta_sodra_glesbygd,2002,285708.77
4133920_fresta_sodra_glesbygd,2003,288917.48
4133920_fresta_sodra_glesbygd,2004,319029.6
4133920_fresta_sodra_glesbygd,2005,320206.1
4133920_fresta_sodra_glesbygd,2006,328436.56
4133920_fresta_sodra_glesbygd,2007,344657.83
4133920_fresta_sodra_glesbygd,2008,327795.17
4133920_fresta_sodra_glesbygd,2009,349734.65
