basomrade,year,cumulative_immigration_surplus_employed_aged_20_64_female
2140330_svampvagen,2010,2
2140330_svampvagen,2011,24
2140330_svampvagen,2012,18
2140330_svampvagen,2013,13
2140330_svampvagen,2014,4
2140340_sandsborg,2000,27
2140340_sandsborg,2001,22
2140340_sandsborg,2002,16
2140340_sandsborg,2003,-2
2140340_sandsborg,2004,10
2140340_sandsborg,2005,11
2140340_sandsborg,2006,3
2140340_sandsborg,2007,-11
2140340_sandsborg,2008,8
2140340_sandsborg,2009,3
2140340_sandsborg,2010,11
2140340_sandsborg,2011,12
2140340_sandsborg,2012,7
2140340_sandsborg,2013,9
2140340_sandsborg,2014,19
2140350_dalen,2000,-9
2140350_dalen,2001,-24
2140350_dalen,2002,-44
2140350_dalen,2003,-54
2140350_dalen,2004,-105
2140350_dalen,2005,-143
2140350_dalen,2006,-152
2140350_dalen,2007,-162
2140350_dalen,2008,-177
2140350_dalen,2009,-84
2140350_dalen,2010,-105
2140350_dalen,2011,-115
2140350_dalen,2012,-112
2140350_dalen,2013,-119
2140350_dalen,2014,-137
2140620_gullmarsplan,2000,16
2140620_gullmarsplan,2001,9
2140620_gullmarsplan,2002,25
2140620_gullmarsplan,2003,37
2140620_gullmarsplan,2004,65
2140620_gullmarsplan,2005,96
2140620_gullmarsplan,2006,101
2140620_gullmarsplan,2007,102
2140620_gullmarsplan,2008,116
2140620_gullmarsplan,2009,109
2140620_gullmarsplan,2010,137
2140620_gullmarsplan,2011,172
2140620_gullmarsplan,2012,163
2140620_gullmarsplan,2013,139
2140620_gullmarsplan,2014,114
2140630_skarmarbrink,2000,17
2140630_skarmarbrink,2001,1
2140630_skarmarbrink,2002,27
2140630_skarmarbrink,2003,31
2140630_skarmarbrink,2004,39
2140630_skarmarbrink,2005,67
2140630_skarmarbrink,2006,75
2140630_skarmarbrink,2007,103
2140630_skarmarbrink,2008,121
2140630_skarmarbrink,2009,90
2140630_skarmarbrink,2010,44
2140630_skarmarbrink,2011,32
2140630_skarmarbrink,2012,37
2140630_skarmarbrink,2013,88
2140630_skarmarbrink,2014,107
2140820_skanskvarn,2000,37
2140820_skanskvarn,2001,39
2140820_skanskvarn,2002,12
2140820_skanskvarn,2003,49
2140820_skanskvarn,2004,63
2140820_skanskvarn,2005,84
2140820_skanskvarn,2006,78
2140820_skanskvarn,2007,105
2140820_skanskvarn,2008,156
2140820_skanskvarn,2009,259
2140820_skanskvarn,2010,263
2140820_skanskvarn,2011,335
2140820_skanskvarn,2012,341
2140820_skanskvarn,2013,355
2140820_skanskvarn,2014,362
2140830_arsta_centrum,2000,87
2140830_arsta_centrum,2001,129
2140830_arsta_centrum,2002,138
2140830_arsta_centrum,2003,176
2140830_arsta_centrum,2004,182
2140830_arsta_centrum,2005,270
2140830_arsta_centrum,2006,313
2140830_arsta_centrum,2007,354
2140830_arsta_centrum,2008,420
2140830_arsta_centrum,2009,400
2140830_arsta_centrum,2010,428
2140830_arsta_centrum,2011,478
2140830_arsta_centrum,2012,524
2140830_arsta_centrum,2013,515
2140830_arsta_centrum,2014,566
2140840_arsta_gard,2000,26
2140840_arsta_gard,2001,42
2140840_arsta_gard,2002,27
2140840_arsta_gard,2003,14
2140840_arsta_gard,2004,12
2140840_arsta_gard,2005,70
2140840_arsta_gard,2006,93
2140840_arsta_gard,2007,154
2140840_arsta_gard,2008,169
2140840_arsta_gard,2009,197
2140840_arsta_gard,2010,219
2140840_arsta_gard,2011,203
2140840_arsta_gard,2012,224
2140840_arsta_gard,2013,250
2140840_arsta_gard,2014,247
2140850_valla_garde,2000,-8
2140850_valla_garde,2001,12
2140850_valla_garde,2002,13
2140850_valla_garde,2003,9
2140850_valla_garde,2004,5
2140850_valla_garde,2005,7
2140850_valla_garde,2006,16
2140850_valla_garde,2007,13
2140850_valla_garde,2008,51
2140850_valla_garde,2009,94
2140850_valla_garde,2010,102
2140850_valla_garde,2011,131
2140850_valla_garde,2012,129
2140850_valla_garde,2013,122
2140850_valla_garde,2014,131
2150100_bjorkhagen,2000,35
2150100_bjorkhagen,2001,49
2150100_bjorkhagen,2002,48
2150100_bjorkhagen,2003,106
2150100_bjorkhagen,2004,144
2150100_bjorkhagen,2005,166
2150100_bjorkhagen,2006,195
2150100_bjorkhagen,2007,203
2150100_bjorkhagen,2008,260
2150100_bjorkhagen,2009,306
2150100_bjorkhagen,2010,316
2150100_bjorkhagen,2011,330
2150100_bjorkhagen,2012,370
2150100_bjorkhagen,2013,386
2150100_bjorkhagen,2014,426
2150200_enskededalen,2000,9
2150200_enskededalen,2001,24
2150200_enskededalen,2002,7
2150200_enskededalen,2003,3
2150200_enskededalen,2004,-5
2150200_enskededalen,2005,-21
2150200_enskededalen,2006,-37
2150200_enskededalen,2007,-30
2150200_enskededalen,2008,-30
2150200_enskededalen,2009,-24
2150200_enskededalen,2010,-13
2150200_enskededalen,2011,-1
2150200_enskededalen,2012,64
2150200_enskededalen,2013,92
2150200_enskededalen,2014,65
2150400_okand,2000,10
2150400_okand,2001,52
2150400_okand,2002,54
2150400_okand,2003,55
2150400_okand,2004,64
2150400_okand,2005,66
2150400_okand,2006,66
2150400_okand,2007,85
2150400_okand,2008,124
2150400_okand,2009,194
2150401_blasut,2010,21
2150401_blasut,2011,47
2150401_blasut,2012,48
2150401_blasut,2013,90
2150401_blasut,2014,206
2150402_hammarbyhojden,2010,27
2150402_hammarbyhojden,2011,-16
2150402_hammarbyhojden,2012,57
2150402_hammarbyhojden,2013,81
2150402_hammarbyhojden,2014,49
2150500_karrtorp,2000,7
2150500_karrtorp,2001,27
2150500_karrtorp,2002,31
2150500_karrtorp,2003,34
2150500_karrtorp,2004,44
2150500_karrtorp,2005,56
2150500_karrtorp,2006,66
2150500_karrtorp,2007,73
2150500_karrtorp,2008,128
2150500_karrtorp,2009,212
2150500_karrtorp,2010,265
2150500_karrtorp,2011,313
2150500_karrtorp,2012,324
2150500_karrtorp,2013,342
2150500_karrtorp,2014,350
2150720_pungpinan,2000,-8
2150720_pungpinan,2001,-18
2150720_pungpinan,2002,-5
2150720_pungpinan,2003,5
2150720_pungpinan,2004,9
2150720_pungpinan,2005,-5
2150720_pungpinan,2006,3
2150720_pungpinan,2007,7
2150720_pungpinan,2008,6
2150720_pungpinan,2009,28
2150720_pungpinan,2010,52
2150720_pungpinan,2011,54
2150720_pungpinan,2012,63
2150720_pungpinan,2013,68
2150720_pungpinan,2014,72
2150731_skarpnacksfaltet_o,2000,-6
2150731_skarpnacksfaltet_o,2001,-27
2150731_skarpnacksfaltet_o,2002,-54
2150731_skarpnacksfaltet_o,2003,-50
2150731_skarpnacksfaltet_o,2004,-92
2150731_skarpnacksfaltet_o,2005,-135
2150731_skarpnacksfaltet_o,2006,-157
2150731_skarpnacksfaltet_o,2007,-191
2150731_skarpnacksfaltet_o,2008,-196
2150731_skarpnacksfaltet_o,2009,-164
2150731_skarpnacksfaltet_o,2010,-166
2150731_skarpnacksfaltet_o,2011,-179
2150731_skarpnacksfaltet_o,2012,-179
2150731_skarpnacksfaltet_o,2013,-176
2150731_skarpnacksfaltet_o,2014,-179
2150732_skarpnacksfaltet_v,2000,-11
2150732_skarpnacksfaltet_v,2001,-13
2150732_skarpnacksfaltet_v,2002,-40
2150732_skarpnacksfaltet_v,2003,-83
2150732_skarpnacksfaltet_v,2004,-94
2150732_skarpnacksfaltet_v,2005,-129
2150732_skarpnacksfaltet_v,2006,-171
2150732_skarpnacksfaltet_v,2007,-211
2150732_skarpnacksfaltet_v,2008,-222
2150732_skarpnacksfaltet_v,2009,-266
2150732_skarpnacksfaltet_v,2010,-291
2150732_skarpnacksfaltet_v,2011,-309
2150732_skarpnacksfaltet_v,2012,-306
2150732_skarpnacksfaltet_v,2013,-327
2150732_skarpnacksfaltet_v,2014,-343
2150740_skarpa_by,2000,0
2150740_skarpa_by,2001,0
2150740_skarpa_by,2002,4
2150740_skarpa_by,2003,5
2150740_skarpa_by,2004,4
2150740_skarpa_by,2005,3
2150740_skarpa_by,2006,1
2150740_skarpa_by,2007,1
2150740_skarpa_by,2008,-3
2150740_skarpa_by,2009,0
2150740_skarpa_by,2010,1
2150740_skarpa_by,2011,0
2150740_skarpa_by,2012,0
2150740_skarpa_by,2013,2
2150740_skarpa_by,2014,4
2150820_lagaplan,2000,41
2150820_lagaplan,2001,68
2150820_lagaplan,2002,61
2150820_lagaplan,2003,75
2150820_lagaplan,2004,105
2150820_lagaplan,2005,107
2150820_lagaplan,2006,105
2150820_lagaplan,2007,121
2150820_lagaplan,2008,153
2150820_lagaplan,2009,237
2150820_lagaplan,2010,298
2150820_lagaplan,2011,285
2150820_lagaplan,2012,287
2150820_lagaplan,2013,309
2150820_lagaplan,2014,311
2150830_sodra_bagarmossen,2000,4
2150830_sodra_bagarmossen,2001,12
2150830_sodra_bagarmossen,2002,22
2150830_sodra_bagarmossen,2003,36
2150830_sodra_bagarmossen,2004,29
2150830_sodra_bagarmossen,2005,34
2150830_sodra_bagarmossen,2006,36
2150830_sodra_bagarmossen,2007,36
2150830_sodra_bagarmossen,2008,38
2150830_sodra_bagarmossen,2009,37
2150830_sodra_bagarmossen,2010,35
2150830_sodra_bagarmossen,2011,33
2150830_sodra_bagarmossen,2012,30
2150830_sodra_bagarmossen,2013,32
2150830_sodra_bagarmossen,2014,43
2150840_norra_bagarmossen,2000,-20
2150840_norra_bagarmossen,2001,-15
2150840_norra_bagarmossen,2002,-17
2150840_norra_bagarmossen,2003,-58
2150840_norra_bagarmossen,2004,-70
2150840_norra_bagarmossen,2005,-102
2150840_norra_bagarmossen,2006,-134
2150840_norra_bagarmossen,2007,-136
2150840_norra_bagarmossen,2008,-174
2150840_norra_bagarmossen,2009,-177
2150840_norra_bagarmossen,2010,-191
2150840_norra_bagarmossen,2011,-211
2150840_norra_bagarmossen,2012,-229
2150840_norra_bagarmossen,2013,-259
2150840_norra_bagarmossen,2014,-276
2160120_havsornstorget,2000,20
2160120_havsornstorget,2001,30
2160120_havsornstorget,2002,16
2160120_havsornstorget,2003,-2
2160120_havsornstorget,2004,-11
2160120_havsornstorget,2005,-45
2160120_havsornstorget,2006,-49
2160120_havsornstorget,2007,-74
2160120_havsornstorget,2008,-74
2160120_havsornstorget,2009,-102
2160120_havsornstorget,2010,-62
2160120_havsornstorget,2011,-48
2160120_havsornstorget,2012,-76
2160120_havsornstorget,2013,-95
2160120_havsornstorget,2014,-108
2160130_fagersjovagen,2000,-1
2160130_fagersjovagen,2001,-5
2160130_fagersjovagen,2002,-2
2160130_fagersjovagen,2003,-6
2160130_fagersjovagen,2004,1
2160130_fagersjovagen,2005,0
2160130_fagersjovagen,2006,1
2160130_fagersjovagen,2007,2
2160130_fagersjovagen,2008,10
2160130_fagersjovagen,2009,10
2160130_fagersjovagen,2010,13
2160130_fagersjovagen,2011,23
2160130_fagersjovagen,2012,51
2160130_fagersjovagen,2013,57
2160130_fagersjovagen,2014,51
2160220_sodra_farsta,2000,22
2160220_sodra_farsta,2001,33
2160220_sodra_farsta,2002,39
2160220_sodra_farsta,2003,63
2160220_sodra_farsta,2004,49
2160220_sodra_farsta,2005,35
2160220_sodra_farsta,2006,13
2160220_sodra_farsta,2007,3
2160220_sodra_farsta,2008,-23
2160220_sodra_farsta,2009,-4
2160220_sodra_farsta,2010,28
2160220_sodra_farsta,2011,56
2160220_sodra_farsta,2012,56
2160220_sodra_farsta,2013,53
2160220_sodra_farsta,2014,41
2160230_vastra_farsta,2000,3
2160230_vastra_farsta,2001,1
2160230_vastra_farsta,2002,7
2160230_vastra_farsta,2003,20
2160230_vastra_farsta,2004,24
2160230_vastra_farsta,2005,36
2160230_vastra_farsta,2006,38
2160230_vastra_farsta,2007,31
2160230_vastra_farsta,2008,31
2160230_vastra_farsta,2009,34
2160230_vastra_farsta,2010,35
2160230_vastra_farsta,2011,84
2160230_vastra_farsta,2012,128
2160230_vastra_farsta,2013,162
2160230_vastra_farsta,2014,159
2160240_ostra_farsta,2000,-13
2160240_ostra_farsta,2001,-21
2160240_ostra_farsta,2002,-29
2160240_ostra_farsta,2003,-48
2160240_ostra_farsta,2004,-47
2160240_ostra_farsta,2005,-38
2160240_ostra_farsta,2006,-55
2160240_ostra_farsta,2007,-36
2160240_ostra_farsta,2008,-55
2160240_ostra_farsta,2009,-56
2160240_ostra_farsta,2010,-13
2160240_ostra_farsta,2011,-8
2160240_ostra_farsta,2012,33
2160240_ostra_farsta,2013,136
2160240_ostra_farsta,2014,164
2160260_norra_farsta,2000,2
2160260_norra_farsta,2001,8
2160260_norra_farsta,2002,3
2160260_norra_farsta,2003,-10
2160260_norra_farsta,2004,1
2160260_norra_farsta,2005,3
2160260_norra_farsta,2006,43
2160260_norra_farsta,2007,50
2160260_norra_farsta,2008,122
2160260_norra_farsta,2009,120
2160260_norra_farsta,2010,182
2160260_norra_farsta,2011,180
2160260_norra_farsta,2012,194
2160260_norra_farsta,2013,176
2160260_norra_farsta,2014,163
2160320_ullerudsbacken,2000,-4
2160320_ullerudsbacken,2001,-18
2160320_ullerudsbacken,2002,-24
2160320_ullerudsbacken,2003,-25
2160320_ullerudsbacken,2004,-48
2160320_ullerudsbacken,2005,-81
2160320_ullerudsbacken,2006,-89
2160320_ullerudsbacken,2007,-112
2160320_ullerudsbacken,2008,-110
2160320_ullerudsbacken,2009,-128
2160320_ullerudsbacken,2010,-139
2160320_ullerudsbacken,2011,-153
2160320_ullerudsbacken,2012,-157
2160320_ullerudsbacken,2013,-154
2160320_ullerudsbacken,2014,-170
2160330_farsta_gard,2000,0
2160330_farsta_gard,2001,5
2160330_farsta_gard,2002,11
2160330_farsta_gard,2003,16
2160330_farsta_gard,2004,29
2160330_farsta_gard,2005,40
2160330_farsta_gard,2006,41
2160330_farsta_gard,2007,49
2160330_farsta_gard,2008,53
2160330_farsta_gard,2009,52
2160330_farsta_gard,2010,55
2160330_farsta_gard,2011,63
2160330_farsta_gard,2012,69
2160330_farsta_gard,2013,81
2160330_farsta_gard,2014,82
2160520_gubbangstorget,2000,-11
2160520_gubbangstorget,2001,16
2160520_gubbangstorget,2002,22
2160520_gubbangstorget,2003,45
2160520_gubbangstorget,2004,41
2160520_gubbangstorget,2005,62
2160520_gubbangstorget,2006,79
2160520_gubbangstorget,2007,90
2160520_gubbangstorget,2008,94
2160520_gubbangstorget,2009,164
2160520_gubbangstorget,2010,219
2160520_gubbangstorget,2011,232
2160520_gubbangstorget,2012,229
2160520_gubbangstorget,2013,212
2160520_gubbangstorget,2014,231
2160530_gubbangens_gard,2000,3
2160530_gubbangens_gard,2001,6
2160530_gubbangens_gard,2002,9
2160530_gubbangens_gard,2003,7
2160530_gubbangens_gard,2004,11
2160530_gubbangens_gard,2005,15
2160530_gubbangens_gard,2006,11
2160530_gubbangens_gard,2007,2
2160530_gubbangens_gard,2008,1
2160530_gubbangens_gard,2009,0
2160530_gubbangens_gard,2010,5
2160530_gubbangens_gard,2011,3
2160530_gubbangens_gard,2012,-1
2160530_gubbangens_gard,2013,2
2160530_gubbangens_gard,2014,5
2160620_vastra_hokarangen,2000,63
2160620_vastra_hokarangen,2001,54
2160620_vastra_hokarangen,2002,30
2160620_vastra_hokarangen,2003,-19
2160620_vastra_hokarangen,2004,-59
2160620_vastra_hokarangen,2005,-39
2160620_vastra_hokarangen,2006,-66
2160620_vastra_hokarangen,2007,-71
2160620_vastra_hokarangen,2008,-65
2160620_vastra_hokarangen,2009,-28
2160620_vastra_hokarangen,2010,-34
2160620_vastra_hokarangen,2011,-12
2160620_vastra_hokarangen,2012,-1
2160620_vastra_hokarangen,2013,22
2160620_vastra_hokarangen,2014,6
2160630_sondagsvagen,2000,2
2160630_sondagsvagen,2001,10
2160630_sondagsvagen,2002,2
2160630_sondagsvagen,2003,2
2160630_sondagsvagen,2004,8
2160630_sondagsvagen,2005,-8
2160630_sondagsvagen,2006,9
2160630_sondagsvagen,2007,9
2160630_sondagsvagen,2008,16
2160630_sondagsvagen,2009,4
2160630_sondagsvagen,2010,-1
2160630_sondagsvagen,2011,4
2160630_sondagsvagen,2012,37
2160630_sondagsvagen,2013,48
2160630_sondagsvagen,2014,49
2160640_lingvagen,2000,-1
2160640_lingvagen,2001,3
2160640_lingvagen,2002,10
2160640_lingvagen,2003,10
2160640_lingvagen,2004,1
2160640_lingvagen,2005,-19
2160640_lingvagen,2006,-22
2160640_lingvagen,2007,-27
2160640_lingvagen,2008,-25
2160640_lingvagen,2009,-30
2160640_lingvagen,2010,-23
2160640_lingvagen,2011,-1
2160640_lingvagen,2012,7
2160640_lingvagen,2013,20
2160640_lingvagen,2014,23
2160720_vastra_larsboda,2000,18
2160720_vastra_larsboda,2001,23
2160720_vastra_larsboda,2002,37
2160720_vastra_larsboda,2003,34
2160720_vastra_larsboda,2004,40
2160720_vastra_larsboda,2005,60
2160720_vastra_larsboda,2006,80
2160720_vastra_larsboda,2007,80
2160720_vastra_larsboda,2008,88
2160720_vastra_larsboda,2009,249
2160720_vastra_larsboda,2010,296
2160720_vastra_larsboda,2011,289
2160720_vastra_larsboda,2012,296
2160720_vastra_larsboda,2013,288
2160720_vastra_larsboda,2014,298
2160760_ostra_larsboda,2000,-2
2160760_ostra_larsboda,2001,1
2160760_ostra_larsboda,2002,-1
2160760_ostra_larsboda,2003,6
2160760_ostra_larsboda,2004,7
2160760_ostra_larsboda,2005,6
2160760_ostra_larsboda,2006,3
2160760_ostra_larsboda,2007,3
2160760_ostra_larsboda,2008,6
2160760_ostra_larsboda,2009,6
2160760_ostra_larsboda,2010,3
2160760_ostra_larsboda,2011,2
2160760_ostra_larsboda,2012,5
2160760_ostra_larsboda,2013,1
2160760_ostra_larsboda,2014,0
2160820_bagarfruvagen,2000,26
2160820_bagarfruvagen,2001,3
2160820_bagarfruvagen,2002,3
2160820_bagarfruvagen,2003,-15
2160820_bagarfruvagen,2004,3
2160820_bagarfruvagen,2005,12
2160820_bagarfruvagen,2006,43
2160820_bagarfruvagen,2007,62
2160820_bagarfruvagen,2008,94
2160820_bagarfruvagen,2009,113
2160820_bagarfruvagen,2010,133
2160820_bagarfruvagen,2011,143
2160820_bagarfruvagen,2012,155
2160820_bagarfruvagen,2013,177
2160820_bagarfruvagen,2014,203
2160830_vastra_skondal,2000,-5
2160830_vastra_skondal,2001,-10
2160830_vastra_skondal,2002,-4
2160830_vastra_skondal,2003,-2
2160830_vastra_skondal,2004,8
2160830_vastra_skondal,2005,14
2160830_vastra_skondal,2006,25
2160830_vastra_skondal,2007,30
2160830_vastra_skondal,2008,33
2160830_vastra_skondal,2009,42
2160830_vastra_skondal,2010,32
2160830_vastra_skondal,2011,28
2160830_vastra_skondal,2012,21
2160830_vastra_skondal,2013,29
2160830_vastra_skondal,2014,34
2160840_norra_skondal,2000,2
2160840_norra_skondal,2001,2
2160840_norra_skondal,2002,1
2160840_norra_skondal,2003,0
2160840_norra_skondal,2004,3
2160840_norra_skondal,2005,14
2160840_norra_skondal,2006,14
2160840_norra_skondal,2007,15
2160840_norra_skondal,2008,14
2160840_norra_skondal,2009,7
2160840_norra_skondal,2010,14
2160840_norra_skondal,2011,12
2160840_norra_skondal,2012,13
2160840_norra_skondal,2013,12
2160840_norra_skondal,2014,6
2160850_stora_skondal,2000,-5
2160850_stora_skondal,2001,-23
2160850_stora_skondal,2002,-29
2160850_stora_skondal,2003,-31
2160850_stora_skondal,2004,-32
2160850_stora_skondal,2005,-26
2160850_stora_skondal,2006,-39
2160850_stora_skondal,2007,-32
2160850_stora_skondal,2008,-31
2160850_stora_skondal,2009,-31
2160850_stora_skondal,2010,-31
2160850_stora_skondal,2011,-34
2160850_stora_skondal,2012,64
2160850_stora_skondal,2013,106
2160850_stora_skondal,2014,130
2160920_sodra_svedmyra,2000,2
2160920_sodra_svedmyra,2001,10
2160920_sodra_svedmyra,2002,-3
2160920_sodra_svedmyra,2003,-3
2160920_sodra_svedmyra,2004,8
2160920_sodra_svedmyra,2005,1
2160920_sodra_svedmyra,2006,52
2160920_sodra_svedmyra,2007,55
2160920_sodra_svedmyra,2008,37
2160920_sodra_svedmyra,2009,35
2160920_sodra_svedmyra,2010,39
2160920_sodra_svedmyra,2011,31
2160920_sodra_svedmyra,2012,38
2160920_sodra_svedmyra,2013,49
2160920_sodra_svedmyra,2014,48
2160930_norra_svedmyra,2000,-1
2160930_norra_svedmyra,2001,0
2160930_norra_svedmyra,2002,10
2160930_norra_svedmyra,2003,10
2160930_norra_svedmyra,2004,10
2160930_norra_svedmyra,2005,17
2160930_norra_svedmyra,2006,22
2160930_norra_svedmyra,2007,30
2160930_norra_svedmyra,2008,24
2160930_norra_svedmyra,2009,22
2160930_norra_svedmyra,2010,21
2160930_norra_svedmyra,2011,25
2160930_norra_svedmyra,2012,27
2160930_norra_svedmyra,2013,33
2160930_norra_svedmyra,2014,30
2161020_norra_tallkrogen,2000,-1
2161020_norra_tallkrogen,2001,0
2161020_norra_tallkrogen,2002,2
2161020_norra_tallkrogen,2003,26
2161020_norra_tallkrogen,2004,17
2161020_norra_tallkrogen,2005,17
2161020_norra_tallkrogen,2006,26
2161020_norra_tallkrogen,2007,30
2161020_norra_tallkrogen,2008,26
2161020_norra_tallkrogen,2009,26
2161020_norra_tallkrogen,2010,15
2161020_norra_tallkrogen,2011,37
2161020_norra_tallkrogen,2012,24
2161020_norra_tallkrogen,2013,33
2161020_norra_tallkrogen,2014,16
2161030_sodra_tallkrogen,2000,7
2161030_sodra_tallkrogen,2001,4
2161030_sodra_tallkrogen,2002,-1
2161030_sodra_tallkrogen,2003,11
2161030_sodra_tallkrogen,2004,17
2161030_sodra_tallkrogen,2005,23
2161030_sodra_tallkrogen,2006,23
2161030_sodra_tallkrogen,2007,32
2161030_sodra_tallkrogen,2008,27
2161030_sodra_tallkrogen,2009,42
2161030_sodra_tallkrogen,2010,50
2161030_sodra_tallkrogen,2011,57
2161030_sodra_tallkrogen,2012,49
2161030_sodra_tallkrogen,2013,51
2161030_sodra_tallkrogen,2014,46
2170120_bredangs_alle,2000,-3
2170120_bredangs_alle,2001,-19
2170120_bredangs_alle,2002,-62
2170120_bredangs_alle,2003,-90
2170120_bredangs_alle,2004,-129
2170120_bredangs_alle,2005,-211
2170120_bredangs_alle,2006,-277
2170120_bredangs_alle,2007,-282
2170120_bredangs_alle,2008,-358
2170120_bredangs_alle,2009,-422
2170120_bredangs_alle,2010,-449
2170120_bredangs_alle,2011,-435
2170120_bredangs_alle,2012,-486
2170120_bredangs_alle,2013,-500
2170120_bredangs_alle,2014,-546
2170130_yttre_bredang,2000,0
2170130_yttre_bredang,2001,-3
2170130_yttre_bredang,2002,-5
2170130_yttre_bredang,2003,-1
2170130_yttre_bredang,2004,-5
2170130_yttre_bredang,2005,-13
2170130_yttre_bredang,2006,-10
2170130_yttre_bredang,2007,-10
2170130_yttre_bredang,2008,-12
2170130_yttre_bredang,2009,-8
2170130_yttre_bredang,2010,-15
2170130_yttre_bredang,2011,-7
2170130_yttre_bredang,2012,-7
2170130_yttre_bredang,2013,5
2170130_yttre_bredang,2014,-5
2170220_satra_torg,2000,-20
2170220_satra_torg,2001,-10
2170220_satra_torg,2002,-40
2170220_satra_torg,2003,-85
2170220_satra_torg,2004,-132
2170220_satra_torg,2005,-183
2170220_satra_torg,2006,-158
2170220_satra_torg,2007,-205
2170220_satra_torg,2008,-198
2170220_satra_torg,2009,-216
2170220_satra_torg,2010,-190
2170220_satra_torg,2011,-232
2170220_satra_torg,2012,-247
2170220_satra_torg,2013,-270
2170220_satra_torg,2014,-244
2170230_norra_satra,2000,-3
2170230_norra_satra,2001,-7
2170230_norra_satra,2002,-11
2170230_norra_satra,2003,-12
2170230_norra_satra,2004,-4
2170230_norra_satra,2005,-14
2170230_norra_satra,2006,-16
2170230_norra_satra,2007,-17
2170230_norra_satra,2008,-10
2170230_norra_satra,2009,-8
2170230_norra_satra,2010,1
2170230_norra_satra,2011,-6
2170230_norra_satra,2012,-17
2170230_norra_satra,2013,-21
2170230_norra_satra,2014,-29
2170310_skarholmens_centrum,2000,1
2170310_skarholmens_centrum,2001,-8
2170310_skarholmens_centrum,2002,-16
2170310_skarholmens_centrum,2003,-27
2170310_skarholmens_centrum,2004,-25
2170310_skarholmens_centrum,2005,-26
2170310_skarholmens_centrum,2006,-37
2170310_skarholmens_centrum,2007,-36
2170310_skarholmens_centrum,2008,-42
2170310_skarholmens_centrum,2009,-49
2170310_skarholmens_centrum,2010,-50
2170310_skarholmens_centrum,2011,-64
2170310_skarholmens_centrum,2012,-83
2170310_skarholmens_centrum,2013,-84
2170310_skarholmens_centrum,2014,-87
2170321_skarholmens_gard,2000,0
2170321_skarholmens_gard,2001,0
2170321_skarholmens_gard,2002,-3
2170321_skarholmens_gard,2003,-2
2170321_skarholmens_gard,2004,-8
2170321_skarholmens_gard,2005,0
2170321_skarholmens_gard,2006,-1
2170321_skarholmens_gard,2007,2
2170321_skarholmens_gard,2008,6
2170321_skarholmens_gard,2009,7
2170321_skarholmens_gard,2010,11
2170321_skarholmens_gard,2011,10
2170321_skarholmens_gard,2012,2
2170321_skarholmens_gard,2013,-1
2170321_skarholmens_gard,2014,-5
2170322_mellersta_skarholmen,2000,-4
2170322_mellersta_skarholmen,2001,-6
2170322_mellersta_skarholmen,2002,-40
2170322_mellersta_skarholmen,2003,-47
2170322_mellersta_skarholmen,2004,-95
2170322_mellersta_skarholmen,2005,-138
2170322_mellersta_skarholmen,2006,-85
2170322_mellersta_skarholmen,2007,-117
2170322_mellersta_skarholmen,2008,-129
2170322_mellersta_skarholmen,2009,-195
2170322_mellersta_skarholmen,2010,-215
2170322_mellersta_skarholmen,2011,-244
2170322_mellersta_skarholmen,2012,-277
2170322_mellersta_skarholmen,2013,-292
2170322_mellersta_skarholmen,2014,-312
2170330_sodra_skarholmen,2000,3
2170330_sodra_skarholmen,2001,-6
2170330_sodra_skarholmen,2002,-13
2170330_sodra_skarholmen,2003,-25
2170330_sodra_skarholmen,2004,-16
2170330_sodra_skarholmen,2005,-13
2170330_sodra_skarholmen,2006,-7
2170330_sodra_skarholmen,2007,-17
2170330_sodra_skarholmen,2008,-20
2170330_sodra_skarholmen,2009,-23
2170330_sodra_skarholmen,2010,-30
2170330_sodra_skarholmen,2011,-29
2170330_sodra_skarholmen,2012,-36
2170330_sodra_skarholmen,2013,-36
2170330_sodra_skarholmen,2014,-43
2170420_ostra_varberg,2000,16
2170420_ostra_varberg,2001,-25
2170420_ostra_varberg,2002,-75
2170420_ostra_varberg,2003,-132
2170420_ostra_varberg,2004,-230
2170420_ostra_varberg,2005,-300
2170420_ostra_varberg,2006,-343
2170420_ostra_varberg,2007,-386
2170420_ostra_varberg,2008,-461
2170420_ostra_varberg,2009,-529
2170420_ostra_varberg,2010,-543
2170420_ostra_varberg,2011,-575
2170420_ostra_varberg,2012,-583
2170420_ostra_varberg,2013,-648
2170420_ostra_varberg,2014,-691
2170430_vastra_varberg,2000,-4
2170430_vastra_varberg,2001,-7
2170430_vastra_varberg,2002,-18
2170430_vastra_varberg,2003,-21
2170430_vastra_varberg,2004,-30
2170430_vastra_varberg,2005,-29
2170430_vastra_varberg,2006,-40
2170430_vastra_varberg,2007,-33
2170430_vastra_varberg,2008,-33
2170430_vastra_varberg,2009,-33
2170430_vastra_varberg,2010,-34
2170430_vastra_varberg,2011,-33
2170430_vastra_varberg,2012,-29
2170430_vastra_varberg,2013,-35
2170430_vastra_varberg,2014,-47
2210120_norra_abrahamsberg,2000,-6
2210120_norra_abrahamsberg,2001,-9
2210120_norra_abrahamsberg,2002,-22
2210120_norra_abrahamsberg,2003,-17
2210120_norra_abrahamsberg,2004,-2
2210120_norra_abrahamsberg,2005,-10
2210120_norra_abrahamsberg,2006,-7
2210120_norra_abrahamsberg,2007,-28
2210120_norra_abrahamsberg,2008,2
