basomrade,year,cumulative_immigration_surplus_employed_aged_20_64_female
1010220_klara_kyrka,2005,20
1010220_klara_kyrka,2006,24
1010220_klara_kyrka,2007,24
1010220_klara_kyrka,2008,25
1010220_klara_kyrka,2009,29
1010220_klara_kyrka,2010,27
1010220_klara_kyrka,2011,25
1010220_klara_kyrka,2012,24
1010220_klara_kyrka,2013,21
1010220_klara_kyrka,2014,18
1010230_centralposten,2000,-8
1010230_centralposten,2001,-8
1010230_centralposten,2002,-3
1010230_centralposten,2003,29
1010230_centralposten,2004,28
1010230_centralposten,2005,36
1010230_centralposten,2006,32
1010230_centralposten,2007,29
1010230_centralposten,2008,26
1010230_centralposten,2009,28
1010230_centralposten,2010,29
1010230_centralposten,2011,32
1010230_centralposten,2012,44
1010230_centralposten,2013,50
1010230_centralposten,2014,43
1010240_oscarsteatern,2000,1
1010240_oscarsteatern,2001,-1
1010240_oscarsteatern,2002,-2
1010240_oscarsteatern,2003,-8
1010240_oscarsteatern,2004,-11
1010240_oscarsteatern,2005,-21
1010240_oscarsteatern,2006,-26
1010240_oscarsteatern,2007,-33
1010240_oscarsteatern,2008,-34
1010240_oscarsteatern,2009,-35
1010240_oscarsteatern,2010,-37
1010240_oscarsteatern,2011,-34
1010240_oscarsteatern,2012,-38
1010240_oscarsteatern,2013,-39
1010240_oscarsteatern,2014,-42
1010250_brunkeberg,2000,3
1010250_brunkeberg,2001,5
1010250_brunkeberg,2002,-1
1010250_brunkeberg,2003,-4
1010250_brunkeberg,2004,-3
1010250_brunkeberg,2005,-3
1010250_brunkeberg,2006,-6
1010250_brunkeberg,2007,-7
1010250_brunkeberg,2008,-5
1010250_brunkeberg,2009,-5
1010250_brunkeberg,2010,-3
1010250_brunkeberg,2011,-5
1010250_brunkeberg,2012,-4
1010250_brunkeberg,2013,-7
1010250_brunkeberg,2014,-7
1010290_oxtorget,2000,-2
1010290_oxtorget,2001,-9
1010290_oxtorget,2002,-9
1010290_oxtorget,2003,0
1010290_oxtorget,2004,4
1010290_oxtorget,2005,2
1010290_oxtorget,2006,-2
1010290_oxtorget,2007,-5
1010290_oxtorget,2008,-4
1010290_oxtorget,2009,3
1010290_oxtorget,2010,4
1010290_oxtorget,2011,-1
1010290_oxtorget,2012,7
1010290_oxtorget,2013,-4
1010290_oxtorget,2014,-2
1010310_norrlandsgatan,2000,1
1010310_norrlandsgatan,2001,1
1010310_norrlandsgatan,2002,18
1010310_norrlandsgatan,2003,16
1010310_norrlandsgatan,2004,22
1010310_norrlandsgatan,2005,15
1010310_norrlandsgatan,2006,16
1010310_norrlandsgatan,2007,15
1010310_norrlandsgatan,2008,16
1010310_norrlandsgatan,2009,19
1010310_norrlandsgatan,2010,23
1010310_norrlandsgatan,2011,25
1010310_norrlandsgatan,2012,29
1010310_norrlandsgatan,2013,34
1010310_norrlandsgatan,2014,37
1110111_brunnsgatan_n,2000,5
1110111_brunnsgatan_n,2001,-4
1110111_brunnsgatan_n,2002,-4
1110111_brunnsgatan_n,2003,-4
1110111_brunnsgatan_n,2004,-4
1110111_brunnsgatan_n,2005,5
1110111_brunnsgatan_n,2006,2
1110111_brunnsgatan_n,2007,9
1110111_brunnsgatan_n,2008,7
1110111_brunnsgatan_n,2009,7
1110111_brunnsgatan_n,2010,17
1110111_brunnsgatan_n,2011,12
1110111_brunnsgatan_n,2012,14
1110111_brunnsgatan_n,2013,15
1110111_brunnsgatan_n,2014,18
1110112_brunnsgatan_s,2000,-2
1110112_brunnsgatan_s,2001,1
1110112_brunnsgatan_s,2002,-8
1110112_brunnsgatan_s,2003,-12
1110112_brunnsgatan_s,2004,-26
1110112_brunnsgatan_s,2005,-19
1110112_brunnsgatan_s,2006,-14
1110112_brunnsgatan_s,2007,-17
1110112_brunnsgatan_s,2008,-8
1110112_brunnsgatan_s,2009,-11
1110112_brunnsgatan_s,2010,-11
1110112_brunnsgatan_s,2011,-7
1110112_brunnsgatan_s,2012,-6
1110112_brunnsgatan_s,2013,1
1110112_brunnsgatan_s,2014,1
1110120_johannes_kyrka,2000,12
1110120_johannes_kyrka,2001,-5
1110120_johannes_kyrka,2002,0
1110120_johannes_kyrka,2003,19
1110120_johannes_kyrka,2004,9
1110120_johannes_kyrka,2005,8
1110120_johannes_kyrka,2006,-3
1110120_johannes_kyrka,2007,0
1110120_johannes_kyrka,2008,1
1110120_johannes_kyrka,2009,8
1110120_johannes_kyrka,2010,8
1110120_johannes_kyrka,2011,11
1110120_johannes_kyrka,2012,5
1110120_johannes_kyrka,2013,11
1110120_johannes_kyrka,2014,18
1110210_wenner_gren_center,2000,-6
1110210_wenner_gren_center,2001,-10
1110210_wenner_gren_center,2002,-16
1110210_wenner_gren_center,2003,-22
1110210_wenner_gren_center,2004,-32
1110210_wenner_gren_center,2005,-43
1110210_wenner_gren_center,2006,-50
1110210_wenner_gren_center,2007,-65
1110210_wenner_gren_center,2008,-68
1110210_wenner_gren_center,2009,-78
1110210_wenner_gren_center,2010,-76
1110210_wenner_gren_center,2011,-86
1110210_wenner_gren_center,2012,-81
1110210_wenner_gren_center,2013,-95
1110210_wenner_gren_center,2014,-95
1110220_vanadislunden,2000,23
1110220_vanadislunden,2001,72
1110220_vanadislunden,2002,70
1110220_vanadislunden,2003,81
1110220_vanadislunden,2004,72
1110220_vanadislunden,2005,76
1110220_vanadislunden,2006,71
1110220_vanadislunden,2007,40
1110220_vanadislunden,2008,71
1110220_vanadislunden,2009,83
1110220_vanadislunden,2010,87
1110220_vanadislunden,2011,95
1110220_vanadislunden,2012,81
1110220_vanadislunden,2013,84
1110220_vanadislunden,2014,79
1110230_surbrunnsomradet,2000,13
1110230_surbrunnsomradet,2001,8
1110230_surbrunnsomradet,2002,2
1110230_surbrunnsomradet,2003,29
1110230_surbrunnsomradet,2004,40
1110230_surbrunnsomradet,2005,25
1110230_surbrunnsomradet,2006,43
1110230_surbrunnsomradet,2007,50
1110230_surbrunnsomradet,2008,73
1110230_surbrunnsomradet,2009,66
1110230_surbrunnsomradet,2010,61
1110230_surbrunnsomradet,2011,71
1110230_surbrunnsomradet,2012,88
1110230_surbrunnsomradet,2013,110
1110230_surbrunnsomradet,2014,126
1110240_norra_real,2000,-8
1110240_norra_real,2001,5
1110240_norra_real,2002,7
1110240_norra_real,2003,19
1110240_norra_real,2004,34
1110240_norra_real,2005,25
1110240_norra_real,2006,23
1110240_norra_real,2007,4
1110240_norra_real,2008,4
1110240_norra_real,2009,9
1110240_norra_real,2010,18
1110240_norra_real,2011,9
1110240_norra_real,2012,7
1110240_norra_real,2013,27
1110240_norra_real,2014,30
1110250_elverket,2000,2
1110250_elverket,2001,2
1110250_elverket,2002,1
1110250_elverket,2003,-7
1110250_elverket,2004,-9
1110250_elverket,2005,-1
1110250_elverket,2006,-2
1110250_elverket,2007,5
1110250_elverket,2008,0
1110250_elverket,2009,-4
1110250_elverket,2010,-8
1110250_elverket,2011,-7
1110250_elverket,2012,-7
1110250_elverket,2013,-1
1110250_elverket,2014,-5
1120110_tegnerlunden,2000,-3
1120110_tegnerlunden,2001,8
1120110_tegnerlunden,2002,21
1120110_tegnerlunden,2003,35
1120110_tegnerlunden,2004,31
1120110_tegnerlunden,2005,16
1120110_tegnerlunden,2006,36
1120110_tegnerlunden,2007,48
1120110_tegnerlunden,2008,50
1120110_tegnerlunden,2009,35
1120110_tegnerlunden,2010,26
1120110_tegnerlunden,2011,54
1120110_tegnerlunden,2012,44
1120110_tegnerlunden,2013,31
1120110_tegnerlunden,2014,29
1120120_tandlakarhogskolan,2000,-4
1120120_tandlakarhogskolan,2001,-10
1120120_tandlakarhogskolan,2002,-7
1120120_tandlakarhogskolan,2003,-2
1120120_tandlakarhogskolan,2004,0
1120120_tandlakarhogskolan,2005,-13
1120120_tandlakarhogskolan,2006,-6
1120120_tandlakarhogskolan,2007,-12
1120120_tandlakarhogskolan,2008,-6
1120120_tandlakarhogskolan,2009,-7
1120120_tandlakarhogskolan,2010,-19
1120120_tandlakarhogskolan,2011,-31
1120120_tandlakarhogskolan,2012,-19
1120120_tandlakarhogskolan,2013,-22
1120120_tandlakarhogskolan,2014,-16
1120131_norra_bantorget_o,2000,-6
1120131_norra_bantorget_o,2001,-11
1120131_norra_bantorget_o,2002,-7
1120131_norra_bantorget_o,2003,-4
1120131_norra_bantorget_o,2004,-8
1120131_norra_bantorget_o,2005,-7
1120131_norra_bantorget_o,2006,-8
1120131_norra_bantorget_o,2007,-5
1120131_norra_bantorget_o,2008,26
1120131_norra_bantorget_o,2009,43
1120131_norra_bantorget_o,2010,45
1120131_norra_bantorget_o,2011,41
1120131_norra_bantorget_o,2012,43
1120131_norra_bantorget_o,2013,34
1120131_norra_bantorget_o,2014,43
1120132_norra_bantorget_v,2010,17
1120132_norra_bantorget_v,2011,20
1120132_norra_bantorget_v,2012,21
1120132_norra_bantorget_v,2013,24
1120132_norra_bantorget_v,2014,22
1120140_adolf_fredriks_kyrka,2000,-3
1120140_adolf_fredriks_kyrka,2001,-9
1120140_adolf_fredriks_kyrka,2002,0
1120140_adolf_fredriks_kyrka,2003,7
1120140_adolf_fredriks_kyrka,2004,13
1120140_adolf_fredriks_kyrka,2005,17
1120140_adolf_fredriks_kyrka,2006,13
1120140_adolf_fredriks_kyrka,2007,10
1120140_adolf_fredriks_kyrka,2008,18
1120140_adolf_fredriks_kyrka,2009,12
1120140_adolf_fredriks_kyrka,2010,25
1120140_adolf_fredriks_kyrka,2011,14
1120140_adolf_fredriks_kyrka,2012,-5
1120140_adolf_fredriks_kyrka,2013,2
1120140_adolf_fredriks_kyrka,2014,24
1120150_skandiahuset,2000,7
1120150_skandiahuset,2001,6
1120150_skandiahuset,2002,5
1120150_skandiahuset,2003,13
1120150_skandiahuset,2004,6
1120150_skandiahuset,2005,16
1120150_skandiahuset,2006,17
1120150_skandiahuset,2007,31
1120150_skandiahuset,2008,23
1120150_skandiahuset,2009,19
1120150_skandiahuset,2010,22
1120150_skandiahuset,2011,23
1120150_skandiahuset,2012,27
1120150_skandiahuset,2013,28
1120150_skandiahuset,2014,24
1120210_kungsstenen,2000,7
1120210_kungsstenen,2001,14
1120210_kungsstenen,2002,12
1120210_kungsstenen,2003,18
1120210_kungsstenen,2004,14
1120210_kungsstenen,2005,33
1120210_kungsstenen,2006,52
1120210_kungsstenen,2007,46
1120210_kungsstenen,2008,57
1120210_kungsstenen,2009,74
1120210_kungsstenen,2010,81
1120210_kungsstenen,2011,88
1120210_kungsstenen,2012,81
1120210_kungsstenen,2013,83
1120210_kungsstenen,2014,105
1120220_saltmatargatan,2000,2
1120220_saltmatargatan,2001,3
1120220_saltmatargatan,2002,2
1120220_saltmatargatan,2003,0
1120220_saltmatargatan,2004,1
1120220_saltmatargatan,2005,3
1120220_saltmatargatan,2006,5
1120220_saltmatargatan,2007,7
1120220_saltmatargatan,2008,10
1120220_saltmatargatan,2009,11
1120220_saltmatargatan,2010,12
1120220_saltmatargatan,2011,7
1120220_saltmatargatan,2012,10
1120220_saltmatargatan,2013,15
1120220_saltmatargatan,2014,18
1120230_sjokatten,2000,-2
1120230_sjokatten,2001,12
1120230_sjokatten,2002,14
1120230_sjokatten,2003,16
1120230_sjokatten,2004,5
1120230_sjokatten,2005,16
1120230_sjokatten,2006,33
1120230_sjokatten,2007,25
1120230_sjokatten,2008,37
1120230_sjokatten,2009,39
1120230_sjokatten,2010,49
1120230_sjokatten,2011,58
1120230_sjokatten,2012,52
1120230_sjokatten,2013,59
1120230_sjokatten,2014,54
1130110_atlasomradet,2000,18
1130110_atlasomradet,2001,43
1130110_atlasomradet,2002,66
1130110_atlasomradet,2003,49
1130110_atlasomradet,2004,17
1130110_atlasomradet,2005,18
1130110_atlasomradet,2006,19
1130110_atlasomradet,2007,11
1130110_atlasomradet,2008,16
1130110_atlasomradet,2009,6
1130110_atlasomradet,2010,21
1130110_atlasomradet,2011,-7
1130110_atlasomradet,2012,17
1130110_atlasomradet,2013,38
1130110_atlasomradet,2014,43
1130120_gustav_vasa_kyrka,2000,25
1130120_gustav_vasa_kyrka,2001,-3
1130120_gustav_vasa_kyrka,2002,5
1130120_gustav_vasa_kyrka,2003,16
1130120_gustav_vasa_kyrka,2004,43
1130120_gustav_vasa_kyrka,2005,69
