basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_female
4111110_norra_runby,2000,0.16024
4111110_norra_runby,2001,0.17576
4111110_norra_runby,2002,0.17818
4111110_norra_runby,2003,0.1971
4111110_norra_runby,2004,0.21072
4111110_norra_runby,2005,0.22478
4111110_norra_runby,2006,0.23816
4111110_norra_runby,2007,0.23729
4111110_norra_runby,2008,0.24868
4111110_norra_runby,2009,0.25162
4111110_norra_runby,2010,0.26384
4111110_norra_runby,2011,0.2716
4111110_norra_runby,2012,0.27273
4111110_norra_runby,2013,0.28659
4111110_norra_runby,2014,0.29398
4111120_sodra_runby,2000,0.175
4111120_sodra_runby,2001,0.16667
4111120_sodra_runby,2002,0.17094
4111120_sodra_runby,2003,0.15315
4111120_sodra_runby,2004,0.15179
4111120_sodra_runby,2005,0.14953
4111120_sodra_runby,2006,0.16071
4111120_sodra_runby,2007,0.19608
4111120_sodra_runby,2008,0.1913
4111120_sodra_runby,2009,0.26087
4111120_sodra_runby,2010,0.26126
4111120_sodra_runby,2011,0.26496
4111120_sodra_runby,2012,0.23932
4111120_sodra_runby,2013,0.27119
4111120_sodra_runby,2014,0.30476
4111130_runby_lovsta,2000,0.176
4111130_runby_lovsta,2001,0.17213
4111130_runby_lovsta,2002,0.18801
4111130_runby_lovsta,2003,0.19373
4111130_runby_lovsta,2004,0.20597
4111130_runby_lovsta,2005,0.24324
4111130_runby_lovsta,2006,0.2454
4111130_runby_lovsta,2007,0.25161
4111130_runby_lovsta,2008,0.24684
4111130_runby_lovsta,2009,0.27181
4111130_runby_lovsta,2010,0.25597
4111130_runby_lovsta,2011,0.27063
4111130_runby_lovsta,2012,0.28814
4111130_runby_lovsta,2013,0.30303
4111130_runby_lovsta,2014,0.31186
4111140_prastgardsmarken,2000,0.18605
4111140_prastgardsmarken,2001,0.21394
4111140_prastgardsmarken,2002,0.21675
4111140_prastgardsmarken,2003,0.20714
4111140_prastgardsmarken,2004,0.18993
4111140_prastgardsmarken,2005,0.20048
4111140_prastgardsmarken,2006,0.19704
4111140_prastgardsmarken,2007,0.21412
4111140_prastgardsmarken,2008,0.21462
4111140_prastgardsmarken,2009,0.21823
4111140_prastgardsmarken,2010,0.21867
4111140_prastgardsmarken,2011,0.23373
4111140_prastgardsmarken,2012,0.22066
4111140_prastgardsmarken,2013,0.22892
4111140_prastgardsmarken,2014,0.24018
4111900_eds_glesbygd,2000,0.21739
4111900_eds_glesbygd,2001,0.24638
4111900_eds_glesbygd,2002,0.26087
4111900_eds_glesbygd,2003,0.25191
4111900_eds_glesbygd,2004,0.23664
4111900_eds_glesbygd,2005,0.25
4111900_eds_glesbygd,2006,0.25564
4111900_eds_glesbygd,2007,0.2377
4111900_eds_glesbygd,2008,0.26829
4111900_eds_glesbygd,2009,0.29204
4111900_eds_glesbygd,2010,0.25806
4111900_eds_glesbygd,2011,0.27559
4111900_eds_glesbygd,2012,0.29412
4111900_eds_glesbygd,2013,0.29915
4111900_eds_glesbygd,2014,0.31897
4122100_lowenstromska_sjukhuset,2000,0.09868
4122100_lowenstromska_sjukhuset,2001,0.09589
4122100_lowenstromska_sjukhuset,2002,0.10625
4122100_lowenstromska_sjukhuset,2003,0.12025
4122100_lowenstromska_sjukhuset,2004,0.12883
4122100_lowenstromska_sjukhuset,2005,0.12258
4122100_lowenstromska_sjukhuset,2006,0.12687
4122100_lowenstromska_sjukhuset,2007,0.12698
4122100_lowenstromska_sjukhuset,2008,0.10294
4122100_lowenstromska_sjukhuset,2009,0.08871
4122100_lowenstromska_sjukhuset,2010,0.0916
4122100_lowenstromska_sjukhuset,2011,0.12319
4122100_lowenstromska_sjukhuset,2012,0.11429
4122100_lowenstromska_sjukhuset,2013,0.10959
4122100_lowenstromska_sjukhuset,2014,0.15132
4122210_norra_vilunda,2000,0.22186
4122210_norra_vilunda,2001,0.23077
4122210_norra_vilunda,2002,0.23129
4122210_norra_vilunda,2003,0.25256
4122210_norra_vilunda,2004,0.24483
4122210_norra_vilunda,2005,0.24561
4122210_norra_vilunda,2006,0.25177
4122210_norra_vilunda,2007,0.25614
4122210_norra_vilunda,2008,0.27645
4122210_norra_vilunda,2009,0.2963
4122210_norra_vilunda,2010,0.29123
4122210_norra_vilunda,2011,0.28674
4122210_norra_vilunda,2012,0.3
4122210_norra_vilunda,2013,0.2807
4122210_norra_vilunda,2014,0.28467
4122230_apoteksskogen,2000,0.09601
4122230_apoteksskogen,2001,0.09224
