basomrade,year,cumulative_immigration_surplus_male
1010120_skeppsbron,2000,5
1010120_skeppsbron,2001,4
1010120_skeppsbron,2002,9
1010120_skeppsbron,2003,-6
1010120_skeppsbron,2004,3
1010120_skeppsbron,2005,1
1010120_skeppsbron,2006,4
1010120_skeppsbron,2007,18
1010120_skeppsbron,2008,22
1010120_skeppsbron,2009,16
1010120_skeppsbron,2010,26
1010120_skeppsbron,2011,20
1010120_skeppsbron,2012,16
1010120_skeppsbron,2013,8
1010120_skeppsbron,2014,22
1010130_munkbron,2000,12
1010130_munkbron,2001,25
1010130_munkbron,2002,14
1010130_munkbron,2003,9
1010130_munkbron,2004,-7
1010130_munkbron,2005,-17
1010130_munkbron,2006,-18
1010130_munkbron,2007,-12
1010130_munkbron,2008,-31
1010130_munkbron,2009,-21
1010130_munkbron,2010,-18
1010130_munkbron,2011,-10
1010130_munkbron,2012,5
1010130_munkbron,2013,13
1010130_munkbron,2014,8
1010140_stortorget,2000,-20
1010140_stortorget,2001,-19
1010140_stortorget,2002,-15
1010140_stortorget,2003,-11
1010140_stortorget,2004,-12
1010140_stortorget,2005,-16
1010140_stortorget,2006,-10
1010140_stortorget,2007,-21
1010140_stortorget,2008,-18
1010140_stortorget,2009,-24
1010140_stortorget,2010,-28
1010140_stortorget,2011,-39
1010140_stortorget,2012,-39
1010140_stortorget,2013,-28
1010140_stortorget,2014,-27
1010201_centralstationen_n,2000,1
1010201_centralstationen_n,2001,-7
1010201_centralstationen_n,2002,-16
1010201_centralstationen_n,2003,-23
1010201_centralstationen_n,2004,-24
1010201_centralstationen_n,2005,-30
1010201_centralstationen_n,2006,-42
1010201_centralstationen_n,2007,-39
1010201_centralstationen_n,2008,-50
1010201_centralstationen_n,2009,-55
1010201_centralstationen_n,2010,-67
1010201_centralstationen_n,2011,-74
1010201_centralstationen_n,2012,-72
1010201_centralstationen_n,2013,-76
1010201_centralstationen_n,2014,-92
1010220_klara_kyrka,2000,4
1010220_klara_kyrka,2001,0
1010220_klara_kyrka,2002,28
1010220_klara_kyrka,2003,32
1010220_klara_kyrka,2004,31
1010220_klara_kyrka,2005,31
1010220_klara_kyrka,2006,30
1010220_klara_kyrka,2007,28
1010220_klara_kyrka,2008,30
1010220_klara_kyrka,2009,32
1010220_klara_kyrka,2010,34
1010220_klara_kyrka,2011,18
1010220_klara_kyrka,2012,26
1010220_klara_kyrka,2013,24
1010220_klara_kyrka,2014,21
1010230_centralposten,2000,2
1010230_centralposten,2001,-2
1010230_centralposten,2002,0
1010230_centralposten,2003,59
1010230_centralposten,2004,70
1010230_centralposten,2005,66
1010230_centralposten,2006,67
1010230_centralposten,2007,68
1010230_centralposten,2008,73
1010230_centralposten,2009,76
1010230_centralposten,2010,73
1010230_centralposten,2011,70
1010230_centralposten,2012,78
1010230_centralposten,2013,78
1010230_centralposten,2014,79
1010240_oscarsteatern,2000,-1
1010240_oscarsteatern,2001,-16
1010240_oscarsteatern,2002,-16
1010240_oscarsteatern,2003,-18
1010240_oscarsteatern,2004,-22
1010240_oscarsteatern,2005,-24
1010240_oscarsteatern,2006,-28
1010240_oscarsteatern,2007,-32
1010240_oscarsteatern,2008,-35
1010240_oscarsteatern,2009,-32
1010240_oscarsteatern,2010,-35
1010240_oscarsteatern,2011,-11
1010240_oscarsteatern,2012,-17
1010240_oscarsteatern,2013,-27
1010240_oscarsteatern,2014,-32
1010250_brunkeberg,2000,4
1010250_brunkeberg,2001,3
1010250_brunkeberg,2002,-2
1010250_brunkeberg,2003,-6
1010250_brunkeberg,2004,-7
1010250_brunkeberg,2005,-11
1010250_brunkeberg,2006,-21
1010250_brunkeberg,2007,-27
1010250_brunkeberg,2008,-29
1010250_brunkeberg,2009,-28
1010250_brunkeberg,2010,-33
1010250_brunkeberg,2011,-32
1010250_brunkeberg,2012,-33
1010250_brunkeberg,2013,-35
1010250_brunkeberg,2014,-31
1010290_oxtorget,2000,-2
1010290_oxtorget,2001,-5
1010290_oxtorget,2002,-6
1010290_oxtorget,2003,20
1010290_oxtorget,2004,25
1010290_oxtorget,2005,16
1010290_oxtorget,2006,25
1010290_oxtorget,2007,27
1010290_oxtorget,2008,21
1010290_oxtorget,2009,34
1010290_oxtorget,2010,23
1010290_oxtorget,2011,7
1010290_oxtorget,2012,4
1010290_oxtorget,2013,5
1010290_oxtorget,2014,-9
1010310_norrlandsgatan,2000,1
1010310_norrlandsgatan,2001,-2
1010310_norrlandsgatan,2002,9
1010310_norrlandsgatan,2003,21
1010310_norrlandsgatan,2004,21
1010310_norrlandsgatan,2005,23
1010310_norrlandsgatan,2006,37
1010310_norrlandsgatan,2007,41
1010310_norrlandsgatan,2008,38
1010310_norrlandsgatan,2009,27
1010310_norrlandsgatan,2010,34
1010310_norrlandsgatan,2011,33
1010310_norrlandsgatan,2012,50
1010310_norrlandsgatan,2013,64
1010310_norrlandsgatan,2014,71
1110111_brunnsgatan_n,2000,-7
1110111_brunnsgatan_n,2001,-7
1110111_brunnsgatan_n,2002,12
1110111_brunnsgatan_n,2003,22
1110111_brunnsgatan_n,2004,16
1110111_brunnsgatan_n,2005,7
1110111_brunnsgatan_n,2006,16
1110111_brunnsgatan_n,2007,4
1110111_brunnsgatan_n,2008,0
1110111_brunnsgatan_n,2009,17
1110111_brunnsgatan_n,2010,28
1110111_brunnsgatan_n,2011,24
