basomrade,year,immigration_surplus_male
4122340_vilunda,2007,-3
4122340_vilunda,2008,-19
4122340_vilunda,2009,-19
4122340_vilunda,2010,13
4122340_vilunda,2011,-29
4122340_vilunda,2012,16
4122340_vilunda,2013,-1
4122340_vilunda,2014,-49
4122420_norra_smedby,2000,-13
4122420_norra_smedby,2001,-10
4122420_norra_smedby,2002,-11
4122420_norra_smedby,2003,-42
4122420_norra_smedby,2004,-45
4122420_norra_smedby,2005,-53
4122420_norra_smedby,2006,-44
4122420_norra_smedby,2007,12
4122420_norra_smedby,2008,-46
4122420_norra_smedby,2009,-38
4122420_norra_smedby,2010,-3
4122420_norra_smedby,2011,7
4122420_norra_smedby,2012,-18
4122420_norra_smedby,2013,11
4122420_norra_smedby,2014,36
4122430_sodra_smedby,2000,-2
4122430_sodra_smedby,2001,-21
4122430_sodra_smedby,2002,-13
4122430_sodra_smedby,2003,-21
4122430_sodra_smedby,2004,0
4122430_sodra_smedby,2005,-20
4122430_sodra_smedby,2006,-20
4122430_sodra_smedby,2007,-6
4122430_sodra_smedby,2008,0
4122430_sodra_smedby,2009,-12
4122430_sodra_smedby,2010,-20
4122430_sodra_smedby,2011,-14
4122430_sodra_smedby,2012,-14
4122430_sodra_smedby,2013,3
4122430_sodra_smedby,2014,-15
4122520_skalby,2000,-18
4122520_skalby,2001,-3
4122520_skalby,2002,-11
4122520_skalby,2003,-7
4122520_skalby,2004,-4
4122520_skalby,2005,2
4122520_skalby,2006,9
4122520_skalby,2007,1
4122520_skalby,2008,-13
4122520_skalby,2009,-18
4122520_skalby,2010,32
4122520_skalby,2011,6
4122520_skalby,2012,-3
4122520_skalby,2013,-3
4122520_skalby,2014,-7
4122530_carlslund,2000,13
4122530_carlslund,2001,-11
4122530_carlslund,2002,-13
4122530_carlslund,2003,-9
4122530_carlslund,2004,-11
4122530_carlslund,2005,-32
4122530_carlslund,2006,32
4122530_carlslund,2007,11
4122530_carlslund,2008,20
4122530_carlslund,2009,-19
4122530_carlslund,2010,73
4122530_carlslund,2011,23
4122530_carlslund,2012,18
4122530_carlslund,2013,37
4122530_carlslund,2014,3
4122540_brunnby,2000,1
4122540_brunnby,2001,0
4122540_brunnby,2002,-10
4122540_brunnby,2003,10
4122540_brunnby,2004,9
4122540_brunnby,2005,2
4122540_brunnby,2006,8
4122540_brunnby,2007,-1
4122540_brunnby,2008,9
4122540_brunnby,2009,3
4122540_brunnby,2010,-7
4122540_brunnby,2011,-5
4122540_brunnby,2012,-12
4122540_brunnby,2013,-12
4122540_brunnby,2014,-3
4122600_vastra_odenslunda,2000,-7
4122600_vastra_odenslunda,2001,-5
4122600_vastra_odenslunda,2002,-4
4122600_vastra_odenslunda,2003,-3
4122600_vastra_odenslunda,2004,-7
4122600_vastra_odenslunda,2005,-8
4122600_vastra_odenslunda,2006,16
4122600_vastra_odenslunda,2007,9
4122600_vastra_odenslunda,2008,-2
4122600_vastra_odenslunda,2009,0
4122600_vastra_odenslunda,2010,-21
4122600_vastra_odenslunda,2011,-14
4122600_vastra_odenslunda,2012,1
4122600_vastra_odenslunda,2013,0
4122600_vastra_odenslunda,2014,12
4133110_sanda,2000,5
4133110_sanda,2001,-1
4133110_sanda,2002,-2
4133110_sanda,2003,-8
4133110_sanda,2004,23
4133110_sanda,2005,-7
4133110_sanda,2006,4
4133110_sanda,2007,1
4133110_sanda,2008,47
4133110_sanda,2009,96
4133110_sanda,2010,25
4133110_sanda,2011,29
4133110_sanda,2012,38
4133110_sanda,2013,29
4133110_sanda,2014,23
4133120_ostra_odenslunda,2000,-11
4133120_ostra_odenslunda,2001,-7
4133120_ostra_odenslunda,2002,5
4133120_ostra_odenslunda,2003,4
4133120_ostra_odenslunda,2004,15
4133120_ostra_odenslunda,2005,29
4133120_ostra_odenslunda,2006,-22
4133120_ostra_odenslunda,2007,-7
4133120_ostra_odenslunda,2008,2
4133120_ostra_odenslunda,2009,-16
4133120_ostra_odenslunda,2010,-18
4133120_ostra_odenslunda,2011,-10
4133120_ostra_odenslunda,2012,8
4133120_ostra_odenslunda,2013,-14
4133120_ostra_odenslunda,2014,-18
4133200_frestaby,2000,-5
4133200_frestaby,2001,-16
4133200_frestaby,2002,-4
4133200_frestaby,2003,-23
4133200_frestaby,2004,-21
4133200_frestaby,2005,5
4133200_frestaby,2006,10
4133200_frestaby,2007,32
4133200_frestaby,2008,2
4133200_frestaby,2009,11
4133200_frestaby,2010,-14
4133200_frestaby,2011,-13
4133200_frestaby,2012,-11
4133200_frestaby,2013,4
4133200_frestaby,2014,31
4133310_vastra_bollstanas,2000,-40
4133310_vastra_bollstanas,2001,-16
4133310_vastra_bollstanas,2002,-20
4133310_vastra_bollstanas,2003,-21
4133310_vastra_bollstanas,2004,-3
4133310_vastra_bollstanas,2005,2
4133310_vastra_bollstanas,2006,-7
4133310_vastra_bollstanas,2007,11
4133310_vastra_bollstanas,2008,29
4133310_vastra_bollstanas,2009,-7
4133310_vastra_bollstanas,2010,9
4133310_vastra_bollstanas,2011,6
4133310_vastra_bollstanas,2012,21
4133310_vastra_bollstanas,2013,-14
4133310_vastra_bollstanas,2014,0
4133330_ostra_bollstanas,2000,11
4133330_ostra_bollstanas,2001,-36
4133330_ostra_bollstanas,2002,6
4133330_ostra_bollstanas,2003,-31
4133330_ostra_bollstanas,2004,-13
4133330_ostra_bollstanas,2005,39
4133330_ostra_bollstanas,2006,8
4133330_ostra_bollstanas,2007,-23
4133330_ostra_bollstanas,2008,-34
4133330_ostra_bollstanas,2009,-17
4133330_ostra_bollstanas,2010,-8
4133330_ostra_bollstanas,2011,-7
4133330_ostra_bollstanas,2012,-24
4133330_ostra_bollstanas,2013,-10
4133330_ostra_bollstanas,2014,19
4133350_sodra_bollstanas,2000,22
4133350_sodra_bollstanas,2001,29
4133350_sodra_bollstanas,2002,-13
4133350_sodra_bollstanas,2003,-4
4133350_sodra_bollstanas,2004,4
4133350_sodra_bollstanas,2005,5
4133350_sodra_bollstanas,2006,6
4133350_sodra_bollstanas,2007,-5
4133350_sodra_bollstanas,2008,-10
4133350_sodra_bollstanas,2009,-29
4133350_sodra_bollstanas,2010,-26
4133350_sodra_bollstanas,2011,-7
4133350_sodra_bollstanas,2012,-4
4133350_sodra_bollstanas,2013,1
4133350_sodra_bollstanas,2014,-13
4133910_fresta_norra_glesbygd,2000,2
4133910_fresta_norra_glesbygd,2001,3
4133910_fresta_norra_glesbygd,2002,25
4133910_fresta_norra_glesbygd,2003,18
4133910_fresta_norra_glesbygd,2004,-5
4133910_fresta_norra_glesbygd,2005,10
4133910_fresta_norra_glesbygd,2006,8
4133910_fresta_norra_glesbygd,2007,-6
4133910_fresta_norra_glesbygd,2008,0
4133910_fresta_norra_glesbygd,2009,-6
4133910_fresta_norra_glesbygd,2010,3
4133910_fresta_norra_glesbygd,2011,2
4133910_fresta_norra_glesbygd,2012,-1
4133910_fresta_norra_glesbygd,2013,3
4133910_fresta_norra_glesbygd,2014,-1
4133920_fresta_sodra_glesbygd,2000,4
4133920_fresta_sodra_glesbygd,2001,-4
4133920_fresta_sodra_glesbygd,2002,-6
4133920_fresta_sodra_glesbygd,2003,-2
4133920_fresta_sodra_glesbygd,2004,2
4133920_fresta_sodra_glesbygd,2005,1
4133920_fresta_sodra_glesbygd,2006,-2
4133920_fresta_sodra_glesbygd,2007,-7
4133920_fresta_sodra_glesbygd,2008,-4
4133920_fresta_sodra_glesbygd,2009,4
4133920_fresta_sodra_glesbygd,2010,2
4133920_fresta_sodra_glesbygd,2011,3
4133920_fresta_sodra_glesbygd,2012,6
4133920_fresta_sodra_glesbygd,2013,2
4133920_fresta_sodra_glesbygd,2014,0
4210110_centrala_vallentuna,2000,-10
4210110_centrala_vallentuna,2001,-2
4210110_centrala_vallentuna,2002,54
4210110_centrala_vallentuna,2003,35
4210110_centrala_vallentuna,2004,-1
4210110_centrala_vallentuna,2005,-27
4210110_centrala_vallentuna,2006,-3
4210110_centrala_vallentuna,2007,15
4210110_centrala_vallentuna,2008,22
4210110_centrala_vallentuna,2009,4
4210110_centrala_vallentuna,2010,5
4210110_centrala_vallentuna,2011,13
4210110_centrala_vallentuna,2012,33
4210110_centrala_vallentuna,2013,-2
4210110_centrala_vallentuna,2014,5
4210210_norra_vallentuna_tatort,2000,-17
4210210_norra_vallentuna_tatort,2001,28
4210210_norra_vallentuna_tatort,2002,-49
4210210_norra_vallentuna_tatort,2003,-43
4210210_norra_vallentuna_tatort,2004,9
4210210_norra_vallentuna_tatort,2005,-13
4210210_norra_vallentuna_tatort,2006,-32
4210210_norra_vallentuna_tatort,2007,-14
4210210_norra_vallentuna_tatort,2008,-6
4210210_norra_vallentuna_tatort,2009,4
4210210_norra_vallentuna_tatort,2010,-5
4210210_norra_vallentuna_tatort,2011,-12
4210210_norra_vallentuna_tatort,2012,-29
4210210_norra_vallentuna_tatort,2013,-15
4210210_norra_vallentuna_tatort,2014,-6
4210220_nv_a_vallentuna_tatort,2000,38
4210220_nv_a_vallentuna_tatort,2001,-1
4210220_nv_a_vallentuna_tatort,2002,4
4210220_nv_a_vallentuna_tatort,2003,-11
4210220_nv_a_vallentuna_tatort,2004,14
4210220_nv_a_vallentuna_tatort,2005,-5
4210220_nv_a_vallentuna_tatort,2006,20
4210220_nv_a_vallentuna_tatort,2007,90
4210220_nv_a_vallentuna_tatort,2008,50
4210220_nv_a_vallentuna_tatort,2009,45
4210220_nv_a_vallentuna_tatort,2010,56
4210220_nv_a_vallentuna_tatort,2011,22
4210220_nv_a_vallentuna_tatort,2012,30
4210220_nv_a_vallentuna_tatort,2013,24
4210220_nv_a_vallentuna_tatort,2014,4
4210320_ostra_ormsta,2000,29
4210320_ostra_ormsta,2001,26
4210320_ostra_ormsta,2002,-10
4210320_ostra_ormsta,2003,3
4210320_ostra_ormsta,2004,3
4210320_ostra_ormsta,2005,-29
4210320_ostra_ormsta,2006,-29
4210320_ostra_ormsta,2007,-13
