basomrade,year,immigration_surplus_male
3250201_hilleshogs_fd_forsaml,2005,13
3250201_hilleshogs_fd_forsaml,2006,13
3250201_hilleshogs_fd_forsaml,2007,8
3250201_hilleshogs_fd_forsaml,2008,-12
3250201_hilleshogs_fd_forsaml,2009,1
3250201_hilleshogs_fd_forsaml,2010,14
3250201_hilleshogs_fd_forsaml,2011,-8
3250201_hilleshogs_fd_forsaml,2012,-7
3250201_hilleshogs_fd_forsaml,2013,-6
3250201_hilleshogs_fd_forsaml,2014,6
3250202_ricksattra,2000,1
3250202_ricksattra,2001,4
3250202_ricksattra,2002,3
3250202_ricksattra,2003,-3
3250202_ricksattra,2004,5
3250202_ricksattra,2005,4
3250202_ricksattra,2006,-1
3250202_ricksattra,2007,-4
3250202_ricksattra,2008,5
3250202_ricksattra,2009,1
3250202_ricksattra,2010,2
3250202_ricksattra,2011,-5
3250202_ricksattra,2012,1
3250202_ricksattra,2013,2
3250202_ricksattra,2014,-8
3250310_stenhamra,2000,-22
3250310_stenhamra,2001,-18
3250310_stenhamra,2002,-16
3250310_stenhamra,2003,6
3250310_stenhamra,2004,-32
3250310_stenhamra,2005,12
3250310_stenhamra,2006,-17
3250310_stenhamra,2007,29
3250310_stenhamra,2008,-3
3250310_stenhamra,2009,-36
3250310_stenhamra,2010,2
3250310_stenhamra,2011,17
3250310_stenhamra,2012,-4
3250310_stenhamra,2013,-9
3250310_stenhamra,2014,6
3250320_sanga_glesbygd,2000,9
3250320_sanga_glesbygd,2001,18
3250320_sanga_glesbygd,2002,-6
3250320_sanga_glesbygd,2003,-3
3250320_sanga_glesbygd,2004,15
3250320_sanga_glesbygd,2005,-1
3250320_sanga_glesbygd,2006,10
3250320_sanga_glesbygd,2007,2
3250320_sanga_glesbygd,2008,-10
3250320_sanga_glesbygd,2009,-5
3250320_sanga_glesbygd,2010,6
3250320_sanga_glesbygd,2011,3
3250320_sanga_glesbygd,2012,3
3250320_sanga_glesbygd,2013,-22
3250320_sanga_glesbygd,2014,1
3250400_ska_fd_forsaml,2000,-13
3250400_ska_fd_forsaml,2001,25
3250400_ska_fd_forsaml,2002,6
3250400_ska_fd_forsaml,2003,16
3250400_ska_fd_forsaml,2004,14
3250400_ska_fd_forsaml,2005,21
3250400_ska_fd_forsaml,2006,4
3250400_ska_fd_forsaml,2007,-21
3250400_ska_fd_forsaml,2008,-17
3250400_ska_fd_forsaml,2009,9
3250400_ska_fd_forsaml,2010,22
3250400_ska_fd_forsaml,2011,18
3250400_ska_fd_forsaml,2012,29
3250400_ska_fd_forsaml,2013,19
3250400_ska_fd_forsaml,2014,21
5310420_skogsang_milsten,2000,51
5310420_skogsang_milsten,2001,-42
5310420_skogsang_milsten,2002,-44
5310420_skogsang_milsten,2003,-11
5310420_skogsang_milsten,2004,-31
5310420_skogsang_milsten,2005,17
5310420_skogsang_milsten,2006,-25
5310420_skogsang_milsten,2007,-31
5310420_skogsang_milsten,2008,-14
5310420_skogsang_milsten,2009,16
5310420_skogsang_milsten,2010,-12
5310420_skogsang_milsten,2011,0
5310420_skogsang_milsten,2012,-28
5310420_skogsang_milsten,2013,9
5310420_skogsang_milsten,2014,14
5310810_fullersta_gard,2000,5
5310810_fullersta_gard,2001,-16
5310810_fullersta_gard,2002,-14
5310810_fullersta_gard,2003,26
5310810_fullersta_gard,2004,56
5310810_fullersta_gard,2005,2
5310810_fullersta_gard,2006,-4
5310810_fullersta_gard,2007,-17
5310810_fullersta_gard,2008,8
5310810_fullersta_gard,2009,-8
5310810_fullersta_gard,2010,1
5310810_fullersta_gard,2011,31
5310810_fullersta_gard,2012,13
5310810_fullersta_gard,2013,9
5310810_fullersta_gard,2014,-8
5310830_fridhem,2000,-3
5310830_fridhem,2001,16
5310830_fridhem,2002,-6
5310830_fridhem,2003,8
5310830_fridhem,2004,21
5310830_fridhem,2005,14
5310830_fridhem,2006,-7
5310830_fridhem,2007,0
5310830_fridhem,2008,-2
5310830_fridhem,2009,-4
5310830_fridhem,2010,-14
5310830_fridhem,2011,7
5310830_fridhem,2012,-24
5310830_fridhem,2013,5
5310830_fridhem,2014,-2
5310840_kallbrink_vistaberg,2000,56
5310840_kallbrink_vistaberg,2001,-4
5310840_kallbrink_vistaberg,2002,-6
5310840_kallbrink_vistaberg,2003,-5
5310840_kallbrink_vistaberg,2004,7
5310840_kallbrink_vistaberg,2005,9
5310840_kallbrink_vistaberg,2006,-1
5310840_kallbrink_vistaberg,2007,26
5310840_kallbrink_vistaberg,2008,137
5310840_kallbrink_vistaberg,2009,159
5310840_kallbrink_vistaberg,2010,116
5310840_kallbrink_vistaberg,2011,111
5310840_kallbrink_vistaberg,2012,105
5310840_kallbrink_vistaberg,2013,91
5310840_kallbrink_vistaberg,2014,45
5310850_vardkasen,2000,-20
5310850_vardkasen,2001,3
5310850_vardkasen,2002,-2
5310850_vardkasen,2003,1
5310850_vardkasen,2004,-12
5310850_vardkasen,2005,-3
5310850_vardkasen,2006,-6
5310850_vardkasen,2007,11
5310850_vardkasen,2008,6
5310850_vardkasen,2009,-5
5310850_vardkasen,2010,-3
5310850_vardkasen,2011,3
5310850_vardkasen,2012,8
5310850_vardkasen,2013,4
5310850_vardkasen,2014,40
5310910_sjodalen_huddinge_c,2000,5
5310910_sjodalen_huddinge_c,2001,25
5310910_sjodalen_huddinge_c,2002,-30
5310910_sjodalen_huddinge_c,2003,-35
5310910_sjodalen_huddinge_c,2004,16
5310910_sjodalen_huddinge_c,2005,7
5310910_sjodalen_huddinge_c,2006,28
5310910_sjodalen_huddinge_c,2007,121
5310910_sjodalen_huddinge_c,2008,244
5310910_sjodalen_huddinge_c,2009,26
5310910_sjodalen_huddinge_c,2010,-34
5310910_sjodalen_huddinge_c,2011,-21
5310910_sjodalen_huddinge_c,2012,1
5310910_sjodalen_huddinge_c,2013,-13
5310910_sjodalen_huddinge_c,2014,-30
5310941_solgard,2000,9
5310941_solgard,2001,8
5310941_solgard,2002,-6
5310941_solgard,2003,-6
5310941_solgard,2004,-1
5310941_solgard,2005,-6
5310941_solgard,2006,-10
5310941_solgard,2007,-5
5310941_solgard,2008,20
5310941_solgard,2009,-19
5310941_solgard,2010,-2
5310941_solgard,2011,-5
5310941_solgard,2012,-9
5310941_solgard,2013,-26
5310941_solgard,2014,3
5310942_sorskogen,2000,-12
5310942_sorskogen,2001,-8
5310942_sorskogen,2002,-18
5310942_sorskogen,2003,-17
5310942_sorskogen,2004,-15
5310942_sorskogen,2005,3
5310942_sorskogen,2006,-7
5310942_sorskogen,2007,1
5310942_sorskogen,2008,9
5310942_sorskogen,2009,5
5310942_sorskogen,2010,25
5310942_sorskogen,2011,-3
5310942_sorskogen,2012,-1
5310942_sorskogen,2013,-10
5310942_sorskogen,2014,11
5310950_horningsnas_balingsnas,2000,-4
5310950_horningsnas_balingsnas,2001,-15
5310950_horningsnas_balingsnas,2002,-3
5310950_horningsnas_balingsnas,2003,-7
5310950_horningsnas_balingsnas,2004,-12
5310950_horningsnas_balingsnas,2005,7
5310950_horningsnas_balingsnas,2006,47
5310950_horningsnas_balingsnas,2007,4
5310950_horningsnas_balingsnas,2008,78
5310950_horningsnas_balingsnas,2009,22
5310950_horningsnas_balingsnas,2010,5
5310950_horningsnas_balingsnas,2011,42
5310950_horningsnas_balingsnas,2012,57
5310950_horningsnas_balingsnas,2013,-11
5310950_horningsnas_balingsnas,2014,83
5311010_stuvsta_kvarnberget,2000,-2
5311010_stuvsta_kvarnberget,2001,-7
5311010_stuvsta_kvarnberget,2002,3
5311010_stuvsta_kvarnberget,2003,-1
5311010_stuvsta_kvarnberget,2004,3
5311010_stuvsta_kvarnberget,2005,-1
5311010_stuvsta_kvarnberget,2006,11
5311010_stuvsta_kvarnberget,2007,4
5311010_stuvsta_kvarnberget,2008,12
5311010_stuvsta_kvarnberget,2009,0
5311010_stuvsta_kvarnberget,2010,14
5311010_stuvsta_kvarnberget,2011,10
5311010_stuvsta_kvarnberget,2012,11
5311010_stuvsta_kvarnberget,2013,10
5311010_stuvsta_kvarnberget,2014,3
5311030_segersminne,2000,-5
5311030_segersminne,2001,0
5311030_segersminne,2002,-11
5311030_segersminne,2003,49
5311030_segersminne,2004,-15
5311030_segersminne,2005,-6
5311030_segersminne,2006,3
5311030_segersminne,2007,13
5311030_segersminne,2008,-17
5311030_segersminne,2009,7
5311030_segersminne,2010,10
5311030_segersminne,2011,-7
5311030_segersminne,2012,15
5311030_segersminne,2013,0
5311030_segersminne,2014,8
5311041_stensangen_hogmora,2000,-9
5311041_stensangen_hogmora,2001,-27
5311041_stensangen_hogmora,2002,-6
5311041_stensangen_hogmora,2003,11
5311041_stensangen_hogmora,2004,-14
5311041_stensangen_hogmora,2005,-18
5311041_stensangen_hogmora,2006,-6
5311041_stensangen_hogmora,2007,66
5311041_stensangen_hogmora,2008,-11
5311041_stensangen_hogmora,2009,19
5311041_stensangen_hogmora,2010,-14
5311041_stensangen_hogmora,2011,-7
5311041_stensangen_hogmora,2012,-18
5311041_stensangen_hogmora,2013,-44
5311041_stensangen_hogmora,2014,-25
5311042_kynas,2000,9
5311042_kynas,2001,1
5311042_kynas,2002,-7
5311042_kynas,2003,-2
5311042_kynas,2004,9
5311042_kynas,2005,-13
5311042_kynas,2006,6
5311042_kynas,2007,6
5311042_kynas,2008,-10
5311042_kynas,2009,-9
5311042_kynas,2010,15
5311042_kynas,2011,-2
5311042_kynas,2012,-10
5311042_kynas,2013,3
5311042_kynas,2014,9
5311110_glado_kvarn,2000,24
5311110_glado_kvarn,2001,20
5311110_glado_kvarn,2002,27
5311110_glado_kvarn,2003,-4
5311110_glado_kvarn,2004,-13
5311110_glado_kvarn,2005,3
5311110_glado_kvarn,2006,4
5311110_glado_kvarn,2007,9
5311110_glado_kvarn,2008,12
5311110_glado_kvarn,2009,-5
5311110_glado_kvarn,2010,3
5311110_glado_kvarn,2011,3
5311110_glado_kvarn,2012,10
5311110_glado_kvarn,2013,-11
5311110_glado_kvarn,2014,5
5311120_adran,2000,-1
5311120_adran,2001,10
5311120_adran,2002,8
5311120_adran,2003,15
5311120_adran,2004,1
5311120_adran,2005,7
5311120_adran,2006,17
5311120_adran,2007,3
5311120_adran,2008,6
5311120_adran,2009,4
5311120_adran,2010,2
5311120_adran,2011,-3
5311120_adran,2012,13
5311120_adran,2013,2
5311120_adran,2014,-4
5320110_trangsunds_centrum,2000,-26
5320110_trangsunds_centrum,2001,46
5320110_trangsunds_centrum,2002,-14
5320110_trangsunds_centrum,2003,-20
5320110_trangsunds_centrum,2004,-18
5320110_trangsunds_centrum,2005,63
5320110_trangsunds_centrum,2006,-51
5320110_trangsunds_centrum,2007,6
5320110_trangsunds_centrum,2008,20
5320110_trangsunds_centrum,2009,19
5320110_trangsunds_centrum,2010,-18
5320110_trangsunds_centrum,2011,18
5320110_trangsunds_centrum,2012,0
5320110_trangsunds_centrum,2013,-10
5320110_trangsunds_centrum,2014,-21
5320120_trangsunds_smahus,2000,109
5320120_trangsunds_smahus,2001,4
5320120_trangsunds_smahus,2002,12
5320120_trangsunds_smahus,2003,27
5320120_trangsunds_smahus,2004,5
5320120_trangsunds_smahus,2005,32
5320120_trangsunds_smahus,2006,28
5320120_trangsunds_smahus,2007,5
5320120_trangsunds_smahus,2008,27
5320120_trangsunds_smahus,2009,12
5320120_trangsunds_smahus,2010,-18
5320120_trangsunds_smahus,2011,-11
5320120_trangsunds_smahus,2012,15
5320120_trangsunds_smahus,2013,21
5320120_trangsunds_smahus,2014,62
5320310_vastra_skogas,2000,17
5320310_vastra_skogas,2001,-51
5320310_vastra_skogas,2002,-21
5320310_vastra_skogas,2003,-81
5320310_vastra_skogas,2004,-51
5320310_vastra_skogas,2005,22
5320310_vastra_skogas,2006,-48
5320310_vastra_skogas,2007,29
5320310_vastra_skogas,2008,-27
5320310_vastra_skogas,2009,-102
5320310_vastra_skogas,2010,-21
5320310_vastra_skogas,2011,-72
5320310_vastra_skogas,2012,-41
5320310_vastra_skogas,2013,-42
5320310_vastra_skogas,2014,20
5320320_ostra_skogas,2000,-13
5320320_ostra_skogas,2001,-29
5320320_ostra_skogas,2002,-41
5320320_ostra_skogas,2003,-52
5320320_ostra_skogas,2004,-67
5320320_ostra_skogas,2005,-50
5320320_ostra_skogas,2006,-8
5320320_ostra_skogas,2007,-22
5320320_ostra_skogas,2008,-77
5320320_ostra_skogas,2009,-4
5320320_ostra_skogas,2010,-48
5320320_ostra_skogas,2011,19
5320320_ostra_skogas,2012,-59
5320320_ostra_skogas,2013,-37
5320320_ostra_skogas,2014,-62
5320410_lanna_drevviken,2000,85
5320410_lanna_drevviken,2001,97
5320410_lanna_drevviken,2002,45
5320410_lanna_drevviken,2003,34
5320410_lanna_drevviken,2004,23
5320410_lanna_drevviken,2005,34
5320410_lanna_drevviken,2006,32
5320410_lanna_drevviken,2007,-16
5320410_lanna_drevviken,2008,11
5320410_lanna_drevviken,2009,14
5320410_lanna_drevviken,2010,14
5320410_lanna_drevviken,2011,-17
5320410_lanna_drevviken,2012,10
5320410_lanna_drevviken,2013,-9
5320410_lanna_drevviken,2014,25
5320510_trangsunds_glesbygd,2000,18
5320510_trangsunds_glesbygd,2001,5
5320510_trangsunds_glesbygd,2002,2
5320510_trangsunds_glesbygd,2003,-2
5320510_trangsunds_glesbygd,2004,22
5320510_trangsunds_glesbygd,2005,-4
5320510_trangsunds_glesbygd,2006,10
5320510_trangsunds_glesbygd,2007,12
5320510_trangsunds_glesbygd,2008,-5
5320510_trangsunds_glesbygd,2009,1
5320510_trangsunds_glesbygd,2010,1
5320510_trangsunds_glesbygd,2011,-17
5320510_trangsunds_glesbygd,2012,3
5320510_trangsunds_glesbygd,2013,3
5320510_trangsunds_glesbygd,2014,-1
5320520_vidja,2000,1
5320520_vidja,2001,1
5320520_vidja,2002,13
5320520_vidja,2003,12
5320520_vidja,2004,2
5320520_vidja,2005,-4
5320520_vidja,2006,-8
5320520_vidja,2007,-4
5320520_vidja,2008,-6
5320520_vidja,2009,4
5320520_vidja,2010,3
5320520_vidja,2011,-9
5320520_vidja,2012,-9
5320520_vidja,2013,10
5320520_vidja,2014,1
5330110_varby_gard,2000,-17
5330110_varby_gard,2001,3
5330110_varby_gard,2002,-48
5330110_varby_gard,2003,-124
5330110_varby_gard,2004,-74
5330110_varby_gard,2005,-107
5330110_varby_gard,2006,-201
5330110_varby_gard,2007,-47
5330110_varby_gard,2008,-160
5330110_varby_gard,2009,-147
5330110_varby_gard,2010,-90
5330110_varby_gard,2011,-43
5330110_varby_gard,2012,-41
5330110_varby_gard,2013,-65
5330110_varby_gard,2014,-102
5330200_masmo,2000,-1
5330200_masmo,2001,-21
5330200_masmo,2002,9
5330200_masmo,2003,-28
5330200_masmo,2004,-22
5330200_masmo,2005,16
5330200_masmo,2006,-20
5330200_masmo,2007,-46
5330200_masmo,2008,15
5330200_masmo,2009,-1
5330200_masmo,2010,-12
5330200_masmo,2011,-19
5330200_masmo,2012,-24
5330200_masmo,2013,-2
5330200_masmo,2014,-21
5330331_smista_juringe,2000,-7
5330331_smista_juringe,2001,-2
5330331_smista_juringe,2002,19
5330331_smista_juringe,2003,-1
5330331_smista_juringe,2004,41
5330331_smista_juringe,2005,45
5330331_smista_juringe,2006,64
5330331_smista_juringe,2007,10
5330331_smista_juringe,2008,4
5330331_smista_juringe,2009,-13
5330331_smista_juringe,2010,9
5330331_smista_juringe,2011,18
5330331_smista_juringe,2012,112
5330331_smista_juringe,2013,62
5330331_smista_juringe,2014,-30
5330332_jakobslund,2000,-4
5330332_jakobslund,2001,-14
5330332_jakobslund,2002,-1
5330332_jakobslund,2003,-17
5330332_jakobslund,2004,-14
5330332_jakobslund,2005,16
5330332_jakobslund,2006,16
5330332_jakobslund,2007,6
5330332_jakobslund,2008,3
5330332_jakobslund,2009,1
5330332_jakobslund,2010,4
5330332_jakobslund,2011,-1
5330332_jakobslund,2012,2
5330332_jakobslund,2013,-10
5330332_jakobslund,2014,4
5330340_krakvik,2000,16
5330340_krakvik,2001,11
5330340_krakvik,2002,11
5330340_krakvik,2003,6
5330340_krakvik,2004,-11
5330340_krakvik,2005,4
5330340_krakvik,2006,4
5330340_krakvik,2007,4
5330340_krakvik,2008,-6
5330340_krakvik,2009,3
5330340_krakvik,2010,21
5330340_krakvik,2011,-5
5330340_krakvik,2012,-11
5330340_krakvik,2013,5
5330340_krakvik,2014,-11
5330410_utsalje,2000,-30
5330410_utsalje,2001,-1
5330410_utsalje,2002,8
5330410_utsalje,2003,-39
5330410_utsalje,2004,-24
5330410_utsalje,2005,-17
5330410_utsalje,2006,6
5330410_utsalje,2007,-13
5330410_utsalje,2008,-7
5330410_utsalje,2009,-19
5330410_utsalje,2010,16
5330410_utsalje,2011,-9
5330410_utsalje,2012,-9
5330410_utsalje,2013,-9
5330410_utsalje,2014,-5
5330430_snattringe_gard,2000,-2
5330430_snattringe_gard,2001,3
5330430_snattringe_gard,2002,-2
5330430_snattringe_gard,2003,5
5330430_snattringe_gard,2004,-1
5330430_snattringe_gard,2005,-1
5330430_snattringe_gard,2006,-11
5330430_snattringe_gard,2007,-8
5330430_snattringe_gard,2008,-2
5330430_snattringe_gard,2009,2
5330430_snattringe_gard,2010,-2
5330430_snattringe_gard,2011,-6
5330430_snattringe_gard,2012,-4
5330430_snattringe_gard,2013,5
5330430_snattringe_gard,2014,-4
5340500_glomsta,2000,16
5340500_glomsta,2001,18
5340500_glomsta,2002,18
5340500_glomsta,2003,64
5340500_glomsta,2004,56
5340500_glomsta,2005,33
5340500_glomsta,2006,16
5340500_glomsta,2007,23
5340500_glomsta,2008,24
5340500_glomsta,2009,16
5340500_glomsta,2010,20
5340500_glomsta,2011,40
5340500_glomsta,2012,36
5340500_glomsta,2013,41
5340500_glomsta,2014,70
5340630_kasta,2000,22
5340630_kasta,2001,4
5340630_kasta,2002,2
5340630_kasta,2003,23
5340630_kasta,2004,11
5340630_kasta,2005,6
5340630_kasta,2006,-3
5340630_kasta,2007,-7
5340630_kasta,2008,2
5340630_kasta,2009,-6
5340630_kasta,2010,-7
5340630_kasta,2011,0
5340630_kasta,2012,-1
5340630_kasta,2013,17
5340630_kasta,2014,-8
5340640_grantorp,2000,3
5340640_grantorp,2001,-53
5340640_grantorp,2002,-94
5340640_grantorp,2003,-73
5340640_grantorp,2004,-66
5340640_grantorp,2005,-106
5340640_grantorp,2006,-47
5340640_grantorp,2007,-124
5340640_grantorp,2008,-89
5340640_grantorp,2009,-53
5340640_grantorp,2010,-47
5340640_grantorp,2011,-28
5340640_grantorp,2012,-37
5340640_grantorp,2013,-68
5340640_grantorp,2014,-125
5340710_visattra,2000,13
5340710_visattra,2001,27
5340710_visattra,2002,-60
5340710_visattra,2003,-10
5340710_visattra,2004,48
5340710_visattra,2005,-43
5340710_visattra,2006,-29
5340710_visattra,2007,-50
5340710_visattra,2008,-27
5340710_visattra,2009,-52
5340710_visattra,2010,-43
5340710_visattra,2011,-72
5340710_visattra,2012,-38
5340710_visattra,2013,-24
5340710_visattra,2014,-31
5110110_albyslatten,2000,4
5110110_albyslatten,2001,-15
5110110_albyslatten,2002,-78
5110110_albyslatten,2003,-131
5110110_albyslatten,2004,-133
5110110_albyslatten,2005,-96
5110110_albyslatten,2006,-181
5110110_albyslatten,2007,-105
5110110_albyslatten,2008,-91
5110110_albyslatten,2009,-89
5110110_albyslatten,2010,-42
5110110_albyslatten,2011,-1
5110110_albyslatten,2012,-39
5110110_albyslatten,2013,-136
5110110_albyslatten,2014,-93
5110120_albyberget,2000,-8
5110120_albyberget,2001,37
5110120_albyberget,2002,-2
5110120_albyberget,2003,-43
5110120_albyberget,2004,-73
5110120_albyberget,2005,-59
5110120_albyberget,2006,-37
5110120_albyberget,2007,-41
5110120_albyberget,2008,-80
5110120_albyberget,2009,-60
5110120_albyberget,2010,-77
5110120_albyberget,2011,-40
5110120_albyberget,2012,-61
5110120_albyberget,2013,-52
5110120_albyberget,2014,-23
5110150_rotemannen,2000,7
5110150_rotemannen,2001,-23
5110150_rotemannen,2002,-1
5110150_rotemannen,2003,-36
5110150_rotemannen,2004,5
5110150_rotemannen,2005,-23
5110150_rotemannen,2006,-18
5110150_rotemannen,2007,-30
5110150_rotemannen,2008,-18
5110150_rotemannen,2009,-3
5110150_rotemannen,2010,-4
5110150_rotemannen,2011,14
5110150_rotemannen,2012,-2
5110150_rotemannen,2013,-8
5110150_rotemannen,2014,11
5110160_alby_gard,2000,-19
5110160_alby_gard,2001,-15
5110160_alby_gard,2002,-6
5110160_alby_gard,2003,15
5110160_alby_gard,2004,11
5110160_alby_gard,2005,-7
5110160_alby_gard,2006,29
5110160_alby_gard,2007,5
5110160_alby_gard,2008,9
5110160_alby_gard,2009,20
5110160_alby_gard,2010,22
5110160_alby_gard,2011,-25
5110160_alby_gard,2012,2
5110160_alby_gard,2013,-8
5110160_alby_gard,2014,-24
5110240_aspberget,2000,1
5110240_aspberget,2001,-20
5110240_aspberget,2002,0
5110240_aspberget,2003,-6
5110240_aspberget,2004,-2
5110240_aspberget,2005,5
5110240_aspberget,2006,-4
5110240_aspberget,2007,-5
5110240_aspberget,2008,2
5110240_aspberget,2009,-1
5110240_aspberget,2010,-8
5110240_aspberget,2011,-2
5110240_aspberget,2012,-2
5110240_aspberget,2013,-4
5110240_aspberget,2014,3
5110260_ostra_eriksberg,2000,-12
5110260_ostra_eriksberg,2001,5
5110260_ostra_eriksberg,2002,2
5110260_ostra_eriksberg,2003,-2
5110260_ostra_eriksberg,2004,-8
5110260_ostra_eriksberg,2005,1
5110260_ostra_eriksberg,2006,-4
5110260_ostra_eriksberg,2007,-12
5110260_ostra_eriksberg,2008,-4
5110260_ostra_eriksberg,2009,-6
5110260_ostra_eriksberg,2010,-11
5110260_ostra_eriksberg,2011,8
5110260_ostra_eriksberg,2012,10
5110260_ostra_eriksberg,2013,-11
5110260_ostra_eriksberg,2014,-26
5110270_vastra_eriksberg,2000,-8
5110270_vastra_eriksberg,2001,14
5110270_vastra_eriksberg,2002,-10
5110270_vastra_eriksberg,2003,-4
5110270_vastra_eriksberg,2004,-3
5110270_vastra_eriksberg,2005,5
5110270_vastra_eriksberg,2006,-2
5110270_vastra_eriksberg,2007,-9
5110270_vastra_eriksberg,2008,-2
5110270_vastra_eriksberg,2009,-4
5110270_vastra_eriksberg,2010,4
5110270_vastra_eriksberg,2011,-11
5110270_vastra_eriksberg,2012,-7
5110270_vastra_eriksberg,2013,-9
5110270_vastra_eriksberg,2014,3
5110280_tre_kallor,2000,-6
5110280_tre_kallor,2001,-14
5110280_tre_kallor,2002,25
5110280_tre_kallor,2003,-7
5110280_tre_kallor,2004,-3
5110280_tre_kallor,2005,-8
5110280_tre_kallor,2006,-2
5110280_tre_kallor,2007,-14
5110280_tre_kallor,2008,4
5110280_tre_kallor,2009,1
5110280_tre_kallor,2010,-6
5110280_tre_kallor,2011,10
5110280_tre_kallor,2012,0
5110280_tre_kallor,2013,-3
5110280_tre_kallor,2014,-9
5110290_sturehov,2000,23
5110290_sturehov,2001,7
5110290_sturehov,2002,9
5110290_sturehov,2003,-3
5110290_sturehov,2004,29
5110290_sturehov,2005,20
5110290_sturehov,2006,7
5110290_sturehov,2007,-3
5110290_sturehov,2008,6
5110290_sturehov,2009,-10
5110290_sturehov,2010,1
5110290_sturehov,2011,-2
5110290_sturehov,2012,3
5110290_sturehov,2013,4
5110290_sturehov,2014,4
5110311_krogarvagen_vardshusvagen,2000,-3
5110311_krogarvagen_vardshusvagen,2001,-47
5110311_krogarvagen_vardshusvagen,2002,-39
5110311_krogarvagen_vardshusvagen,2003,-68
5110311_krogarvagen_vardshusvagen,2004,-52
5110311_krogarvagen_vardshusvagen,2005,-77
5110311_krogarvagen_vardshusvagen,2006,-56
5110311_krogarvagen_vardshusvagen,2007,-34
5110311_krogarvagen_vardshusvagen,2008,-37
5110311_krogarvagen_vardshusvagen,2009,-68
5110311_krogarvagen_vardshusvagen,2010,-48
5110311_krogarvagen_vardshusvagen,2011,-57
5110311_krogarvagen_vardshusvagen,2012,-98
5110311_krogarvagen_vardshusvagen,2013,-127
5110311_krogarvagen_vardshusvagen,2014,-71
5110312_forvagen,2000,-15
5110312_forvagen,2001,-3
5110312_forvagen,2002,-33
5110312_forvagen,2003,-42
5110312_forvagen,2004,-56
5110312_forvagen,2005,-74
5110312_forvagen,2006,-86
5110312_forvagen,2007,-49
5110312_forvagen,2008,-87
5110312_forvagen,2009,-67
5110312_forvagen,2010,-57
5110312_forvagen,2011,-76
5110312_forvagen,2012,-35
5110312_forvagen,2013,-51
5110312_forvagen,2014,-34
5110320_fittja_gard,2000,5
5110320_fittja_gard,2001,-7
5110320_fittja_gard,2002,-20
5110320_fittja_gard,2003,-20
5110320_fittja_gard,2004,-9
5110320_fittja_gard,2005,6
5110320_fittja_gard,2006,-14
5110320_fittja_gard,2007,-8
5110320_fittja_gard,2008,-23
5110320_fittja_gard,2009,-9
5110320_fittja_gard,2010,-6
5110320_fittja_gard,2011,-2
5110320_fittja_gard,2012,-10
5110320_fittja_gard,2013,37
5110320_fittja_gard,2014,5
5110410_sodra_hallunda,2000,-25
5110410_sodra_hallunda,2001,9
5110410_sodra_hallunda,2002,-25
5110410_sodra_hallunda,2003,-49
5110410_sodra_hallunda,2004,-18
5110410_sodra_hallunda,2005,1
5110410_sodra_hallunda,2006,4
5110410_sodra_hallunda,2007,-39
5110410_sodra_hallunda,2008,-17
5110410_sodra_hallunda,2009,10
5110410_sodra_hallunda,2010,3
5110410_sodra_hallunda,2011,-5
5110410_sodra_hallunda,2012,-41
5110410_sodra_hallunda,2013,-15
5110410_sodra_hallunda,2014,-80
5110420_slagsta,2000,-18
5110420_slagsta,2001,9
5110420_slagsta,2002,-24
5110420_slagsta,2003,-14
5110420_slagsta,2004,14
5110420_slagsta,2005,20
5110420_slagsta,2006,12
5110420_slagsta,2007,24
5110420_slagsta,2008,13
5110420_slagsta,2009,9
5110420_slagsta,2010,9
5110420_slagsta,2011,16
5110420_slagsta,2012,25
5110420_slagsta,2013,-1
5110420_slagsta,2014,-36
5110430_brunna,2000,-14
5110430_brunna,2001,-5
5110430_brunna,2002,-13
5110430_brunna,2003,-12
5110430_brunna,2004,3
5110430_brunna,2005,-2
5110430_brunna,2006,-10
5110430_brunna,2007,12
5110430_brunna,2008,-7
5110430_brunna,2009,-1
5110430_brunna,2010,0
5110430_brunna,2011,-16
5110430_brunna,2012,10
5110430_brunna,2013,0
5110430_brunna,2014,-11
5110450_sodra_norsborg,2000,-37
5110450_sodra_norsborg,2001,-7
5110450_sodra_norsborg,2002,-79
5110450_sodra_norsborg,2003,-129
5110450_sodra_norsborg,2004,-125
5110450_sodra_norsborg,2005,-94
5110450_sodra_norsborg,2006,-85
5110450_sodra_norsborg,2007,-108
5110450_sodra_norsborg,2008,-87
5110450_sodra_norsborg,2009,-70
5110450_sodra_norsborg,2010,-69
5110450_sodra_norsborg,2011,-40
5110450_sodra_norsborg,2012,-92
5110450_sodra_norsborg,2013,-45
5110450_sodra_norsborg,2014,-123
5110460_tornbergsfaltet,2000,-6
5110460_tornbergsfaltet,2001,-9
5110460_tornbergsfaltet,2002,-4
5110460_tornbergsfaltet,2003,-14
5110460_tornbergsfaltet,2004,-8
5110460_tornbergsfaltet,2005,0
5110460_tornbergsfaltet,2006,-18
5110460_tornbergsfaltet,2007,-16
5110460_tornbergsfaltet,2008,-15
5110460_tornbergsfaltet,2009,2
5110460_tornbergsfaltet,2010,-14
5110460_tornbergsfaltet,2011,-10
5110460_tornbergsfaltet,2012,-6
5110460_tornbergsfaltet,2013,14
5110460_tornbergsfaltet,2014,25
5110480_nordostra_norsborg,2000,-2
5110480_nordostra_norsborg,2001,-5
5110480_nordostra_norsborg,2002,-1
