basomrade,year,cumulative_immigration_surplus_employed_aged_20_64
1010120_skeppsbron,2000,6
1010120_skeppsbron,2001,12
1010120_skeppsbron,2002,20
1010120_skeppsbron,2003,5
1010120_skeppsbron,2004,9
1010120_skeppsbron,2005,10
1010120_skeppsbron,2006,18
1010120_skeppsbron,2007,29
1010120_skeppsbron,2008,34
1010120_skeppsbron,2009,27
1010120_skeppsbron,2010,37
1010120_skeppsbron,2011,43
1010120_skeppsbron,2012,32
1010120_skeppsbron,2013,34
1010120_skeppsbron,2014,47
1010130_munkbron,2000,18
1010130_munkbron,2001,52
1010130_munkbron,2002,28
1010130_munkbron,2003,14
1010130_munkbron,2004,7
1010130_munkbron,2005,4
1010130_munkbron,2006,-1
1010130_munkbron,2007,10
1010130_munkbron,2008,4
1010130_munkbron,2009,22
1010130_munkbron,2010,21
1010130_munkbron,2011,39
1010130_munkbron,2012,68
1010130_munkbron,2013,70
1010130_munkbron,2014,92
1010140_stortorget,2000,-12
1010140_stortorget,2001,-20
1010140_stortorget,2002,-18
1010140_stortorget,2003,-13
1010140_stortorget,2004,10
1010140_stortorget,2005,14
1010140_stortorget,2006,22
1010140_stortorget,2007,2
1010140_stortorget,2008,6
1010140_stortorget,2009,12
1010140_stortorget,2010,17
1010140_stortorget,2011,-2
1010140_stortorget,2012,-6
1010140_stortorget,2013,1
1010140_stortorget,2014,-5
1010201_centralstationen_n,2000,-7
1010201_centralstationen_n,2001,-15
1010201_centralstationen_n,2002,-29
1010201_centralstationen_n,2003,-36
1010201_centralstationen_n,2004,-39
1010201_centralstationen_n,2005,-45
1010201_centralstationen_n,2006,-51
1010201_centralstationen_n,2007,-51
1010201_centralstationen_n,2008,-61
1010201_centralstationen_n,2009,-68
1010201_centralstationen_n,2010,-80
1010201_centralstationen_n,2011,-90
1010201_centralstationen_n,2012,-89
1010201_centralstationen_n,2013,-96
1010201_centralstationen_n,2014,-111
1010220_klara_kyrka,2000,2
1010220_klara_kyrka,2001,-3
1010220_klara_kyrka,2002,40
1010220_klara_kyrka,2003,50
1010220_klara_kyrka,2004,48
1010220_klara_kyrka,2005,46
1010220_klara_kyrka,2006,48
1010220_klara_kyrka,2007,45
1010220_klara_kyrka,2008,45
