basomrade,year,immigration_surplus_female
4070130_tibblehojden,2003,8
4070130_tibblehojden,2004,-4
4070130_tibblehojden,2005,-6
4070130_tibblehojden,2006,-8
4070130_tibblehojden,2007,-10
4070130_tibblehojden,2008,-5
4070130_tibblehojden,2009,13
4070130_tibblehojden,2010,-13
4070130_tibblehojden,2011,-4
4070130_tibblehojden,2012,4
4070130_tibblehojden,2013,-13
4070130_tibblehojden,2014,-6
4070150_tibbleangen,2000,-30
4070150_tibbleangen,2001,-34
4070150_tibbleangen,2002,-13
4070150_tibbleangen,2003,-39
4070150_tibbleangen,2004,0
4070150_tibbleangen,2005,7
4070150_tibbleangen,2006,-10
4070150_tibbleangen,2007,-24
4070150_tibbleangen,2008,2
4070150_tibbleangen,2009,-8
4070150_tibbleangen,2010,-2
4070150_tibbleangen,2011,-2
4070150_tibbleangen,2012,8
4070150_tibbleangen,2013,10
4070150_tibbleangen,2014,6
4070160_sylta,2000,15
4070160_sylta,2001,21
4070160_sylta,2002,10
4070160_sylta,2003,-9
4070160_sylta,2004,8
4070160_sylta,2005,3
4070160_sylta,2006,-5
4070160_sylta,2007,-1
4070160_sylta,2008,18
4070160_sylta,2009,-20
4070160_sylta,2010,-1
4070160_sylta,2011,14
4070160_sylta,2012,-1
4070160_sylta,2013,5
4070160_sylta,2014,12
4070170_okand,2000,11
4070170_okand,2001,-4
4070170_okand,2002,3
4070170_okand,2003,2
4070170_okand,2004,3
4070170_okand,2005,-2
4070170_okand,2006,-1
4070170_okand,2007,-14
4070170_okand,2008,-1
4070170_okand,2009,7
4070210_brunna_tatort,2000,-35
4070210_brunna_tatort,2001,-42
4070210_brunna_tatort,2002,-50
4070210_brunna_tatort,2003,-29
4070210_brunna_tatort,2004,-32
4070210_brunna_tatort,2005,-21
4070210_brunna_tatort,2006,-4
4070210_brunna_tatort,2007,-5
4070210_brunna_tatort,2008,-21
4070210_brunna_tatort,2009,-33
4070210_brunna_tatort,2010,-16
4070210_brunna_tatort,2011,-31
4070210_brunna_tatort,2012,-10
4070210_brunna_tatort,2013,-25
4070210_brunna_tatort,2014,-11
6410100_nykvarn,2000,-12
6410100_nykvarn,2001,-45
6410100_nykvarn,2002,14
6410100_nykvarn,2003,11
6410100_nykvarn,2004,-3
6410100_nykvarn,2005,-34
6410100_nykvarn,2006,17
6410100_nykvarn,2007,85
6410100_nykvarn,2008,7
6410100_nykvarn,2009,10
6410100_nykvarn,2010,21
6410100_nykvarn,2011,-24
6410100_nykvarn,2012,10
6410100_nykvarn,2013,8
6410100_nykvarn,2014,113
6410500_turinge_glesbygd,2000,10
6410500_turinge_glesbygd,2001,16
6410500_turinge_glesbygd,2002,14
6410500_turinge_glesbygd,2003,-2
6410500_turinge_glesbygd,2004,10
6410500_turinge_glesbygd,2005,11
6410500_turinge_glesbygd,2006,33
6410500_turinge_glesbygd,2007,63
6410500_turinge_glesbygd,2008,8
6410500_turinge_glesbygd,2009,16
6410500_turinge_glesbygd,2010,-12
6410500_turinge_glesbygd,2011,1
6410500_turinge_glesbygd,2012,24
6410500_turinge_glesbygd,2013,-10
6410500_turinge_glesbygd,2014,-5
6420000_taxinge_forsamling,2000,36
6420000_taxinge_forsamling,2001,6
6420000_taxinge_forsamling,2002,16
6420000_taxinge_forsamling,2003,-3
6420000_taxinge_forsamling,2004,-4
6420000_taxinge_forsamling,2005,2
6420000_taxinge_forsamling,2006,18
6420000_taxinge_forsamling,2007,7
6420000_taxinge_forsamling,2008,7
6420000_taxinge_forsamling,2009,10
6420000_taxinge_forsamling,2010,-7
6420000_taxinge_forsamling,2011,-4
6420000_taxinge_forsamling,2012,-8
6420000_taxinge_forsamling,2013,6
6420000_taxinge_forsamling,2014,-1
3910110_vastra_nasbypark,2000,10
3910110_vastra_nasbypark,2001,-22
3910110_vastra_nasbypark,2002,5
3910110_vastra_nasbypark,2003,-18
3910110_vastra_nasbypark,2004,6
3910110_vastra_nasbypark,2005,-8
3910110_vastra_nasbypark,2006,4
3910110_vastra_nasbypark,2007,4
3910110_vastra_nasbypark,2008,7
3910110_vastra_nasbypark,2009,11
3910110_vastra_nasbypark,2010,-3
3910110_vastra_nasbypark,2011,37
3910110_vastra_nasbypark,2012,8
3910110_vastra_nasbypark,2013,20
3910110_vastra_nasbypark,2014,10
3910120_ornstigen,2000,2
3910120_ornstigen,2001,-2
3910120_ornstigen,2002,-15
3910120_ornstigen,2003,4
3910120_ornstigen,2004,0
3910120_ornstigen,2005,-4
3910120_ornstigen,2006,-3
3910120_ornstigen,2007,-7
3910120_ornstigen,2008,0
3910120_ornstigen,2009,-12
3910120_ornstigen,2010,9
3910120_ornstigen,2011,-1
3910120_ornstigen,2012,4
3910120_ornstigen,2013,8
3910120_ornstigen,2014,-3
3910130_nasbyparks_centrum,2000,-19
3910130_nasbyparks_centrum,2001,32
3910130_nasbyparks_centrum,2002,65
3910130_nasbyparks_centrum,2003,42
3910130_nasbyparks_centrum,2004,12
3910130_nasbyparks_centrum,2005,12
3910130_nasbyparks_centrum,2006,15
3910130_nasbyparks_centrum,2007,-1
3910130_nasbyparks_centrum,2008,13
3910130_nasbyparks_centrum,2009,11
3910130_nasbyparks_centrum,2010,27
3910130_nasbyparks_centrum,2011,70
3910130_nasbyparks_centrum,2012,7
3910130_nasbyparks_centrum,2013,-9
3910130_nasbyparks_centrum,2014,46
3910140_nasby_slott,2000,-22
3910140_nasby_slott,2001,-1
3910140_nasby_slott,2002,-15
3910140_nasby_slott,2003,-4
3910140_nasby_slott,2004,11
3910140_nasby_slott,2005,1
3910140_nasby_slott,2006,-1
3910140_nasby_slott,2007,5
3910140_nasby_slott,2008,15
3910140_nasby_slott,2009,-14
3910140_nasby_slott,2010,-6
3910140_nasby_slott,2011,7
3910140_nasby_slott,2012,3
3910140_nasby_slott,2013,1
3910140_nasby_slott,2014,9
3910170_ostra_nasbypark,2000,-5
3910170_ostra_nasbypark,2001,-7
3910170_ostra_nasbypark,2002,19
3910170_ostra_nasbypark,2003,11
3910170_ostra_nasbypark,2004,-22
3910170_ostra_nasbypark,2005,25
3910170_ostra_nasbypark,2006,2
3910170_ostra_nasbypark,2007,88
3910170_ostra_nasbypark,2008,7
3910170_ostra_nasbypark,2009,11
3910170_ostra_nasbypark,2010,8
3910170_ostra_nasbypark,2011,-35
3910170_ostra_nasbypark,2012,-15
3910170_ostra_nasbypark,2013,-21
3910170_ostra_nasbypark,2014,-9
3910190_lahall,2000,-12
3910190_lahall,2001,8
3910190_lahall,2002,-12
3910190_lahall,2003,10
3910190_lahall,2004,-3
3910190_lahall,2005,0
3910190_lahall,2006,2
3910190_lahall,2007,3
3910190_lahall,2008,6
3910190_lahall,2009,21
3910190_lahall,2010,0
3910190_lahall,2011,6
3910190_lahall,2012,4
3910190_lahall,2013,-24
3910190_lahall,2014,1
3910210_nasbydal,2000,9
3910210_nasbydal,2001,-19
3910210_nasbydal,2002,12
3910210_nasbydal,2003,7
3910210_nasbydal,2004,3
3910210_nasbydal,2005,-13
3910210_nasbydal,2006,-10
3910210_nasbydal,2007,-2
3910210_nasbydal,2008,-17
3910210_nasbydal,2009,19
3910210_nasbydal,2010,30
3910210_nasbydal,2011,2
3910210_nasbydal,2012,17
3910210_nasbydal,2013,-12
3910210_nasbydal,2014,6
3910220_grindtorp,2000,0
3910220_grindtorp,2001,-12
3910220_grindtorp,2002,7
3910220_grindtorp,2003,-1
3910220_grindtorp,2004,-7
3910220_grindtorp,2005,16
3910220_grindtorp,2006,0
3910220_grindtorp,2007,4
3910220_grindtorp,2008,21
3910220_grindtorp,2009,0
3910220_grindtorp,2010,8
3910220_grindtorp,2011,7
3910220_grindtorp,2012,-9
3910220_grindtorp,2013,32
3910220_grindtorp,2014,31
3910240_taby_centrum,2000,30
3910240_taby_centrum,2001,33
3910240_taby_centrum,2002,17
3910240_taby_centrum,2003,23
3910240_taby_centrum,2004,27
3910240_taby_centrum,2005,27
3910240_taby_centrum,2006,21
3910240_taby_centrum,2007,18
3910240_taby_centrum,2008,28
3910240_taby_centrum,2009,21
3910240_taby_centrum,2010,57
3910240_taby_centrum,2011,29
3910240_taby_centrum,2012,77
3910240_taby_centrum,2013,139
3910240_taby_centrum,2014,129
3910270_marknadsvagen,2000,-10
3910270_marknadsvagen,2001,-12
3910270_marknadsvagen,2002,-4
3910270_marknadsvagen,2003,-10
3910270_marknadsvagen,2004,1
3910270_marknadsvagen,2005,4
3910270_marknadsvagen,2006,-22
3910270_marknadsvagen,2007,-16
3910270_marknadsvagen,2008,-11
3910270_marknadsvagen,2009,-9
3910270_marknadsvagen,2010,-15
3910270_marknadsvagen,2011,17
3910270_marknadsvagen,2012,19
3910270_marknadsvagen,2013,-8
3910270_marknadsvagen,2014,18
3910280_akerbyvagen,2000,-5
3910280_akerbyvagen,2001,-4
3910280_akerbyvagen,2002,-21
3910280_akerbyvagen,2003,-11
3910280_akerbyvagen,2004,-18
3910280_akerbyvagen,2005,5
3910280_akerbyvagen,2006,-36
3910280_akerbyvagen,2007,-2
3910280_akerbyvagen,2008,1
3910280_akerbyvagen,2009,2
3910280_akerbyvagen,2010,-7
3910280_akerbyvagen,2011,10
3910280_akerbyvagen,2012,-23
3910280_akerbyvagen,2013,-26
3910280_akerbyvagen,2014,9
3910310_sodra_viggbyholm,2000,5
3910310_sodra_viggbyholm,2001,-9
3910310_sodra_viggbyholm,2002,-21
3910310_sodra_viggbyholm,2003,-9
3910310_sodra_viggbyholm,2004,5
3910310_sodra_viggbyholm,2005,22
3910310_sodra_viggbyholm,2006,13
3910310_sodra_viggbyholm,2007,22
3910310_sodra_viggbyholm,2008,2
3910310_sodra_viggbyholm,2009,2
3910310_sodra_viggbyholm,2010,6
3910310_sodra_viggbyholm,2011,2
3910310_sodra_viggbyholm,2012,16
3910310_sodra_viggbyholm,2013,-33
3910310_sodra_viggbyholm,2014,18
3910320_viggbygardet,2000,11
3910320_viggbygardet,2001,-27
3910320_viggbygardet,2002,0
3910320_viggbygardet,2003,4
3910320_viggbygardet,2004,-9
3910320_viggbygardet,2005,-8
3910320_viggbygardet,2006,-6
3910320_viggbygardet,2007,-5
3910320_viggbygardet,2008,-2
3910320_viggbygardet,2009,9
3910320_viggbygardet,2010,-9
3910320_viggbygardet,2011,56
3910320_viggbygardet,2012,23
3910320_viggbygardet,2013,9
3910320_viggbygardet,2014,13
3910330_mellersta_viggbyholm,2000,-13
3910330_mellersta_viggbyholm,2001,2
3910330_mellersta_viggbyholm,2002,-4
3910330_mellersta_viggbyholm,2003,-11
3910330_mellersta_viggbyholm,2004,2
3910330_mellersta_viggbyholm,2005,-4
3910330_mellersta_viggbyholm,2006,-1
3910330_mellersta_viggbyholm,2007,3
3910330_mellersta_viggbyholm,2008,-4
3910330_mellersta_viggbyholm,2009,-5
3910330_mellersta_viggbyholm,2010,-23
3910330_mellersta_viggbyholm,2011,5
3910330_mellersta_viggbyholm,2012,-2
3910330_mellersta_viggbyholm,2013,4
3910330_mellersta_viggbyholm,2014,9
3910350_norra_viggbyholm,2000,9
3910350_norra_viggbyholm,2001,-8
3910350_norra_viggbyholm,2002,3
3910350_norra_viggbyholm,2003,5
3910350_norra_viggbyholm,2004,2
3910350_norra_viggbyholm,2005,1
3910350_norra_viggbyholm,2006,8
3910350_norra_viggbyholm,2007,-2
3910350_norra_viggbyholm,2008,-10
3910350_norra_viggbyholm,2009,-8
3910350_norra_viggbyholm,2010,-9
3910350_norra_viggbyholm,2011,0
3910350_norra_viggbyholm,2012,5
3910350_norra_viggbyholm,2013,-1
3910350_norra_viggbyholm,2014,-12
3910370_norra_hagernas,2000,23
3910370_norra_hagernas,2001,-26
3910370_norra_hagernas,2002,-26
3910370_norra_hagernas,2003,-1
3910370_norra_hagernas,2004,20
3910370_norra_hagernas,2005,-5
3910370_norra_hagernas,2006,-8
3910370_norra_hagernas,2007,-17
3910370_norra_hagernas,2008,5
3910370_norra_hagernas,2009,0
3910370_norra_hagernas,2010,-5
3910370_norra_hagernas,2011,0
3910370_norra_hagernas,2012,21
3910370_norra_hagernas,2013,5
3910370_norra_hagernas,2014,13
3910380_sodra_hagernas,2000,-11
3910380_sodra_hagernas,2001,-15
3910380_sodra_hagernas,2002,-8
3910380_sodra_hagernas,2003,9
3910380_sodra_hagernas,2004,53
3910380_sodra_hagernas,2005,69
3910380_sodra_hagernas,2006,110
3910380_sodra_hagernas,2007,53
3910380_sodra_hagernas,2008,93
3910380_sodra_hagernas,2009,55
3910380_sodra_hagernas,2010,109
3910380_sodra_hagernas,2011,-15
3910380_sodra_hagernas,2012,38
3910380_sodra_hagernas,2013,89
3910380_sodra_hagernas,2014,-18
3910480_norra_landsbygden,2000,2
3910480_norra_landsbygden,2001,11
3910480_norra_landsbygden,2002,1
3910480_norra_landsbygden,2003,-9
3910480_norra_landsbygden,2004,6
3910480_norra_landsbygden,2005,-3
3910480_norra_landsbygden,2006,-8
3910480_norra_landsbygden,2007,-1
3910480_norra_landsbygden,2008,90
3910480_norra_landsbygden,2009,14
3910480_norra_landsbygden,2010,54
3910480_norra_landsbygden,2011,3
3910480_norra_landsbygden,2012,4
3910480_norra_landsbygden,2013,15
3910480_norra_landsbygden,2014,4
3910730_ella,2000,-9
3910730_ella,2001,-19
3910730_ella,2002,4
3910730_ella,2003,-16
3910730_ella,2004,0
3910730_ella,2005,-8
3910730_ella,2006,4
3910730_ella,2007,7
3910730_ella,2008,3
3910730_ella,2009,-10
3910730_ella,2010,8
3910730_ella,2011,5
3910730_ella,2012,7
3910730_ella,2013,-10
3910730_ella,2014,-17
3910770_vastra_ensta,2000,-2
3910770_vastra_ensta,2001,-16
3910770_vastra_ensta,2002,5
3910770_vastra_ensta,2003,4
3910770_vastra_ensta,2004,-13
3910770_vastra_ensta,2005,-3
3910770_vastra_ensta,2006,-4
3910770_vastra_ensta,2007,5
3910770_vastra_ensta,2008,9
3910770_vastra_ensta,2009,-3
3910770_vastra_ensta,2010,1
3910770_vastra_ensta,2011,-13
3910770_vastra_ensta,2012,-17
3910770_vastra_ensta,2013,3
3910770_vastra_ensta,2014,15
3910780_ostra_ensta,2000,-9
3910780_ostra_ensta,2001,2
3910780_ostra_ensta,2002,-3
3910780_ostra_ensta,2003,5
3910780_ostra_ensta,2004,-8
3910780_ostra_ensta,2005,-8
3910780_ostra_ensta,2006,-4
3910780_ostra_ensta,2007,-1
3910780_ostra_ensta,2008,2
3910780_ostra_ensta,2009,6
3910780_ostra_ensta,2010,-8
3910780_ostra_ensta,2011,8
3910780_ostra_ensta,2012,-13
3910780_ostra_ensta,2013,-1
3910780_ostra_ensta,2014,-2
3910790_kullagrand,2000,3
3910790_kullagrand,2001,1
3910790_kullagrand,2002,5
3910790_kullagrand,2003,1
3910790_kullagrand,2004,12
3910790_kullagrand,2005,17
3910790_kullagrand,2006,4
3910790_kullagrand,2007,6
3910790_kullagrand,2008,-1
3910790_kullagrand,2009,6
3910790_kullagrand,2010,12
3910790_kullagrand,2011,-1
3910790_kullagrand,2012,-1
3910790_kullagrand,2013,2
3910790_kullagrand,2014,7
3910810_norra_ellagard,2000,0
3910810_norra_ellagard,2001,1
3910810_norra_ellagard,2002,1
3910810_norra_ellagard,2003,3
3910810_norra_ellagard,2004,9
3910810_norra_ellagard,2005,-10
3910810_norra_ellagard,2006,-8
3910810_norra_ellagard,2007,6
3910810_norra_ellagard,2008,-13
3910810_norra_ellagard,2009,-11
3910810_norra_ellagard,2010,6
3910810_norra_ellagard,2011,-1
3910810_norra_ellagard,2012,7
3910810_norra_ellagard,2013,-1
3910810_norra_ellagard,2014,4
3910820_sodra_ellagard,2000,-9
3910820_sodra_ellagard,2001,1
3910820_sodra_ellagard,2002,-3
3910820_sodra_ellagard,2003,-5
3910820_sodra_ellagard,2004,-8
3910820_sodra_ellagard,2005,0
3910820_sodra_ellagard,2006,-2
3910820_sodra_ellagard,2007,11
3910820_sodra_ellagard,2008,-6
3910820_sodra_ellagard,2009,-4
3910820_sodra_ellagard,2010,6
3910820_sodra_ellagard,2011,2
3910820_sodra_ellagard,2012,2
3910820_sodra_ellagard,2013,-9
3910820_sodra_ellagard,2014,-3
3910830_ava,2000,4
3910830_ava,2001,0
3910830_ava,2002,2
3910830_ava,2003,7
3910830_ava,2004,-3
3910830_ava,2005,-7
3910830_ava,2006,10
3910830_ava,2007,2
3910830_ava,2008,-2
3910830_ava,2009,0
3910830_ava,2010,-12
3910830_ava,2011,-6
3910830_ava,2012,-10
3910830_ava,2013,10
3910830_ava,2014,-4
3910840_vastra_ellagard,2000,-19
3910840_vastra_ellagard,2001,1
3910840_vastra_ellagard,2002,2
3910840_vastra_ellagard,2003,-14
3910840_vastra_ellagard,2004,-8
3910840_vastra_ellagard,2005,-22
3910840_vastra_ellagard,2006,5
3910840_vastra_ellagard,2007,-2
3910840_vastra_ellagard,2008,-7
3910840_vastra_ellagard,2009,-10
3910840_vastra_ellagard,2010,8
3910840_vastra_ellagard,2011,-5
3910840_vastra_ellagard,2012,-2
3910840_vastra_ellagard,2013,-2
3910840_vastra_ellagard,2014,2
3910910_skarpang,2000,-3
3910910_skarpang,2001,-30
3910910_skarpang,2002,-16
3910910_skarpang,2003,-46
3910910_skarpang,2004,-25
3910910_skarpang,2005,-18
3910910_skarpang,2006,-15
3910910_skarpang,2007,-53
3910910_skarpang,2008,-25
3910910_skarpang,2009,-21
3910910_skarpang,2010,-45
3910910_skarpang,2011,-11
3910910_skarpang,2012,-44
3910910_skarpang,2013,-7
3910910_skarpang,2014,-10
3910920_gripsvall,2000,-5
3910920_gripsvall,2001,-18
3910920_gripsvall,2002,1
3910920_gripsvall,2003,-9
3910920_gripsvall,2004,-10
3910920_gripsvall,2005,-6
3910920_gripsvall,2006,-21
3910920_gripsvall,2007,3
3910920_gripsvall,2008,2
3910920_gripsvall,2009,0
3910920_gripsvall,2010,-9
3910920_gripsvall,2011,-3
3910920_gripsvall,2012,1
3910920_gripsvall,2013,10
3910920_gripsvall,2014,2
3911010_ostra_roslags_nasby,2000,-6
3911010_ostra_roslags_nasby,2001,97
3911010_ostra_roslags_nasby,2002,6
3911010_ostra_roslags_nasby,2003,-15
3911010_ostra_roslags_nasby,2004,49
3911010_ostra_roslags_nasby,2005,4
3911010_ostra_roslags_nasby,2006,-12
3911010_ostra_roslags_nasby,2007,-1
3911010_ostra_roslags_nasby,2008,10
3911010_ostra_roslags_nasby,2009,4
3911010_ostra_roslags_nasby,2010,-7
3911010_ostra_roslags_nasby,2011,9
3911010_ostra_roslags_nasby,2012,-1
3911010_ostra_roslags_nasby,2013,83
3911010_ostra_roslags_nasby,2014,102
3911020_vastra_roslags_nasby,2000,-6
3911020_vastra_roslags_nasby,2001,-1
3911020_vastra_roslags_nasby,2002,-1
3911020_vastra_roslags_nasby,2003,-2
3911020_vastra_roslags_nasby,2004,5
3911020_vastra_roslags_nasby,2005,-1
3911020_vastra_roslags_nasby,2006,-6
3911020_vastra_roslags_nasby,2007,2
3911020_vastra_roslags_nasby,2008,5
3911020_vastra_roslags_nasby,2009,-2
3911020_vastra_roslags_nasby,2010,-4
3911020_vastra_roslags_nasby,2011,-7
3911020_vastra_roslags_nasby,2012,0
3911020_vastra_roslags_nasby,2013,2
3911020_vastra_roslags_nasby,2014,11
3911510_lansen,2000,-5
3911510_lansen,2001,-17
3911510_lansen,2002,-4
3911510_lansen,2003,-9
3911510_lansen,2004,-20
3911510_lansen,2005,-3
3911510_lansen,2006,-16
3911510_lansen,2007,4
3911510_lansen,2008,-3
3911510_lansen,2009,-19
3911510_lansen,2010,-20
3911510_lansen,2011,-10
3911510_lansen,2012,2
3911510_lansen,2013,-4
3911510_lansen,2014,-9
3911520_sodra_gribbylund,2000,-12
3911520_sodra_gribbylund,2001,-14
3911520_sodra_gribbylund,2002,-1
3911520_sodra_gribbylund,2003,-12
3911520_sodra_gribbylund,2004,9
3911520_sodra_gribbylund,2005,-20
3911520_sodra_gribbylund,2006,-7
3911520_sodra_gribbylund,2007,-7
3911520_sodra_gribbylund,2008,-4
3911520_sodra_gribbylund,2009,-9
3911520_sodra_gribbylund,2010,11
3911520_sodra_gribbylund,2011,-4
3911520_sodra_gribbylund,2012,-1
3911520_sodra_gribbylund,2013,-15
3911520_sodra_gribbylund,2014,-7
3911530_gribbylunds_centrum,2000,-26
3911530_gribbylunds_centrum,2001,-13
3911530_gribbylunds_centrum,2002,-13
3911530_gribbylunds_centrum,2003,-22
3911530_gribbylunds_centrum,2004,-8
3911530_gribbylunds_centrum,2005,-20
3911530_gribbylunds_centrum,2006,10
3911530_gribbylunds_centrum,2007,-29
3911530_gribbylunds_centrum,2008,-13
3911530_gribbylunds_centrum,2009,-27
3911530_gribbylunds_centrum,2010,2
3911530_gribbylunds_centrum,2011,4
3911530_gribbylunds_centrum,2012,-10
3911530_gribbylunds_centrum,2013,27
3911530_gribbylunds_centrum,2014,-6
3911540_norra_gribbylund,2000,55
3911540_norra_gribbylund,2001,48
3911540_norra_gribbylund,2002,15
3911540_norra_gribbylund,2003,-24
3911540_norra_gribbylund,2004,-14
3911540_norra_gribbylund,2005,-12
3911540_norra_gribbylund,2006,7
3911540_norra_gribbylund,2007,-19
3911540_norra_gribbylund,2008,16
3911540_norra_gribbylund,2009,-4
3911540_norra_gribbylund,2010,-28
3911540_norra_gribbylund,2011,-2
3911540_norra_gribbylund,2012,-4
3911540_norra_gribbylund,2013,-4
3911540_norra_gribbylund,2014,-24
3911550_sveavagen,2000,-9
3911550_sveavagen,2001,-3
3911550_sveavagen,2002,-7
3911550_sveavagen,2003,-6
3911550_sveavagen,2004,-18
3911550_sveavagen,2005,-17
3911550_sveavagen,2006,-3
3911550_sveavagen,2007,-2
3911550_sveavagen,2008,-6
3911550_sveavagen,2009,1
3911550_sveavagen,2010,-17
3911550_sveavagen,2011,-4
3911550_sveavagen,2012,-8
3911550_sveavagen,2013,3
3911550_sveavagen,2014,-4
3911610_ostra_vallabrink,2000,-1
3911610_ostra_vallabrink,2001,0
3911610_ostra_vallabrink,2002,-5
3911610_ostra_vallabrink,2003,3
3911610_ostra_vallabrink,2004,2
3911610_ostra_vallabrink,2005,3
3911610_ostra_vallabrink,2006,-2
3911610_ostra_vallabrink,2007,-1
3911610_ostra_vallabrink,2008,2
3911610_ostra_vallabrink,2009,-7
3911610_ostra_vallabrink,2010,-5
3911610_ostra_vallabrink,2011,2
3911610_ostra_vallabrink,2012,-2
3911610_ostra_vallabrink,2013,-5
3911610_ostra_vallabrink,2014,-1
3911620_vastra_vallabrink,2000,-2
3911620_vastra_vallabrink,2001,-13
3911620_vastra_vallabrink,2002,14
3911620_vastra_vallabrink,2003,-8
3911620_vastra_vallabrink,2004,1
3911620_vastra_vallabrink,2005,-1
3911620_vastra_vallabrink,2006,-16
3911620_vastra_vallabrink,2007,20
3911620_vastra_vallabrink,2008,0
3911620_vastra_vallabrink,2009,-5
3911620_vastra_vallabrink,2010,-3
3911620_vastra_vallabrink,2011,-4
3911620_vastra_vallabrink,2012,6
3911620_vastra_vallabrink,2013,-19
3911620_vastra_vallabrink,2014,5
3911660_visinge,2000,-8
3911660_visinge,2001,-10
3911660_visinge,2002,-22
3911660_visinge,2003,-25
3911660_visinge,2004,-14
3911660_visinge,2005,-35
3911660_visinge,2006,0
3911660_visinge,2007,-17
3911660_visinge,2008,-15
3911660_visinge,2009,-11
3911660_visinge,2010,-12
3911660_visinge,2011,1
3911660_visinge,2012,-13
3911660_visinge,2013,-20
3911660_visinge,2014,-3
3911670_vallatorp,2000,-29
3911670_vallatorp,2001,4
3911670_vallatorp,2002,-24
3911670_vallatorp,2003,3
3911670_vallatorp,2004,-24
3911670_vallatorp,2005,-24
3911670_vallatorp,2006,-28
3911670_vallatorp,2007,-2
3911670_vallatorp,2008,-29
3911670_vallatorp,2009,-3
3911670_vallatorp,2010,2
3911670_vallatorp,2011,-15
3911670_vallatorp,2012,-9
3911670_vallatorp,2013,7
3911670_vallatorp,2014,-15
3911680_erikslund,2000,-19
3911680_erikslund,2001,-9
3911680_erikslund,2002,-7
3911680_erikslund,2003,1
3911680_erikslund,2004,-9
3911680_erikslund,2005,9
3911680_erikslund,2006,-4
3911680_erikslund,2007,-12
3911680_erikslund,2008,-10
3911680_erikslund,2009,-7
3911680_erikslund,2010,4
3911680_erikslund,2011,-18
3911680_erikslund,2012,3
3911680_erikslund,2013,-9
3911680_erikslund,2014,-7
3911740_s_a_midgards_industriomr,2000,-6
3911740_s_a_midgards_industriomr,2001,-2
3911740_s_a_midgards_industriomr,2002,0
3911740_s_a_midgards_industriomr,2003,-5
3911740_s_a_midgards_industriomr,2004,3
3911740_s_a_midgards_industriomr,2005,0
3911740_s_a_midgards_industriomr,2006,-10
3911740_s_a_midgards_industriomr,2007,0
3911740_s_a_midgards_industriomr,2008,-1
3911740_s_a_midgards_industriomr,2009,-1
3911740_s_a_midgards_industriomr,2010,-6
3911740_s_a_midgards_industriomr,2011,-4
3911740_s_a_midgards_industriomr,2012,-1
3911740_s_a_midgards_industriomr,2013,1
3911740_s_a_midgards_industriomr,2014,1
3911750_taby_kyrka,2000,-17
3911750_taby_kyrka,2001,-10
3911750_taby_kyrka,2002,-4
3911750_taby_kyrka,2003,12
3911750_taby_kyrka,2004,-1
3911750_taby_kyrka,2005,9
3911750_taby_kyrka,2006,26
3911750_taby_kyrka,2007,6
3911750_taby_kyrka,2008,-9
3911750_taby_kyrka,2009,1
3911750_taby_kyrka,2010,-1
3911750_taby_kyrka,2011,-4
3911750_taby_kyrka,2012,-10
3911750_taby_kyrka,2013,-15
3911750_taby_kyrka,2014,-8
3911760_midgard,2000,-1
3911760_midgard,2001,8
3911760_midgard,2002,-11
3911760_midgard,2003,2
3911760_midgard,2004,-1
3911760_midgard,2005,-20
3911760_midgard,2006,3
3911760_midgard,2007,48
3911760_midgard,2008,5
3911760_midgard,2009,0
3911760_midgard,2010,1
3911760_midgard,2011,3
3911760_midgard,2012,-2
3911760_midgard,2013,-14
3911760_midgard,2014,-21
3911780_ostra_taby_kyrkby,2000,-2
3911780_ostra_taby_kyrkby,2001,8
3911780_ostra_taby_kyrkby,2002,10
3911780_ostra_taby_kyrkby,2003,-20
3911780_ostra_taby_kyrkby,2004,-10
3911780_ostra_taby_kyrkby,2005,-3
3911780_ostra_taby_kyrkby,2006,32
3911780_ostra_taby_kyrkby,2007,17
3911780_ostra_taby_kyrkby,2008,1
3911780_ostra_taby_kyrkby,2009,24
3911780_ostra_taby_kyrkby,2010,14
3911780_ostra_taby_kyrkby,2011,31
3911780_ostra_taby_kyrkby,2012,75
3911780_ostra_taby_kyrkby,2013,67
3911780_ostra_taby_kyrkby,2014,76
3911790_runborg,2000,-25
3911790_runborg,2001,-34
3911790_runborg,2002,-20
3911790_runborg,2003,-24
3911790_runborg,2004,10
3911790_runborg,2005,-4
3911790_runborg,2006,8
3911790_runborg,2007,-18
3911790_runborg,2008,-25
3911790_runborg,2009,0
3911790_runborg,2010,-22
3911790_runborg,2011,-3
3911790_runborg,2012,-2
3911790_runborg,2013,16
3911790_runborg,2014,-20
3110110_ostra_enebyberg,2000,12
3110110_ostra_enebyberg,2001,-14
3110110_ostra_enebyberg,2002,17
3110110_ostra_enebyberg,2003,23
3110110_ostra_enebyberg,2004,18
3110110_ostra_enebyberg,2005,20
3110110_ostra_enebyberg,2006,45
3110110_ostra_enebyberg,2007,6
3110110_ostra_enebyberg,2008,9
3110110_ostra_enebyberg,2009,19
3110110_ostra_enebyberg,2010,1
3110110_ostra_enebyberg,2011,30
3110110_ostra_enebyberg,2012,-3
3110110_ostra_enebyberg,2013,20
3110110_ostra_enebyberg,2014,1
3110120_vastra_enebyberg,2000,-29
3110120_vastra_enebyberg,2001,-2
3110120_vastra_enebyberg,2002,-7
3110120_vastra_enebyberg,2003,-16
