municipality2016,year,u5mr,cd
wc053,2004,56,1220
buf,2004,51,16425
ec101,2004,64,2101
ec102,2004,46,711
ec104,2004,46,1334
ec105,2004,50,1166
ec106,2004,68,1549
ec108,2004,57,2587
ec109,2004,62,1332
ec121,2004,71,9032
ec122,2004,59,6534
ec123,2004,53,608
ec124,2004,64,2407
ec126,2004,61,1375
ec129,2004,64,3381
ec131,2004,67,1735
ec135,2004,62,4235
ec137,2004,72,5743
ec138,2004,52,1300
ec139,2004,60,5814
ec136,2004,66,3076
ec141,2004,68,4142
ec142,2004,71,4096
ec145,2004,73,2586
ec153,2004,73,10308
ec154,2004,58,4928
ec155,2004,66,9852
ec156,2004,59,5648
ec157,2004,55,12204
ec441,2004,74,6697
ec442,2004,66,6361
ec443,2004,67,9863
ec444,2004,83,5278
nma,2004,51,23772
nc451,2004,77,3341
nc452,2004,71,3181
nc453,2004,48,1012
nc061,2004,46,240
nc062,2004,37,805
nc064,2004,48,210
nc065,2004,51,583
nc066,2004,57,368
nc067,2004,46,307
nc071,2004,57,572
nc072,2004,76,872
nc073,2004,38,802
nc074,2004,67,359
nc075,2004,82,405
nc076,2004,62,510
nc077,2004,62,574
nc078,2004,84,1389
nc082,2004,79,2619
nc084,2004,64,597
nc085,2004,57,964
nc086,2004,64,635
nc087,2004,59,2743
nc091,2004,54,6391
nc092,2004,63,1528
nc093,2004,74,698
nc094,2004,74,2225
fs161,2004,64,1120
fs162,2004,69,1373
fs163,2004,68,1008
fs181,2004,75,1843
fs182,2004,68,965
fs183,2004,107,2175
fs184,2004,67,12724
fs185,2004,79,2709
fs191,2004,74,3618
fs192,2004,62,3676
fs193,2004,80,2251
fs194,2004,64,9879
fs195,2004,79,1801
fs196,2004,67,1555
fs204,2004,57,3734
fs205,2004,64,1769
fs201,2004,62,4244
fs203,2004,75,4018
man,2004,62,19740
kz212,2004,65,4339
kz213,2004,74,4856
kz214,2004,85,4645
kz216,2004,72,10383
kz221,2004,76,3485
kz222,2004,53,2187
kz224,2004,61,748
kz225,2004,67,17706
kz226,2004,80,2111
kz227,2004,71,2259
kz223,2004,67,1113
kz235,2004,77,4617
kz237,2004,76,6891
kz238,2004,77,12568
kz241,2004,71,2166
kz242,2004,73,5926
kz244,2004,66,5555
kz245,2004,58,3019
kz252,2004,65,10880
kz253,2004,78,1389
kz254,2004,64,2959
kz261,2004,77,3168
kz262,2004,66,4551
kz263,2004,68,6727
kz265,2004,68,6463
kz266,2004,52,4823
kz271,2004,52,4798
kz272,2004,45,4664
kz275,2004,51,4704
kz276,2004,75,3648
kz281,2004,78,4882
kz282,2004,64,10887
kz284,2004,70,6910
kz285,2004,78,3058
kz286,2004,76,3613
kz291,2004,72,5265
kz292,2004,70,8426
kz293,2004,65,4088
kz294,2004,70,2653
kz433,2004,65,2070
kz434,2004,80,4178
kz435,2004,72,6594
kz436,2004,67,3960
eth,2004,66,100835
nw371,2004,47,3913
nw372,2004,57,12396
nw373,2004,57,14415
nw374,2004,61,1348
nw375,2004,63,6119
nw381,2004,83,4069
nw383,2004,68,9548
nw384,2004,80,5850
nw385,2004,57,3672
nw382,2004,85,5078
nw392,2004,83,2433
nw393,2004,97,2730
nw394,2004,84,6336
nw396,2004,88,2140
nw397,2004,88,4652
nw403,2004,72,13469
nw404,2004,106,3827
nw405,2004,68,6188
gt422,2004,55,2389
gt421,2004,59,17896
gt423,2004,63,2974
gt481,2004,44,7648
gt484,2004,63,5842
gt485,2004,61,7729
eku,2004,53,76353
jhb,2004,49,94502
tsh,2004,49,60144
mp301,2004,67,6423
mp302,2004,73,5643
mp303,2004,80,7035
mp304,2004,77,3028
mp305,2004,65,3549
mp306,2004,68,1338
mp307,2004,69,9288
mp311,2004,78,2783
mp312,2004,53,9563
mp313,2004,63,6118
mp314,2004,49,1062
mp315,2004,58,8328
mp316,2004,49,4784
mp321,2004,46,2238
mp325,2004,46,13376
mp324,2004,64,13448
mp326,2004,54,18694
lm331,2004,53,7103
lm332,2004,54,5857
lm333,2004,48,9787
lm334,2004,56,4773
lm335,2004,53,2778
lm341,2004,35,2118
lm343,2004,33,7641
lm344,2004,45,8809
lm345,2004,39,6850
lm355,2004,40,4559
lm351,2004,57,4948
lm353,2004,59,3537
lm354,2004,50,17150
lm361,2004,46,1919
lm362,2004,54,2881
lm366,2004,44,1280
lm367,2004,59,7995
lm368,2004,57,3155
lm471,2004,54,3312
lm472,2004,56,6502
lm473,2004,45,6109
lm476,2004,47,10617
