municipality2011,id,lng,lat,name,province
cpt,199,18.59143273,-33.8879416,City of Cape Town,WC
wc011,160,18.50426057,-31.25642921,Matzikama,WC
wc012,161,18.92743683,-32.26219946,Cederberg,WC
wc013,162,18.67051788,-32.78563782,Bergrivier,WC
wc014,163,18.17221275,-33.0124986,Saldanha Bay,WC
wc015,164,18.61962859,-33.30665489,Swartland,WC
wc022,165,19.69298464,-32.95019934,Witzenberg,WC
wc023,166,18.99725356,-33.60353859,Drakenstein,WC
wc024,167,18.94691657,-33.92586473,Stellenbosch,WC
wc025,168,19.6859528,-33.57263132,Breede Valley,WC
wc031,171,19.43773557,-34.1662045,Theewaterskloof,WC
wc032,172,19.38096291,-34.4741555,Overstrand,WC
wc033,173,20.06973456,-34.50022696,Cape Agulhas,WC
wc034,170,20.50946323,-34.03310039,Swellendam,WC
wc042,175,21.22590261,-34.13463309,Hessequa,WC
wc043,176,21.94912905,-34.04033379,Mossel Bay,WC
wc044,177,22.93529833,-33.69761411,George,WC
wc047,179,23.40052202,-33.94196476,Bitou,WC
wc026,169,20.04603429,-33.78685174,Langeberg,WC
wc041,174,21.31742494,-33.60240935,Kannaland,WC
wc048,180,22.99322339,-33.94589851,Knysna,WC
wc051,181,20.96147294,-33.10477493,Laingsburg,WC
wc045,178,22.22153602,-33.59480008,Oudtshoorn,WC
wc052,182,22.12599989,-33.05291128,Prince Albert,WC
wc053,183,22.74109534,-32.28180258,Beaufort West,WC
ec143,288,26.88454824,-31.0100753,Maletswai,EC
ec144,289,26.00607153,-30.98072657,Gariep,EC
ec153,290,29.62569808,-31.24118868,Ngquza Hill,EC
ec154,291,29.41899119,-31.53791467,Port St Johns,EC
ec155,292,29.06812902,-31.59196617,Nyandeni,EC
ec156,293,28.78858582,-31.20865495,Mhlontlo,EC
ec157,294,28.67313742,-31.76488938,King Sabata Dalindyebo,EC
ec441,295,28.80006846,-30.34630475,Matatiele,EC
ec442,296,29.02851848,-30.77113757,Umzimvubu,EC
ec443,297,29.84118302,-30.94771867,Mbizana,EC
ec444,298,29.29066591,-30.9850271,Ntabankulu,EC
buf,260,27.61278663,-32.95176052,Buffalo City,EC
ec101,261,24.16768349,-32.37574693,Camdeboo,EC
ec102,262,25.41659417,-32.78076695,Blue Crane Route,EC
ec103,263,24.66209228,-33.00340924,Ikwezi,EC
