municipality2011,year,u5mr,cd
nc072,1994,63,800
nc073,1994,39,707
nc074,1994,51,240
nc075,1994,52,205
nc076,1994,52,425
nc077,1994,30,245
nc078,1994,60,1287
nc081,1994,29,112
nc082,1994,42,1353
nc083,1994,39,1582
nc084,1994,68,659
nc085,1994,39,592
nc086,1994,36,353
nc091,1994,34,3527
nc092,1994,61,1317
nc093,1994,53,670
nc094,1994,65,2416
nc451,1994,76,4335
nc452,1994,51,1841
nc453,1994,24,223
fs161,1994,66,1546
fs162,1994,60,1528
fs163,1994,67,1021
fs164,1994,35,428
fs181,1994,56,1529
fs182,1994,55,963
fs183,1994,101,2905
fs184,1994,62,14100
fs185,1994,79,4415
fs191,1994,65,4210
fs192,1994,46,3480
fs193,1994,68,2467
fs194,1994,53,10671
fs195,1994,77,2227
fs196,1994,42,1126
fs201,1994,54,4712
fs203,1994,50,3133
fs204,1994,51,3178
fs205,1994,70,2333
man,1994,35,10357
kzn213,1994,103,10569
kzn214,1994,97,5136
kzn215,1994,58,1738
kzn216,1994,66,7249
kzn211,1994,96,3993
kzn212,1994,54,1487
kzn221,1994,62,3273
kzn222,1994,33,1000
kzn223,1994,36,654
kzn224,1994,63,1135
kzn225,1994,48,13218
kzn226,1994,82,2608
kzn227,1994,57,2020
kzn232,1994,56,6777
kzn233,1994,88,5441
kzn234,1994,69,2073
kzn235,1994,93,6853
kzn236,1994,72,4712
kzn271,1994,53,3997
kzn272,1994,63,6150
kzn273,1994,80,1470
kzn274,1994,63,2000
kzn275,1994,75,6155
kzn282,1994,57,8701
kzn286,1994,77,4614
kzn281,1994,74,4236
kzn283,1994,70,2965
kzn284,1994,68,7161
kzn285,1994,46,1066
kzn431,1994,71,4207
kzn432,1994,44,264
kzn433,1994,52,1747
kzn434,1994,62,3279
kzn435,1994,91,8695
kzn241,1994,40,1083
kzn242,1994,62,5206
kzn244,1994,62,5317
kzn245,1994,57,2687
kzn252,1994,60,11127
kzn253,1994,87,1435
kzn254,1994,76,4152
kzn263,1994,61,6304
kzn261,1994,91,4191
kzn262,1994,90,6250
kzn265,1994,82,8228
kzn266,1994,75,7236
kzn294,1994,58,3244
kzn291,1994,58,4017
kzn292,1994,68,5902
kzn293,1994,70,4775
eth,1994,40,59335
nw371,1994,27,2320
nw372,1994,29,4912
nw373,1994,30,5806
nw374,1994,25,406
nw375,1994,31,3305
nw381,1994,68,3662
nw382,1994,72,4394
nw383,1994,46,6143
nw384,1994,39,3012
nw385,1994,28,1823
nw392,1994,38,1294
nw393,1994,79,2153
nw394,1994,69,6722
nw396,1994,54,1124
nw397,1994,68,4084
nw401,1994,49,1159
nw402,1994,39,2428
nw403,1994,47,9289
nw404,1994,84,3199
gt421,1994,33,11127
gt422,1994,33,1183
gt423,1994,37,1327
gt481,1994,25,3542
gt482,1994,30,1957
gt483,1994,52,3174
gt484,1994,41,4196
eku,1994,30,35769
jhb,1994,23,32816
tsh,1994,23,21767
mp301,1994,76,8910
mp302,1994,62,4466
mp303,1994,77,6073
mp304,1994,83,4178
mp305,1994,70,3940
mp306,1994,52,1065
mp307,1994,48,5980
mp311,1994,33,984
mp312,1994,38,5839
mp313,1994,28,2087
mp314,1994,26,545
mp315,1994,44,6347
mp316,1994,44,5214
mp321,1994,22,903
mp322,1994,45,12981
mp323,1994,25,656
mp324,1994,64,13033
mp325,1994,36,10643
lim331,1994,45,7391
lim332,1994,41,5396
lim333,1994,33,7766
lim334,1994,37,2994
lim335,1994,45,2918
lim342,1994,23,1057
lim343,1994,26,8658
lim341,1994,19,387
lim344,1994,28,8021
lim351,1994,49,4694
lim352,1994,43,3393
lim353,1994,50,3277
lim354,1994,33,9277
lim355,1994,26,3076
lim361,1994,32,1346
lim362,1994,40,1861
lim364,1994,31,650
lim365,1994,24,932
lim366,1994,23,619
lim367,1994,44,6963
lim471,1994,31,2059
lim472,1994,37,4275
lim473,1994,25,3342
lim474,1994,30,1411
lim475,1994,37,5992
