municipality2011,year,population
ec121,2001,263958.7754
ec122,2001,283666.6503
ec123,2001,44458.86664
ec124,2001,137904.0812
ec126,2001,84232.77436
ec127,2001,129874.4693
ec128,2001,24824.15187
ec131,2001,60364.13976
ec132,2001,32537.43934
ec133,2001,20243.64372
ec134,2001,181798.9364
ec135,2001,154828.4279
ec136,2001,121821.7113
ec137,2001,162248.3617
ec138,2001,66446.75989
ec141,2001,137394.44
ec142,2001,135733.9832
ec143,2001,37306.95921
ec144,2001,31314.16502
ec153,2001,254480.3304
ec154,2001,146967.2339
ec155,2001,274416.2072
ec156,2001,202933.1871
ec157,2001,416347.6612
ec441,2001,194629.5094
ec442,2001,202368.979
ec443,2001,245730.0922
ec444,2001,130979.9138
buf,2001,704854.6826
nma,2001,1005778.693
fs161,2001,42847.42919
fs162,2001,56079.46109
fs163,2001,36321.02023
fs164,2001,27478.892
fs181,2001,64409.28995
fs182,2001,32455.49511
fs183,2001,53713.53765
fs184,2001,408170.0219
fs185,2001,98263.77794
fs191,2001,123194.2946
fs192,2001,129338.0319
fs193,2001,61950.968
fs194,2001,360549.1247
fs195,2001,51928.07602
fs196,2001,55341.89996
fs201,2001,167891.923
fs203,2001,118809.7446
fs204,2001,115954.5019
fs205,2001,56637.42748
man,2001,645440.3794
gt421,2001,657949.3312
gt422,2001,64270.90474
gt423,2001,71868.00956
gt481,2001,295505.0167
gt482,2001,128841.8521
gt483,2001,109799.3577
gt484,2001,210480.818
eku,2001,2481762.051
jhb,2001,3226054.604
tsh,2001,2142322.383
kzn213,2001,193767.6703
kzn214,2001,92327.11516
kzn215,2001,54774.97315
kzn216,2001,217823.5978
kzn211,2001,82961.48783
kzn212,2001,62375.33531
kzn221,2001,108421.8475
kzn222,2001,73895.78676
kzn223,2001,36832.14141
kzn224,2001,37843.98773
kzn225,2001,552837.2703
kzn226,2001,59067.32
kzn227,2001,63222.63907
kzn232,2001,225458.5989
kzn233,2001,113643.9134
kzn234,2001,60086.67658
kzn235,2001,137924.3594
kzn236,2001,120621.9672
kzn271,2001,142564.7166
kzn272,2001,184206.0537
kzn273,2001,31482.11658
kzn274,2001,69268.63336
kzn275,2001,145819.6068
kzn282,2001,289189.8389
kzn286,2001,133602.447
kzn281,2001,106942.1674
kzn283,2001,84771.072
kzn284,2001,221077.6184
kzn285,2001,50382.22644
kzn431,2001,107558.2843
kzn432,2001,11847.91332
kzn433,2001,56527.53492
kzn434,2001,101959.379
kzn435,2001,174338.0776
kzn241,2001,51100.92706
kzn242,2001,169418.5592
kzn244,2001,167274.2221
kzn245,2001,92294.07988
kzn252,2001,332980.6023
kzn253,2001,32277.07074
kzn254,2001,102778.7926
kzn263,2001,191019.1368
kzn261,2001,82240.72896
kzn262,2001,119780.7804
