municipality2016,year,population
cpt,2016,4005015.547
wc011,2016,71045.40537
wc012,2016,52949.1193
wc013,2016,67473.82865
wc014,2016,111172.6427
wc015,2016,133761.9466
wc022,2016,130547.5285
wc023,2016,280194.7294
wc024,2016,173196.9823
wc025,2016,176578.3986
wc026,2016,105483.0677
wc031,2016,117167.4256
wc032,2016,93407.49054
wc033,2016,35999.92166
wc034,2016,40211.47998
wc041,2016,24167.76055
wc042,2016,54236.88083
wc043,2016,94135.37828
wc044,2016,208236.8512
wc045,2016,97508.57512
wc047,2016,59157.18362
wc048,2016,73835.07225
wc051,2016,8895.395597
wc052,2016,14271.85885
wc053,2016,51079.98196
buf,2016,834997.138
ec101,2016,82196.71279
ec102,2016,36063.26089
ec104,2016,82060.05288
ec105,2016,63180.37627
ec106,2016,59792.6942
ec108,2016,112941.2997
ec109,2016,43688.46054
ec121,2016,277249.7219
ec122,2016,246813.3724
ec123,2016,31692.0635
ec124,2016,101825.5437
ec126,2016,63694.15447
ec129,2016,159515.4835
ec131,2016,70492.63424
ec135,2016,152158.526
ec137,2016,162013.7019
ec138,2016,63846.3041
ec139,2016,267011.2247
ec136,2016,124532.2368
ec141,2016,144928.9902
ec142,2016,140719.7664
ec145,2016,87263.02095
ec153,2016,303378.9325
ec154,2016,166778.9281
ec155,2016,309701.915
ec156,2016,189175.8051
ec157,2016,488348.6412
ec441,2016,219447.3767
ec442,2016,199620.1127
ec443,2016,319948.0681
ec444,2016,128848.4734
nma,2016,1263050.974
nc451,2016,84200.74411
nc452,2016,104407.9752
nc453,2016,53655.73045
nc061,2016,12486.95358
nc062,2016,46512.1762
nc064,2016,9605.314638
nc065,2016,21540.38262
nc066,2016,13009.46829
nc067,2016,12333.29442
nc071,2016,19471.41431
nc072,2016,30882.50571
nc073,2016,45404.47093
nc074,2016,12771.87833
nc075,2016,11818.14698
nc076,2016,16230.4663
nc077,2016,23075.0644
nc078,2016,35941.1125
nc082,2016,68928.8328
nc084,2016,16565.89226
nc085,2016,39344.96262
nc086,2016,20691.08454
nc087,2016,107161.2366
nc091,2016,255040.9061
nc092,2016,48473.39599
nc093,2016,24059.41416
nc094,2016,60167.56295
fs161,2016,40044.30228
fs162,2016,49999.23711
fs163,2016,35840.34359
fs181,2016,62769.97266
fs182,2016,29148.69714
fs183,2016,47373.01669
fs184,2016,429113.0403
fs185,2016,78515.16024
fs191,2016,117361.9895
fs192,2016,140043.7458
fs193,2016,64893.27273
fs194,2016,353452.1247
fs195,2016,50053.52345
fs196,2016,53525.33069
fs204,2016,163564.2407
fs205,2016,57574.11418
fs201,2016,154731.6659
fs203,2016,118906.8112
man,2016,787803.3177
kzn212,2016,144550.5434
kzn213,2016,151676.3297
kzn214,2016,108575.7747
kzn216,2016,348533.366
kzn221,2016,111644.8422
kzn222,2016,109866.7793
kzn224,2016,29525.71708
kzn225,2016,679039.1884
kzn226,2016,57075.24895
kzn227,2016,71321.81779
kzn223,2016,37391.03553
kzn235,2016,135131.9318
kzn237,2016,215181.6
kzn238,2016,356274.4874
kzn241,2016,76638.86924
kzn242,2016,171325.2018
kzn244,2016,184494.4077
kzn245,2016,122423.3607
kzn252,2016,389116.6265
kzn253,2016,36868.95544
kzn254,2016,105341.2327
kzn261,2016,89614.22849
kzn262,2016,141246.6257
kzn263,2016,243794.646
kzn265,2016,211892.4964
kzn266,2016,205761.7434
kzn271,2016,172077.0529
kzn272,2016,198215.0705
kzn275,2016,202176.4381
kzn276,2016,116621.6891
kzn281,2016,144362.6559
kzn282,2016,410464.602
kzn284,2016,223139.94
kzn285,2016,78883.47771
kzn286,2016,114283.9414
kzn291,2016,147807.7424
kzn292,2016,276718.6143
kzn293,2016,143116.9014
kzn294,2016,89969.09076
kzn433,2016,76752.85429
kzn434,2016,118346.4139
kzn435,2016,197285.7523
kzn436,2016,118480.0475
eth,2016,3702230.638
nw371,2016,191305.9767
nw372,2016,536109.9625
nw373,2016,626521.7962
nw374,2016,59561.98035
nw375,2016,243648.4897
nw381,2016,106108.0098
nw383,2016,314393.795
nw384,2016,181864.7926
nw385,2016,157689.8041
nw382,2016,129051.9968
nw392,2016,68802.92593
nw393,2016,63999.77037
nw394,2016,167827.2724
nw396,2016,56024.85362
nw397,2016,102702.6308
nw403,2016,417282.1049
nw404,2016,82012.28319
nw405,2016,243526.9651
gt422,2016,111611.5997
gt421,2016,733444.7215
gt423,2016,112472.101
gt481,2016,383864.3385
gt484,2016,188842.7539
gt485,2016,265886.5605
eku,2016,3379104.12
jhb,2016,4949346.635
tsh,2016,3275151.646
mp301,2016,187629.4948
mp302,2016,164607.8262
mp303,2016,189035.7365
mp304,2016,85394.82861
mp305,2016,123418.5698
mp306,2016,45232.02645
mp307,2016,340090.8995
mp311,2016,84150.60651
mp312,2016,455227.7727
mp313,2016,278749.4031
mp314,2016,48149.05526
mp315,2016,333331.3006
mp316,2016,246015.7168
mp321,2016,101895.34
mp325,2016,546215.467
mp324,2016,410906.8069
mp326,2016,695913.0244
lim331,2016,256126.7677
lim332,2016,218029.6335
lim333,2016,416146.2909
lim334,2016,168936.7055
lim335,2016,99946.00203
lim341,2016,132009.1916
lim343,2016,497237.3878
lim344,2016,416728.054
lim345,2016,347974.3941
lim355,2016,235380.3304
lim351,2016,172601.4282
lim353,2016,125327.2609
lim354,2016,797126.9134
lim361,2016,96231.97556
lim362,2016,140239.6774
lim366,2016,76296.08093
lim367,2016,325291.2082
lim368,2016,107698.7801
lim471,2016,127168.4662
lim472,2016,268256.054
lim473,2016,284434.9535
lim476,2016,489902.3842
