geo,time,age,population
"usa",1953,28,2563210
"usa",1953,29,2593570
"usa",1953,30,2603050
"usa",1953,31,2582970
"usa",1953,32,2543110
"usa",1953,33,2500760
"usa",1953,34,2451130
"usa",1953,35,2410420
"usa",1953,36,2387980
"usa",1953,37,2375740
"usa",1953,38,2356980
"usa",1953,39,2335940
"usa",1953,40,2305770
"usa",1953,41,2261630
"usa",1953,42,2208010
"usa",1953,43,2155610
"usa",1953,44,2104050
"usa",1953,45,2048670
"usa",1953,46,1988800
"usa",1953,47,1927320
"usa",1953,48,1866090
"usa",1953,49,1802680
"usa",1953,50,1753680
"usa",1953,51,1726900
"usa",1953,52,1714280
"usa",1953,53,1699860
"usa",1953,54,1686650
"usa",1953,55,1668280
"usa",1953,56,1639910
"usa",1953,57,1604540
"usa",1953,58,1569970
"usa",1953,59,1534610
"usa",1953,60,1496210
"usa",1953,61,1454420
"usa",1953,62,1409430
"usa",1953,63,1362170
"usa",1953,64,1312910
"usa",1953,65,1259390
"usa",1953,66,1200740
"usa",1953,67,1138180
"usa",1953,68,1074770
"usa",1953,69,1011000
"usa",1953,70,944240
"usa",1953,71,873820
"usa",1953,72,801730
"usa",1953,73,730240
"usa",1953,74,658530
"usa",1953,75,593090
"usa",1953,76,537250
"usa",1953,77,488280
"usa",1953,78,440630
"usa",1953,79,396030
"usa",1953,80,288040
"usa",1953,81,258700
"usa",1953,82,231250
"usa",1953,83,206890
"usa",1953,84,184860
"usa",1953,85,163320
"usa",1953,86,142730
"usa",1953,87,123220
"usa",1953,88,104680
"usa",1953,89,87320
"usa",1953,90,71310
"usa",1953,91,56420
"usa",1953,92,43890
"usa",1953,93,34320
"usa",1953,94,27040
"usa",1953,95,20740
"usa",1953,96,15530
"usa",1953,97,11320
"usa",1953,98,7880
"usa",1953,99,5160
"usa",1953,100,3160
"usa",1953,101,1820
"usa",1953,102,990
"usa",1953,103,0
"usa",1953,104,0
"usa",1953,105,0
"usa",1953,106,0
"usa",1953,107,0
"usa",1953,108,0
"usa",1953,109,0
"usa",1953,110,0
"usa",1953,111,0
"usa",1953,112,0
"usa",1953,113,0
"usa",1953,114,0
"usa",1953,115,0
"usa",1953,116,0
"usa",1953,117,0
"usa",1953,118,0
"usa",1953,119,0
"usa",1953,120,0
"usa",1953,121,0
"usa",1953,122,0
"usa",1953,123,0
"usa",1953,124,0
"usa",1953,125,0
"usa",1953,126,0
"usa",1953,127,0
"usa",1953,128,0
"usa",1953,129,0
"usa",1953,130,0
"usa",1954,0,3804100
"usa",1954,1,3809310
"usa",1954,2,3785080
"usa",1954,3,3734820
"usa",1954,4,3687090
"usa",1954,5,3572580
"usa",1954,6,3449270
"usa",1954,7,3319620
"usa",1954,8,3186050
"usa",1954,9,3050710
"usa",1954,10,2915770
"usa",1954,11,2785080
"usa",1954,12,2661650
"usa",1954,13,2547070
"usa",1954,14,2439350
"usa",1954,15,2338250
"usa",1954,16,2259660
"usa",1954,17,2211120
"usa",1954,18,2186700
"usa",1954,19,2169130
"usa",1954,20,2157300
"usa",1954,21,2169670
"usa",1954,22,2212230
"usa",1954,23,2274650
"usa",1954,24,2339380
"usa",1954,25,2408480
"usa",1954,26,2468460
"usa",1954,27,2510340
"usa",1954,28,2538080
"usa",1954,29,2567000
"usa",1954,30,2596910
"usa",1954,31,2605950
"usa",1954,32,2585670
"usa",1954,33,2545700
"usa",1954,34,2502840
"usa",1954,35,2452270
"usa",1954,36,2410870
"usa",1954,37,2388280
"usa",1954,38,2376020
"usa",1954,39,2357520
"usa",1954,40,2337950
"usa",1954,41,2305840
"usa",1954,42,2254410
"usa",1954,43,2190740
"usa",1954,44,2128710
"usa",1954,45,2065540
"usa",1954,46,2007690
"usa",1954,47,1959760
"usa",1954,48,1918680
"usa",1954,49,1876370
"usa",1954,50,1833930
"usa",1954,51,1795040
"usa",1954,52,1760540
"usa",1954,53,1729180
"usa",1954,54,1697990
"usa",1954,55,1666590
"usa",1954,56,1636980
"usa",1954,57,1609570
"usa",1954,58,1582710
"usa",1954,59,1554520
"usa",1954,60,1525510
"usa",1954,61,1490550
"usa",1954,62,1446930
"usa",1954,63,1396660
"usa",1954,64,1345240
"usa",1954,65,1292510
"usa",1954,66,1234300
"usa",1954,67,1169390
"usa",1954,68,1099900
"usa",1954,69,1029690
"usa",1954,70,958560
"usa",1954,71,888130
"usa",1954,72,819790
"usa",1954,73,753430
"usa",1954,74,687390
"usa",1954,75,621830
"usa",1954,76,560780
"usa",1954,77,506030
"usa",1954,78,456130
"usa",1954,79,408280
"usa",1954,80,298340
"usa",1954,81,267950
"usa",1954,82,239510
"usa",1954,83,214280
"usa",1954,84,191470
"usa",1954,85,169150
"usa",1954,86,147830
"usa",1954,87,127620
"usa",1954,88,108420
"usa",1954,89,90440
"usa",1954,90,73860
"usa",1954,91,58430
"usa",1954,92,45460
"usa",1954,93,35540
"usa",1954,94,28010
"usa",1954,95,21480
"usa",1954,96,16079
"usa",1954,97,11720
"usa",1954,98,8160
"usa",1954,99,5350
"usa",1954,100,3270
"usa",1954,101,1870
"usa",1954,102,1000
"usa",1954,103,500
"usa",1954,104,0
"usa",1954,105,0
"usa",1954,106,0
"usa",1954,107,0
"usa",1954,108,0
"usa",1954,109,0
"usa",1954,110,0
"usa",1954,111,0
"usa",1954,112,0
"usa",1954,113,0
"usa",1954,114,0
"usa",1954,115,0
"usa",1954,116,0
"usa",1954,117,0
"usa",1954,118,0
"usa",1954,119,0
"usa",1954,120,0
"usa",1954,121,0
"usa",1954,122,0
"usa",1954,123,0
"usa",1954,124,0
"usa",1954,125,0
"usa",1954,126,0
"usa",1954,127,0
"usa",1954,128,0
"usa",1954,129,0
"usa",1954,130,0
"usa",1955,0,3904720
"usa",1955,1,3904100
"usa",1955,2,3877460
"usa",1955,3,3827620
"usa",1955,4,3757380
"usa",1955,5,3669530
"usa",1955,6,3566870
"usa",1955,7,3452220
"usa",1955,8,3328370
"usa",1955,9,3198120
"usa",1955,10,3063920
"usa",1955,11,2928200
"usa",1955,12,2795580
"usa",1955,13,2669550
"usa",1955,14,2551850
"usa",1955,15,2440190
"usa",1955,16,2334450
"usa",1955,17,2252100
"usa",1955,18,2201460
"usa",1955,19,2176180
"usa",1955,20,2157510
"usa",1955,21,2144370
"usa",1955,22,2156920
"usa",1955,23,2201770
"usa",1955,24,2267780
"usa",1955,25,2336080
"usa",1955,26,2409050
"usa",1955,27,2471760
"usa",1955,28,2514380
"usa",1955,29,2541550
"usa",1955,30,2570100
"usa",1955,31,2599550
"usa",1955,32,2608150
"usa",1955,33,2587680
"usa",1955,34,2547600
"usa",1955,35,2504260
"usa",1955,36,2452750
"usa",1955,37,2410670
"usa",1955,38,2387930
"usa",1955,39,2375660
"usa",1955,40,2357430
"usa",1955,41,2339330
"usa",1955,42,2305290
"usa",1955,43,2246570
"usa",1955,44,2172870
"usa",1955,45,2101210
"usa",1955,46,2026450
"usa",1955,47,1966130
"usa",1955,48,1930160
"usa",1955,49,1909520
"usa",1955,50,1886150
"usa",1955,51,1864710
"usa",1955,52,1835940
"usa",1955,53,1793740
"usa",1955,54,1743620
"usa",1955,55,1695670
"usa",1955,56,1646060
"usa",1955,57,1605220
"usa",1955,58,1578760
"usa",1955,59,1560440
"usa",1955,60,1538630
"usa",1955,61,1515990
"usa",1955,62,1484480
"usa",1955,63,1439040
"usa",1955,64,1383500
"usa",1955,65,1327930
"usa",1955,66,1271750
"usa",1955,67,1208860
"usa",1955,68,1137700
"usa",1955,69,1061290
"usa",1955,70,984280
"usa",1955,71,905810
"usa",1955,72,831740
"usa",1955,73,765490
"usa",1955,74,704880
"usa",1955,75,644330
"usa",1955,76,584920
"usa",1955,77,528290
"usa",1955,78,474650
"usa",1955,79,423830
"usa",1955,80,306000
"usa",1955,81,274820
"usa",1955,82,245660
"usa",1955,83,219780
"usa",1955,84,196380
"usa",1955,85,173500
"usa",1955,86,151630
"usa",1955,87,130900
"usa",1955,88,111200
"usa",1955,89,92770
"usa",1955,90,75750
"usa",1955,91,59930
"usa",1955,92,46630
"usa",1955,93,36460
"usa",1955,94,28730
"usa",1955,95,22030
"usa",1955,96,16500
"usa",1955,97,12020
"usa",1955,98,8370
"usa",1955,99,5480
"usa",1955,100,3350
"usa",1955,101,1910
"usa",1955,102,1020
"usa",1955,103,510
"usa",1955,104,0
"usa",1955,105,0
"usa",1955,106,0
"usa",1955,107,0
"usa",1955,108,0
"usa",1955,109,0
"usa",1955,110,0
"usa",1955,111,0
"usa",1955,112,0
"usa",1955,113,0
"usa",1955,114,0
"usa",1955,115,0
"usa",1955,116,0
"usa",1955,117,0
"usa",1955,118,0
"usa",1955,119,0
"usa",1955,120,0
"usa",1955,121,0
"usa",1955,122,0
"usa",1955,123,0
"usa",1955,124,0
"usa",1955,125,0
"usa",1955,126,0
"usa",1955,127,0
"usa",1955,128,0
"usa",1955,129,0
"usa",1955,130,0
"usa",1956,0,4024900
"usa",1956,1,3923800
"usa",1956,2,3911410
"usa",1956,3,3877920
"usa",1956,4,3825220
"usa",1956,5,3755190
"usa",1956,6,3670950
"usa",1956,7,3575620
"usa",1956,8,3464890
"usa",1956,9,3338170
"usa",1956,10,3201060
"usa",1956,11,3061990
"usa",1956,12,2921990
"usa",1956,13,2787260
"usa",1956,14,2662670
"usa",1956,15,2548730
"usa",1956,16,2440410
"usa",1956,17,2337860
"usa",1956,18,2259000
"usa",1956,19,2211980
"usa",1956,20,2190200
"usa",1956,21,2175080
"usa",1956,22,2165790
"usa",1956,23,2180010
"usa",1956,24,2223170
"usa",1956,25,2285350
"usa",1956,26,2349930
"usa",1956,27,2418800
"usa",1956,28,2478330
"usa",1956,29,2519550
"usa",1956,30,2546450
"usa",1956,31,2574380
"usa",1956,32,2603160
"usa",1956,33,2610930
"usa",1956,34,2589250
"usa",1956,35,2547770
"usa",1956,36,2503330
"usa",1956,37,2451050
"usa",1956,38,2408130
"usa",1956,39,2384370
"usa",1956,40,2371140
"usa",1956,41,2351890
"usa",1956,42,2332190
"usa",1956,43,2298760
"usa",1956,44,2244080
"usa",1956,45,2176290
"usa",1956,46,2110110
"usa",1956,47,2041460
"usa",1956,48,1983210
"usa",1956,49,1942890
"usa",1956,50,1913890
"usa",1956,51,1882680
"usa",1956,52,1852690
"usa",1956,53,1817990
"usa",1956,54,1774490
"usa",1956,55,1725920
"usa",1956,56,1678710
"usa",1956,57,1629880
"usa",1956,58,1588550
"usa",1956,59,1559340
"usa",1956,60,1536830
"usa",1956,61,1511390
"usa",1956,62,1485450
"usa",1956,63,1450490
"usa",1956,64,1401450
"usa",1956,65,1342420
"usa",1956,66,1283460
"usa",1956,67,1223690
"usa",1956,68,1159130
"usa",1956,69,1089160
"usa",1956,70,1015760
"usa",1956,71,941730
"usa",1956,72,866770
"usa",1956,73,794940
"usa",1956,74,728650
"usa",1956,75,666650
"usa",1956,76,605240
"usa",1956,77,545110
"usa",1956,78,488540
"usa",1956,79,436300
"usa",1956,80,324200
"usa",1956,81,291170
"usa",1956,82,260279
"usa",1956,83,232860
"usa",1956,84,208070
"usa",1956,85,183820
"usa",1956,86,160650
"usa",1956,87,138680
"usa",1956,88,117820
"usa",1956,89,98280
"usa",1956,90,80260
"usa",1956,91,63500
"usa",1956,92,49410
"usa",1956,93,38630
"usa",1956,94,30440
"usa",1956,95,23340
"usa",1956,96,17480
"usa",1956,97,12740
"usa",1956,98,8870
"usa",1956,99,5810
"usa",1956,100,3620
"usa",1956,101,2100
"usa",1956,102,1140
"usa",1956,103,570
"usa",1956,104,0
"usa",1956,105,0
"usa",1956,106,0
"usa",1956,107,0
"usa",1956,108,0
"usa",1956,109,0
"usa",1956,110,0
"usa",1956,111,0
"usa",1956,112,0
"usa",1956,113,0
"usa",1956,114,0
"usa",1956,115,0
"usa",1956,116,0
"usa",1956,117,0
"usa",1956,118,0
"usa",1956,119,0
"usa",1956,120,0
"usa",1956,121,0
"usa",1956,122,0
"usa",1956,123,0
"usa",1956,124,0
"usa",1956,125,0
"usa",1956,126,0
"usa",1956,127,0
"usa",1956,128,0
"usa",1956,129,0
"usa",1956,130,0
"usa",1957,0,4142279
"usa",1957,1,4095260
"usa",1957,2,3938920
"usa",1957,3,3914760
"usa",1957,4,3874460
"usa",1957,5,3818950
"usa",1957,6,3749200
"usa",1957,7,3668660
"usa",1957,8,3580750
"usa",1957,9,3474060
"usa",1957,10,3344600
"usa",1957,11,3200750
"usa",1957,12,3056960
"usa",1957,13,2912800
"usa",1957,14,2776110
"usa",1957,15,2653080
"usa",1957,16,2543030
"usa",1957,17,2438150
"usa",1957,18,2338910
"usa",1957,19,2263610
"usa",1957,20,2220270
"usa",1957,21,2202010
"usa",1957,22,2190460
"usa",1957,23,2185050
"usa",1957,24,2200910
"usa",1957,25,2242350
"usa",1957,26,2300620
"usa",1957,27,2361420
"usa",1957,28,2426110
"usa",1957,29,2482390
"usa",1957,30,2522170
"usa",1957,31,2548780
"usa",1957,32,2576040
"usa",1957,33,2604140
"usa",1957,34,2611060
"usa",1957,35,2588190
"usa",1957,36,2545360
"usa",1957,37,2499870
"usa",1957,38,2446860
"usa",1957,39,2403140
"usa",1957,40,2378390
"usa",1957,41,2364210
"usa",1957,42,2343970
"usa",1957,43,2322680
"usa",1957,44,2289900
"usa",1957,45,2239320
"usa",1957,46,2177500
"usa",1957,47,2116880
"usa",1957,48,2054420
"usa",1957,49,1998300
"usa",1957,50,1953670
"usa",1957,51,1916330
"usa",1957,52,1877290
"usa",1957,53,1838780
"usa",1957,54,1798180
"usa",1957,55,1753420
"usa",1957,56,1706450
"usa",1957,57,1660020
"usa",1957,58,1612030
"usa",1957,59,1570250
"usa",1957,60,1538310
"usa",1957,61,1511640
"usa",1957,62,1482590
"usa",1957,63,1453380
"usa",1957,64,1414990
"usa",1957,65,1362410
"usa",1957,66,1299930
"usa",1957,67,1237630
"usa",1957,68,1174350
"usa",1957,69,1108180
"usa",1957,70,1039460
"usa",1957,71,969140
"usa",1957,72,898170
"usa",1957,73,826800
"usa",1957,74,757300
"usa",1957,75,691030
"usa",1957,76,627690
"usa",1957,77,565500
"usa",1957,78,504690
"usa",1957,79,448260
"usa",1957,80,339030
"usa",1957,81,304500
"usa",1957,82,272190
"usa",1957,83,243510
"usa",1957,84,217590
"usa",1957,85,192230
"usa",1957,86,168000
"usa",1957,87,145030
"usa",1957,88,123210
"usa",1957,89,102780
"usa",1957,90,83930
"usa",1957,91,66400
"usa",1957,92,51670
"usa",1957,93,40390
"usa",1957,94,31830
"usa",1957,95,24410
"usa",1957,96,18280
"usa",1957,97,13320
"usa",1957,98,9270
"usa",1957,99,6080
"usa",1957,100,3700
"usa",1957,101,2140
"usa",1957,102,1150
"usa",1957,103,580
"usa",1957,104,0
"usa",1957,105,0
"usa",1957,106,0
"usa",1957,107,0
"usa",1957,108,0
"usa",1957,109,0
"usa",1957,110,0
"usa",1957,111,0
"usa",1957,112,0
"usa",1957,113,0
"usa",1957,114,0
"usa",1957,115,0
"usa",1957,116,0
"usa",1957,117,0
"usa",1957,118,0
"usa",1957,119,0
"usa",1957,120,0
"usa",1957,121,0
"usa",1957,122,0
"usa",1957,123,0
"usa",1957,124,0
"usa",1957,125,0
"usa",1957,126,0
"usa",1957,127,0
"usa",1957,128,0
"usa",1957,129,0
"usa",1957,130,0
"usa",1958,0,4241350
"usa",1958,1,4169290
"usa",1958,2,4097080
"usa",1958,3,3952270
"usa",1958,4,3916370
"usa",1958,5,3869250
"usa",1958,6,3810960
"usa",1958,7,3741540
"usa",1958,8,3664730
"usa",1958,9,3584280
"usa",1958,10,3481670
"usa",1958,11,3349530
"usa",1958,12,3199020
"usa",1958,13,3050560
"usa",1958,14,2902310
"usa",1958,15,2763720
"usa",1958,16,2642320
"usa",1958,17,2536190
"usa",1958,18,2434800
"usa",1958,19,2338910
"usa",1958,20,2267220
"usa",1958,21,2227560
"usa",1958,22,2212840
"usa",1958,23,2204850
"usa",1958,24,2203320
"usa",1958,25,2220820
"usa",1958,26,2260520
"usa",1958,27,2314860
"usa",1958,28,2371840
"usa",1958,29,2432320
"usa",1958,30,2485330
"usa",1958,31,2523660
"usa",1958,32,2549970
"usa",1958,33,2576560
"usa",1958,34,2603950
"usa",1958,35,2610030
"usa",1958,36,2585980
"usa",1958,37,2541820
"usa",1958,38,2495290
"usa",1958,39,2441580
"usa",1958,40,2397080
"usa",1958,41,2371350
"usa",1958,42,2356230
"usa",1958,43,2334990
"usa",1958,44,2312130
"usa",1958,45,2280020
"usa",1958,46,2233560
"usa",1958,47,2177750
"usa",1958,48,2122700
"usa",1958,49,2066460
"usa",1958,50,2012490
"usa",1958,51,1963560
"usa",1958,52,1917910
"usa",1958,53,1871070
"usa",1958,54,1824060
"usa",1958,55,1777570
"usa",1958,56,1731560
"usa",1958,57,1686220
"usa",1958,58,1640600
"usa",1958,59,1593470
"usa",1958,60,1551260
"usa",1958,61,1516610
"usa",1958,62,1485780
"usa",1958,63,1453130
"usa",1958,64,1420660
"usa",1958,65,1378880
"usa",1958,66,1322760
"usa",1958,67,1256870
"usa",1958,68,1191270
"usa",1958,69,1124500
"usa",1958,70,1056740
"usa",1958,71,989310
"usa",1958,72,922100
"usa",1958,73,854230
"usa",1958,74,786480
"usa",1958,75,719320
"usa",1958,76,653110
"usa",1958,77,588470
"usa",1958,78,525510
"usa",1958,79,464070
