geo,geo.name,time,pop,u5mr,childSurv,gdp_per_cap,size,geo.region,gini,geo.cat
afg,Afghanistan,1800,3280000,468.58,531.42,603,big,asi,30.51,country
afg,Afghanistan,1801,3280000,468.58,531.42,603,big,asi,30.51,country
afg,Afghanistan,1802,3280000,468.58,531.42,603,big,asi,30.51,country
afg,Afghanistan,1803,3280000,468.58,531.42,603,big,asi,30.51,country
afg,Afghanistan,1804,3280000,468.58,531.42,603,big,asi,30.51,country
afg,Afghanistan,1805,3280000,468.58,531.42,603,big,asi,30.51,country
afg,Afghanistan,1806,3280000,469.98,530.02,603,big,asi,30.51,country
afg,Afghanistan,1807,3280000,469.98,530.02,603,big,asi,30.51,country
afg,Afghanistan,1808,3280000,469.98,530.02,603,big,asi,30.51,country
afg,Afghanistan,1809,3280000,469.98,530.02,603,big,asi,30.51,country
afg,Afghanistan,1810,3280000,469.98,530.02,604,big,asi,30.51,country
afg,Afghanistan,1811,3280779,469.98,530.02,604,big,asi,30.51,country
afg,Afghanistan,1812,3282342,469.98,530.02,604,big,asi,30.51,country
afg,Afghanistan,1813,3284692,469.98,530.02,604,big,asi,30.51,country
afg,Afghanistan,1814,3287834,469.98,530.02,604,big,asi,30.51,country
afg,Afghanistan,1815,3291770,469.98,530.02,604,big,asi,30.51,country
afg,Afghanistan,1816,3296506,471.38,528.62,604,big,asi,30.51,country
afg,Afghanistan,1817,3302044,471.38,528.62,604,big,asi,30.51,country
afg,Afghanistan,1818,3308390,471.38,528.62,604,big,asi,30.51,country
afg,Afghanistan,1819,3315547,471.38,528.62,604,big,asi,30.51,country
afg,Afghanistan,1820,3323519,471.38,528.62,604,big,asi,30.51,country
afg,Afghanistan,1821,3332311,471.38,528.62,607,big,asi,30.51,country
afg,Afghanistan,1822,3341926,471.38,528.62,609,big,asi,30.51,country
afg,Afghanistan,1823,3352368,471.38,528.62,611,big,asi,30.51,country
afg,Afghanistan,1824,3363642,471.38,528.62,613,big,asi,30.51,country
afg,Afghanistan,1825,3375751,471.38,528.62,615,big,asi,30.51,country
afg,Afghanistan,1826,3388701,472.81,527.19,617,big,asi,30.51,country
afg,Afghanistan,1827,3402494,472.81,527.19,619,big,asi,30.51,country
afg,Afghanistan,1828,3417136,472.81,527.19,621,big,asi,30.51,country
afg,Afghanistan,1829,3432630,472.81,527.19,623,big,asi,30.51,country
afg,Afghanistan,1830,3448982,472.81,527.19,625,big,asi,30.51,country
afg,Afghanistan,1831,3466194,472.81,527.19,627,big,asi,30.51,country
afg,Afghanistan,1832,3483492,472.81,527.19,630,big,asi,30.51,country
afg,Afghanistan,1833,3500877,472.81,527.19,632,big,asi,30.51,country
afg,Afghanistan,1834,3518348,472.81,527.19,634,big,asi,30.51,country
afg,Afghanistan,1835,3535906,472.81,527.19,636,big,asi,30.51,country
afg,Afghanistan,1836,3553552,474.24,525.76,638,big,asi,30.51,country
afg,Afghanistan,1837,3571286,474.24,525.76,640,big,asi,30.51,country
afg,Afghanistan,1838,3589109,474.24,525.76,643,big,asi,30.51,country
afg,Afghanistan,1839,3607021,474.24,525.76,645,big,asi,30.51,country
afg,Afghanistan,1840,3625022,474.24,525.76,647,big,asi,30.51,country
afg,Afghanistan,1841,3643112,474.24,525.76,649,big,asi,30.51,country
afg,Afghanistan,1842,3661294,474.24,525.76,651,big,asi,30.51,country
afg,Afghanistan,1843,3679565,474.24,525.76,654,big,asi,30.51,country
afg,Afghanistan,1844,3697928,474.24,525.76,656,big,asi,30.51,country
afg,Afghanistan,1845,3716383,475.67,524.33,658,big,asi,30.51,country
afg,Afghanistan,1846,3734930,475.67,524.33,660,big,asi,30.51,country
afg,Afghanistan,1847,3753569,475.67,524.33,663,big,asi,30.51,country
afg,Afghanistan,1848,3772301,475.67,524.33,665,big,asi,30.51,country
afg,Afghanistan,1849,3791127,475.67,524.33,667,big,asi,30.51,country
afg,Afghanistan,1850,3810047,475.67,524.33,669,big,asi,30.51,country
afg,Afghanistan,1851,3826140,475.67,524.33,672,big,asi,31.47,country
afg,Afghanistan,1852,3842299,475.67,524.33,674,big,asi,32.42,country
afg,Afghanistan,1853,3858524,475.67,524.33,676,big,asi,33.37,country
afg,Afghanistan,1854,3874815,475.67,524.33,678,big,asi,34.33,country
afg,Afghanistan,1855,3891173,477.1,522.9,681,big,asi,35.28,country
afg,Afghanistan,1856,3907598,477.1,522.9,683,big,asi,36.23,country
afg,Afghanistan,1857,3924089,477.1,522.9,685,big,asi,37.19,country
afg,Afghanistan,1858,3940648,477.1,522.9,688,big,asi,38.14,country
afg,Afghanistan,1859,3957274,477.1,522.9,690,big,asi,39.09,country
afg,Afghanistan,1860,3973968,477.1,522.9,692,big,asi,40.05,country
afg,Afghanistan,1861,3991172,477.1,522.9,695,big,asi,41,country
afg,Afghanistan,1862,4008889,477.1,522.9,697,big,asi,41.95,country
afg,Afghanistan,1863,4027125,477.1,522.9,699,big,asi,42.91,country
afg,Afghanistan,1864,4045883,477.1,522.9,702,big,asi,43.86,country
afg,Afghanistan,1865,4065170,478.53,521.47,704,big,asi,44.81,country
afg,Afghanistan,1866,4084989,478.53,521.47,707,big,asi,45.77,country
afg,Afghanistan,1867,4105346,478.53,521.47,709,big,asi,46.72,country
afg,Afghanistan,1868,4126245,478.53,521.47,711,big,asi,47.67,country
afg,Afghanistan,1869,4147692,478.53,521.47,714,big,asi,48.63,country
afg,Afghanistan,1870,4169690,478.53,521.47,716,big,asi,49.58,country
afg,Afghanistan,1871,4192245,478.53,521.47,719,big,asi,48.93,country
afg,Afghanistan,1872,4215362,478.53,521.47,721,big,asi,48.28,country
afg,Afghanistan,1873,4236341,478.53,521.47,724,big,asi,47.62,country
afg,Afghanistan,1874,4260730,478.53,521.47,726,big,asi,46.97,country
afg,Afghanistan,1875,4285744,479.96,520.04,729,big,asi,46.32,country
afg,Afghanistan,1876,4311388,479.96,520.04,731,big,asi,45.67,country
afg,Afghanistan,1877,4336107,479.96,520.04,734,big,asi,45.01,country
afg,Afghanistan,1878,4363439,479.96,520.04,736,big,asi,44.36,country
afg,Afghanistan,1879,4391478,479.96,520.04,739,big,asi,43.71,country
afg,Afghanistan,1880,4419695,479.96,520.04,741,big,asi,43.05,country
afg,Afghanistan,1881,4447479,479.96,520.04,744,big,asi,42.4,country
afg,Afghanistan,1882,4476050,479.96,520.04,746,big,asi,41.75,country
afg,Afghanistan,1883,4504802,479.96,520.04,749,big,asi,41.1,country
afg,Afghanistan,1884,4533190,479.96,520.04,751,big,asi,40.44,country
afg,Afghanistan,1885,4562304,481.39,518.61,754,big,asi,39.79,country
afg,Afghanistan,1886,4591602,481.39,518.61,756,big,asi,39.14,country
afg,Afghanistan,1887,4620608,481.39,518.61,759,big,asi,38.49,country
afg,Afghanistan,1888,4650274,481.39,518.61,761,big,asi,37.83,country
afg,Afghanistan,1889,4680128,481.39,518.61,764,big,asi,37.18,country
afg,Afghanistan,1890,4710171,481.39,518.61,767,big,asi,36.53,country
afg,Afghanistan,1891,4740404,481.39,518.61,769,big,asi,36.83,country
afg,Afghanistan,1892,4770828,481.39,518.61,772,big,asi,37.12,country
afg,Afghanistan,1893,4801444,481.39,518.61,774,big,asi,37.42,country
afg,Afghanistan,1894,4832253,482.81,517.19,777,big,asi,37.72,country
afg,Afghanistan,1895,4863258,482.77,517.23,780,big,asi,38.02,country
afg,Afghanistan,1896,4894458,482.69,517.31,782,big,asi,38.31,country
afg,Afghanistan,1897,4925855,482.57,517.43,785,big,asi,38.61,country
afg,Afghanistan,1898,4957450,482.38,517.62,788,big,asi,38.91,country
afg,Afghanistan,1899,4989245,482.11,517.89,790,big,asi,39.21,country
afg,Afghanistan,1900,5021241,481.77,518.23,793,big,asi,39.5,country
afg,Afghanistan,1901,5053439,481.36,518.64,796,big,asi,39.8,country
afg,Afghanistan,1902,5085403,480.87,519.13,798,big,asi,40.1,country
afg,Afghanistan,1903,5118005,480.3,519.7,801,big,asi,40.4,country
afg,Afghanistan,1904,5150814,481.08,518.92,804,big,asi,40.69,country
afg,Afghanistan,1905,5183829,480.36,519.64,807,big,asi,40.99,country
afg,Afghanistan,1906,5217053,479.57,520.43,809,big,asi,41.29,country
afg,Afghanistan,1907,5249854,478.69,521.31,812,big,asi,41.59,country
afg,Afghanistan,1908,5283495,477.75,522.25,815,big,asi,41.88,country
afg,Afghanistan,1909,5317347,476.74,523.26,818,big,asi,42.18,country
afg,Afghanistan,1910,5351413,475.68,524.32,820,big,asi,42.48,country
afg,Afghanistan,1911,5385509,474.209,525.791,823,big,asi,42.24,country
afg,Afghanistan,1912,5420004,472.71,527.29,826,big,asi,41.99,country
afg,Afghanistan,1913,5459010,471.213,528.787,829,big,asi,41.75,country
afg,Afghanistan,1914,5502589,471.093,528.907,833,big,asi,41.51,country
afg,Afghanistan,1915,5550805,469.589,530.411,837,big,asi,41.27,country
afg,Afghanistan,1916,5599440,468.086,531.914,841,big,asi,41.02,country
afg,Afghanistan,1917,5648497,466.585,533.415,845,big,asi,40.78,country
afg,Afghanistan,1918,5704092,465.085,534.915,849,big,asi,40.54,country
afg,Afghanistan,1919,5758692,463.588,536.412,853,big,asi,40.3,country
afg,Afghanistan,1920,5813814,462.102,537.898,857,big,asi,40.05,country
afg,Afghanistan,1921,5869464,460.608,539.392,862,big,asi,39.81,country
afg,Afghanistan,1922,5925647,459.116,540.884,868,big,asi,39.57,country
afg,Afghanistan,1923,5982368,457.625,542.375,874,big,asi,39.33,country
afg,Afghanistan,1924,6039631,457.511,542.489,879,big,asi,39.08,country
afg,Afghanistan,1925,6097443,456.023,543.977,885,big,asi,38.84,country
afg,Afghanistan,1926,6155808,454.527,545.473,890,big,asi,38.6,country
afg,Afghanistan,1927,6214731,453.043,546.957,896,big,asi,38.36,country
afg,Afghanistan,1928,6274219,451.56,548.44,902,big,asi,38.11,country
afg,Afghanistan,1929,6334276,450.07,549.93,908,big,asi,37.87,country
afg,Afghanistan,1930,6394908,448.591,551.409,913,big,asi,37.66,country
afg,Afghanistan,1931,6456120,447.113,552.887,919,big,asi,37.45,country
afg,Afghanistan,1932,6517918,445.628,554.372,925,big,asi,37.24,country
afg,Afghanistan,1933,6580308,445.49,554.51,931,big,asi,37.03,country
