"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1985,,,40,
"abw",1985,63028,20789,40,2.33
"afg",1985,11630498,1384,31.6652384218,7.68
"ago",1985,9745209,4117,45.6722240323,7.21
"aia",1985,6662,,40,
"akr_a_dhe",1985,13639,,40,
"alb",1985,2966799,4267,27.8629665789,3.23
"and",1985,44597,27829,40,
"ant",1985,181690,,40,2.32
"arg",1985,30388781,9262,40.5704484195,3.09
"arm",1985,3339147,3805,38.3487532548,2.48
"asm",1985,39247,,40,
"atg",1985,65744,11383,40,2.09
"aus",1985,15791043,25875,37.6129520833,1.92
"aut",1985,7600514,27100,34,1.47
"aze",1985,6674107,8435,31.7,2.95
"bdi",1985,4774258,994,41.7194962295,7.52
"bel",1985,9893499,26792,26.1071451634,1.56
"ben",1985,4287263,1510,49.323376875,6.97
"bfa",1985,7727912,801,47.66262,7.14
"bgd",1985,93015182,1142,38.5041951246,5.52
"bgr",1985,8960387,10388,27.3960794488,2
"bhr",1985,419425,32131,40,4.36
"bhs",1985,234684,24154,46.2235593193,2.86
"bih",1985,4369527,3494,40,1.95
"blr",1985,9990966,7459,24.2,2.09
"blz",1985,164916,3705,40,5.02
"bmu",1985,58923,39853,40,
"bol",1985,6211549,3706,42.987145,5.13
"bra",1985,136836428,10495,58.7622899307,3.45
"brb",1985,255929,12115,47.4222229675,1.83
"brn",1985,223049,87154,40,3.79
"btn",1985,469010,1385,40,6.31
"bwa",1985,1182942,5822,57.6871162963,5.57
"caf",1985,2627424,998,58.3037695652,5.94
"can",1985,25848173,29016,34.8064052889,1.61
"cck",1985,519,,40,
"chanisl",1985,133804,,40,1.44
"cheslo",1985,15453006,,40,
"chl",1985,12108576,7193,56.41,2.66
"chn",1985,1052622410,1557,29.8536288521,2.65
"civ",1985,10158033,3347,40.07826,7.01
"cmr",1985,10381098,3675,44.9979675,6.7
"cod",1985,29985665,1498,44.0790246479,6.85
