"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1810,,,40,
"abw",1810,19286,834,40,5.64
"afg",1810,3280000,604,30.5122804245,7
"ago",1810,1567028,645,48.93343,6.94
"aia",1810,2025,,40,
"akr_a_dhe",1810,,,40,
"alb",1810,423591,668,41.2354,4.6
"and",1810,2654,1219,40,
"ant",1810,,,40,5.8
"arg",1810,534000,1510,47.1009928111,6.8
"arm",1810,413326,514,29.12185,7.83
"asm",1810,8156,,40,
"atg",1810,37000,758,40,4.96
"aus",1810,342440,834,41.30739,6.3
"aut",1810,3286650,1924,53.35227,5.1
"aze",1810,879960,777,40,8.1
"bdi",1810,899097,422,43.69366,6.8
"bel",1810,3283959,2416,62.43673,4.81
"ben",1810,636559,598,47.95059,5.56
"bfa",1810,1665421,480,37.4998,6.04
"bgd",1810,19611269,875,41.82703,6.7
"bgr",1810,2088223,1091,47.82681,5.16
"bhr",1810,64474,1289,40,7.03
"bhs",1810,27350,1447,40,5.9
"bih",1810,851806,670,40,5.91
"blr",1810,2355081,611,57.85,7
"blz",1810,25526,580,40,6.69
"bmu",1810,9831,1229,40,
"bol",1810,1100000,855,40,6.48
"bra",1810,4058652,1110,47.1009928111,6.26
"brb",1810,81729,915,40,4.68
"brn",1810,2128,1514,40,7.06
"btn",1810,89989,630,40,6.67
"bwa",1810,121000,398,35.60809,6.47
"caf",1810,479444,425,45.24579,6.51
"can",1810,727603,1400,45.13605,5.72
"cck",1810,,,40,
"chanisl",1810,43908,,40,5.07
"cheslo",1810,,,40,
"chl",1810,771447,1028,47.1009928111,5.98
"chn",1810,350542958,985,44.854295,5.5
"civ",1810,1088530,845,38.09856,6.78
"cmr",1810,1860054,627,56.15046,5.54
"cod",1810,5163819,505,42.12181,5.99
"cog",1810,314465,591,51.06881,5.67
"cok",1810,16333,,40,
"col",1810,1206000,964,58.94312,6.19
"com",1810,56346,703,36.30614,6.01
"cpv",1810,55716,530,40,6.45
"cri",1810,57584,776,40,6.93
"cub",1810,470176,970,40,5.78
"cxr",1810,,,40,
"cym",1810,2439,1041,40,
"cyp",1810,184590,855,40,6.03
"cyp_nor",1810,,,40,
"cze",1810,5516349,1918,34.91032,5.25
"deu",1810,23882461,1759,51.03153,5.35
"deu_east",1810,,,40,
"dji",1810,22848,776,40,6.3
"dma",1810,19950,664,40,
"dnk",1810,1108146,2050,54.1420492489,4.09
"dom",1810,89000,668,40,6.16
"dza",1810,2595056,725,57.71468,6.99
"ecu",1810,500000,530,40,6.98
"egy",1810,4218711,792,57.71468,6.06
"eri",1810,205010,533,40,6.96
"eri_a_eth",1810,,,40,
"est",1810,334136,949,48.87745,4.99
"eth",1810,2948990,523,47.51967,7.17
"fin",1810,1070625,1267,50.58427,5.1
"fji",1810,132682,786,40,6.45
"flk",1810,100,,40,
"fra",1810,30293172,1839,59,3.9
"fro",1810,13537,,40,
"fsm",1810,16416,521,40,6.02
"gab",1810,158227,391,45.85316,6.5
"gbg",1810,,,40,
"gbm",1810,23533,,40,
"geo",1810,1072178,544,29.74723,7.8
"gha",1810,2016034,701,58.44026,6.43
"gib",1810,9873,,40,
"gin",1810,983959,451,32.73783,6.11
"glp",1810,80726,,40,5.62
"gmb",1810,103274,818,40,6.51
"gnb",1810,218167,778,49.84899,7.25
