"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1947,,3618,,
"afg",1947,,1016,34.1,442.663500399
"ago",1947,,2851,49.1,416.558807112
"alb",1947,,1859,23.8,187.450972067
"and",1947,,6636,,
"are",1947,,1199,45,340.759969148
"arg",1947,,7862,40.3,110.222291269
"arm",1947,,1405,42.6,122.288658595
"atg",1947,,3290,,136.651017875
"aus",1947,,10856,38.4,36.5243284672
"aut",1947,,4063,37.7,104.5
"aze",1947,,2717,40.4,153.98386295
"bdi",1947,,501,43.3,343.754318071
"bel",1947,,9365,39.7,77.85
"ben",1947,,1219,41.2,358
"bfa",1947,,526,38.7,395
"bgd",1947,,1066,37.5,346.870546067
"bgr",1947,,2132,25,216.87
"bhr",1947,,11656,35.4,305.977890638
"bhs",1947,,9261,,131.630757961
"bih",1947,,1123,44.9,199.173404848
"blr",1947,,2115,32.7,102.16
"blz",1947,,1786,,164.299001977
"bmu",1947,,10454,,
"bol",1947,,2861,35.8,314.907930429
"bra",1947,,2643,38.4,248.994757623
"brb",1947,,2864,,271.645164081
"brn",1947,,34323,,163.460793103
"btn",1947,,841,47.1,408.112569886
"bwa",1947,,815,42.4,297.154631213
"caf",1947,,1161,45.4,409.492099262
"can",1947,,11694,37.1,59.1565001924
"che",1947,,20323,40.4,47.77
"chl",1947,,4598,53.4,262.185773697
"chn",1947,,556,54.4,321.64164369
"civ",1947,,1988,38.5,378.661354737
"cmr",1947,,1397,40.1,399.034046987
"cod",1947,,1476,44.3,315.217578716
"cog",1947,,1719,37.7,332.894782673
"col",1947,,2983,52.5,224.412764071
"com",1947,,805,36.9,337.660012931
"cpv",1947,,784,47.6,244.128395322
"cri",1947,,3050,48.8,171.244926667
"cub",1947,,8724,36.7,53.96
"cym",1947,,8799,,
"cyp",1947,,3631,40.1,120.41
"cze",1947,,7105,40.4,96.296378697
"deu",1947,,4504,46.5,68.0543629018
"dji",1947,,2889,41,351.052127389
"dma",1947,,2058,,
"dnk",1947,,10484,39.5,45.9246029412
"dom",1947,,1956,40.4,193.855459717
"dza",1947,,3838,40.2,325.202087077
"ecu",1947,,3034,40.7,267.813934353
"egy",1947,,1682,40.6,375.30877693
"eri",1947,,780,47.5,373.194148824
"esp",1947,,3963,35.4,107.802693408
"est",1947,,3682,35.6,105.97
"eth",1947,,576,43.7,385.09321713
"fin",1947,,6287,36.1,75.48
"fji",1947,,2531,41.6,174.034889816
"fra",1947,,6228,58.4,72.4864523945
"fsm",1947,,1097,,170.623264479
"gab",1947,,633,42.6,366.51170619
"gbr",1947,,10411,34,53.3140603606
"geo",1947,,1756,41.5,137.328320951
"gha",1947,,1232,41.5,274.9
"gin",1947,,609,42.1,362.6
"gmb",1947,,981,46.2,407.706245808
"gnb",1947,,836,40.1,299.014148148
"gnq",1947,,483,50.5,381.360747493
"grc",1947,,3524,35.2,67.1876079385
"grd",1947,,1657,,161.088597676
"grl",1947,,3047,,
"gtm",1947,,2971,45.4,303.172705696
"guy",1947,,4091,41.9,168.418947213
"hkg",1947,,3246,,
"hnd",1947,,2453,41.9,286.199171741
"hrv",1947,,4132,,136.660136411
"hti",1947,,2274,41.7,353.803875605
"hun",1947,,4141,27,153.055327869
"idn",1947,,1075,53.4,332.010937712
"ind",1947,,924,37,253.852874148
"irl",1947,,5559,45.2,93.4428975265
"irn",1947,,3672,45.8,321.837638783
"irq",1947,,2866,59.3,434.4
"isl",1947,,9451,,32.3073668301
"isr",1947,,3448,45,37.3616804124
"ita",1947,,5610,42.6,112.36
"jam",1947,,3052,41.9,136.31431962
"jor",1947,,2920,41,321.7
"jpn",1947,,2055,38.2,148.657009706
"kaz",1947,,4467,39.2,186.788483412
"ken",1947,,1745,68.3,364.250854778
"kgz",1947,,2166,38.1,196.929130519
"khm",1947,,1098,45.6,320.440805825
"kir",1947,,1619,,264.257837717
"kna",1947,,3273,,
"kor",1947,,654,30.6,354.183377943
"kwt",1947,,2091,39.5,250.098865979
"lao",1947,,1131,38.8,310.462614971
"lbn",1947,,7140,53,200.214477865
"lbr",1947,,1190,45.2,347.574896607
"lby",1947,,5015,38.9,366.136496118
"lca",1947,,1388,,184.787976035
"lka",1947,,1525,47.7,164.755499811
"lso",1947,,424,51.4,282.99353345
"ltu",1947,,5063,35.6,110.47
"lux",1947,,16692,34.9,103.207062287
"lva",1947,,2932,35.6,127.9
"mac",1947,,3454,,
"mar",1947,,1941,38.5,297.059673266
"mco",1947,,10549,,
"mda",1947,,2035,25,147.039793656
"mdg",1947,,1799,38.7,342.988869565
"mdv",1947,,879,,363.341740957
"mex",1947,,3923,52.6,226.418253373
"mhl",1947,,1273,,
"mkd",1947,,2153,40.9,188.209847822
"mli",1947,,647,42.6,458.079185396
"mlt",1947,,2512,,62.7773312938
"mmr",1947,,813,33.6,400.402648143
"mne",1947,,3430,39.8,146.30093097
"mng",1947,,842,47.1,329.403062008
"moz",1947,,442,40.7,395.277181136
"mrt",1947,,1148,49.2,329
"mus",1947,,2362,41.9,175.199736162
"mwi",1947,,355,38.3,382.309050458
"mys",1947,,1997,41,196.562876308
"nam",1947,,3665,42,305.983162218
"ner",1947,,941,38.9,370.875800256
"nga",1947,,2581,48.4,391.465793594
"nic",1947,,3184,56,290.02022004
"nld",1947,,8093,38.1,41.8648297265
"nor",1947,,10196,38,41.8723007576
"npl",1947,,817,45.4,349.376257111
"nru",1947,,3879,,
"nzl",1947,,13336,35.2,34.8993726899
"omn",1947,,2856,41.1,399.234056325
"pak",1947,,1219,37.9,405.939388721
"pan",1947,,3640,40.8,155.653689059
"per",1947,,3964,56,312.566293542
"phl",1947,,1519,49.2,193.835953469
"plw",1947,,7688,,
"png",1947,,941,47,345.738245458
"pol",1947,,3715,23.8,174.312633187
"pri",1947,,4804,,
"prk",1947,,703,47.1,340.749125193
"prt",1947,,3831,40.8,157.63
"pry",1947,,2940,41,129.481664005
