geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr,lat,lng
afg,Afghanistan,country,asi,1800,3280000,603,30.5,468.58,33,66
ago,Angola,country,afr,1800,1567028,618,48.9,485.68,-12.5,18.5
alb,Albania,country,eur,1800,410445,667,41.2,375.2,41,20
are,United Arab Emirates,country,asi,1800,40153,998,45,434.46,23.75,54.5
arg,Argentina,country,ame,1800,534000,1507,47.1,402.19,-34,-64
arm,Armenia,country,eur,1800,413326,514,29.1,371.2,40.25,45
aus,Australia,country,asi,1800,351014,815,41.3,390.99,-25,135
aut,Austria,country,eur,1800,3205587,1848,53.4,387.32,47.33333,13.33333
aze,Azerbaijan,country,eur,1800,879960,775,31.7,384,40.5,47.5
bdi,Burundi,country,afr,1800,899097,418,43.7,423.95,-3.5,30
bel,Belgium,country,eur,1800,3138137,2412,62.4,322.4,50.75,4.5
ben,Benin,country,afr,1800,636559,597,48,430.46,9.5,2.25
bfa,Burkina Faso,country,afr,1800,1665421,480,37.5,454.69,12.5,-1.66667
bgd,Bangladesh,country,asi,1800,19227358,876,41.8,507.88,24,90
bgr,Bulgaria,country,eur,1800,1992320,1089,47.8,370.41,42.66667,25.25
bhr,Bahrain,country,asi,1800,64474,1235,45,439.79,26.03333,50.55
bih,Bosnia and Herzegovina,country,eur,1800,851806,669,26.2,378.8,44.25,17.83333
blr,Belarus,country,eur,1800,2355081,608,57.9,365.67,53,28
bol,Bolivia,country,ame,1800,1100000,854,36.9,404.69,-17,-65
bra,Brazil,country,ame,1800,3639636,1109,40.1,417.44,-10,-55
btn,Bhutan,country,asi,1800,89989,629,46.8,463.36,27.5,90.5
bwa,Botswana,country,afr,1800,121000,397,35.6,397.2,-22,24
caf,Central African Republic,country,afr,1800,479444,424,45.2,443.79,7,21
can,Canada,country,ame,1800,645526,1314,45.1,333.47,60.10867,-113.64258
che,Switzerland,country,eur,1800,1826051,2701,41.7,344.77,47.00016,8.01427
chl,Chile,country,ame,1800,771447,1026,47.1,417.44,-33.45694,-70.64827
chn,China,country,asi,1800,321675013,985,44.2,417.44,35,105
civ,Cote d'Ivoire,country,afr,1800,1088530,812,38.1,427.86,8,-5.5
cmr,Cameroon,country,afr,1800,1860054,626,56.2,460.21,6,12.5
