"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abw",1845,,988,,
"afg",1845,,658,30.5,475.67
"ago",1845,,752,41.8,485.68
"alb",1845,,709,41.2,375.2
"and",1845,,1668,,
"are",1845,,1180,44.2,434.46
"arg",1845,,2155,35.9,402.19
"arm",1845,,567,29.1,349.982535414
"atg",1845,,898,,328.653471643
"aus",1845,,2396,45.7,390.99
"aut",1845,,2754,38.9,401.27
"aze",1845,,894,38.6,350.208891389
"bdi",1845,,436,43.7,423.95
"bel",1845,,3076,54.4,261.46
"ben",1845,,675,46.1,430.46
"bfa",1845,,495,37.5,454.69
"bgd",1845,,878,41.8,507.88
"bgr",1845,,1235,47.8,347.07
"bhr",1845,,1499,43.4,439.79
"bhs",1845,,1715,,318.828887639
"bih",1845,,762,36.1,378.8
"blr",1845,,710,54.6,365.67
"blz",1845,,687,,338.616961941
"bmu",1845,,1457,,
"bol",1845,,1085,36.9,404.69
"bra",1845,,1173,38.9,417.44
"brb",1845,,1084,,550.34158795
"brn",1845,,1651,,454.69
"btn",1845,,663,47.4,446.304532679
"bwa",1845,,449,35.6,397.2
"caf",1845,,480,46.6,443.79
"can",1845,,2057,29.8,315.87
"che",1845,,3525,48.2,344.77
"chl",1845,,1181,60.9,417.44
"chn",1845,,980,38.2,417.44
"civ",1845,,973,40.7,427.86
"cmr",1845,,708,47.9,460.21
"cod",1845,,584,42.1,422.65
"cog",1845,,653,47.9,408.51
"col",1845,,1030,58.9,417.44
"com",1845,,729,40.4,416.16
"cpv",1845,,590,49.3,394.71
"cri",1845,,1028,46.7,441.12
"cub",1845,,1456,39.1,368.01
"cym",1845,,1233,,
"cyp",1845,,1150,35.9,339.12
"cze",1845,,2355,46.3,379.99
"deu",1845,,2142,45.3,469.33
"dji",1845,,867,43.8,445.15
"dma",1845,,787,,
"dnk",1845,,2639,53.1,249.23
"dom",1845,,766,43.2,445.15
"dza",1845,,964,62.2,460.21
"ecu",1845,,623,42.6,405.96
"egy",1845,,890,62.2,404.69
"eri",1845,,569,46.9,441.12
"esp",1845,,1617,32.7,450.6
"est",1845,,1128,48.9,362.15
"eth",1845,,529,47.5,447.88
"fin",1845,,1472,50.6,318.04
"fji",1845,,857,46.9,498.88
"fra",1845,,2284,55.1,236.87
"fsm",1845,,532,,334.727350534
"gab",1845,,393,45.9,435.79
"gbr",1845,,4533,46.1,248.33
"geo",1845,,613,29.7,361.130831662
"gha",1845,,721,45.5,471.38
"gin",1845,,475,32.7,443.79
"gmb",1845,,835,46,460.21
"gnb",1845,,795,49.8,417.44
"gnq",1845,,377,48.4,446.51
"grc",1845,,1742,49.9,360.97
"grd",1845,,1069,,339.288588164
"grl",1845,,515,,
