"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1844,,982,,
"afg",1844,,656,30.5,474.24
"ago",1844,,749,42.1,485.68
"alb",1844,,707,41.2,375.2
"and",1844,,1649,,
"are",1844,,1176,44.2,434.46
"arg",1844,,2125,36.4,402.19
"arm",1844,,565,29.1,350.440594538
"atg",1844,,892,,331.332701341
"aus",1844,,2328,45.5,390.99
"aut",1844,,2725,39.5,373.78
"aze",1844,,889,38.5,350.926485619
"bdi",1844,,435,43.7,423.95
"bel",1844,,3033,54.7,250.22
"ben",1844,,672,46.2,430.46
"bfa",1844,,494,37.5,454.69
"bgd",1844,,877,41.8,507.88
"bgr",1844,,1229,47.8,348.22
"bhr",1844,,1492,43.5,439.79
"bhs",1844,,1704,,321.606141352
"bih",1844,,758,35.9,378.8
"blr",1844,,706,54.8,365.67
"blz",1844,,682,,341.047794241
"bmu",1844,,1447,,
"bol",1844,,1075,36.9,404.69
"bra",1844,,1170,38.9,417.44
"brb",1844,,1077,,548.408799764
"brn",1844,,1645,,454.69
"btn",1844,,662,47.4,446.676635549
"bwa",1844,,447,35.6,397.2
"caf",1844,,478,46.6,443.79
"can",1844,,2029,30.4,316.96
"che",1844,,3488,48,344.77
"chl",1844,,1159,60.3,417.44
"chn",1844,,973,38.4,417.44
"civ",1844,,969,40.6,427.86
"cmr",1844,,705,48.2,460.21
"cod",1844,,581,42.1,422.65
"cog",1844,,651,48,408.51
"col",1844,,1027,58.9,417.44
"com",1844,,728,40.2,416.16
"cpv",1844,,588,49.3,394.71
"cri",1844,,1016,46.8,441.12
"cub",1844,,1439,39.1,368.01
"cym",1844,,1225,,
"cyp",1844,,1137,35.7,339.12
"cze",1844,,2336,45.8,379.99
"deu",1844,,2134,45.6,466.08
"dji",1844,,864,43.7,445.15
"dma",1844,,782,,
"dnk",1844,,2594,53.4,235.97
"dom",1844,,762,43.1,445.15
"dza",1844,,953,62,460.21
"ecu",1844,,619,42.5,405.96
