"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1977,,,40,
"abw",1977,60366,11197,40,2.45
"afg",1977,13056499,1119,32.0221972578,7.67
"ago",1977,7501320,4956,46.3158459677,7.19
"aia",1977,6691,,40,
"akr_a_dhe",1977,12892,,40,
"alb",1977,2517869,4188,26.8325307895,4.09
"and",1977,32769,33964,40,
"ant",1977,168945,,40,2.45
"arg",1977,26878567,10918,38.3,3.39
"arm",1977,2938181,3937,38.1888147743,2.56
"asm",1977,30690,,40,
"atg",1977,70223,6371,40,2.36
"aus",1977,14211657,22373,35.9049775459,2.01
"aut",1977,7625724,23427,41.1898293333,1.63
"aze",1977,5882395,8351,40,3.68
"bdi",1977,3825484,909,42.6266581967,7.45
"bel",1977,9806885,23546,30.6748441142,1.73
"ben",1977,3432262,1191,46.554712,6.98
"bfa",1977,6398937,714,47.8866122135,6.98
"bgd",1977,74848466,1038,35.3595852824,6.68
"bgr",1977,8790072,9844,20.0326034965,2.18
"bhr",1977,303236,40589,40,5.28
"bhs",1977,197118,15790,49.0259691459,3.06
"bih",1977,4041623,3217,40,2.27
"blr",1977,9479262,6591,23.56,2.11
"blz",1977,136991,3370,40,6.2
"bmu",1977,55851,36451,40,
"bol",1977,5233677,4560,46.6521976719,5.9
"bra",1977,113776467,9512,61.8908246048,4.34
"brb",1977,248785,10981,48.1610177971,2.2
"brn",1977,173826,110729,40,4.88
"btn",1977,374801,1051,40,6.67
"bwa",1977,887793,3298,52.3451725926,6.4
"caf",1977,2108417,1261,57.0903191304,5.95
"can",1977,23723801,25095,33.659672707,1.75
"cck",1977,466,,40,
"chanisl",1977,127190,,40,1.55
"cheslo",1977,14987437,,40,
"chl",1977,10746328,6675,52.5297976912,2.89
"chn",1977,936554514,904,27.7654844267,2.87
"civ",1977,7237451,4602,48.0681253238,7.84
"cmr",1977,8187840,2386,41.701372,6.47
"cod",1977,24242643,1772,44.1211711268,6.44
"cog",1977,1651134,3469,40.0981016129,6.3
"cok",1977,19183,,40,
"col",1977,25905124,5544,53.7482649175,4.37
"com",1977,275496,1522,50.5079340625,7.08
"cpv",1977,275479,749,40,6.65
"cri",1977,2207727,7305,48.8426735493,3.78
"cub",1977,9634677,11712,39.5225435484,2.33
"cxr",1977,1306,,40,
"cym",1977,13840,30787,40,
"cyp",1977,665528,11852,40,2.31
"cyp_nor",1977,,,40,
"cze",1977,10188839,18025,26.3845452,2.3
"deu",1977,78524727,25678,37.879628,1.5
"deu_east",1977,16703426,,40,
"dji",1977,277622,3779,40,6.67
"dma",1977,73411,3737,40,
"dnk",1977,5095956,25758,36.719608,1.66
"dom",1977,5411867,4710,43.803,4.85
"dza",1977,17690184,8888,41.0820470492,7.24
"ecu",1977,7374235,7560,42.2,5.16
"egy",1977,40377668,3745,45.1405788884,5.51
"eri",1977,2188806,931,40,6.62
"eri_a_eth",1977,37059590,,40,
"est",1977,1443926,11525,27.0455771429,2.08
"eth",1977,33614153,704,50.0445732,7.2
"fin",1977,4738949,19261,34.371216,1.69
"fji",1977,598258,5506,44.0231402433,3.99
"flk",1977,1889,,40,
"fra",1977,53509578,22270,36.8411356156,1.92
"fro",1977,41447,,40,
"fsm",1977,66110,2662,40,6.49
"gab",1977,678786,20699,57.45097,5.54
"gbg",1977,53557,,40,
"gbm",1977,62934,,40,
"geo",1977,4973542,7425,31.8489888,2.42
"gha",1977,10189889,2085,50.4479070023,6.72
"gib",1977,25922,,40,
"gin",1977,4393551,1162,44.746136,6.43
"glp",1977,327624,,40,3.23
"gmb",1977,551823,1957,40,6.33
"gnb",1977,805481,1644,43.97515625,6.46
"gnq",1977,220352,1331,40,5.68
"grc",1977,9255749,16765,39.717012,2.32
"grd",1977,90187,4401,40,4.34
"grl",1977,49848,14522,40,2.35
"gtm",1977,6579710,6047,48.213855404,6.2
"guf",1977,59875,,40,3.4
"gum",1977,97476,,40,3.56
"guy",1977,762445,4409,46.8133070622,4.44
"hkg",1977,4633329,13230,43.34,2.44
"hnd",1977,3306988,3488,59.122,6.65
"hos",1977,737,,40,
"hrv",1977,4536198,16453,40.5174522857,2.01
"hti",1977,5341418,2412,49.376046,5.78
"hun",1977,10650975,15853,25.598778,2.11
"idn",1977,137322122,2946,42.8983818317,4.81
"ind",1977,650907559,1266,36.8032636455,4.92
"irl",1977,3287620,14631,40.5005610927,3.34
"irn",1977,34814231,16033,50,6.29
"irq",1977,12460997,11575,41.961225,6.83
"isl",1977,222142,21583,40,2.49
"isr",1977,3513516,13324,46.5714285714,3.51
"ita",1977,55775934,20050,39.52558,1.99
"jam",1977,2066247,6952,33.09146,4.12
"jey",1977,73540,,40,
"jor",1977,2091716,5941,40,7.46
"jpn",1977,113067848,17705,39.7896771988,1.89
"kaz",1977,14461278,13301,31.3933371429,3.11
"ken",1977,14527187,2109,55.50615,7.7
"kgz",1977,3426646,3555,32.6560297143,4.15
"khm",1977,7222050,976,40,5.44
"kir",1977,56815,3850,40,4.98
"kna",1977,,6196,40,
"kor",1977,35832213,4964,39.4201250038,3.11
"korea_union",1977,52763219,,,
"kos",1977,1552255,,40,
"kwt",1977,1180939,87987,40,6.05
"lao",1977,3131492,1462,40.7165747541,6.14
"lbn",1977,2606224,7403,52.4615384615,4.27
"lbr",1977,1724313,1370,40,6.93
"lby",1977,2840378,55104,40,7.98
"lca",1977,,4724,40,5.22
"lie",1977,24444,,40,
"lso",1977,1208836,1149,40,5.71
"ltu",1977,3355098,15770,26.7370057143,2.13
"lux",1977,358961,33506,40,1.5
"lva",1977,2481660,9810,27.1998628571,1.91
"mac",1977,243729,23048,40,1.44
"mar",1977,18688782,3066,42.166259,5.97
"mco",1977,25809,33121,40,
"mda",1977,3910636,6027,20.0326034965,2.46
"mdg",1977,8031589,2184,50.3291022348,7.01
"mdv",1977,144645,1418,40,6.93
"mex",1977,64337694,10456,57.856076218,5.42
"mhl",1977,27470,2360,40,
"mkd",1977,1851068,8727,41.8841381818,2.67
"mli",1977,6712545,1043,51.4169880821,7
"mlt",1977,311455,9040,40,2.09
"mmr",1977,32130696,1620,44.27483,5.29
"mne",1977,565509,14481,40,2.4
"mng",1977,1562212,2121,40,6.78
"mnp",1977,15293,,40,
"moz",1977,11001909,515,50.332266,6.53
"mrt",1977,1407621,2852,49.8166066667,6.59
"msr",1977,11885,,40,
"mtq",1977,326200,,40,2.81
"mus",1977,922325,4954,40,3.07
"mwi",1977,5627788,662,52.3653961185,7.58
"mys",1977,12891715,6028,51.5062920477,3.99
"myt",1977,48893,,40,7.91
"nam",1977,949734,6337,57.2379095652,6.62
"ncl",1977,134710,,40,4.1
"ner",1977,5476206,1135,50.5918058136,7.63
"nfk",1977,1828,,40,
