geo,time,Migrant stock (% of population)
abw,1960,16.04105274
afg,1960,0.483218534
ago,1960,2.436135474
aia,1960,8.203125
alb,1960,3.036263671
and,1960,18.66636765
ant,1960,20.16836693
are,1960,2.431455992
arg,1960,12.57529099
asm,1960,11.86246703
atg,1960,8.906290022
aus,1960,16.52400585
aut,1960,11.45371178
bdi,1960,4.295971534
bel,1960,4.823070521
ben,1960,1.499179217
bfa,1960,1.333347173
bgd,1960,1.2217082
bgr,1960,0.257976095
bhr,1960,17.12424413
bhs,1960,10.33435482
blz,1960,8.210780353
bmu,1960,19.5665787
bol,1960,1.274277023
bra,1960,1.920599132
brb,1960,4.231299477
brn,1960,25.13691932
btn,1960,4.319854993
bwa,1960,1.374164411
caf,1960,2.868951424
can,1960,15.44643816
chanisl,1960,30.44177948
che,1960,13.40473542
cheslo,1960,0.439141293
chl,1960,1.370556105
chn,1960,0.038035866
civ,1960,22.26627306
cmr,1960,3.243903328
cod,1960,6.544857981
cog,1960,2.601887914
cok,1960,4.261145799
col,1960,0.366572281
com,1960,0.780638912
cpv,1960,3.367948215
cri,1960,2.450659608
cub,1960,2.011100148
cym,1960,11.24427212
cyp,1960,5.163910394
deu,1960,
deu_east,1960,1.879548655
deu_west,1960,3.020661852
dji,1960,13.86388274
dma,1960,4.038048896
dnk,1960,2.051714048
dom,1960,4.316878202
dza,1960,3.985621477
ecu,1960,0.541949324
egy,1960,0.763993232
eri,1960,0.541093004
esh,1960,2.78624558
esp,1960,0.692483729
eth,1960,1.743920259
fin,1960,0.724243629
fji,1960,5.096003756
flk,1960,19.7761194
fra,1960,7.678820426
fro,1960,4.337314302
fsm,1960,13.13153995
gab,1960,4.296012008
gbm,1960,45.85408186
gbr,1960,3.173237911
gha,1960,7.802954051
gib,1960,30.5666004
gin,1960,0.362286353
glp,1960,3.403816025
gmb,1960,9.926192993
gnb,1960,1.959995421
gnq,1960,7.67653126
grc,1960,0.629927477
grd,1960,4.46445466
grl,1960,7.935924531
gtm,1960,1.045949418
guf,1960,24.64276915
gum,1960,45.97099472
guy,1960,2.468777485
hkg,1960,52.92476953
hnd,1960,2.996790223
hos,1960,100
hti,1960,0.375588335
hun,1960,5.189671918
idn,1960,1.998178148
ind,1960,2.099095029
irl,1960,2.57653766
irn,1960,0.222883841
irq,1960,1.170496738
isl,1960,1.884680508
isr,1960,56.08144672
ita,1960,0.928186486
jam,1960,1.344613749
jor,1960,43.05214726
jpn,1960,0.743278644
ken,1960,0.73208574
khm,1960,7.01729297
kir,1960,1.849942379
kna,1960,6.908338053
kor,1960,0.540722464
kwt,1960,32.60282252
lao,1960,0.924929404
lbn,1960,8.0192853
lbr,1960,2.72175229
lby,1960,3.573747743
lca,1960,2.72015112
lie,1960,24.57729469
lka,1960,10.03523803
lso,1960,0.371716213
lux,1960,14.7680588
mac,1960,46.24988413
mar,1960,3.39188056
mco,1960,69.48585886
mdg,1960,2.475066204
mdv,1960,1.728916458
mex,1960,0.588877787
mhl,1960,5.769624224
mli,1960,3.312335072
mlt,1960,0.54871619
mmr,1960,1.359722364
mng,1960,0.384201036
mnp,1960,26.48529706
moz,1960,0.117040136
mrt,1960,1.403225394
msr,1960,8.001322533
mtq,1960,2.621017108
mus,1960,1.550812669
mwi,1960,8.436337545
mys,1960,0.698921
myt,1960,5.353193975
nam,1960,4.51805779
ncl,1960,14.07509968
ner,1960,1.696940306
nga,1960,0.208498683
nic,1960,0.69785684
niu,1960,4.904006678
nld,1960,3.888172259
nor,1960,1.719939525
npl,1960,3.483856482
nru,1960,9.252990296
nzl,1960,14.075
omn,1960,7.722953035
pak,1960,13.01889887
pan,1960,6.06426954
pcn,1960,6.896551724
per,1960,0.669826503
phl,1960,0.811896751
plw,1960,3.283767038
png,1960,0.970401994
pol,1960,8.181785453
pri,1960,2.714767414
prk,1960,0.229041685
prt,1960,0.439153494
pry,1960,2.622385873
pse,1960,44.5315445
pyf,1960,4.619709078
qat,1960,32
reu,1960,3.348703944
rou,1960,1.797566143
rwa,1960,0.988120116
sau,1960,1.555660593
sdn,1960,2.071274749
sen,1960,5.451693685
sgp,1960,31.77760098
shn,1960,2.765463373
slb,1960,3.140480498
sle,1960,2.037423993
slv,1960,1.241852663
smr,1960,48.85758795
som,1960,0.402846031
spm,1960,5.408702725
stp,1960,11.57336073
sur,1960,7.745862069
swe,1960,3.952111771
swz,1960,4.85317874
syc,1960,1.944048222
syr,1960,5.974117711
tca,1960,3.144654088
tcd,1960,1.856262357
tgo,1960,6.466512555
tha,1960,1.753989544
tkl,1960,5.74650913
tls,1960,1.428171828
ton,1960,0.177004096
tto,1960,9.610619154
tun,1960,4.00886014
tur,1960,3.356480006
tuv,1960,6.092368162
tza,1960,4.735756752
uga,1960,11.37012068
ury,1960,7.56870941
usa,1960,5.810024639
ussr,1960,1.372569355
vct,1960,3.08106639
ven,1960,6.721427068
vgb,1960,8.123284253
vir,1960,36.9897021
vnm,1960,0.011917362
vut,1960,4.437202306
wlf,1960,0.408830744
wsm,1960,3.120564795
yem,1960,3.047600445
yug,1960,0.851403606
zaf,1960,5.332435987
zmb,1960,11.85295484
zwe,1960,10.32078501
abw,1965,14.23775964
afg,1965,0.466796348
ago,1965,1.399976641
aia,1965,10.16563819
alb,1965,2.749229655
and,1965,37.68686923
ant,1965,17.38738185
are,1965,18.01358941
arg,1965,10.78062342
asm,1965,17.61872571
atg,1965,9.440741343
aus,1965,17.82823429
aut,1965,10.25032282
bdi,1965,5.746676021
bel,1965,6.421336488
ben,1965,1.564659997
bfa,1965,1.465576991
bgd,1965,1.124496821
bgr,1965,0.253324712
bhr,1965,20.07946562
bhs,1965,13.35089343
blz,1965,8.264857277
bmu,1965,22.69200057
bol,1965,1.252462892
bra,1965,1.559239595
brb,1965,4.865221088
brn,1965,25.40243117
btn,1965,4.400012523
bwa,1965,1.453293124
caf,1965,2.784941598
can,1965,15.34988938
chanisl,1965,34.34896103
che,1965,15.14681733
cheslo,1965,0.449204498
chl,1965,1.127632339
chn,1965,0.036366041
civ,1965,22.63294245
cmr,1965,3.108409323
cod,1965,7.555246751
cog,1965,2.972783837
cok,1965,4.892192525
col,1965,0.403669264
com,1965,1.008110147
cpv,1965,3.037239271
cri,1965,2.025980917
cub,1965,1.717966172
cym,1965,13.17921573
cyp,1965,5.578357696
deu,1965,
deu_east,1965,1.153985504
deu_west,1965,3.508408179
dji,1965,13.61209431
dma,1965,3.629256485
dnk,1965,2.100757503
dom,1965,4.252128076
dza,1965,1.747034996
ecu,1965,0.637903397
egy,1965,0.659160131
eri,1965,0.510467486
esh,1965,2.300971827
esp,1965,0.849138921
eth,1965,1.505725136
fin,1965,0.705433521
fji,1965,3.869472913
flk,1965,13.44578313
fra,1965,9.118537668
fro,1965,4.711567502
fsm,1965,10.65076296
gab,1965,5.785392432
gbm,1965,47.23028615
gbr,1965,4.67698718
gha,1965,5.442676525
gib,1965,32.14614548
gin,1965,0.400214792
glp,1965,4.384282384
gmb,1965,10.58177702
gnb,1965,1.994969962
gnq,1965,5.186540982
grc,1965,0.803496197
grd,1965,3.75305352
grl,1965,10.88614051
gtm,1965,1.006385929
guf,1965,30.22684547
gum,1965,45.03958583
guy,1965,2.085891473
hkg,1965,45.96084562
hnd,1965,1.606803767
hos,1965,100
hti,1965,0.297478218
hun,1965,4.688240857
