"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1964,,,40,
"abw",1964,57029,5505,40,4.06
"afg",1964,9728645,1182,32.7656513825,7.67
"ago",1964,5665701,4573,47.3617316129,7.43
"aia",1964,6057,,40,
"akr_a_dhe",1964,11765,,40,
"alb",1964,1843596,3023,25.1580726316,5.71
"and",1964,17470,20809,40,
"ant",1964,144054,,40,4.06
"arg",1964,21953926,8227,39.32,3.07
"arm",1964,2138133,2823,37.9289147435,4.16
"asm",1964,22701,,40,
"atg",1964,58500,5008,40,4.25
"aus",1964,11114995,16098,33.7373406834,3.15
"aut",1964,7249855,13915,47.58677,2.8
"aze",1964,4445653,5751,40,5.47
"bdi",1964,3011957,603,44.1007963934,7.14
"bel",1964,9383443,14995,43.3382905816,2.6
"ben",1964,2586362,1159,45.044068,6.5
"bfa",1964,5098892,711,47.790448,6.41
"bgd",1964,54129390,1138,33.8814449419,6.85
"bgr",1964,8141171,6110,22.1707415438,2.18
"bhr",1964,182774,24751,40,7.19
"bhs",1964,133697,18160,40,4.22
"bih",1964,3468083,2152,40,3.62
"blr",1964,8521433,4357,26,2.6
"blz",1964,103070,2114,40,6.42
"bmu",1964,48436,23383,40,
"bol",1964,3990855,2971,50.1179628958,6.61
"bra",1964,81751802,4707,56.3968509393,5.95
"brb",1964,234547,5681,48.2149991836,4.09
"brn",1964,97933,67522,40,6.23
"btn",1964,246324,997,40,6.67
"bwa",1964,579560,1038,44.7288681081,6.68
"caf",1964,1616515,1353,53.703226,5.93
"can",1964,19349346,16464,34.2550498427,3.51
"cck",1964,391,,40,
"chanisl",1964,113778,,40,2.55
"cheslo",1964,14049130,,40,
"chl",1964,8423614,6537,61.4581809001,5.19
"chn",1964,690932043,713,29.46,6.12
"civ",1964,4049675,3312,46.6300851759,7.64
"cmr",1964,5850454,1910,50.068316,5.89
"cod",1964,16903899,2108,44.1896591549,6.07
"cog",1964,1126602,2282,38.8345393548,6.06
"cok",1964,18699,,40,
"col",1964,18581972,3749,59.4908754573,6.66
"com",1964,201665,1342,49.324928,6.98
"cpv",1964,223854,895,40,6.99
"cri",1964,1537035,4495,47.8712140092,6.89
"cub",1964,7787149,9179,38.0452025806,4.64
"cxr",1964,905,,40,
"cym",1964,8299,18693,40,
"cyp",1964,578629,6563,40,3.25
"cyp_nor",1964,,,40,
"cze",1964,9773266,12482,28.5110124,2.12
"deu",1964,75410766,17100,39.465158,2.49
"deu_east",1964,17461142,,40,
"dji",1964,107584,3700,40,6.6
"dma",1964,63921,2513,40,
"dnk",1964,4723496,18228,31.681476491,2.6
"dom",1964,3757962,3044,47.77302559,7.19
"dza",1964,12295973,5693,40.8748440984,7.65
"ecu",1964,5099470,4786,40,6.59
"egy",1964,30094082,2443,43.13,6.47
"eri",1964,1550297,937,40,6.78
"eri_a_eth",1964,27916727,,40,
"est",1964,1275471,7728,30.69464,1.95
"eth",1964,24396965,698,52.085406,6.87
"fin",1964,4546343,12389,43.6438562499,2.58
"fji",1964,450452,3671,40,5.68
"flk",1964,2089,,40,
"fra",1964,48402900,13969,49.0712807406,2.8
"fro",1964,35946,,40,
"fsm",1964,50483,1542,40,6.89
"gab",1964,523793,2454,65.9138124419,4.69
"gbg",1964,49327,,40,
"gbm",1964,49818,,40,
"geo",1964,4419583,3707,32.7410956,2.86
"gha",1964,7513286,2322,50.106588,6.89
"gib",1964,22894,,40,
"gin",1964,3812004,870,50.603566,6.13
"glp",1964,295840,,40,5.54
"gmb",1964,394552,1312,40,5.78
"gnb",1964,643962,1440,40.9586525,5.32
"gnq",1964,264743,1041,40,5.57
"grc",1964,8492232,8197,44.820002,2.26
"grd",1964,94066,2316,40,5.91
"grl",1964,36441,7181,40,7.27
"gtm",1964,4600846,3722,54.04015,6.43
"guf",1964,37282,,40,5.08
"gum",1964,73048,,40,5.67
"guy",1964,635778,3164,42.9647440502,5.33
"hkg",1964,3695136,6530,47.0979830678,4.83
"hnd",1964,2282764,2583,40,7.44
"hos",1964,881,,40,
"hrv",1964,4304984,9476,44.9492117143,2.21
"hti",1964,4186636,2024,51.222326,6.23
"hun",1964,10135688,11083,27.793754,1.88
"idn",1964,97638027,1694,41.5889288417,5.62
"ind",1964,487690114,1125,38.286768,5.81
"irl",1964,2844373,9215,47.042358,3.99
"irn",1964,24308080,6188,53.871404,6.87
"irq",1964,8122200,6805,56.8776645689,6.87
"isl",1964,189276,13450,40,3.74
"isr",1964,2443297,8152,45.55,3.82
"ita",1964,51289904,12343,42.228154,2.5
"jam",1964,1737616,5965,38.0826430654,5.78
"jey",1964,65609,,40,
"jor",1964,1050725,5556,40,8.03
"jpn",1964,96253064,6741,36.8380225485,1.97
"kaz",1964,11577537,9418,35.12001,4.2
"ken",1964,9200158,1922,60.986584,8.1
"kgz",1964,2490244,3006,35.022078,5.32
"khm",1964,6329411,1548,40,6.91
"kir",1964,45424,2639,40,7.2
"kna",1964,,3996,40,
"kor",1964,27770874,1380,32.6030136104,5.36
"korea_union",1964,39502153,,,
"kos",1964,1386816,,40,
"kwt",1964,431366,29279,40,7.38
"lao",1964,2325742,1280,41.2763995082,5.97
"lbn",1964,2041212,9767,55.8163954202,5.58
"lbr",1964,1224094,1287,40,6.5
"lby",1964,1652294,30463,40,7.68
"lca",1964,,2523,40,6.76
"lie",1964,18170,,40,
"lso",1964,915473,711,40,5.81
"ltu",1964,2928182,10728,30.53464,2.38
"lux",1964,327361,25235,40,2.37
"lva",1964,2236844,6134,30.77464,1.82
"mac",1964,197523,9874,40,3.93
"mar",1964,13871988,2040,48.441418,7.12
"mco",1964,23237,20352,40,
"mda",1964,3275457,4162,22.1707415438,2.99
"mdg",1964,5625401,2273,48.388732,7.3
"mdv",1964,100177,1222,40,7.18
"mex",1964,43264267,7045,53.969918,6.77
"mhl",1964,16702,1890,40,
"mkd",1964,1569143,4987,42.8282474242,3.45
"mli",1964,5503748,799,51.422598,6.79
"mlt",1964,307389,2830,40,2.8
"mmr",1964,23471163,1358,40.4955338618,6.13
"mne",1964,529176,8135,40,3.09
"mng",1964,1074517,1383,40,7.56
"mnp",1964,10901,,40,
"moz",1964,8129268,540,49.870228,6.6
"mrt",1964,963746,2254,40,6.8
"msr",1964,11837,,40,
"mtq",1964,306370,,40,5.36
"mus",1964,735860,3334,40,5.79
"mwi",1964,3963424,391,49.257952,7.06
"mys",1964,9287442,3338,50.7990527473,5.81
"myt",1964,29218,,40,7.91
"nam",1964,665297,6254,51.099344,6.22
"ncl",1964,88578,,40,5.22
"ner",1964,3811813,1437,48.827102,7.19
"nfk",1964,1760,,40,
"nga",1964,49169819,3803,45.9326200424,6.34
"ngokar",1964,,,40,
"nic",1964,2002119,5559,49.759736,7.05
"niu",1964,5041,,40,
"nld",1964,12057475,15204,41.2923779621,3.17
"nor",1964,3694987,18118,34.2173834861,2.96
"npl",1964,10719988,1002,49.6150602439,6
"nru",1964,5500,26515,40,
"nzl",1964,2581578,17837,30.3750354497,3.22
"omn",1964,608889,5419,40,7.26
"pak",1964,49555472,1396,36.386,6.6
"pan",1964,1276274,4852,40,5.71
"pcn",1964,110,,40,
"per",1964,11281015,6155,60.3726547588,6.8
"phl",1964,29962877,2825,50.7312604061,6.87
"plw",1964,10593,19889,40,
"png",1964,2116832,1324,48.0283,6.27
"pol",1964,31229448,7078,27.2302,2.5
"pri",1964,2537637,10545,48.2009972717,4.08
"prk",1964,12282421,1592,40,4.02
"prt",1964,8915539,6902,45.877014,3.19
"pry",1964,2114095,3163,40,6.41
"pyf",1964,90132,,40,5.37
"qat",1964,67487,39711,40,6.99
"reu",1964,377793,,40,6.4
"rou",1964,19207098,7512,22.1707415438,1.95
"rus",1964,125412397,11836,26,2.16
"rwa",1964,3161719,506,52.208742,8.2
"sau",1964,,16587,40,7.26
"shn",1964,,,40,
"slv",1964,3106186,4585,40,6.7
"smr",1964,,17001,40,
"spm",1964,,,40,
"stp",1964,,1675,40,6.33
"tcd",1964,3247798,1409,35.0370808636,6.32
"vct",1964,,2963,40,6.88
"vgb",1964,8628,,40,
"wsm",1964,,3498,40,7.57
