"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abw",1905,,1480,,
"afg",1905,,807,41,480.36
"ago",1905,,979,37.9,481.78
"alb",1905,,1236,27.9,372.19
"and",1905,,3390,,
"are",1905,,2151,43.8,430.97
"arg",1905,,8014,45,300.692680695
"arm",1905,,890,35.8,306.784858003
"atg",1905,,1345,,201.917331554
"aus",1905,,7141,40.1,117.16
"aut",1905,,6186,37,375.39
"aze",1905,,1539,44.2,298.01570326
"bdi",1905,,461,43.7,420.54
"bel",1905,,7258,49.9,202.03
"ben",1905,,902,41.7,427
"bfa",1905,,529,37.5,451.04
"bgd",1905,,1068,38.9,565.38
"bgr",1905,,2232,32.2,284.97
"bhr",1905,,2708,40.1,436.26
"bhs",1905,,2569,,189.477435521
"bih",1905,,1139,45.7,375.75
"blr",1905,,1245,50,329.7
"blz",1905,,1029,,220.453268413
"bmu",1905,,2182,,
"bol",1905,,1914,36.9,401.44
"bra",1905,,1322,25.8,414.08
"brb",1905,,1624,,679.684549257
"brn",1905,,2023,,451.04
"btn",1905,,746,47.8,424.536440315
"bwa",1905,,600,35.6,394.01
"caf",1905,,641,48.2,440.23
"can",1905,,5948,40.8,185.638996442
"che",1905,,9848,36.8,169.16
"chl",1905,,3395,72.7,404.5
"chn",1905,,856,35.3,414.08
"civ",1905,,1236,43.5,424.42
"cmr",1905,,946,40.1,456.51
"cod",1905,,748,42.1,419.25
"cog",1905,,773,40.2,405.23
"col",1905,,1202,54,414.08
"com",1905,,774,44.8,412.82
"cpv",1905,,762,47.9,391.54
"cri",1905,,2009,44.9,378.15
"cub",1905,,2920,40.4,386.64
"cym",1905,,1847,,
"cyp",1905,,2337,42.1,267.79
"cze",1905,,4251,39.4,295.31
"deu",1905,,4783,42.9,333.4
"dji",1905,,1048,44.8,441.58
"dma",1905,,1179,,
"dnk",1905,,6219,46.2,150.69
"dom",1905,,1060,44.7,441.58
"dza",1905,,1847,35.6,456.51
"ecu",1905,,914,45.5,402.7
"egy",1905,,1364,39.6,401.44
