"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1897,,1403,,
"afg",1897,,785,38.6,482.57
"ago",1897,,946,33.1,485.43
"alb",1897,,1110,28.1,375.01
"and",1897,,3084,,
"are",1897,,1916,43.6,434.23
"arg",1897,,5820,43.1,383.46
"arm",1897,,837,34.2,326.970469172
"atg",1897,,1275,,215.46771942
"aus",1897,,5697,38.3,158.51
"aut",1897,,5366,36.8,370.54
"aze",1897,,1432,44.9,314.847506856
"bdi",1897,,457,43.7,423.73
"bel",1897,,6692,49.4,210.76
"ben",1897,,868,42.3,430.24
"bfa",1897,,524,37.5,454.45
"bgd",1897,,1045,39.2,562.91
"bgr",1897,,1995,33.6,321.14
"bhr",1897,,2610,41.1,439.56
"bhs",1897,,2434,,203.0910821
"bih",1897,,1062,45.8,378.6
"blr",1897,,1155,50,365.48
"blz",1897,,975,,233.43653648
"bmu",1897,,2068,,
"bol",1897,,1775,36.9,404.48
"bra",1897,,1241,25.2,417.22
"brb",1897,,1539,,660.821334351
"brn",1897,,1969,,454.45
"btn",1897,,735,47.9,427.376348249
"bwa",1897,,578,35.6,396.99
"caf",1897,,617,48.7,443.56
"can",1897,,4189,41,293.091114611
"che",1897,,9238,35.8,181.2
"chl",1897,,3106,70.4,493.715304394
"chn",1897,,904,29.5,417.22
"civ",1897,,1198,44.5,427.63
"cmr",1897,,911,36.3,459.97
"cod",1897,,723,42.1,422.43
"cog",1897,,756,41.2,408.3
"col",1897,,1178,47.8,417.22
"com",1897,,768,46.4,415.94
"cpv",1897,,737,48,394.5
"cri",1897,,1837,44.1,398.24
"cub",1897,,2662,41.2,588.53
"cym",1897,,1750,,
"cyp",1897,,2127,42.5,324.44
"cze",1897,,3796,40.9,349.19
"deu",1897,,4271,41.5,360.86
"dji",1897,,1022,45.5,444.92
"dma",1897,,1117,,
"dnk",1897,,5259,45.5,168.46
"dom",1897,,1016,45.6,444.92
"dza",1897,,1694,34.3,459.97
"ecu",1897,,868,46.4,405.75
"egy",1897,,1255,36.2,404.48
"eri",1897,,649,48.6,440.89
"esp",1897,,2473,32.7,323.288509211
"est",1897,,1898,33.9,290.21
"eth",1897,,538,47.5,447.64
"fin",1897,,2714,36.8,199.56
"fji",1897,,1022,45.6,498.62
"fra",1897,,3888,50.4,206.97
"fsm",1897,,550,,237.439814255
"gab",1897,,396,45.9,435.57
"gbr",1897,,7642,38.9,226.29
"geo",1897,,945,32.1,323.88746966
"gha",1897,,747,38.9,468.009595658
"gin",1897,,528,35.7,436.9
"gmb",1897,,862,46.9,459.97
"gnb",1897,,830,49.8,417.22
"gnq",1897,,404,51.7,446.28
"grc",1897,,2905,35.2,328.87
"grd",1897,,1333,,231.501578378
"grl",1897,,896,,
"gtm",1897,,1608,36.4,503.1
"guy",1897,,2045,39.7,387.933942557
"hkg",1897,,1682,,
"hnd",1897,,1808,43.4,393.25
"hrv",1897,,2763,,366.65
"hti",1897,,1390,44.4,485.371766364
"hun",1897,,2750,38.2,362.47
"idn",1897,,1140,40.1,443.56
"ind",1897,,1255,29.5,533.79
"irl",1897,,3897,34.5,165.95
"irn",1897,,1296,38.1,506.11
"irq",1897,,1474,39.9,427.63
"isl",1897,,2338,,183.09
"isr",1897,,1033,44.9,447.059069419
"ita",1897,,3389,47.1,282.36
"jam",1897,,982,38.9,287.67
"jor",1897,,1484,44,421.12
"jpn",1897,,1665,49.1,341.2
"kaz",1897,,2307,39.7,462.76
"ken",1897,,1156,39.1,507.62
"kgz",1897,,1001,39.3,375.714605256
"khm",1897,,1015,46.1,379.79
"kir",1897,,600,,317.733649697
"kna",1897,,1962,,
"kor",1897,,522,32.1,503.1
"kwt",1897,,2107,42.5,500.09
"lao",1897,,1042,38.4,418.52
"lbn",1897,,2026,39.4,447.64
"lbr",1897,,983,46.2,428.93
"lby",1897,,2705,41.4,404.48
"lca",1897,,1129,,251.814359413
"lka",1897,,1864,43.9,409.57
"lso",1897,,415,51.6,407.03
"ltu",1897,,2571,37.1,317.88
"lux",1897,,3620,39.8,259.89
"lva",1897,,1520,37.1,266.84
"mac",1897,,1292,,
"mar",1897,,820,35.9,403.23
"mco",1897,,4894,,
"mda",1897,,1137,33.6,331.361826541
"mdg",1897,,833,41,436.9
"mdv",1897,,838,,394.926804313
"mex",1897,,2230,48.6,497.15
"mhl",1897,,572,,
"mkd",1897,,1416,32.9,382.329041113
"mli",1897,,620,47.2,494.22
"mlt",1897,,1587,,123.552347719
"mmr",1897,,1133,33.1,432.9
"mne",1897,,2170,42.2,375.01
"mng",1897,,676,48.3,419.82
"moz",1897,,413,40.4,439.56
"mrt",1897,,767,48,417.22
"mus",1897,,1367,44.3,387.723340154
"mwi",1897,,355,40.1,439.56
"mys",1897,,1260,41,435.57
"nam",1897,,1709,40.5,412.12
"ner",1897,,649,43.3,432.9
"nga",1897,,1252,38.4,438.23
"nic",1897,,2210,44.2,509.12
"nld",1897,,6225,44,214.37
"nor",1897,,3582,43.5,138.49
"npl",1897,,804,41,407.03
"nru",1897,,805,,
