geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1986,11438949,1486,32.6,209.2
ago,Angola,country,afr,1986,10023700,4135,55.8,227.5
alb,Albania,country,eur,1986,3041003,4281,28,50.7
are,United Arab Emirates,country,asi,1986,1430548,100191,45.1,21.1
arg,Argentina,country,ame,1986,30857242,9810,42.8,31.9
arm,Armenia,country,eur,1986,3396511,3890,53.8,59
aus,Australia,country,asi,1986,16047026,26057,32.8,11
aut,Austria,country,eur,1986,7610435,27707,28.5,11.8
aze,Azerbaijan,country,eur,1986,6779970,8673,32.3,99
bdi,Burundi,country,afr,1986,4936429,1014,34.9,172.9
bel,Belgium,country,eur,1986,9903895,27189,23.8,11.4
ben,Benin,country,afr,1986,4414450,1497,42.6,196.1
bfa,Burkina Faso,country,afr,1986,7930690,900,49.3,214.4
bgd,Bangladesh,country,asi,1986,95550798,1169,27.6,167.7
bgr,Bulgaria,country,eur,1986,8956741,10643,33.5,22.5
bhr,Bahrain,country,asi,1986,433487,29586,35,24.2
bih,Bosnia and Herzegovina,country,eur,1986,4428460,3572,29.6,24.9
blr,Belarus,country,eur,1986,10053975,7780,23.7,18.8
bol,Bolivia,country,ame,1986,6337893,3525,53.6,143.8
bra,Brazil,country,ame,1986,139664639,11079,58.5,72.1
btn,Bhutan,country,asi,1986,484151,1534,46.9,158.8
bwa,Botswana,country,afr,1986,1221668,6065,54,54
caf,Central African Republic,country,afr,1986,2691312,991,56.1,177.2
can,Canada,country,ame,1986,26181342,29482,29.2,9.4
che,Switzerland,country,eur,1986,6493442,42899,34.4,8.9
chl,Chile,country,ame,1986,12304203,7483,50,22.1
chn,China,country,asi,1986,1071834975,1604,29.9,53.7
civ,Cote d'Ivoire,country,afr,1986,10548148,3330,38.6,151.7
cmr,Cameroon,country,afr,1986,10701458,3821,44.7,144.2
cod,"Congo, Dem. Rep.",country,afr,1986,30829103,1523,44.1,195.3
cog,"Congo, Rep.",country,afr,1986,2142529,5586,43.9,95.3
col,Colombia,country,ame,1986,31669780,6887,51.8,40.3
com,Comoros,country,afr,1986,368443,1703,50.8,142.2
cpv,Cape Verde,country,afr,1986,319161,1474,49.6,75.1
cri,Costa Rica,country,ame,1986,2800986,6851,34.4,20.5
cub,Cuba,country,ame,1986,10167998,14025,36.7,17.4
cyp,Cyprus,country,eur,1986,712340,18626,30.1,12.4
cze,Czech Republic,country,eur,1986,10311350,19820,23.1,16.6
deu,Germany,country,eur,1986,77671877,30514,28.3,10.6
dji,Djibouti,country,afr,1986,451068,3616,41.4,131.7
dnk,Denmark,country,eur,1986,5113767,32181,22.4,9.7
dom,Dominican Republic,country,ame,1986,6626544,4903,47.8,70.1
dza,Algeria,country,afr,1986,23241276,10722,40.2,61.9
ecu,Ecuador,country,ame,1986,9272905,7887,49.4,69.1
egy,Egypt,country,afr,1986,50748187,5658,30.5,110.1
eri,Eritrea,country,afr,1986,2843141,831,47.5,171.8
esp,Spain,country,eur,1986,38854360,19881,32.6,12.8
est,Estonia,country,eur,1986,1536112,13014,31.5,22.6
eth,Ethiopia,country,afr,1986,42097111,635,35.6,219.3
fin,Finland,country,eur,1986,4921293,25133,20.9,7.3
fji,Fiji,country,asi,1986,718548,5545,43.7,34.1
fra,France,country,eur,1986,55686610,26453,33.7,10
gab,Gabon,country,afr,1986,853039,18203,55.1,97.4
gbr,United Kingdom,country,eur,1986,56519444,23516,33.6,11.1
geo,Georgia,country,eur,1986,5340061,9633,30.9,49.8
gha,Ghana,country,afr,1986,13103975,1778,33.8,149.7
gin,Guinea,country,afr,1986,5223553,1077,51,258.4
gmb,Gambia,country,afr,1986,766598,1347,60.9,196.8
gnb,Guinea-Bissau,country,afr,1986,966039,1626,45.4,246.7
gnq,Equatorial Guinea,country,afr,1986,330247,1154,50.5,205.1
grc,Greece,country,eur,1986,9945576,19657,35.2,16.4
gtm,Guatemala,country,ame,1986,8320498,5198,58.1,97.6
guy,Guyana,country,ame,1986,755598,3485,52,65.8
hnd,Honduras,country,ame,1986,4366401,3170,55.1,70.9
hti,Haiti,country,ame,1986,6527545,2414,47.4,163
hun,Hungary,country,eur,1986,10526561,17493,28.3,22.8
idn,Indonesia,country,asi,1986,168402027,3646,33.9,99.5
ind,India,country,asi,1986,799607235,1493,37.4,141.2
irl,Ireland,country,eur,1986,3566327,17546,38.2,10.4
irn,Iran,country,asi,1986,49205577,9675,47.4,72.8
irq,Iraq,country,asi,1986,15937864,11057,39.6,59.7
isr,Israel,country,asi,1986,4148764,16015,36.5,13.7
ita,Italy,country,eur,1986,56956635,26242,29.1,11.3
jam,Jamaica,country,ame,1986,2333427,6041,37.4,34.3
jor,Jordan,country,asi,1986,2884065,9318,36.1,42.7
jpn,Japan,country,asi,1986,120551455,24116,31,7.1
kaz,Kazakhstan,country,asi,1986,15972360,13222,28,57.5
ken,Kenya,country,afr,1986,20393724,2226,50.8,93.4
kgz,Kyrgyz Republic,country,asi,1986,4095873,3499,48.5,75
khm,Cambodia,country,asi,1986,7990133,792,38.7,119.6
kor,South Korea,country,asi,1986,41059473,7996,32.4,9.3
kwt,Kuwait,country,asi,1986,1823201,42858,39.3,21.7
lao,Lao,country,asi,1986,3785230,1618,32.4,178.1
lbn,Lebanon,country,asi,1986,2677290,12021,48.7,39.6
lbr,Liberia,country,afr,1986,2206867,947,40.7,237.8
lby,Libya,country,afr,1986,3961363,30572,38.8,51.6
lka,Sri Lanka,country,asi,1986,16413729,3115,32.5,26.9
lso,Lesotho,country,afr,1986,1495101,1144,56,93.6
ltu,Lithuania,country,eur,1986,3595362,17052,29.7,18
lux,Luxembourg,country,eur,1986,368662,44557,24.7,10.7
lva,Latvia,country,eur,1986,2604484,12959,24.2,19.6
mar,Morocco,country,afr,1986,23084731,3750,37.4,97.7
mda,Moldova,country,eur,1986,4253162,6466,25.6,38.8
