"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1821,,,40,
"abw",1821,19609,841,40,5.64
"afg",1821,3332311,607,30.5122804245,7
"ago",1821,1603720,677,48.6483248571,6.95
"aia",1821,2072,,40,
"akr_a_dhe",1821,,,40,
"alb",1821,440367,671,41.2354,4.6
"and",1821,2710,1256,40,
"ant",1821,,,40,5.8
"arg",1821,578434,1533,46.653851384,6.8
"arm",1821,425605,517,29.12185,7.87
"asm",1821,8141,,40,
"atg",1821,37000,764,40,4.92
"aus",1821,333554,861,41.30739,6.08
"aut",1821,3404003,2035,52.776035,5.1
"aze",1821,906216,783,40,8.1
"bdi",1821,921605,426,43.69366,6.8
"bel",1821,3499557,2426,62.1144506667,4.76
"ben",1821,656772,601,47.8774386667,5.57
"bfa",1821,1704549,482,37.4998,6.04
"bgd",1821,20186896,875,41.82703,6.7
"bgr",1821,2196650,1098,47.82681,5.16
"bhr",1821,64474,1352,40,7.02
"bhs",1821,27415,1459,40,5.9
"bih",1821,876074,674,40,5.91
"blr",1821,2425305,618,57.7216666667,7
"blz",1821,25562,584,40,6.68
"bmu",1821,9782,1239,40,
"bol",1821,1126375,864,40,6.48
"bra",1821,4644739,1114,46.7605849514,6.26
"brb",1821,86227,922,40,4.64
"brn",1821,2277,1522,40,7.06
"btn",1821,91378,633,40,6.67
"bwa",1821,121000,400,35.60809,6.47
"caf",1821,486769,427,45.24579,6.51
"can",1821,902652,1507,44.5227486667,5.72
"cck",1821,,,40,
"chanisl",1821,44828,,40,5.07
"cheslo",1821,,,40,
"chl",1821,831109,984,47.6512930507,5.98
"chn",1821,382875079,985,44.452445,5.5
"civ",1821,1112362,884,38.09856,6.78
"cmr",1821,1877602,631,55.8204244286,5.54
"cod",1821,5273748,528,42.12181,5.99
"cog",1821,321840,610,50.9403614444,5.67
"cok",1821,16553,,40,
"col",1821,1278870,968,58.94312,6.19
"com",1821,57779,711,36.30614,6.01
"cpv",1821,57336,533,40,6.46
"cri",1821,64079,786,40,6.93
"cub",1821,622688,1102,40,5.78
"cxr",1821,,,40,
"cym",1821,2502,1049,40,
"cyp",1821,184808,866,40,6.03
"cyp_nor",1821,,,40,
"cze",1821,5580684,1937,35.3655886667,5.17
"deu",1821,25717690,1900,50.6704083333,5.35
"deu_east",1821,,,40,
"dji",1821,23416,804,40,6.3
"dma",1821,20210,670,40,
"dnk",1821,1185711,2169,54.0532917912,4.19
"dom",1821,93921,673,40,6.16
"dza",1821,2727511,743,57.8941797416,6.99
"ecu",1821,527340,534,40,6.99
"egy",1821,4341780,797,57.8941797416,6.05
"eri",1821,213967,535,40,6.96
"eri_a_eth",1821,,,40,
"est",1821,344116,966,48.87745,5.05
"eth",1821,3087009,524,47.51967,7.17
"fin",1821,1205328,1297,50.58427,5.34
"fji",1821,135080,790,40,6.45
"flk",1821,100,,40,
"fra",1821,31700048,1992,58.8443266667,3.83
"fro",1821,13820,,40,
"fsm",1821,16686,525,40,6.02
"gab",1821,162520,391,45.85316,6.5
"gbg",1821,,,40,
"gbm",1821,24031,,40,
"geo",1821,1104156,547,29.74723,7.8
"gha",1821,1985643,708,57.9231363333,6.43
"gib",1821,10051,,40,
"gin",1821,1012153,452,32.73783,6.11
"glp",1821,82646,,40,5.62
"gmb",1821,105756,823,40,6.51
"gnb",1821,222848,780,49.84899,7.25
"gnq",1821,81226,366,40,5.51
"grc",1821,2363292,1431,49.93078,6.03
"grd",1821,29757,965,40,5.81
"grl",1821,9792,399,40,4.67
"gtm",1821,602393,867,35.30002,6.45
"guf",1821,10132,,40,6.27
"gum",1821,12771,,40,6.37
"guy",1821,169726,1226,38.23119,5.01
"hkg",1821,21120,1012,48.7,5.47
"hnd",1821,149703,685,40,6.1
"hos",1821,905,,40,
"hrv",1821,1262985,1361,27.71461,5.75
"hti",1821,743392,642,40,6.31
"hun",1821,4170542,1263,46.9359886667,5.18
"idn",1821,17334493,999,51.3702786667,6.07
"ind",1821,176746350,1050,32.997637,5.95
"irl",1821,5104302,1472,44.0831256667,4.2
"irn",1821,6633089,982,57.8941797416,7.08
"irq",1821,1117316,977,57.8941797416,7.13
"isl",1821,62715,939,40,4.88
"isr",1821,209954,882,44.86531,5.73
"ita",1821,20444686,2432,53.7523648333,5.47
"jam",1821,400790,1164,39.10361,5.13
"jey",1821,,,40,
"jor",1821,219821,983,40,6.97
"jpn",1821,31027329,1081,52.9111336667,4.47
"kaz",1821,2102070,1175,43.31751,6.45
"ken",1821,2574000,912,46.31273,6.91
"kgz",1821,546124,514,45.95004,6.58
"khm",1821,2104973,908,40,6.95
"kir",1821,18041,561,40,5.67
"kna",1821,,1176,40,
"kor",1821,9410622,564,32.12819,6
"kos",1821,,,40,
"kwt",1821,81280,1187,40,6.87
"lao",1821,484526,869,38.40764,6.13
"lbn",1821,339731,1107,57.8941797416,5.74
"lbr",1821,321890,801,40,6.19
"lby",1821,545896,1066,40,7.2
"lca",1821,,880,40,5.53
"lie",1821,5926,,40,
"lso",1821,283079,398,40,5.84
"ltu",1821,801926,1309,48.87745,5.62
"lux",1821,129694,1474,40,4.72
"lva",1821,608252,774,48.87745,5.03
"mac",1821,26606,999,40,5.51
"mar",1821,2727511,718,57.8941797416,6.5
"mco",1821,7972,2024,40,
"mda",1821,733787,626,47.82681,6.39
"mdg",1821,1704594,577,41.00953,6.89
"mdv",1821,43171,845,40,5.98
"mex",1821,6648995,1380,39.8303830025,6.8
"mhl",1821,5944,546,40,
"mkd",1821,403074,698,32.52048,5.9
"mli",1821,1445421,605,47.15742,6.23
"mlt",1821,136879,791,40,5.49
"mmr",1821,3548743,843,30.4921,6.03
"mne",1821,130214,1069,40,5.9
"mng",1821,621982,595,40,5.94
"mnp",1821,3421,,40,
"moz",1821,2142416,395,45.263514,6.63
"mrt",1821,387779,532,40,6.34
"msr",1821,5398,,40,
"mtq",1821,86070,,40,5.71
"mus",1821,98823,947,40,5.03
"mwi",1821,737000,351,45.71369,6.78
"mys",1821,306977,1002,25.26073,5.45
"myt",1821,8343,,40,7.07
"nam",1821,229000,550,52.60693,5.96
"ncl",1821,30007,,40,6.41
"ner",1821,1265800,450,43.34556,6.83
"nfk",1821,,,40,
"nga",1821,12266049,886,54.5972797143,6.55
"ngokar",1821,,,40,
"nic",1821,231077,986,40,6.16
"niu",1821,4519,,40,
"nld",1821,2424969,3815,56.0688206667,5.11
"nor",1821,1006338,1328,43.5925888333,5
"npl",1821,3928260,656,40.99217,6.15
"nru",1821,1855,558,40,
"nzl",1821,99833,661,38.15322644,5.25
"omn",1821,320896,922,40,6.88
"pak",1821,13736581,1019,28.68893,6.59
"pan",1821,83606,859,40,5.36
"pcn",1821,,,40,
"per",1821,1377619,1211,56.9849533333,6.82
"phl",1821,2001804,966,32.54966,6.87
"plw",1821,3937,844,40,
"png",1821,770163,550,25.7537,6.23
"pol",1821,10572553,1314,34.5667584322,6.3
"pri",1821,256908,1387,35.18422,5.15
"prk",1821,4355269,567,40,6.1
"prt",1821,3328669,1690,54.3469463333,4.5
"pry",1821,158084,848,40,6.49
"pyf",1821,64203,,40,5.97
"qat",1821,14092,1187,40,6.97
"reu",1821,95016,,40,6.51
"rou",1821,6439480,829,47.82681,5.22
"rus",1821,32019047,1474,57.7219373333,7
"rwa",1821,946823,443,59.01018,7.07
"sau",1821,,859,40,6.86
"shn",1821,,,40,
"slv",1821,258634,986,40,5.9
"smr",1821,,1455,40,
"spm",1821,,,40,
"stp",1821,,884,40,6.23
"tcd",1821,1432000,421,40,6.06
"vct",1821,,846,40,6.54
"vgb",1821,6700,,40,
"wsm",1821,,1409,40,6.98
