"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1998,87276,42565,,21.6
"afg",1998,18511480,947,36.6,142.6
"ago",1998,14187710,3376,58.2,220.8
"aia",1998,10545,,,
"akr_a_dhe",1998,14946,,,
"ala",1998,25537,,,
"alb",1998,3102898,4434,34.8,28.9
"and",1998,63888,30819,,5
"ant",1998,183322,,,
"are",1998,2733770,104107,45.1,11.8
"arg",1998,36241578,12268,50.7,21.4
"arm",1998,3112958,2636,36,33.2
"asm",1998,55899,,,
"atg",1998,74206,18483,,17
"aus",1998,18709175,33085,31.2,6.5
"aut",1998,8023166,36157,26.1,5.8
"aze",1998,7984531,3801,35.7,84.2
"bdi",1998,6511920,763,42.4,160.5
"bel",1998,10216867,34992,27.6,6.3
"ben",1998,6546493,1466,37.1,150.9
"bfa",1998,10969093,1012,46.9,191.3
"bgd",1998,126169583,1538,33.7,97.9
"bgr",1998,8131743,8976,25,22.7
"bhr",1998,618054,44399,35,14.1
"bhs",1998,290054,23799,,16.4
"bih",1998,3775898,5609,35.8,10.7
"blr",1998,10051298,6630,27.8,17
"blz",1998,230289,6220,,26.7
"bmu",1998,63511,45912,,
"bol",1998,8026257,4384,56,88.7
"bra",1998,170516482,11250,59.6,37.7
"brb",1998,267949,14081,,15.7
"brn",1998,316873,73498,,9.8
"btn",1998,533506,3292,46.9,89.4
"bwa",1998,1678111,9507,59.4,67.7
"caf",1998,3577028,873,48.5,176.4
"can",1998,30145148,34389,30.7,6.4
"cck",1998,618,,,
"chanisl",1998,146669,,,13.736
"che",1998,7113505,46942,27.1,5.8
"cheslo",1998,15680359,,,
"chl",1998,14788609,14450,55.5,12
"chn",1998,1255262566,3205,44.9,41.5
"civ",1998,15728482,3202,39.1,146
"cmr",1998,15108630,2338,41.8,153.6
"cod",1998,45647949,622,44,168.4
"cog",1998,2953011,4657,46.1,119.3
"cok",1998,17915,,,18.7
"col",1998,39234059,8701,54,26.9
"com",1998,520180,1416,51.2,102.7
"cpv",1998,419884,3082,50.3,44.3
"cri",1998,3767369,9095,45.7,14.4
"cub",1998,11041893,10086,36.8,9.4
"cxr",1998,2363,,,
"cym",1998,37742,58314,,
"cyp",1998,908040,27721,28.9,7.5
"cze",1998,10297977,19777,26,7.6
"deu",1998,82010184,35254,25.9,5.7
"deu_east",1998,16103699,,,
"deu_west",1998,64666828,,,
"dji",1998,698256,2092,42.3,104.9
"dma",1998,70295,7936,,15.8
"dnk",1998,5298680,39297,22.4,5.8
"dom",1998,8296375,7283,50,44
"dza",1998,30336880,9646,39.6,40.7
"ecu",1998,12163887,8045,49.7,37.7
