"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1834,,918,,
"afg",1834,,634,30.5,472.81
"ago",1834,,717,44.9,485.68
"alb",1834,,691,41.2,375.2
"and",1834,,1465,,
"are",1834,,1133,44.4,434.46
"arg",1834,,1844,40.8,402.19
"arm",1834,,544,29.1,355.054288652
"atg",1834,,834,,359.356142183
"aus",1834,,1562,43.8,390.99
"aut",1834,,2452,45.3,440.1
"aze",1834,,841,36.9,358.183798192
"bdi",1834,,431,43.7,423.95
"bel",1834,,2633,57.9,312.26
"ben",1834,,640,46.9,430.46
"bfa",1834,,489,37.5,454.69
"bgd",1834,,876,41.8,507.88
"bgr",1834,,1170,47.8,352.82
"bhr",1834,,1430,43.8,439.79
"bhs",1834,,1593,,350.744627669
"bih",1834,,720,33.7,378.8
"blr",1834,,666,56.1,365.67
"blz",1834,,638,,366.336849523
"bmu",1834,,1353,,
"bol",1834,,977,36.9,404.69
"bra",1834,,1146,39.4,417.44
"brb",1834,,1007,,529.450347113
"brn",1834,,1590,,454.69
"btn",1834,,649,47.3,450.414770082
"bwa",1834,,426,35.6,397.2
"caf",1834,,455,46,443.79
"can",1834,,1755,36.5,329.04
"che",1834,,3140,45.4,344.77
"chl",1834,,1016,54.8,417.44
"chn",1834,,986,40.8,417.44
"civ",1834,,931,39.5,427.86
"cmr",1834,,672,51.5,460.21
"cod",1834,,558,42.1,422.65
"cog",1834,,633,49.3,408.51
"col",1834,,1001,58.9,417.44
"com",1834,,720,38.6,416.16
"cpv",1834,,563,49.6,394.71
"cri",1834,,909,47.5,441.12
"cub",1834,,1282,38.5,364.49
"cym",1834,,1145,,
"cyp",1834,,1010,34.2,339.12
"cze",1834,,2153,41.3,379.99
"deu",1834,,2055,48.7,443.740293706
"dji",1834,,837,43.2,445.15
"dma",1834,,731,,
"dnk",1834,,2339,56.6,304.146944481
"dom",1834,,722,42.4,445.15
"dza",1834,,855,60.2,460.21
