"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1867,,,40,
"abw",1867,24673,1146,40,
"afg",1867,4105346,709,46.7208705637,478.53
"ago",1867,2231562,829,35.5334882857,485.68
"aia",1867,2828,,40,
"akr_a_dhe",1867,,,40,
"alb",1867,592296,745,41.2354,375.2
"and",1867,3587,2164,40,
"ant",1867,,,40,
"arg",1867,1707023,2944,49.4230125,402.19
"arm",1867,634953,617,54.9779065,340.055335601
"asm",1867,7206,,40,
"atg",1867,35841,1042,40,274.893536167
"aus",1867,1594712,5155,46.6094095,217.967204292
"aut",1867,4453668,3367,36.3442818,410.94
"aze",1867,1354028,1009,40,334.787804632
"bdi",1867,1273395,445,43.69366,423.95
"bel",1867,4995214,4626,52.800157,258.3
"ben",1867,1008126,751,44.5124773333,430.46
"bfa",1867,2345391,507,37.4998,454.69
"bgd",1867,24404897,881,48.9396345,507.88
"bgr",1867,2619212,1377,47.82681,336.86
"bhr",1867,64950,1857,40,439.79
"bhs",1867,37322,1989,40,263.445592113
"bih",1867,1286253,789,40,378.8
"blr",1867,3631307,807,50.6,365.67
"blz",1867,25654,797,40,289.310978651
"bmu",1867,12145,1689,40,
"bol",1867,1512377,1336,40,404.69
"bra",1867,9471701,1604,38.8533135534,417.44
"brb",1867,158030,1257,40,594.629598611
"brn",1867,5718,1778,40,454.69
"btn",1867,114044,692,40,438.196238893
"bwa",1867,121510,500,35.60809,397.2
"caf",1867,601418,534,45.24579,443.79
"can",1867,3654640,2686,41.2339555,298.75
"cck",1867,,,40,
"chanisl",1867,59644,,40,
"cheslo",1867,,,40,
"chl",1867,1867005,1685,60.0315,417.44
"chn",1867,366329802,1087,39.66991875,425.25
"civ",1867,1495810,1062,38.09856,427.86
"cmr",1867,2139544,788,40.6387881429,460.21
"cod",1867,7039892,639,42.12181,422.65
"cog",1867,442209,695,45.0317278889,408.51
"cok",1867,13181,,40,
"col",1867,2392873,1090,58.94312,417.44
"com",1867,81452,745,36.30614,416.16
"cpv",1867,84834,648,40,394.71
"cri",1867,130550,1314,40,441.12
"cub",1867,1393396,1880,40,421.34
"cxr",1867,,,40,
"cym",1867,3559,1430,40,
"cyp",1867,185882,1492,40,339.12
"cyp_nor",1867,,,40,
"cze",1867,6554977,2622,53.525325,379.99
"deu",1867,38554178,2706,46.9062755,506.68
"deu_east",1867,,,40,
"dji",1867,32770,930,40,445.15
"dma",1867,26108,913,40,
"dnk",1867,1828704,3234,49.2160103419,221.75
"dom",1867,228449,863,40,445.15
"dza",1867,3722748,1223,47.512081337,460.21
"ecu",1867,993886,717,40,405.96
"egy",1867,6813265,985,47.512081337,404.69
"eri",1867,382488,601,40,441.12
"eri_a_eth",1867,,,40,
"est",1867,514902,1301,48.87745,348.22
"eth",1867,5714616,533,47.51967,447.88
"fin",1867,1804588,1474,50.58427,362.47
"fji",1867,131449,923,40,498.88
"flk",1867,174,,40,
"fra",1867,37919725,3413,57.44947,263.45
"fro",1867,18406,,40,
"fsm",1867,20839,540,40,289.463960095
"gab",1867,235355,394,45.85316,435.79
"gbg",1867,,,40,
"gbm",1867,32083,,40,
"geo",1867,1650566,681,29.74723,344.878041525
"gha",1867,1626281,734,54.093765,471.38
"gib",1867,12863,,40,
"gin",1867,1490156,497,32.73783,441.12
"glp",1867,114099,,40,
"gmb",1867,146615,847,40,460.21
"gnb",1867,300756,810,49.84899,417.44
"gnq",1867,94071,389,40,446.51
"grc",1867,3553426,1940,49.93078,360.97
"grd",1867,35731,1173,40,288.623714665
"grl",1867,13148,651,40,
"gtm",1867,1043666,1260,35.30002,503.36
"guf",1867,13920,,40,
"gum",1867,22599,,40,
"guy",1867,229044,1671,38.23119,429.16
"hkg",1867,101484,1122,48.7,
"hnd",1867,397099,1233,40,393.46
"hos",1867,907,,40,
"hrv",1867,1859078,1843,41.0308545,366.84
"hti",1867,1120597,1025,40,485.689544379
"hun",1867,5789268,1807,43.308245,368.163385926
"idn",1867,26192126,1070,39.44544,443.79
"ind",1867,211040156,1057,39.6789,509.39
"irl",1867,3941937,2834,37.203256,143.79
"irn",1867,8266665,1071,51.422582837,506.38
"irq",1867,1554788,1178,52.427614337,427.86
"isl",1867,83322,1548,40,330.31
"isr",1867,244992,888,44.86531,447.349867597
"ita",1867,27324084,2441,50.999815,447.125021443
"jam",1867,484234,905,39.10361,389.77
"jey",1867,,,40,
"jor",1867,261151,1186,40,421.34
"jpn",1867,34132186,1199,45.9332175,362.15
"kaz",1867,3139687,1581,43.31751,529.34
"ken",1867,2592789,1053,46.31273,507.88
"kgz",1867,815861,770,45.95004,377.867415197
"khm",1867,2345962,971,40,379.99
"kir",1867,21854,584,40,354.599791076
"kna",1867,,1603,40,
"kor",1867,9717336,538,32.12819,503.36
"kos",1867,,,40,
"kwt",1867,81436,1410,40,500.35
"lao",1867,738807,970,38.40764,418.74
"lbn",1867,457521,1516,47.512081337,447.88
"lbr",1867,463817,907,40,429.16
"lby",1867,694618,1873,40,404.69
