"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1995,80326,38602,,21.83
"afg",1995,16772522,872,36.6,152.3
"ago",1995,13042666,2859,57.6,224.8
"aia",1995,9807,,,
"akr_a_dhe",1995,14633,,,
"ala",1995,25183,,,
"alb",1995,3106727,3941,41,33.2
"and",1995,63854,26143,,6
"ant",1995,189891,,,
"are",1995,2350192,106425,45.1,13
"arg",1995,34994818,10673,48.9,23.4
"arm",1995,3223173,2169,56.6,38.6
"asm",1995,52874,,,
"atg",1995,68349,17167,,19.7
"aus",1995,18124770,30359,30.9,7
"aut",1995,7972833,33480,25.7,6.8
"aze",1995,7770806,3320,35,94.3
"bdi",1995,6239030,835,37.9,170.5
"bel",1995,10161914,32774,27.9,7.6
"ben",1995,5985658,1398,37.1,159.1
"bfa",1995,10089876,869,47.3,199.4
"bgd",1995,118427768,1424,33.5,114.2
"bgr",1995,8358116,8479,32.7,23.2
"bhr",1995,563730,43244,35,18.1
"bhs",1995,280151,22119,,18.7
"bih",1995,3879278,1976,28.6,15.2
"blr",1995,10159731,5275,28.8,17.9
"blz",1995,206962,6209,,30.1
"bmu",1995,62694,41999,,
"bol",1995,7566716,4068,58,101.8
"bra",1995,162755054,11108,59.6,46.7
"brb",1995,264962,12587,,15.5
"brn",1995,295010,78406,,10.6
"btn",1995,508897,2930,46.9,105.3
"bwa",1995,1576291,8823,59.1,60.6
"caf",1995,3335840,881,51.5,176.6
"can",1995,29299478,32101,28.9,6.9
"cck",1995,594,,,
"chanisl",1995,144050,,,14.888
"che",1995,7017042,44738,28,6.4
"cheslo",1995,15681953,,,
"chl",1995,14193986,12759,55.6,13.1
"chn",1995,1227841281,2551,42.6,47.5
"civ",1995,14404340,2964,36.7,148.9
"cmr",1995,13929575,2188,44.6,150
"cod",1995,42183620,724,44,176.4
"cog",1995,2721277,4715,45.5,107.7
"cok",1995,18305,,,21.8
"col",1995,37441980,8643,58,30
"com",1995,479574,1467,51.1,107.8
"cpv",1995,389156,2361,50.1,56.6
"cri",1995,3510925,8495,45.7,15.2
"cub",1995,10906048,9195,36.8,10.8
"cxr",1995,2171,,,
"cym",1995,31672,56588,,
"cyp",1995,855389,26445,27.3,9
"cze",1995,10335556,19093,26.9,10.2
"deu",1995,81612900,33843,26.6,6.5
"deu_east",1995,16020405,,,
"deu_west",1995,64332348,,,
"dji",1995,661076,2315,44,110.2
"dma",1995,71367,7148,,16.5
"dnk",1995,5232582,36670,21.5,6.5
"dom",1995,7892420,6188,49,49.2
"dza",1995,28904300,9168,35.3,42.6
"ecu",1995,11440576,7811,51,43.9
"egy",1995,62434527,6553,49.1,64.6
"eri",1995,3164095,1438,47.5,117.3
"eri_a_eth",1995,60489165,,,
"esh",1995,253302,,,96.73
"esp",1995,39764267,25645,33.6,8.3
"est",1995,1433076,10464,36.1,15.8
"eth",1995,57237226,578,40,175
"fin",1995,5108176,27303,22,5.2
"fji",1995,775498,6073,45.4,26.2
"flk",1995,2439,,,
"fra",1995,58224051,30823,27.8,6.5
"fro",1995,44099,,,
"fsm",1995,107556,3185,,55.6
